topic,doc,score,rel
51,clueweb09-enwp01-56-17042,0.9100282,2
51,clueweb09-en0007-86-24047,0.4793516,0
51,clueweb09-en0008-52-30058,0.4290115,0
51,clueweb09-en0008-43-16164,0.4279156,3
51,clueweb09-en0007-72-18225,0.4190855,0
51,clueweb09-en0001-90-05710,0.4136779,0
51,clueweb09-en0005-27-09222,0.3924972,0
51,clueweb09-en0008-94-34851,0.3795309,0
51,clueweb09-en0009-75-38683,0.3713118,1
51,clueweb09-en0008-56-28635,0.3703306,0
51,clueweb09-en0009-43-25277,0.3648437,0
51,clueweb09-en0009-30-04045,0.3523345,0
51,clueweb09-en0010-86-27052,0.3506193,1
51,clueweb09-en0005-21-16901,0.3423876,0
51,clueweb09-en0007-78-06781,0.3349668,0
51,clueweb09-en0006-18-03874,0.3287056,0
51,clueweb09-en0008-40-14671,0.3271323,0
51,clueweb09-en0008-65-06270,0.3203554,0
51,clueweb09-en0006-34-12131,0.3099066,0
51,clueweb09-en0008-32-08511,0.3023644,1
51,clueweb09-en0010-58-06824,0.2999123,0
51,clueweb09-en0007-89-20254,0.2992723,0
51,clueweb09-en0011-41-17215,0.2992723,0
51,clueweb09-en0009-73-39333,0.2936326,0
51,clueweb09-en0005-98-14151,0.2934756,0
51,clueweb09-en0001-83-03852,0.2896552,0
51,clueweb09-en0008-64-11801,0.2891468,0
51,clueweb09-en0007-17-32780,0.2836576,1
51,clueweb09-en0011-01-13174,0.2836576,0
51,clueweb09-en0009-31-16498,0.2836573,0
51,clueweb09-en0009-37-08945,0.2836573,0
51,clueweb09-en0009-84-44823,0.2836572,0
51,clueweb09-en0007-26-26699,0.2806656,0
51,clueweb09-en0008-81-08725,0.2806656,0
51,clueweb09-en0011-16-29949,0.2796217,0
51,clueweb09-en0008-52-29761,0.2757853,0
51,clueweb09-en0000-95-17354,0.2645218,0
51,clueweb09-en0005-59-14038,0.2645218,0
51,clueweb09-en0010-87-16850,0.2645218,0
51,clueweb09-en0011-01-24937,0.2645218,0
51,clueweb09-en0000-25-13013,0.2629645,0
51,clueweb09-en0001-55-24375,0.2629645,0
51,clueweb09-en0007-43-07543,0.2629645,0
51,clueweb09-en0007-57-33720,0.2629645,0
51,clueweb09-en0008-85-35877,0.2629645,0
51,clueweb09-en0009-15-14336,0.2629645,0
51,clueweb09-en0002-92-12275,0.2608686,0
51,clueweb09-en0007-81-08143,0.2566164,1
51,clueweb09-en0007-64-24087,0.2516851,0
51,clueweb09-en0008-52-10053,0.2481999,0
51,clueweb09-en0009-85-39727,0.2481999,0
51,clueweb09-en0010-58-35887,0.2396758,0
51,clueweb09-en0008-66-10852,0.2394774,1
51,clueweb09-en0010-53-26588,0.2394774,0
51,clueweb09-en0010-37-28468,0.2372915,0
51,clueweb09-en0006-50-29999,0.2364831,0
51,clueweb09-en0006-06-15773,0.2300939,0
51,clueweb09-en0011-80-03785,0.2300939,0
51,clueweb09-en0010-00-25154,0.2224222,0
51,clueweb09-en0009-10-00978,0.2191371,0
51,clueweb09-en0011-34-02260,0.2191371,0
51,clueweb09-en0011-91-32012,0.2152056,0
51,clueweb09-en0001-01-17993,0.2127427,0
51,clueweb09-en0008-27-12917,0.2116175,0
51,clueweb09-en0008-71-02561,0.2116175,0
51,clueweb09-en0011-92-26365,0.2116175,0
51,clueweb09-en0011-10-04505,0.2099292,1
51,clueweb09-en0010-07-20095,0.2097376,0
51,clueweb09-en0007-09-25561,0.2095428,0
51,clueweb09-en0007-42-22222,0.2095428,0
51,clueweb09-en0010-03-30909,0.2095428,0
51,clueweb09-en0008-91-30672,0.1998744,0
51,clueweb09-en0009-61-13712,0.1956553,0
51,clueweb09-en0009-44-14746,0.1897783,0
51,clueweb09-en0011-07-09955,0.1897783,0
51,clueweb09-en0005-29-07238,0.1856559,0
51,clueweb09-en0009-84-34325,0.1851653,0
51,clueweb09-en0009-32-34375,0.1798722,0
51,clueweb09-en0006-75-18219,0.1772856,0
51,clueweb09-en0011-92-34361,0.1772856,0
51,clueweb09-en0010-81-12369,0.1753097,0
51,clueweb09-en0011-38-00539,0.1753097,0
51,clueweb09-en0007-06-38358,0.1677901,0
51,clueweb09-en0001-16-13423,0.1549533,0
51,clueweb09-en0005-75-07904,0.1549533,0
51,clueweb09-en0010-59-01078,0.1549533,0
51,clueweb09-en0010-18-25681,0.1533964,0
51,clueweb09-en0011-76-25020,0.1533964,0
51,clueweb09-en0000-37-13721,0.1496734,0
51,clueweb09-en0009-44-02770,0.1496734,0
51,clueweb09-en0008-58-38392,0.1418285,0
51,clueweb09-en0008-71-14099,0.1418285,0
51,clueweb09-en0009-63-08862,0.1357807,0
51,clueweb09-en0006-64-02424,0.1322609,0
51,clueweb09-en0011-02-22431,0.1322609,0
51,clueweb09-en0011-45-23290,0.1322609,0
51,clueweb09-en0007-53-36565,0.1314822,0
51,clueweb09-en0007-90-30237,0.1314822,0
51,clueweb09-en0008-73-10201,0.1314822,0
51,clueweb09-en0009-65-39804,0.1314822,0
51,clueweb09-en0000-20-03113,0.1095685,0
51,clueweb09-en0001-59-07963,0.1095685,0
51,clueweb09-en0005-47-13342,0.1095685,0
51,clueweb09-en0006-94-28232,0.1095685,0
51,clueweb09-en0010-21-00793,0.1095685,0
51,clueweb09-en0011-13-20893,0.1095685,0
51,clueweb09-en0009-17-00081,0.1063714,0
51,clueweb09-en0010-41-30017,0.1058087,0
51,clueweb09-en0010-12-01964,0.1049254,0
51,clueweb09-en0010-58-13822,0.08389503,0
51,clueweb09-en0010-85-41743,0.07935655,0
51,clueweb09-en0000-68-06621,0.07669798,0
51,clueweb09-en0009-02-24682,0.07669798,0
51,clueweb09-en0010-84-31812,0.07340816,0
51,clueweb09-en0011-12-43414,0.06840826,0
51,clueweb09-en0001-59-15595,0.06613046,0
51,clueweb09-en0010-44-35648,0.06574112,0
51,clueweb09-en0000-85-17385,0.05986936,0
51,clueweb09-en0011-91-22622,0.04108826,0
51,clueweb09-en0007-53-04488,0.03545712,0
51,clueweb09-en0007-09-31723,0.02191371,0
52,clueweb09-enwp00-06-14709,0.9376543,0
52,clueweb09-en0002-02-06958,0.5293112,0
52,clueweb09-en0005-08-37244,0.4410927,0
52,clueweb09-en0005-40-06832,0.4410927,0
52,clueweb09-en0000-77-18405,0.3945253,0
52,clueweb09-en0001-12-31815,0.3945253,0
52,clueweb09-en0008-12-20440,0.3819975,0
52,clueweb09-en0005-89-04121,0.3742795,0
52,clueweb09-en0007-62-26160,0.3742795,0
52,clueweb09-en0007-95-25392,0.3742795,0
52,clueweb09-en0011-47-03985,0.3742795,0
52,clueweb09-en0011-63-15984,0.3742795,1
52,clueweb09-en0005-76-00281,0.3528741,0
52,clueweb09-en0007-23-32853,0.3487144,0
52,clueweb09-en0011-72-16411,0.3452096,2
52,clueweb09-en0007-37-33556,0.3398847,0
52,clueweb09-en0010-35-03145,0.3373716,0
52,clueweb09-en0006-93-24380,0.3300835,0
52,clueweb09-en0007-56-15204,0.3300835,0
52,clueweb09-en0010-61-35320,0.3300835,0
52,clueweb09-en0000-55-12967,0.3274946,0
52,clueweb09-en0005-93-30537,0.3241356,0
52,clueweb09-en0008-75-19565,0.3241356,0
52,clueweb09-en0008-81-24406,0.3241356,0
52,clueweb09-en0005-54-28904,0.3118996,0
52,clueweb09-en0005-93-19420,0.3118996,0
52,clueweb09-en0006-66-14170,0.3118996,0
52,clueweb09-en0007-75-33020,0.3118996,0
52,clueweb09-en0008-99-30076,0.3118996,0
52,clueweb09-en0009-05-40989,0.3118996,0
52,clueweb09-en0009-09-19085,0.3118996,0
52,clueweb09-en0009-64-05327,0.3118996,0
52,clueweb09-en0010-86-26439,0.3118996,0
52,clueweb09-en0010-91-20528,0.3118996,0
52,clueweb09-en0000-03-30474,0.3087649,0
52,clueweb09-en0006-39-08080,0.3087649,0
52,clueweb09-en0006-39-16035,0.3055986,0
52,clueweb09-en0006-62-38318,0.2917554,0
52,clueweb09-en0006-09-36102,0.2888231,0
52,clueweb09-en0002-19-02449,0.2789715,0
52,clueweb09-en0006-49-07506,0.2789715,0
52,clueweb09-en0008-73-34521,0.2789715,0
52,clueweb09-en0011-56-04903,0.2789715,0
52,clueweb09-en0000-46-28808,0.270113,0
52,clueweb09-en0000-70-27853,0.270113,0
52,clueweb09-en0005-68-14162,0.270113,0
52,clueweb09-en0008-05-33914,0.270113,0
52,clueweb09-en0008-37-06137,0.270113,0
52,clueweb09-en0011-65-05590,0.270113,0
52,clueweb09-en0007-60-26039,0.2673982,0
52,clueweb09-en0000-47-14546,0.2646556,0
52,clueweb09-en0007-45-32743,0.2646556,0
52,clueweb09-en0008-12-05028,0.2646556,1
52,clueweb09-en0008-78-31428,0.2646556,0
52,clueweb09-en0010-62-26697,0.2646556,0
52,clueweb09-en0000-76-11594,0.2495197,0
52,clueweb09-en0001-14-16210,0.2495197,0
52,clueweb09-en0001-65-07067,0.2495197,0
52,clueweb09-en0002-29-11688,0.2495197,0
52,clueweb09-en0005-02-00407,0.2495197,0
52,clueweb09-en0005-30-01118,0.2495197,0
52,clueweb09-en0005-39-03454,0.2495197,0
52,clueweb09-en0006-15-23819,0.2495197,0
52,clueweb09-en0006-92-22042,0.2495197,0
52,clueweb09-en0007-49-24968,0.2495197,0
52,clueweb09-en0007-67-28503,0.2495197,0
52,clueweb09-en0007-84-26717,0.2495197,0
52,clueweb09-en0008-16-18514,0.2495197,0
52,clueweb09-en0009-16-18694,0.2495197,0
52,clueweb09-en0009-24-26374,0.2495197,0
52,clueweb09-en0010-21-27362,0.2495197,0
52,clueweb09-en0010-59-23347,0.2495197,0
52,clueweb09-en0011-82-20050,0.2495197,0
52,clueweb09-en0011-87-19060,0.2495197,0
52,clueweb09-en0011-93-18929,0.2495197,0
52,clueweb09-en0011-94-00473,0.2495197,0
52,clueweb09-en0011-95-16006,0.2495197,0
52,clueweb09-en0010-92-30738,0.2441001,0
52,clueweb09-en0000-60-13634,0.2291985,0
52,clueweb09-en0002-72-25147,0.2291985,0
52,clueweb09-en0009-14-33266,0.2291985,0
52,clueweb09-en0000-01-15943,0.2205463,0
52,clueweb09-en0001-12-08829,0.2205463,0
52,clueweb09-en0002-28-08371,0.2205463,0
52,clueweb09-en0007-62-20727,0.2205463,0
52,clueweb09-en0008-28-30001,0.2205463,0
52,clueweb09-en0000-07-16058,0.2183297,0
52,clueweb09-en0001-44-49994,0.2183297,0
52,clueweb09-en0001-69-24288,0.2183297,0
