topic,doc,score,rel
51,clueweb09-en0100-57-34214,17.408050425319,0
51,clueweb09-en0115-93-04956,17.4007782958984,0
51,clueweb09-en0087-18-13820,17.3685172070541,0
51,clueweb09-en0087-02-08108,17.3644959054725,0
51,clueweb09-en0016-19-24681,17.3061446263775,2
51,clueweb09-en0050-83-28797,17.3034131171688,1
51,clueweb09-en0049-16-41358,17.2833382546158,2
51,clueweb09-en0016-99-33090,17.282152258076,1
51,clueweb09-en0122-48-04059,17.28153505909,0
51,clueweb09-en0079-76-37482,17.2790696642566,0
51,clueweb09-en0087-25-22969,17.2790696642566,0
51,clueweb09-en0102-97-30261,17.2740307890292,0
51,clueweb09-en0091-66-45121,17.2602452825706,1
51,clueweb09-en0106-21-40292,17.23723440804,1
51,clueweb09-en0050-44-03519,17.2303715814874,1
51,clueweb09-en0078-17-20055,17.2205853578868,1
51,clueweb09-en0100-80-12547,17.2192558368263,0
51,clueweb09-en0054-79-13017,17.219192718439,1
51,clueweb09-en0007-89-20413,17.2177001418351,1
51,clueweb09-en0047-29-06768,17.2145402755069,1
51,clueweb09-en0016-79-25759,17.2106672103601,2
51,clueweb09-en0048-83-24071,17.2010149133876,0
51,clueweb09-en0133-90-15067,17.2007858163628,2
51,clueweb09-en0040-02-21140,17.1879419216701,0
51,clueweb09-en0061-44-14791,17.185888842065,1
51,clueweb09-en0076-52-27073,17.1839830157866,1
51,clueweb09-en0076-52-27078,17.1830526158919,1
51,clueweb09-en0038-51-33785,17.1817850924441,3
51,clueweb09-en0128-12-18639,17.1803386832187,2
51,clueweb09-en0123-50-27074,17.1772648670132,2
51,clueweb09-en0012-54-03282,17.1691976134101,1
51,clueweb09-en0040-08-35086,17.165858972712,2
51,clueweb09-en0133-71-23355,17.1657247177201,1
51,clueweb09-en0072-07-13393,17.1609807468615,0
51,clueweb09-en0054-28-26035,17.1541594895262,0
51,clueweb09-en0007-89-20264,17.1524444248508,1
51,clueweb09-en0059-34-09584,17.1510354076242,0
51,clueweb09-en0036-40-12086,17.145913547584,2
51,clueweb09-en0127-36-17848,17.144374326774,0
51,clueweb09-en0092-36-31184,17.1406928810435,0
51,clueweb09-en0039-11-13043,17.1327454526838,0
51,clueweb09-en0094-45-26432,17.132355676034,0
51,clueweb09-en0046-74-18902,17.1300969114218,0
51,clueweb09-en0131-72-32143,17.1295473434646,0
51,clueweb09-en0078-60-24772,17.1293645227881,0
51,clueweb09-en0080-61-28934,17.1293500324759,0
51,clueweb09-en0115-57-25348,17.1264650341544,0
51,clueweb09-en0008-43-16164,17.1251109453957,3
51,clueweb09-en0131-02-53384,17.1227330472469,0
51,clueweb09-en0073-03-21481,17.1220663239956,0
51,clueweb09-en0107-56-25382,17.1212679439935,0
51,clueweb09-en0120-52-22426,17.1153976216889,0
51,clueweb09-en0121-49-04533,17.111680895779,0
51,clueweb09-en0035-67-18970,17.1101895514495,0
51,clueweb09-en0051-38-02769,17.1006603059927,0
51,clueweb09-en0087-14-15681,17.0967862185441,0
51,clueweb09-en0082-28-33170,17.0961500525135,0
51,clueweb09-en0007-81-08143,17.0960894500931,1
51,clueweb09-en0063-30-04579,17.0956562018055,0
51,clueweb09-en0044-43-10913,17.0954305142586,0
51,clueweb09-en0050-68-38202,17.0854066187932,3
51,clueweb09-en0012-11-31874,17.0815132517523,0
51,clueweb09-en0016-87-07931,17.0766396751494,0
51,clueweb09-en0007-17-32780,17.0757141776167,1
51,clueweb09-en0040-08-35093,17.0713549069314,0
51,clueweb09-en0004-77-30624,17.065348362552,1
51,clueweb09-en0102-10-01139,17.0650537143965,0
51,clueweb09-en0127-10-06510,17.0616226155076,0
51,clueweb09-en0011-41-17281,17.0594602669083,1
51,clueweb09-en0060-87-20845,17.0576879522452,0
51,clueweb09-en0079-21-09587,17.0556899981308,0
51,clueweb09-en0068-75-35570,17.0548563533705,0
51,clueweb09-en0061-23-16571,17.0546780772723,0
51,clueweb09-en0117-68-36215,17.0534995052838,0
51,clueweb09-en0000-81-00258,17.0527717236487,0
51,clueweb09-en0061-44-14827,17.0524158562027,0
51,clueweb09-en0008-37-05398,17.0501055393104,0
51,clueweb09-en0093-06-11125,17.044593785555,0
51,clueweb09-en0037-01-12635,17.0439832146949,0
51,clueweb09-en0074-03-38337,17.0427275686256,0
51,clueweb09-en0083-73-06526,17.0427103185074,0
