topic,doc,score,rel
51,clueweb09-en0007-89-20413,8.12726591178186,1
51,clueweb09-en0008-43-16164,8.10528581361728,3
51,clueweb09-en0007-17-32780,8.09488698994439,1
51,clueweb09-en0007-89-20264,8.08683168632979,1
51,clueweb09-en0007-81-08143,8.08489425879366,1
51,clueweb09-en0011-41-17281,8.06389324431794,1
51,clueweb09-en0000-81-00258,8.04583598101766,0
51,clueweb09-en0004-36-39733,8.04407198703862,1
51,clueweb09-en0008-37-05398,8.03575024075276,0
51,clueweb09-en0008-59-04222,8.01863166291796,0
51,clueweb09-en0009-85-39698,7.99864366861022,1
51,clueweb09-en0008-88-23094,7.99708909585897,2
51,clueweb09-en0006-61-04354,7.99228421463603,2
51,clueweb09-enwp00-27-06293,7.98315720005261,1
51,clueweb09-enwp00-23-05500,7.98235976923835,1
51,clueweb09-enwp00-23-05499,7.98215222315251,1
51,clueweb09-enwp00-24-05847,7.98213268065427,1
51,clueweb09-enwp00-31-05923,7.98213268065427,1
51,clueweb09-en0011-41-17278,7.97436761310302,1
51,clueweb09-en0010-85-41384,7.96930527168547,0
51,clueweb09-en0011-41-17207,7.96125334981242,2
51,clueweb09-en0007-42-22223,7.96045653423142,2
51,clueweb09-en0009-84-34320,7.94026239464755,1
51,clueweb09-en0006-61-04382,7.94004057232509,1
51,clueweb09-en0008-66-10852,7.9312408296748,1
51,clueweb09-en0002-05-26045,7.92389639956878,0
51,clueweb09-en0011-41-17286,7.9227494816,1
51,clueweb09-en0011-41-17257,7.91571462589916,1
51,clueweb09-en0011-94-02121,7.91452886371948,0
51,clueweb09-en0011-41-17250,7.91428161628569,0
51,clueweb09-en0004-16-06254,7.91262399611325,0
51,clueweb09-en0011-41-17271,7.90041724887338,0
51,clueweb09-en0003-93-25577,7.89982317176309,1
51,clueweb09-enwp00-93-16535,7.89257913103348,1
51,clueweb09-enwp01-56-17036,7.89257913103348,1
51,clueweb09-en0010-03-31177,7.89158940288181,0
51,clueweb09-enwp00-95-17841,7.89124557962662,1
51,clueweb09-enwp02-19-00937,7.89067345054099,1
51,clueweb09-enwp01-55-06136,7.89057939868317,1
