topic,doc,score,rel
51,clueweb09-en0007-89-20413,-5.42739444785609,1
51,clueweb09-en0003-03-11411,-5.77714898797684,1
51,clueweb09-en0007-17-32780,-5.81735536942846,1
51,clueweb09-en0007-78-06781,-5.96639106553879,0
51,clueweb09-en0009-22-08986,-5.98440949312523,0
51,clueweb09-en0008-64-12138,-6.19831933495897,0
51,clueweb09-en0007-81-08143,-6.3853394070084,1
51,clueweb09-en0001-69-21592,-6.50580407933362,0
51,clueweb09-en0000-82-32505,-6.57949546042293,0
51,clueweb09-en0007-15-05438,-6.63136727560448,0
51,clueweb09-en0007-49-30118,-6.63136727560448,0
51,clueweb09-en0007-58-07045,-6.63363740628261,0
51,clueweb09-en0007-51-16651,-6.65384019382893,0
51,clueweb09-en0007-18-19306,-6.65953824626728,0
51,clueweb09-en0008-66-10852,-6.66526879604165,1
51,clueweb09-en0000-96-09560,-6.68015746651244,0
51,clueweb09-en0007-15-05446,-6.70832841034443,0
51,clueweb09-en0007-43-29412,-6.72894771943813,0
51,clueweb09-en0007-89-20265,-6.73364610129463,0
51,clueweb09-en0004-16-06254,-6.74915031118039,0
51,clueweb09-en0007-15-05466,-6.88268170387359,0
51,clueweb09-en0007-15-05450,-6.91085257043878,0
51,clueweb09-en0007-15-05436,-6.91166924074528,0
51,clueweb09-en0004-77-30624,-6.91885642246958,1
51,clueweb09-en0010-15-00463,-6.9314719616122,0
51,clueweb09-en0008-85-35881,-6.93147211716552,0
51,clueweb09-en0008-81-08483,-6.97229404918746,0
51,clueweb09-en0001-80-26231,-6.97539107855686,0
51,clueweb09-en0005-82-02860,-6.98863032354137,0
51,clueweb09-en0007-89-20282,-7.01485347699309,0
51,clueweb09-en0004-77-30621,-7.02991195646861,0
51,clueweb09-en0008-88-23094,-7.04730366008846,2
51,clueweb09-en0006-35-33932,-7.0492548932786,0
51,clueweb09-en0007-15-05478,-7.06792295293422,0
51,clueweb09-en0007-49-30120,-7.06792295293422,0
51,clueweb09-en0008-85-35882,-7.08562257457637,0
51,clueweb09-en0008-56-28635,-7.10582531747548,0
51,clueweb09-en0002-07-18551,-7.10582531764571,0
