topic,doc,score,rel
51,clueweb09-en0037-16-18268,29.4076519481875,2
51,clueweb09-en0079-84-25789,29.4054154773176,1
51,clueweb09-en0014-05-23193,29.3964348946423,1
51,clueweb09-en0079-76-37482,29.3799746140196,0
51,clueweb09-en0087-25-22969,29.3799746140196,0
51,clueweb09-en0122-48-04059,29.355898864682,0
51,clueweb09-en0016-79-25759,29.3378781500207,2
51,clueweb09-en0054-79-13017,29.2828627467206,1
51,clueweb09-en0007-58-07045,29.1469278180101,0
51,clueweb09-en0036-40-12086,29.0992689480099,2
51,clueweb09-en0038-51-33785,29.0412314333942,3
51,clueweb09-en0128-12-18639,29.0412314333942,2
51,clueweb09-en0131-72-46448,29.0078528695825,1
51,clueweb09-en0040-02-21140,28.9210772394932,0
51,clueweb09-en0061-44-14791,28.9210772394932,1
51,clueweb09-en0096-53-37947,28.9029838326501,1
51,clueweb09-en0094-60-40971,28.8897296297024,1
51,clueweb09-en0026-77-09317,28.8755411915677,2
51,clueweb09-en0093-01-01638,28.8569900013848,1
51,clueweb09-en0060-87-20845,28.8273997564463,0
51,clueweb09-en0094-60-40973,28.8244764026561,0
51,clueweb09-en0064-31-27644,28.7942796393441,1
51,clueweb09-en0107-56-25382,28.7810692831674,0
51,clueweb09-en0011-41-17281,28.7763061140595,1
51,clueweb09-en0039-11-13043,28.7723427220283,0
51,clueweb09-en0097-15-08336,28.7679836816111,1
51,clueweb09-en0120-52-22426,28.7380235296685,0
51,clueweb09-en0078-60-24772,28.7066778141777,0
51,clueweb09-en0078-83-13305,28.7054345439489,1
51,clueweb09-en0100-80-12547,28.6984977918824,0
51,clueweb09-en0012-54-03282,28.685598300679,1
51,clueweb09-en0015-88-29735,28.6823625479213,0
51,clueweb09-en0092-00-03048,28.6675642235338,1
51,clueweb09-en0083-84-35886,28.6655290889856,0
51,clueweb09-en0084-43-08184,28.6655290889856,0
51,clueweb09-en0040-08-35086,28.6579589023125,2
51,clueweb09-en0116-88-12143,28.6553906035298,0
51,clueweb09-en0080-95-06298,28.6536681378575,1
51,clueweb09-en0066-06-31260,28.6510763986649,0
51,clueweb09-en0091-66-45121,28.6490626793984,1
51,clueweb09-en0010-86-27052,28.642604138621,1
51,clueweb09-en0093-25-09218,28.6403569796942,0
51,clueweb09-en0004-77-30624,28.6332892586551,1
51,clueweb09-en0062-59-17622,28.6290296886634,0
51,clueweb09-en0038-43-20950,28.6088202481998,2
51,clueweb09-en0080-33-37924,28.6088202481998,1
51,clueweb09-en0011-41-17207,28.6066064412353,2
51,clueweb09-en0047-29-06777,28.6066064412353,0
51,clueweb09-en0026-77-09289,28.604355875586,0
51,clueweb09-en0061-44-14790,28.604355875586,0
51,clueweb09-en0054-28-26035,28.6037218695542,0
51,clueweb09-en0073-03-21481,28.5977303314539,0
51,clueweb09-en0131-02-53384,28.5977303314539,0
51,clueweb09-en0131-72-32143,28.5943199920985,0
51,clueweb09-en0087-64-09275,28.5759985399182,1
51,clueweb09-en0133-71-23355,28.5739904221384,1
51,clueweb09-en0050-68-38202,28.5670656426594,3
51,clueweb09-en0062-38-24708,28.5630929612286,0
51,clueweb09-en0072-07-13393,28.5627808802012,0
51,clueweb09-en0076-23-40592,28.5579173965846,1
51,clueweb09-en0081-53-14707,28.5566398018061,0
51,clueweb09-en0072-32-29430,28.5421560297691,1
51,clueweb09-en0077-98-35575,28.5421560297691,1
51,clueweb09-en0079-83-16094,28.5364254553073,0
51,clueweb09-en0011-41-17278,28.5239524138604,1
51,clueweb09-en0080-61-28934,28.5103998997528,0
51,clueweb09-en0115-57-25348,28.509900174411,0
