topic,doc,score,rel
51,clueweb09-en0037-16-18268,29.408054398749,2
51,clueweb09-en0079-84-25789,29.4059266467512,1
51,clueweb09-en0014-05-23193,29.3960076485485,1
51,clueweb09-en0079-76-37482,29.3799746140196,0
51,clueweb09-en0087-25-22969,29.3799746140196,0
51,clueweb09-en0016-79-25759,29.338349265133,2
51,clueweb09-en0054-79-13017,29.2828627467206,1
51,clueweb09-en0007-58-07045,29.1465101086595,0
51,clueweb09-en0036-40-12086,29.0992689480099,2
51,clueweb09-en0038-51-33785,29.0417368807819,3
51,clueweb09-en0128-12-18639,29.0412314333942,2
51,clueweb09-en0131-72-46448,29.0083716684106,1
51,clueweb09-en0096-53-37947,28.9023029091882,1
51,clueweb09-en0026-77-09317,28.8755411915677,2
51,clueweb09-en0093-01-01638,28.8569900013848,1
51,clueweb09-en0060-87-20845,28.8277850408701,0
51,clueweb09-en0094-60-40973,28.8244764026561,0
51,clueweb09-en0064-31-27644,28.7951722785043,1
51,clueweb09-en0011-41-17281,28.7763061140595,1
51,clueweb09-en0039-11-13043,28.7732258244453,0
51,clueweb09-en0097-15-08336,28.7679836816111,1
51,clueweb09-en0078-83-13305,28.7054345439489,1
51,clueweb09-en0012-54-03282,28.685598300679,1
51,clueweb09-en0015-88-29735,28.6823625479213,0
51,clueweb09-en0092-00-03048,28.6675642235338,1
51,clueweb09-en0083-84-35886,28.6655290889856,0
51,clueweb09-en0084-43-08184,28.6655290889856,0
51,clueweb09-en0040-08-35086,28.6573542727959,2
51,clueweb09-en0116-88-12143,28.6557625365132,0
51,clueweb09-en0080-95-06298,28.65307876713,1
51,clueweb09-en0066-06-31260,28.6510763986649,0
51,clueweb09-en0010-86-27052,28.642604138621,1
51,clueweb09-en0093-25-09218,28.6403569796942,0
51,clueweb09-en0062-59-17622,28.6290296886634,0
51,clueweb09-en0011-41-17207,28.6066064412353,2
51,clueweb09-en0047-29-06777,28.6066064412353,0
51,clueweb09-en0054-28-26035,28.6037218695542,0
51,clueweb09-en0087-64-09275,28.57578682422,1
51,clueweb09-en0133-71-23355,28.5739904221384,1
51,clueweb09-en0050-68-38202,28.5670656426594,3
51,clueweb09-en0076-23-40592,28.5579173965846,1
51,clueweb09-en0072-32-29430,28.5421693812095,1
51,clueweb09-en0077-98-35575,28.5421560297691,1
51,clueweb09-en0079-83-16094,28.5364254553073,0
51,clueweb09-en0066-06-31258,28.4645103357334,0
51,clueweb09-en0106-17-22664,28.4608082601204,0
51,clueweb09-en0061-44-14823,28.4566968367666,0
51,clueweb09-en0133-98-40361,28.4566968367666,0
51,clueweb09-en0009-85-39698,28.4556510569433,1
51,clueweb09-en0033-86-32886,28.4367744046773,0
