topic,doc,score,rel
51,clueweb09-en0030-88-10894,10000,0
51,clueweb09-en0087-64-09275,9999,1
51,clueweb09-en0050-44-03519,9998,1
51,clueweb09-en0042-04-02334,9997,0
51,clueweb09-en0007-89-20264,9996,1
51,clueweb09-en0127-52-21482,9995,1
51,clueweb09-en0009-75-38683,9994,1
51,clueweb09-en0035-02-35262,9993,1
51,clueweb09-en0030-65-32869,9992,1
51,clueweb09-en0123-50-27074,9991,2
51,clueweb09-en0050-83-28797,9990,1
51,clueweb09-en0016-99-33090,9989,1
51,clueweb09-en0016-19-24681,9988,2
51,clueweb09-en0065-20-33465,9987,0
51,clueweb09-en0080-95-06298,9986,1
51,clueweb09-en0015-88-12981,9985,0
51,clueweb09-en0078-25-12064,9984,0
51,clueweb09-en0091-66-45121,9983,1
51,clueweb09-en0007-89-20413,9982,1
51,clueweb09-en0054-79-13017,9981,1
51,clueweb09-en0047-29-06768,9980,1
51,clueweb09-en0131-72-46448,9979,1
51,clueweb09-en0007-81-08143,9978,1
51,clueweb09-en0049-16-41358,9977,2
51,clueweb09-en0030-65-32974,9976,0
51,clueweb09-en0001-12-06884,9975,1
51,clueweb09-en0076-52-27073,9974,1
51,clueweb09-en0076-52-27078,9973,1
51,clueweb09-en0102-66-28787,9972,0
51,clueweb09-en0039-11-13043,9971,0
51,clueweb09-en0060-87-20845,9970,0
51,clueweb09-en0072-32-29430,9969,1
51,clueweb09-en0106-21-40292,9968,1
51,clueweb09-en0077-98-35575,9967,1
51,clueweb09-en0093-06-11125,9966,0
51,clueweb09-en0007-17-32780,9965,1
51,clueweb09-en0119-23-36064,9964,0
51,clueweb09-en0010-86-27052,9963,1
51,clueweb09-en0130-65-12348,9962,0
51,clueweb09-en0107-56-25382,9961,0
51,clueweb09-en0040-02-21140,9960,0
51,clueweb09-en0061-44-14791,9959,1
51,clueweb09-en0072-07-13393,9958,0
51,clueweb09-en0044-43-10913,9957,0
51,clueweb09-en0029-96-05585,9956,0
51,clueweb09-en0127-10-06510,9955,0
51,clueweb09-en0092-00-03048,9954,1
51,clueweb09-en0122-48-04059,9953,0
51,clueweb09-en0016-87-07931,9952,0
51,clueweb09-en0130-53-32630,9951,0
51,clueweb09-en0087-18-13820,9950,0
51,clueweb09-en0040-08-35086,9949,2
51,clueweb09-en0022-01-20602,9948,0
51,clueweb09-en0050-68-38202,9947,3
51,clueweb09-en0037-01-13128,9946,0
51,clueweb09-en0016-57-25143,9945,0
51,clueweb09-en0037-69-19022,9944,0
51,clueweb09-en0012-54-03282,9943,1
51,clueweb09-en0096-53-37947,9942,1
51,clueweb09-en0051-38-02769,9941,0
51,clueweb09-en0121-49-04533,9940,0
51,clueweb09-en0038-56-12717,9939,0
51,clueweb09-en0133-90-15067,9938,2
51,clueweb09-en0082-48-16370,9937,0
51,clueweb09-en0133-98-40361,9936,0
51,clueweb09-en0008-85-35877,9935,0
51,clueweb09-en0061-44-14823,9934,0
51,clueweb09-en0051-83-10628,9933,0
51,clueweb09-en0039-91-14735,9932,1
51,clueweb09-en0004-77-30624,9931,1
51,clueweb09-en0073-71-05333,9930,0
51,clueweb09-en0034-73-29197,9929,0
51,clueweb09-en0038-56-12863,9928,0
51,clueweb09-en0022-59-33995,9927,1
51,clueweb09-en0086-48-30464,9926,1
51,clueweb09-en0092-00-02992,9925,0
51,clueweb09-en0022-59-33997,9924,0
51,clueweb09-en0004-16-06254,9923,0
51,clueweb09-en0025-28-05005,9922,1
51,clueweb09-en0020-77-19101,9921,0
51,clueweb09-en0024-23-01350,9920,0
51,clueweb09-en0036-57-29089,9919,0
51,clueweb09-en0004-36-39733,9918,1
51,clueweb09-en0016-57-25039,9917,0
51,clueweb09-en0014-05-23193,9916,1
51,clueweb09-en0038-56-12887,9915,0
51,clueweb09-en0127-10-06512,9914,0
51,clueweb09-en0038-52-28201,9913,0
51,clueweb09-en0007-42-22223,9912,2
51,clueweb09-en0030-65-32907,9911,0
51,clueweb09-en0045-07-00644,9910,0
51,clueweb09-en0078-60-24772,9909,0
51,clueweb09-en0130-73-13986,9908,0
51,clueweb09-en0036-11-35873,9907,0
51,clueweb09-en0091-82-07487,9906,0
51,clueweb09-en0036-23-32225,9905,0
51,clueweb09-en0092-26-25838,9904,0
51,clueweb09-en0074-03-38337,9903,0
51,clueweb09-en0031-77-00213,9902,0
51,clueweb09-en0065-57-03557,9901,0
51,clueweb09-en0054-28-26035,9900,0
51,clueweb09-en0018-28-06124,9899,0
51,clueweb09-en0112-96-09336,9898,0
51,clueweb09-en0061-23-16571,9897,0
51,clueweb09-en0049-05-07862,9896,0
51,clueweb09-en0016-79-25759,9895,2
51,clueweb09-en0031-74-33549,9894,0
51,clueweb09-en0133-71-23355,9893,1
