topic,doc,score,rel
51,clueweb09-en0001-55-24197,12.1565001381277,0
51,clueweb09-en0001-55-24115,11.4157567909511,0
51,clueweb09-en0002-80-36544,6.4976165388644,0
51,clueweb09-en0010-52-16021,6.26857056820783,0
51,clueweb09-en0002-80-35778,6.09178961109664,0
51,clueweb09-en0011-38-00988,5.47714747629369,0
51,clueweb09-en0008-73-10401,4.92108711004464,0
51,clueweb09-en0011-38-00982,4.46112230591079,0
51,clueweb09-en0011-96-09369,4.10813391977048,0
51,clueweb09-en0005-66-22586,3.85091865855984,0
51,clueweb09-en0008-36-31886,3.75594657065237,0
51,clueweb09-en0011-21-19854,3.59280552675579,0
51,clueweb09-en0007-81-39441,3.40825790100187,1
51,clueweb09-en0003-09-20360,3.33314749416302,0
51,clueweb09-en0005-34-23903,3.14132420462816,0
51,clueweb09-en0007-68-17599,3.02666282009298,0
51,clueweb09-en0008-21-20990,3.01128770310315,0
51,clueweb09-en0008-83-35779,2.97537726367149,0
51,clueweb09-en0000-16-19379,2.97062878230604,0
51,clueweb09-en0006-51-16170,2.95501011683402,0
51,clueweb09-en0008-16-19299,2.90373568448565,0
51,clueweb09-en0007-89-20452,2.90113863691289,0
51,clueweb09-en0008-83-35706,2.90062260350107,0
51,clueweb09-en0001-31-22837,2.84327603533987,0
51,clueweb09-en0005-34-23842,2.82980758572369,0
51,clueweb09-en0008-16-19293,2.79360362063448,0
51,clueweb09-en0009-41-23568,2.7163266097773,0
51,clueweb09-en0010-77-09633,2.69389558281395,0
51,clueweb09-en0008-16-18724,2.69313002320219,0
51,clueweb09-en0004-97-17284,2.67565351034708,0
51,clueweb09-en0010-63-15638,2.67337157203783,0
51,clueweb09-en0007-89-20491,2.66814401768635,0
51,clueweb09-en0006-60-17916,2.65306766902779,0
51,clueweb09-en0001-66-13514,2.61190455939836,0
51,clueweb09-en0004-62-26322,2.58942723246785,0
51,clueweb09-en0010-43-38540,2.58916742882465,0
51,clueweb09-en0005-31-09071,2.58547499093654,0
51,clueweb09-en0007-89-20454,2.57379626786405,0
51,clueweb09-en0001-28-01149,2.56111096640457,0
51,clueweb09-en0004-69-09799,2.5469283386126,0
51,clueweb09-en0005-90-21710,2.52289802578462,0
51,clueweb09-en0001-89-31590,2.50418861582229,0
51,clueweb09-en0008-67-07241,2.45164199653807,0
51,clueweb09-en0000-54-02234,2.44202303920624,0
51,clueweb09-en0004-93-10594,2.42655227447136,0
51,clueweb09-en0002-80-36319,2.42016010771513,0
51,clueweb09-en0008-14-01621,2.41559864474606,0
51,clueweb09-en0002-80-36085,2.4112261307392,0
51,clueweb09-en0007-89-17507,2.40574167070318,0
51,clueweb09-en0007-15-05425,2.40296787689265,0
51,clueweb09-en0006-79-31996,2.39709753013637,0
51,clueweb09-en0000-54-02239,2.3912318243082,0
51,clueweb09-en0008-22-15957,2.33926547948977,0
51,clueweb09-en0011-85-20305,2.27386937199278,0
51,clueweb09-en0009-70-28589,2.24447742450871,0
51,clueweb09-en0004-01-33648,2.23344246075107,0
51,clueweb09-en0009-31-16813,2.23040421811702,0
51,clueweb09-en0005-39-13633,2.22462486889473,0
51,clueweb09-en0008-42-28802,2.20315221653995,0
51,clueweb09-en0011-99-32611,2.19112394184325,0
51,clueweb09-en0008-69-19564,2.1827443636632,0
51,clueweb09-en0008-42-28819,2.17717566046075,0
51,clueweb09-en0006-33-39146,2.16973021717372,0
51,clueweb09-en0008-42-28846,2.16946697098786,0
51,clueweb09-en0010-67-27618,2.16654478566523,0
51,clueweb09-en0007-45-04949,2.16011494473348,0
51,clueweb09-en0010-67-31960,2.15475200860122,0
51,clueweb09-en0000-91-10752,2.15075269122179,0
51,clueweb09-en0001-08-20445,2.14384464290753,0
51,clueweb09-en0007-86-24117,2.12888033536305,0
51,clueweb09-en0000-91-10792,2.12250387508159,0
51,clueweb09-en0000-54-02406,2.12216981045272,0
51,clueweb09-en0001-86-05070,2.0902273964621,0
51,clueweb09-en0011-13-01369,2.08540505110643,0
51,clueweb09-en0008-54-26323,2.08400605446109,0
51,clueweb09-en0009-74-34043,2.05968009523546,0
51,clueweb09-en0009-55-06858,2.05881221662308,0
51,clueweb09-en0005-19-41323,2.04846391458087,0
51,clueweb09-en0008-73-10492,2.04788899109267,0
51,clueweb09-en0007-77-16504,2.04469010105092,0
51,clueweb09-en0006-04-32217,2.0285325891856,0
51,clueweb09-en0009-15-03170,2.02027522395605,0
51,clueweb09-en0008-14-01622,2.01911756816872,0
51,clueweb09-en0008-42-28693,2.01688798072054,0
51,clueweb09-en0011-78-00591,2.01336276183496,0
51,clueweb09-en0001-03-19222,2.0107165178167,0
51,clueweb09-en0008-29-10666,2.01027827370007,0
51,clueweb09-en0011-93-05388,2.00505577227781,0
51,clueweb09-en0007-77-16513,2.00452759166918,0
51,clueweb09-en0000-91-10576,1.9996653535286,0
51,clueweb09-en0007-43-07554,1.9995983536451,0
51,clueweb09-en0008-67-07082,1.99830770491301,0
51,clueweb09-en0004-71-19456,1.99376812063547,0
51,clueweb09-en0008-32-06337,1.99097890462755,0
51,clueweb09-en0008-16-18697,1.98793568603841,0
51,clueweb09-en0011-92-00328,1.98497005563688,0
51,clueweb09-en0008-99-11054,1.97868021165427,0
51,clueweb09-en0008-21-20244,1.9781157275472,0
51,clueweb09-en0010-52-27203,1.97619550446585,0
51,clueweb09-en0005-05-06752,1.97440083168638,0
51,clueweb09-en0004-71-19540,1.96841614095982,0
51,clueweb09-en0008-42-28803,1.9642975089042,0
51,clueweb09-en0008-08-22128,1.95946280229676,0
51,clueweb09-en0008-28-22749,1.95633248749122,0
51,clueweb09-en0008-36-07060,1.95319138148579,0
51,clueweb09-en0006-04-32214,1.9465918907398,0
51,clueweb09-en0007-89-20494,1.94482712457488,0
51,clueweb09-en0006-19-26122,1.9444467350279,0
51,clueweb09-en0006-68-05612,1.9413654684461,0
51,clueweb09-en0008-08-22139,1.93987607594329,0
51,clueweb09-en0000-31-02061,1.93453830942875,0
51,clueweb09-en0009-28-11511,1.93370490688989,0
51,clueweb09-en0007-57-05544,1.92810510495051,0
51,clueweb09-en0002-12-00315,1.92742727870779,0
51,clueweb09-en0007-29-31055,1.92728859146689,0
51,clueweb09-en0010-11-25644,1.92012032779091,0
51,clueweb09-en0007-45-05074,1.91942836944028,0
51,clueweb09-en0005-34-23918,1.91499304412342,0
51,clueweb09-en0004-91-12541,1.90915852595976,0
51,clueweb09-en0008-56-28638,1.90786347050144,0
51,clueweb09-en0008-42-28808,1.90424309408233,0
51,clueweb09-en0007-29-30625,1.90194436760908,0
51,clueweb09-en0011-88-03743,1.8988621557098,0
51,clueweb09-en0001-24-15299,1.89158660962621,0
51,clueweb09-en0003-53-12996,1.88645077786372,0
51,clueweb09-en0007-77-16517,1.88531200421303,0
51,clueweb09-en0008-08-22114,1.88218384493244,0
51,clueweb09-en0005-34-23926,1.88198316278075,0
51,clueweb09-en0007-57-33705,1.88082971163243,0
51,clueweb09-en0001-68-24420,1.87818600380545,0
51,clueweb09-en0007-77-16516,1.87801083842899,0
51,clueweb09-en0008-42-28813,1.87684624589016,0
51,clueweb09-en0008-14-01880,1.8760733424071,0
51,clueweb09-en0011-71-06927,1.8749268391848,0
51,clueweb09-en0007-61-06159,1.87406420784021,0
51,clueweb09-en0008-21-20261,1.87169931558362,0
51,clueweb09-en0006-52-19658,1.87102110643961,0
51,clueweb09-en0005-36-03539,1.86295651371453,0
51,clueweb09-en0005-34-23930,1.85835672845577,0
51,clueweb09-en0005-34-23929,1.85220969271189,0
51,clueweb09-en0001-70-01511,1.85010575956935,0
