topic,doc,score,rel
51,clueweb09-en0007-17-32780,1.23202782931354,1
51,clueweb09-en0004-77-30624,1.15562152133581,1
51,clueweb09-en0007-89-20264,1.14683673469388,1
51,clueweb09-en0000-81-00258,1.13334570191713,0
51,clueweb09-en0010-85-28651,1.11272366522367,0
51,clueweb09-en0003-03-11411,1.10545454545455,1
51,clueweb09-en0007-89-20413,1.1036443148688,1
51,clueweb09-en0011-41-17278,1.09736549165121,1
51,clueweb09-en0011-69-21571,1.08352504638219,1
51,clueweb09-en0011-41-17281,1.06988126159555,1
51,clueweb09-en0011-41-17214,1.06307977736549,1
51,clueweb09-en0011-41-17250,1.04207792207792,0
51,clueweb09-en0008-43-16164,1.01031539888683,3
51,clueweb09-en0004-16-06254,1.00482962275819,0
51,clueweb09-en0011-10-04505,0.963961038961039,1
51,clueweb09-en0009-22-08986,0.96378478664193,0
51,clueweb09-en0007-42-22223,0.959777365491651,2
51,clueweb09-en0001-12-06884,0.931836734693878,1
51,clueweb09-en0000-82-32505,0.930454545454545,0
51,clueweb09-en0006-51-16125,0.870227272727273,1
51,clueweb09-en0009-75-38683,0.85012987012987,1
51,clueweb09-en0001-69-21592,0.81219696969697,0
51,clueweb09-en0011-41-17189,0.809053803339518,0
51,clueweb09-en0011-41-17254,0.801818181818182,0
51,clueweb09-en0006-67-29605,0.779090909090909,0
51,clueweb09-enwp00-24-05847,0.769647495361781,1
51,clueweb09-enwp00-31-05923,0.766011131725417,1
51,clueweb09-enwp00-23-05499,0.764192949907236,1
51,clueweb09-enwp00-23-05500,0.762486085343228,1
51,clueweb09-enwp00-27-06293,0.75873840445269,1
51,clueweb09-en0008-64-12138,0.742597402597403,0
51,clueweb09-en0007-81-08143,0.722634508348794,1
51,clueweb09-en0008-66-10852,0.720371057513915,1
51,clueweb09-en0004-36-39733,0.71847866419295,1
51,clueweb09-en0008-37-05398,0.7169573283859,0
51,clueweb09-en0006-61-04354,0.715547309833024,2
51,clueweb09-en0001-12-06930,0.706233766233766,0
51,clueweb09-en0011-33-03549,0.681060606060606,0
51,clueweb09-en0002-05-26045,0.659628942486085,0
51,clueweb09-en0003-93-25577,0.658552875695733,1
51,clueweb09-en0008-88-23094,0.658404452690167,2
51,clueweb09-en0001-74-37938,0.656287878787879,0
51,clueweb09-en0009-85-39698,0.644192949907236,1
51,clueweb09-en0011-41-17252,0.644166666666667,0
51,clueweb09-en0004-09-26101,0.6430426716141,0
51,clueweb09-en0009-84-34320,0.640890538033395,1
51,clueweb09-en0011-41-17273,0.626085343228201,0
51,clueweb09-en0007-09-25334,0.625454545454545,0
51,clueweb09-en0011-41-17253,0.623560606060606,0
51,clueweb09-en0010-34-43663,0.618589981447124,0
51,clueweb09-en0001-95-29833,0.615918367346939,0
51,clueweb09-en0011-41-17207,0.607829313543599,2
51,clueweb09-en0002-80-35729,0.588841991341991,0
51,clueweb09-en0011-41-17251,0.588787878787879,0
51,clueweb09-en0006-48-02867,0.58682745825603,1
51,clueweb09-en0008-42-06337,0.578627087198516,1
51,clueweb09-en0001-12-06928,0.568237476808905,0
51,clueweb09-en0010-49-39017,0.551515151515152,0
51,clueweb09-en0001-41-17450,0.545046382189239,0
51,clueweb09-en0010-49-39026,0.541818181818182,0
51,clueweb09-en0008-59-04222,0.540296846011132,0
51,clueweb09-en0010-37-28468,0.534318181818182,0
51,clueweb09-en0008-66-10855,0.531762523191095,0
51,clueweb09-en0007-89-20265,0.526196660482375,0
51,clueweb09-en0001-12-06954,0.524526901669759,0
51,clueweb09-en0005-19-11234,0.517179962894249,1
51,clueweb09-en0007-83-23277,0.511969696969697,0
51,clueweb09-en0011-56-07362,0.496439393939394,0
51,clueweb09-en0008-56-28642,0.490241187384045,0
51,clueweb09-en0007-15-05471,0.488831168831169,0
51,clueweb09-en0010-30-03927,0.488237476808905,0
51,clueweb09-en0011-41-17215,0.482894248608534,0
51,clueweb09-en0011-33-03551,0.480227272727273,0
51,clueweb09-en0006-61-04382,0.479925788497217,1
51,clueweb09-en0007-49-30125,0.479443413729128,0
51,clueweb09-en0011-41-17271,0.471243042671614,0
51,clueweb09-en0011-41-17284,0.46834879406308,0
51,clueweb09-en0011-41-17257,0.463005565862709,1
51,clueweb09-en0010-85-41384,0.460984848484848,0
51,clueweb09-en0008-66-10870,0.45974025974026,0
51,clueweb09-en0002-44-16527,0.456363636363636,0
51,clueweb09-en0010-40-24957,0.453358070500928,0
51,clueweb09-en0007-83-23270,0.452615955473098,0
51,clueweb09-en0008-38-14639,0.450352504638219,0
51,clueweb09-en0010-86-12783,0.448030303030303,0
51,clueweb09-en0000-96-09552,0.443888373531231,0
51,clueweb09-en0003-45-29390,0.443407544836116,0
51,clueweb09-en0010-49-39016,0.441818181818182,0
51,clueweb09-en0000-22-12511,0.4375,0
51,clueweb09-en0003-57-16902,0.434359925788497,1
51,clueweb09-en0008-73-10201,0.433333333333333,0
51,clueweb09-en0007-15-05482,0.430352504638219,0
51,clueweb09-enwp00-95-17841,0.421669758812616,1
51,clueweb09-en0007-15-05450,0.420556586270872,0
51,clueweb09-en0011-41-17292,0.41595547309833,1
51,clueweb09-en0007-78-06781,0.414545454545455,0
51,clueweb09-enwp01-55-06136,0.41443413729128,1
51,clueweb09-en0007-15-05475,0.411762523191095,0
51,clueweb09-enwp02-05-03600,0.40530303030303,1
51,clueweb09-enwp02-19-00937,0.404786641929499,1
51,clueweb09-en0007-15-05449,0.403970315398887,0
51,clueweb09-en0008-32-08511,0.403896103896104,1
51,clueweb09-en0007-43-29412,0.403636363636364,0
51,clueweb09-en0007-49-30118,0.399724799010513,0
51,clueweb09-en0011-41-17249,0.397121212121212,0
51,clueweb09-enwp00-93-16535,0.39595547309833,1
51,clueweb09-en0006-78-11502,0.395473098330241,0
51,clueweb09-en0008-16-18962,0.392727272727273,0
51,clueweb09-enwp01-56-17036,0.390278293135436,1
51,clueweb09-en0010-71-31244,0.387121212121212,0
51,clueweb09-en0010-86-27052,0.385075757575758,1
51,clueweb09-en0007-49-30121,0.38404452690167,0
51,clueweb09-en0007-89-20284,0.381298701298701,1
51,clueweb09-en0007-15-05438,0.380783858998145,0
51,clueweb09-en0007-15-05425,0.380333951762523,0
51,clueweb09-en0007-49-30120,0.372356215213358,0
51,clueweb09-en0011-33-03548,0.372167594310451,0
51,clueweb09-en0007-15-05437,0.370204081632653,0
51,clueweb09-en0011-41-17286,0.365491651205937,1
51,clueweb09-en0007-15-05445,0.363636363636364,0
51,clueweb09-en0011-94-02121,0.359925788497217,0
51,clueweb09-en0009-56-10202,0.357960729746444,0
51,clueweb09-en0011-41-17187,0.356666666666667,0
51,clueweb09-en0006-22-29481,0.353560606060606,0
51,clueweb09-en0010-49-39037,0.352727272727273,0
51,clueweb09-en0011-50-29077,0.351873840445269,0
51,clueweb09-en0007-49-30123,0.349393939393939,0
51,clueweb09-en0007-15-05466,0.347424242424242,0
51,clueweb09-en0009-29-19804,0.345083487940631,0
51,clueweb09-en0002-80-35979,0.342634508348794,0
51,clueweb09-en0007-15-05434,0.342040816326531,0
51,clueweb09-en0006-22-29491,0.341372912801484,0
51,clueweb09-en0008-66-10851,0.341372912801484,0
51,clueweb09-en0010-49-39022,0.340408163265306,0
51,clueweb09-en0007-49-30114,0.339517625231911,0
51,clueweb09-en0007-89-20422,0.339517625231911,0
51,clueweb09-en0010-03-31177,0.335429808286951,0
51,clueweb09-en0002-76-00419,0.335211811997526,0
51,clueweb09-en0008-96-11286,0.333648732220161,0
51,clueweb09-en0007-15-05478,0.33139146567718,0
51,clueweb09-en0010-49-39027,0.331020408163265,0
51,clueweb09-en0008-07-07479,0.327903525046382,0
51,clueweb09-en0008-67-07077,0.326530612244898,0
51,clueweb09-en0010-18-18853,0.324959802102659,0
51,clueweb09-en0007-15-05439,0.324675324675325,0
51,clueweb09-en0007-21-38632,0.323673469387755,0
51,clueweb09-en0005-07-16868,0.322337662337662,0
51,clueweb09-en0007-15-05451,0.315398886827458,0
51,clueweb09-enwp00-41-17358,0.314471243042672,1
51,clueweb09-en0003-93-25576,0.312954545454545,0
51,clueweb09-en0009-30-04040,0.311688311688312,1
51,clueweb09-en0007-15-05481,0.311420841063698,0
51,clueweb09-en0007-15-05428,0.309833024118738,0
51,clueweb09-en0006-15-09851,0.308905380333952,0
51,clueweb09-en0007-15-05442,0.305233457019171,0
51,clueweb09-en0011-41-17199,0.304095547309833,0
51,clueweb09-enwp00-83-16491,0.3032622139765,0
51,clueweb09-en0008-09-05562,0.301558441558442,0
51,clueweb09-en0011-88-03739,0.301522881880025,1
51,clueweb09-en0000-25-12953,0.300286023500309,0
51,clueweb09-en0007-15-05436,0.298922387136673,0
51,clueweb09-en0001-84-19365,0.298701298701299,0
51,clueweb09-en0010-85-28660,0.298701298701299,0
51,clueweb09-enwp00-43-17002,0.29580241187384,0
51,clueweb09-en0007-15-05432,0.294990723562152,0
51,clueweb09-en0011-41-17268,0.294990723562152,1
51,clueweb09-en0009-95-12118,0.294874768089054,0
51,clueweb09-en0011-41-17264,0.29182745825603,0
51,clueweb09-en0008-09-05561,0.290612244897959,0
51,clueweb09-en0011-52-07344,0.290500927643785,0
51,clueweb09-en0008-81-08483,0.29038961038961,0
51,clueweb09-en0007-15-05452,0.287575757575758,0
51,clueweb09-en0005-53-34806,0.28530612244898,0
51,clueweb09-en0002-05-37786,0.285194805194805,0
51,clueweb09-en0001-86-05061,0.283858998144712,0
51,clueweb09-en0001-93-23513,0.283005565862709,0
51,clueweb09-en0009-56-10176,0.281637291280148,0
51,clueweb09-en0001-12-06874,0.279848484848485,0
51,clueweb09-en0008-85-35877,0.279220779220779,0
51,clueweb09-en0001-32-20034,0.278293135435993,0
51,clueweb09-en0007-15-05470,0.27821583178726,0
51,clueweb09-en0007-15-05448,0.275316944959802,0
51,clueweb09-en0007-83-23259,0.270871985157699,1
51,clueweb09-en0008-73-10199,0.270871985157699,0
51,clueweb09-en0007-15-05441,0.270756029684601,0
51,clueweb09-en0011-41-17258,0.27,0
51,clueweb09-enwp01-99-17450,0.269789734075448,0
51,clueweb09-en0008-52-10038,0.26808905380334,0
51,clueweb09-en0011-91-32012,0.266679035250464,0
51,clueweb09-en0004-60-25953,0.266202844774273,0
51,clueweb09-en0007-49-30124,0.263025664811379,0
51,clueweb09-en0007-49-30116,0.261595547309833,0
51,clueweb09-en0007-15-05433,0.26132498453927,0
51,clueweb09-en0007-15-05435,0.260358688930117,0
51,clueweb09-en0007-15-05483,0.25974025974026,0
51,clueweb09-en0002-88-29342,0.259585652442795,0
51,clueweb09-en0011-24-36260,0.258967223252938,0
51,clueweb09-en0006-47-26813,0.257498453927025,0
51,clueweb09-en0009-63-08917,0.25417439703154,0
51,clueweb09-en0011-21-30463,0.252473716759431,0
51,clueweb09-en0006-35-33932,0.250068027210884,0
51,clueweb09-en0007-89-20248,0.24860853432282,0
51,clueweb09-en0010-49-39020,0.247050092764378,0
51,clueweb09-en0011-39-20427,0.243893011750155,0
51,clueweb09-en0007-50-08490,0.243699752628324,0
51,clueweb09-en0002-88-29306,0.243470933828077,0
51,clueweb09-en0005-11-11104,0.24330241187384,0
51,clueweb09-en0011-65-08443,0.243079777365492,0
51,clueweb09-en0011-41-17298,0.241187384044527,0
51,clueweb09-en0010-58-36005,0.239332096474954,0
51,clueweb09-en0004-77-30622,0.237901978973408,0
51,clueweb09-en0001-01-18108,0.23747680890538,0
51,clueweb09-en0007-15-05473,0.237206246134818,0
51,clueweb09-en0007-15-05440,0.237051638837353,0
51,clueweb09-en0002-80-35893,0.235556586270872,0
51,clueweb09-en0007-49-30127,0.235466914038343,0
51,clueweb09-en0008-85-35882,0.235089672232529,0
51,clueweb09-en0010-49-39018,0.233951762523191,0
51,clueweb09-en0010-15-00463,0.231725417439703,0
51,clueweb09-en0007-15-05480,0.230055658627087,0
51,clueweb09-en0008-85-35879,0.229833024118738,0
51,clueweb09-en0004-77-14109,0.228200371057514,0
51,clueweb09-en0004-79-21106,0.228140074211503,0
51,clueweb09-en0004-27-24037,0.226530612244898,0
51,clueweb09-en0002-54-24607,0.226222943722944,0
51,clueweb09-en0011-65-08450,0.225454545454545,0
51,clueweb09-en0003-58-24404,0.224528447742733,0
51,clueweb09-en0011-65-08441,0.223636363636364,0
51,clueweb09-en0009-99-22949,0.222518552875696,0
51,clueweb09-en0010-85-28652,0.222247990105133,0
51,clueweb09-en0010-42-18001,0.218923933209647,0
51,clueweb09-en0007-15-05444,0.217068645640074,0
51,clueweb09-en0008-48-14929,0.215909090909091,0
51,clueweb09-en0010-34-43468,0.215754483611626,0
51,clueweb09-en0001-01-18098,0.215213358070501,0
51,clueweb09-en0007-15-05469,0.213358070500928,0
51,clueweb09-en0007-89-20340,0.213358070500928,0
51,clueweb09-en0007-71-02954,0.212662337662338,0
51,clueweb09-en0011-41-17217,0.212430426716141,0
51,clueweb09-en0001-01-18078,0.212159863945578,0
51,clueweb09-en0010-49-39033,0.212096474953618,0
51,clueweb09-en0004-77-30621,0.211657390228819,0
51,clueweb09-en0007-49-30119,0.211502782931354,0
51,clueweb09-en0011-41-17301,0.210768398268398,0
51,clueweb09-en0008-32-08471,0.210691094619666,1
51,clueweb09-en0000-25-12966,0.210420531849103,0
51,clueweb09-en0001-70-16907,0.20926097711812,0
51,clueweb09-en0001-12-06933,0.208758503401361,0
51,clueweb09-en0008-65-06241,0.208642547928262,0
51,clueweb09-en0002-88-29308,0.207521645021645,0
51,clueweb09-en0006-84-23439,0.206594001236858,0
51,clueweb09-en0007-89-20393,0.206594001236858,0
51,clueweb09-en0011-41-17263,0.206096165739023,0
51,clueweb09-en0002-79-23132,0.206011131725417,0
51,clueweb09-en0001-80-26231,0.205936920222634,0
51,clueweb09-en0010-86-27053,0.205728200371057,1
51,clueweb09-en0007-15-05446,0.205313852813853,0
51,clueweb09-en0009-70-28576,0.204931972789116,0
51,clueweb09-en0001-21-25404,0.204854669140383,0
51,clueweb09-en0007-15-05456,0.203115337043908,0
51,clueweb09-en0008-14-01793,0.202844774273346,1
51,clueweb09-en0006-32-10601,0.202342300556586,0
51,clueweb09-en0007-15-05430,0.202187693259122,0
51,clueweb09-en0009-67-27379,0.201801175015461,0
51,clueweb09-en0000-25-13010,0.201105442176871,0
51,clueweb09-en0007-15-05431,0.201105442176871,0
51,clueweb09-en0007-15-05468,0.200371057513915,0
51,clueweb09-en0000-25-12924,0.19952071737786,0
51,clueweb09-en0007-18-37400,0.19952071737786,0
51,clueweb09-en0001-55-24375,0.199056895485467,0
51,clueweb09-en0010-22-01963,0.198902288188002,0
51,clueweb09-en0009-75-38681,0.198515769944341,0
51,clueweb09-en0009-61-13760,0.198013296227582,0
51,clueweb09-en0008-65-06270,0.197124304267161,0
51,clueweb09-en0003-98-02602,0.196931045145331,0
51,clueweb09-en0005-77-36966,0.196660482374768,0
51,clueweb09-en0008-42-06336,0.195269016697588,0
51,clueweb09-en0009-29-19817,0.194959802102659,0
51,clueweb09-en0004-70-26881,0.193684291898578,0
51,clueweb09-en0010-87-16855,0.193297773654917,0
51,clueweb09-en0001-01-17957,0.192949907235621,1
51,clueweb09-en0008-66-10895,0.19256338899196,0
51,clueweb09-en0001-32-19917,0.187113481756339,0
51,clueweb09-en0005-62-15190,0.186864564007421,0
51,clueweb09-en0003-43-36609,0.185528756957328,0
51,clueweb09-en0005-03-15449,0.185528756957328,0
51,clueweb09-en0003-93-25578,0.184485157699443,0
51,clueweb09-en0010-00-25154,0.184446505875077,0
51,clueweb09-en0009-15-01855,0.184098639455782,0
51,clueweb09-en0008-98-17071,0.183673469387755,0
51,clueweb09-en0005-29-27453,0.18262987012987,0
51,clueweb09-en0010-97-31884,0.181818181818182,0
51,clueweb09-en0011-40-20035,0.180890538033395,0
51,clueweb09-en0006-75-18219,0.180233457019171,0
51,clueweb09-en0007-66-09311,0.179109461966605,0
51,clueweb09-en0006-61-04355,0.179073902288188,0
51,clueweb09-en0007-89-20309,0.178223562152134,0
51,clueweb09-en0008-98-17068,0.178144712430427,0
51,clueweb09-en0001-12-06879,0.177373222016079,0
51,clueweb09-en0000-25-12996,0.177179962894249,0
51,clueweb09-en0009-63-08922,0.176909400123686,0
51,clueweb09-en0008-98-16941,0.176252319109462,0
51,clueweb09-enwp00-46-17450,0.176252319109462,0
51,clueweb09-enwp01-64-20952,0.175324675324675,0
51,clueweb09-en0002-80-36071,0.174744897959184,0
51,clueweb09-en0001-01-17996,0.1735853432282,0
51,clueweb09-en0007-15-05429,0.173276128633271,0
51,clueweb09-enwp01-56-17042,0.173276128633271,2
51,clueweb09-en0006-51-16103,0.172541743970315,0
51,clueweb09-en0001-16-13951,0.170879715522573,0
51,clueweb09-en0011-65-21799,0.168831168831169,0
51,clueweb09-en0001-01-18011,0.168483302411874,0
51,clueweb09-enwp00-05-19863,0.167864873222016,0
51,clueweb09-en0005-07-16864,0.167748917748918,0
51,clueweb09-en0007-89-20458,0.166975881261596,0
51,clueweb09-en0010-15-00457,0.166975881261596,0
51,clueweb09-enwp00-84-17314,0.166975881261596,0
51,clueweb09-en0009-99-22940,0.166357452071738,0
51,clueweb09-en0008-64-11484,0.166009585652443,0
51,clueweb09-en0007-53-03551,0.165854978354978,0
51,clueweb09-enwp01-47-21405,0.16573902288188,0
51,clueweb09-en0010-49-39032,0.165269016697588,0
51,clueweb09-en0005-01-08052,0.165120593692022,0
51,clueweb09-en0006-60-03754,0.165120593692022,0
51,clueweb09-en0007-15-05472,0.164888682745826,0
51,clueweb09-en0002-88-29337,0.164038342609771,0
51,clueweb09-en0007-15-05474,0.164038342609771,0
51,clueweb09-en0006-22-29476,0.163265306122449,0
51,clueweb09-en0006-87-12557,0.163265306122449,0
51,clueweb09-en0008-37-00988,0.163265306122449,0
51,clueweb09-en0009-99-22950,0.162569573283859,0
51,clueweb09-enwp00-02-19981,0.1620670995671,0
51,clueweb09-en0002-07-18551,0.161873840445269,0
51,clueweb09-en0006-22-29485,0.161410018552876,0
51,clueweb09-en0007-89-20350,0.160984848484848,0
51,clueweb09-en0010-49-33515,0.160443722943723,0
51,clueweb09-en0006-85-18401,0.160289115646258,0
51,clueweb09-enwp01-96-01929,0.160250463821892,0
51,clueweb09-en0009-84-34321,0.158163265306122,0
51,clueweb09-en0008-98-16938,0.157699443413729,0
51,clueweb09-en0008-98-17069,0.157699443413729,0
51,clueweb09-en0008-98-27113,0.157699443413729,0
51,clueweb09-en0007-86-24047,0.156462585034014,0
51,clueweb09-en0000-96-09560,0.156192022263451,0
51,clueweb09-en0009-49-30285,0.155844155844156,0
51,clueweb09-en0011-10-04521,0.155844155844156,0
51,clueweb09-en0008-98-17131,0.155769944341373,0
51,clueweb09-en0008-46-06835,0.1551097711812,0
51,clueweb09-en0008-65-06274,0.154220779220779,0
51,clueweb09-en0000-25-12973,0.153988868274583,0
51,clueweb09-en0000-85-04683,0.153988868274583,0
51,clueweb09-en0006-01-07016,0.153988868274583,0
51,clueweb09-en0007-69-34883,0.153988868274583,0
51,clueweb09-en0011-95-31382,0.153988868274583,0
51,clueweb09-en0000-25-12971,0.153641610542296,0
51,clueweb09-en0000-25-13003,0.152790661719233,0
51,clueweb09-en0008-56-28635,0.152133580705009,0
51,clueweb09-en0008-98-16940,0.152133580705009,0
51,clueweb09-en0007-89-20282,0.15182436611008,0
51,clueweb09-en0011-26-25612,0.150896722325294,0
51,clueweb09-en0011-41-17259,0.150587507730365,0
51,clueweb09-en0000-25-12930,0.150278293135436,0
51,clueweb09-en0007-49-30126,0.150278293135436,0
51,clueweb09-en0008-98-16936,0.150278293135436,0
51,clueweb09-en0009-65-20663,0.150278293135436,0
51,clueweb09-en0003-55-29804,0.14954390847248,0
51,clueweb09-en0006-48-02330,0.149311997526283,0
51,clueweb09-en0009-31-29564,0.148925479282622,0
51,clueweb09-en0011-41-17295,0.148809523809524,0
51,clueweb09-en0006-61-04389,0.148423005565863,0
51,clueweb09-en0011-14-00897,0.148423005565863,0
51,clueweb09-en0009-15-16072,0.148307050092764,0
51,clueweb09-en0008-09-09984,0.146683673469388,0
51,clueweb09-en0001-57-30255,0.146567717996289,0
51,clueweb09-en0008-62-36274,0.146567717996289,0
51,clueweb09-en0009-95-30522,0.146567717996289,0
51,clueweb09-enwp00-98-16864,0.146567717996289,0
51,clueweb09-en0006-51-16168,0.145949288806432,0
51,clueweb09-en0007-17-32814,0.145446815089672,0
51,clueweb09-en0006-61-04410,0.145408163265306,0
51,clueweb09-en0008-06-18422,0.145176252319109,0
51,clueweb09-en0011-01-24941,0.144982993197279,1
51,clueweb09-en0008-98-16931,0.144712430426716,0
51,clueweb09-en0009-75-38684,0.144712430426716,0
51,clueweb09-en0009-95-30526,0.143436920222635,0
51,clueweb09-en0011-41-17237,0.143436920222634,0
51,clueweb09-en0006-46-11707,0.143359616573902,0
51,clueweb09-en0011-41-17209,0.143205009276438,0
51,clueweb09-en0006-56-00788,0.142857142857143,0
51,clueweb09-en0008-98-16939,0.142857142857143,0
51,clueweb09-en0008-98-17067,0.142857142857143,0
51,clueweb09-en0008-16-25230,0.142354669140383,0
51,clueweb09-en0010-46-13994,0.141968150896722,0
51,clueweb09-en0006-46-11469,0.141581632653061,0
51,clueweb09-en0006-34-12131,0.141504329004329,0
51,clueweb09-en0008-98-16621,0.141504329004329,0
51,clueweb09-en0008-73-10198,0.14100185528757,0
51,clueweb09-en0008-98-17070,0.14100185528757,0
51,clueweb09-en0002-88-29309,0.140151515151515,0
51,clueweb09-en0008-85-35881,0.139814471243043,0
51,clueweb09-en0008-64-11802,0.139764996907854,0
51,clueweb09-en0000-25-13014,0.139146567717996,0
51,clueweb09-en0009-95-30523,0.139146567717996,0
51,clueweb09-en0002-88-29360,0.13821892393321,0
51,clueweb09-en0007-87-04436,0.137948361162647,0
51,clueweb09-en0008-98-16620,0.137793753865182,0
51,clueweb09-en0002-76-27037,0.137291280148423,0
51,clueweb09-en0008-58-38476,0.137291280148423,0
51,clueweb09-en0011-80-03858,0.137291280148423,0
51,clueweb09-en0007-15-05459,0.136479591836735,0
51,clueweb09-en0007-98-27029,0.136363636363636,0
51,clueweb09-en0002-05-26046,0.135822510822511,0
51,clueweb09-en0011-41-17262,0.135783858998145,0
51,clueweb09-en0011-92-34329,0.135590599876314,0
51,clueweb09-en0000-16-36672,0.13543599257885,0
51,clueweb09-en0000-25-12905,0.13543599257885,0
51,clueweb09-en0006-61-04359,0.13543599257885,0
51,clueweb09-en0008-52-29761,0.13543599257885,0
51,clueweb09-en0008-98-16935,0.13543599257885,0
51,clueweb09-en0010-49-39036,0.13543599257885,0
51,clueweb09-en0011-41-17296,0.13543599257885,0
51,clueweb09-en0011-80-03767,0.13543599257885,0
51,clueweb09-en0007-66-21597,0.135358688930117,0
51,clueweb09-en0001-50-19915,0.134547000618429,0
51,clueweb09-en0001-52-31539,0.134469696969697,0
51,clueweb09-en0005-59-14038,0.134199134199134,0
51,clueweb09-en0009-32-01446,0.134199134199134,0
51,clueweb09-en0008-64-12096,0.133967223252938,0
51,clueweb09-en0001-32-01504,0.133580705009276,0
51,clueweb09-en0005-10-16452,0.133580705009276,0
51,clueweb09-en0009-20-18116,0.133580705009276,0
51,clueweb09-en0011-41-17185,0.132769016697588,0
51,clueweb09-en0011-41-17248,0.132421150278293,0
51,clueweb09-en0002-90-08640,0.132343846629561,0
51,clueweb09-en0000-39-03614,0.132305194805195,0
51,clueweb09-en0003-05-25573,0.13215058750773,0
51,clueweb09-en0002-75-24905,0.131725417439703,0
51,clueweb09-en0007-15-05443,0.131725417439703,0
51,clueweb09-en0009-23-05456,0.131725417439703,0
51,clueweb09-en0000-25-12963,0.130694702123274,0
51,clueweb09-en0008-98-16937,0.12987012987013,0
51,clueweb09-en0005-01-08114,0.129831478045764,0
51,clueweb09-en0007-26-10147,0.129251700680272,0
51,clueweb09-en0006-45-37697,0.128942486085343,0
51,clueweb09-en0007-15-05427,0.128903834260977,0
51,clueweb09-en0007-49-30117,0.128865182436611,0
51,clueweb09-en0002-15-00118,0.128826530612245,0
51,clueweb09-en0007-38-14868,0.128517316017316,0
51,clueweb09-enwp01-04-13349,0.128324056895485,0
51,clueweb09-en0000-22-05823,0.128014842300557,0
51,clueweb09-en0006-15-09838,0.128014842300557,0
51,clueweb09-en0008-98-17222,0.128014842300557,0
51,clueweb09-en0010-15-00462,0.128014842300557,0
51,clueweb09-enwp00-83-16505,0.127319109461967,1
51,clueweb09-en0007-15-05457,0.127009894867038,0
51,clueweb09-en0008-98-16617,0.126468769325912,0
51,clueweb09-en0001-90-05710,0.12639146567718,0
51,clueweb09-en0008-71-03373,0.126159554730983,0
51,clueweb09-en0008-98-17066,0.126159554730983,0
51,clueweb09-en0010-49-39038,0.126159554730983,0
51,clueweb09-en0007-95-17534,0.125966295609153,1
51,clueweb09-en0011-47-31334,0.125773036487322,0
51,clueweb09-en0006-48-02868,0.125618429189858,0
51,clueweb09-en0000-58-10709,0.125541125541126,0
51,clueweb09-enwp00-42-08767,0.125386518243661,1
51,clueweb09-enwp00-75-00866,0.125386518243661,1
51,clueweb09-en0007-15-05463,0.125,0
51,clueweb09-en0002-46-21539,0.124922696351268,0
51,clueweb09-en0008-98-16616,0.124536178107607,0
51,clueweb09-en0000-39-32408,0.12430426716141,0
51,clueweb09-en0008-67-07082,0.12430426716141,0
51,clueweb09-en0008-85-35878,0.123299319727891,0
51,clueweb09-en0007-45-28670,0.123222016079159,0
51,clueweb09-en0006-48-02327,0.123028756957328,0
51,clueweb09-en0011-47-03991,0.123028756957328,0
51,clueweb09-en0008-98-16619,0.12291280148423,0
51,clueweb09-en0006-22-33922,0.122642238713667,0
51,clueweb09-en0003-93-25581,0.122448979591837,0
51,clueweb09-en0005-41-17458,0.122448979591837,0
51,clueweb09-en0006-46-11466,0.122448979591837,0
51,clueweb09-en0010-49-39029,0.122448979591837,0
51,clueweb09-en0011-01-24940,0.122448979591837,0
51,clueweb09-en0007-15-05462,0.121675943104515,0
51,clueweb09-enwp01-67-12581,0.121289424860853,0
51,clueweb09-en0000-25-12949,0.120593692022263,0
51,clueweb09-en0000-25-12954,0.120593692022263,0
51,clueweb09-en0003-84-26926,0.120593692022263,0
51,clueweb09-en0004-50-15208,0.120593692022263,0
51,clueweb09-en0004-97-07125,0.120593692022263,0
51,clueweb09-en0005-81-09569,0.120593692022263,0
51,clueweb09-en0006-54-07311,0.120593692022263,0
51,clueweb09-en0008-67-07347,0.120593692022263,0
51,clueweb09-en0005-72-24364,0.119782003710575,0
