topic,doc,score,rel
51,clueweb09-en0016-57-25039,100.0,0
51,clueweb09-en0016-99-33090,97.8968,1
51,clueweb09-en0035-63-24721,94.967,0
51,clueweb09-en0002-79-23132,94.6966,0
51,clueweb09-en0017-50-31664,94.6966,0
51,clueweb09-en0010-97-31884,93.0434,0
51,clueweb09-en0022-64-36420,93.0434,0
51,clueweb09-en0010-49-39026,89.7565,0
51,clueweb09-en0037-69-19022,89.4841,0
51,clueweb09-en0024-54-25218,88.837,0
51,clueweb09-en0008-81-08483,82.7999,0
51,clueweb09-en0001-80-06127,82.348,0
51,clueweb09-en0011-65-08441,81.4305,0
51,clueweb09-en0023-02-18163,81.3438,0
51,clueweb09-en0037-26-16288,79.5912,0
51,clueweb09-en0004-16-06254,79.2407,0
51,clueweb09-en0010-49-39017,79.2407,0
51,clueweb09-en0015-01-03040,79.2407,0
51,clueweb09-en0036-73-05348,79.2407,0
51,clueweb09-enwp00-23-05499,79.2407,1
51,clueweb09-en0008-85-35877,78.5007,0
51,clueweb09-en0023-20-21908,78.5007,0
51,clueweb09-en0007-15-05425,77.2241,0
51,clueweb09-en0011-14-22355,75.9304,0
51,clueweb09-en0022-72-07587,75.5886,1
51,clueweb09-en0031-74-33550,75.5886,1
51,clueweb09-en0007-49-30114,75.1209,0
51,clueweb09-en0013-81-21065,75.1209,0
51,clueweb09-en0016-94-30913,75.1209,0
51,clueweb09-en0023-33-01037,75.1209,0
51,clueweb09-en0037-57-28795,75.0343,0
51,clueweb09-en0007-49-30125,73.0178,0
51,clueweb09-en0008-56-28642,73.0178,0
51,clueweb09-en0021-78-24254,73.0178,0
51,clueweb09-en0027-80-21007,73.0178,0
51,clueweb09-en0001-41-17450,72.9312,0
51,clueweb09-en0011-39-20427,72.9312,0
51,clueweb09-en0007-72-18225,72.9099,0
51,clueweb09-en0000-81-00258,72.6588,0
51,clueweb09-en0001-12-06884,72.6588,1
51,clueweb09-en0001-69-21592,72.6588,0
51,clueweb09-en0004-77-30624,72.6588,1
51,clueweb09-en0007-81-08143,72.6588,1
51,clueweb09-en0007-89-20264,72.6588,1
51,clueweb09-en0007-89-20413,72.6588,1
51,clueweb09-en0008-43-16164,72.6588,3
51,clueweb09-en0011-10-04505,72.6588,1
51,clueweb09-en0011-41-17250,72.6588,0
51,clueweb09-en0011-41-17254,72.6588,0
51,clueweb09-en0016-19-24681,72.6588,2
51,clueweb09-en0016-79-25759,72.6588,2
51,clueweb09-en0021-13-00380,72.6588,0
51,clueweb09-en0022-45-17785,72.6588,0
51,clueweb09-en0022-96-17249,72.6588,0
51,clueweb09-en0023-51-18781,72.6588,0
51,clueweb09-en0030-21-36142,72.6588,0
51,clueweb09-en0030-21-36155,72.6588,0
51,clueweb09-en0031-74-33549,72.6588,0
51,clueweb09-en0036-23-32225,72.6588,0
51,clueweb09-en0036-40-12086,72.6588,2
51,clueweb09-en0036-55-22970,72.6588,0
51,clueweb09-en0038-43-20950,72.6588,2
51,clueweb09-en0038-51-33785,72.6588,3
51,clueweb09-en0001-93-23513,72.57,0
51,clueweb09-en0007-09-25334,72.57,0
51,clueweb09-en0007-43-29412,72.57,0
51,clueweb09-en0033-93-33770,72.57,0
51,clueweb09-en0036-44-32139,72.57,0
51,clueweb09-en0037-54-02565,72.57,0
51,clueweb09-en0024-24-30290,72.1912,0
51,clueweb09-en0036-56-05781,72.1912,0
51,clueweb09-en0003-49-11719,71.7241,0
51,clueweb09-en0006-92-06712,71.7241,0
51,clueweb09-en0032-92-31589,71.7241,0
51,clueweb09-en0017-64-21815,70.1809,0
51,clueweb09-en0033-99-32506,70.1809,0
51,clueweb09-en0002-80-35893,70.088,0
51,clueweb09-en0010-71-31244,70.088,0
51,clueweb09-en0006-67-29605,69.729,0
51,clueweb09-en0011-41-17214,69.729,1
51,clueweb09-en0022-63-00859,69.729,0
51,clueweb09-en0023-20-21909,69.729,0
51,clueweb09-en0026-73-34647,69.729,0
51,clueweb09-en0026-73-34648,69.729,0
51,clueweb09-en0031-77-00213,69.729,0
51,clueweb09-en0035-25-12676,69.729,0
51,clueweb09-en0035-51-31220,69.729,0
51,clueweb09-en0035-67-18970,69.729,0
51,clueweb09-en0022-96-17246,69.4586,0
51,clueweb09-en0038-13-07978,69.4586,0
51,clueweb09-en0007-03-23528,68.7036,0
51,clueweb09-en0007-89-20393,68.7036,0
51,clueweb09-en0022-86-09595,68.7036,0
51,clueweb09-enwp00-58-11198,67.8467,0
51,clueweb09-en0010-03-30909,67.0588,0
51,clueweb09-en0007-51-16652,66.7104,0
51,clueweb09-en0008-58-38476,66.7104,0
51,clueweb09-en0012-11-31874,66.7104,0
51,clueweb09-en0033-86-17080,66.7104,0
51,clueweb09-en0037-63-04367,66.7104,0
51,clueweb09-en0001-80-26231,66.7083,0
51,clueweb09-en0002-80-35729,66.7083,0
51,clueweb09-en0004-79-21106,66.7083,0
51,clueweb09-en0007-15-05439,66.7083,0
51,clueweb09-en0008-42-06337,66.7083,1
51,clueweb09-en0000-82-32505,66.6216,0
51,clueweb09-en0002-05-26045,66.6216,0
51,clueweb09-en0003-03-11411,66.6216,1
51,clueweb09-en0004-36-39733,66.6216,1
51,clueweb09-en0005-19-11234,66.6216,1
51,clueweb09-en0006-61-04354,66.6216,2
51,clueweb09-en0006-78-11502,66.6216,0
51,clueweb09-en0007-17-32780,66.6216,1
51,clueweb09-en0007-89-20284,66.6216,1
51,clueweb09-en0008-32-08511,66.6216,1
51,clueweb09-en0008-48-14929,66.6216,0
51,clueweb09-en0008-56-28635,66.6216,0
51,clueweb09-en0008-66-10852,66.6216,1
51,clueweb09-en0008-66-10855,66.6216,0
51,clueweb09-en0008-66-10870,66.6216,0
51,clueweb09-en0008-73-10201,66.6216,0
51,clueweb09-en0009-22-08986,66.6216,0
51,clueweb09-en0009-75-38683,66.6216,1
51,clueweb09-en0010-30-03927,66.6216,0
51,clueweb09-en0010-34-43663,66.6216,0
51,clueweb09-en0010-40-24957,66.6216,0
51,clueweb09-en0010-49-39016,66.6216,0
51,clueweb09-en0010-85-28651,66.6216,0
51,clueweb09-en0011-41-17189,66.6216,0
51,clueweb09-en0011-41-17207,66.6216,2
51,clueweb09-en0011-41-17215,66.6216,0
51,clueweb09-en0011-41-17251,66.6216,0
51,clueweb09-en0011-41-17252,66.6216,0
51,clueweb09-en0011-41-17273,66.6216,0
51,clueweb09-en0011-41-17278,66.6216,1
51,clueweb09-en0011-56-07362,66.6216,0
51,clueweb09-en0011-69-21571,66.6216,1
51,clueweb09-en0012-06-30927,66.6216,0
