topic,doc,score,rel
51,clueweb09-en0016-57-25039,100.0,0
51,clueweb09-en0016-99-33090,97.8824,1
51,clueweb09-en0002-79-23132,94.5882,0
51,clueweb09-en0017-50-31664,94.5882,0
51,clueweb09-en0035-63-24721,94.5882,0
51,clueweb09-en0010-97-31884,92.2353,0
51,clueweb09-en0022-64-36420,92.2353,0
51,clueweb09-en0010-49-39026,89.1765,0
51,clueweb09-en0024-54-25218,88.0,0
51,clueweb09-en0001-80-06127,81.8823,0
51,clueweb09-en0008-81-08483,81.4118,0
51,clueweb09-en0023-02-18163,80.7059,0
51,clueweb09-en0011-65-08441,80.4706,0
51,clueweb09-en0004-16-06254,78.5882,0
51,clueweb09-en0010-49-39017,78.5882,0
51,clueweb09-en0015-01-03040,78.5882,0
51,clueweb09-en0036-73-05348,78.5882,0
51,clueweb09-enwp00-23-05499,78.5882,1
51,clueweb09-en0037-26-16288,78.1177,0
51,clueweb09-en0008-85-35877,77.1765,0
51,clueweb09-en0023-20-21908,77.1765,0
51,clueweb09-en0007-15-05425,76.2353,0
51,clueweb09-en0011-14-22355,75.7647,0
51,clueweb09-en0022-72-07587,75.7647,1
51,clueweb09-en0031-74-33550,75.7647,1
51,clueweb09-en0037-57-28795,74.3529,0
51,clueweb09-en0007-49-30114,74.1176,0
51,clueweb09-en0013-81-21065,74.1176,0
51,clueweb09-en0016-94-30913,74.1176,0
51,clueweb09-en0023-33-01037,74.1176,0
51,clueweb09-en0000-81-00258,72.4706,0
51,clueweb09-en0001-12-06884,72.4706,1
51,clueweb09-en0001-69-21592,72.4706,0
51,clueweb09-en0001-93-23513,72.4706,0
51,clueweb09-en0004-77-30624,72.4706,1
51,clueweb09-en0007-09-25334,72.4706,0
51,clueweb09-en0007-43-29412,72.4706,0
51,clueweb09-en0007-81-08143,72.4706,1
51,clueweb09-en0007-89-20264,72.4706,1
51,clueweb09-en0007-89-20413,72.4706,1
51,clueweb09-en0008-43-16164,72.4706,3
51,clueweb09-en0011-10-04505,72.4706,1
51,clueweb09-en0011-41-17250,72.4706,0
51,clueweb09-en0011-41-17254,72.4706,0
51,clueweb09-en0016-19-24681,72.4706,2
51,clueweb09-en0016-79-25759,72.4706,2
51,clueweb09-en0021-13-00380,72.4706,0
51,clueweb09-en0022-45-17785,72.4706,0
51,clueweb09-en0022-96-17249,72.4706,0
51,clueweb09-en0023-51-18781,72.4706,0
51,clueweb09-en0030-21-36142,72.4706,0
51,clueweb09-en0030-21-36155,72.4706,0
51,clueweb09-en0031-74-33549,72.4706,0
51,clueweb09-en0033-93-33770,72.4706,0
51,clueweb09-en0036-23-32225,72.4706,0
51,clueweb09-en0036-40-12086,72.4706,2
51,clueweb09-en0036-44-32139,72.4706,0
51,clueweb09-en0036-55-22970,72.4706,0
51,clueweb09-en0037-54-02565,72.4706,0
51,clueweb09-en0001-41-17450,72.2353,0
51,clueweb09-en0011-39-20427,72.2353,0
51,clueweb09-en0007-49-30125,72.0,0
51,clueweb09-en0008-56-28642,72.0,0
51,clueweb09-en0021-78-24254,72.0,0
51,clueweb09-en0027-80-21007,72.0,0
51,clueweb09-en0007-72-18225,71.7647,0
51,clueweb09-en0003-49-11719,71.5294,0
51,clueweb09-en0006-92-06712,71.5294,0
51,clueweb09-en0032-92-31589,71.5294,0
51,clueweb09-en0024-24-30290,70.8235,0
51,clueweb09-en0036-56-05781,70.8235,0
51,clueweb09-en0006-67-29605,69.1765,0
51,clueweb09-en0011-41-17214,69.1765,1
51,clueweb09-en0022-63-00859,69.1765,0
51,clueweb09-en0022-96-17246,69.1765,0
51,clueweb09-en0023-20-21909,69.1765,0
51,clueweb09-en0026-73-34647,69.1765,0
51,clueweb09-en0026-73-34648,69.1765,0
51,clueweb09-en0031-77-00213,69.1765,0
51,clueweb09-en0035-25-12676,69.1765,0
51,clueweb09-en0035-51-31220,69.1765,0
51,clueweb09-en0035-67-18970,69.1765,0
51,clueweb09-en0002-80-35893,68.7059,0
51,clueweb09-en0010-71-31244,68.7059,0
51,clueweb09-en0017-64-21815,68.7059,0
51,clueweb09-en0033-99-32506,68.7059,0
51,clueweb09-en0007-03-23528,67.5294,0
51,clueweb09-en0007-89-20393,67.5294,0
51,clueweb09-en0022-86-09595,67.5294,0
51,clueweb09-en0000-82-32505,65.8823,0
51,clueweb09-en0002-05-26045,65.8823,0
51,clueweb09-en0003-03-11411,65.8823,1
51,clueweb09-en0004-36-39733,65.8823,1
51,clueweb09-en0005-19-11234,65.8823,1
51,clueweb09-en0005-62-15190,65.8823,0
51,clueweb09-en0006-61-04354,65.8823,2
51,clueweb09-en0006-78-11502,65.8823,0
51,clueweb09-en0007-17-32780,65.8823,1
51,clueweb09-en0007-51-16652,65.8823,0
51,clueweb09-en0007-89-20284,65.8823,1
51,clueweb09-en0008-32-08511,65.8823,1
51,clueweb09-en0008-48-14929,65.8823,0
51,clueweb09-en0008-56-28635,65.8823,0
51,clueweb09-en0008-58-38476,65.8823,0
51,clueweb09-en0008-66-10852,65.8823,1
51,clueweb09-en0008-66-10855,65.8823,0
51,clueweb09-en0008-66-10870,65.8823,0
51,clueweb09-en0008-73-10201,65.8823,0
51,clueweb09-en0009-22-08986,65.8823,0
51,clueweb09-en0009-75-38683,65.8823,1
51,clueweb09-en0010-30-03927,65.8823,0
51,clueweb09-en0010-34-43663,65.8823,0
51,clueweb09-en0010-40-24957,65.8823,0
51,clueweb09-en0010-49-39016,65.8823,0
51,clueweb09-en0010-85-28651,65.8823,0
51,clueweb09-en0011-41-17189,65.8823,0
51,clueweb09-en0011-41-17207,65.8823,2
51,clueweb09-en0011-41-17215,65.8823,0
51,clueweb09-en0011-41-17251,65.8823,0
