topic,doc,score,rel
51,clueweb09-en0007-81-08143,36.4922409,1
51,clueweb09-en0008-42-28801,36.3811684,0
51,clueweb09-en0007-86-24769,36.2953835,0
51,clueweb09-en0008-87-10439,36.2896767,1
51,clueweb09-en0007-17-32780,36.2716942,1
51,clueweb09-en0011-41-17287,36.2394676,0
51,clueweb09-en0011-41-17219,36.2354774,0
51,clueweb09-enwp00-27-06293,36.2245903,1
51,clueweb09-enwp00-23-05500,36.2081947,1
51,clueweb09-enwp00-31-05923,36.2045784,1
51,clueweb09-enwp00-24-05847,36.2043495,1
51,clueweb09-enwp00-23-05499,36.1996307,1
51,clueweb09-en0011-41-17268,36.1811295,1
51,clueweb09-en0011-41-17286,36.1666107,1
51,clueweb09-en0011-41-17257,36.1562042,1
51,clueweb09-en0011-41-17207,36.1461906,2
51,clueweb09-en0010-86-27049,36.1381073,0
51,clueweb09-en0010-86-27052,36.130249,1
51,clueweb09-en0010-86-27053,36.1245117,1
51,clueweb09-en0011-41-17271,36.1238785,0
51,clueweb09-en0003-93-25577,36.1147346,1
51,clueweb09-en0010-86-27055,36.110981,0
51,clueweb09-en0003-93-25571,36.066288,0
51,clueweb09-en0011-41-17203,36.066288,0
51,clueweb09-en0001-12-06933,36.039196,0
51,clueweb09-en0011-88-03739,36.036644,1
51,clueweb09-en0011-41-17301,36.025753,0
51,clueweb09-en0011-41-17280,36.0233383,0
51,clueweb09-en0008-42-28889,36.0207405,0
51,clueweb09-en0011-41-17185,36.0069847,0
51,clueweb09-en0006-61-04382,35.9786377,1
51,clueweb09-en0006-61-04354,35.9665565,2
51,clueweb09-en0005-82-02859,35.9535446,0
51,clueweb09-en0004-77-30624,35.9445343,1
51,clueweb09-en0006-61-04350,35.9229126,0
51,clueweb09-en0011-47-31334,35.9192848,0
51,clueweb09-en0011-41-17233,35.9135933,0
51,clueweb09-en0002-05-26045,35.8969002,0
51,clueweb09-en0008-66-10852,35.8923759,1
51,clueweb09-en0001-12-06930,35.8906593,0
51,clueweb09-enwp01-56-17042,35.8752327,2
51,clueweb09-en0011-41-17263,35.8529205,0
51,clueweb09-en0011-41-17210,35.8523636,0
51,clueweb09-en0007-43-07543,35.8515205,0
51,clueweb09-en0009-84-34320,35.8471909,1
51,clueweb09-en0003-93-25576,35.8439331,0
51,clueweb09-en0011-41-17217,35.8352432,0
51,clueweb09-en0008-43-16164,35.8206635,3
51,clueweb09-en0001-12-06932,35.8172035,0
51,clueweb09-en0011-41-17192,35.805954,0
51,clueweb09-en0011-41-17209,35.7967453,0
51,clueweb09-enwp01-55-06136,35.795929,1
51,clueweb09-en0011-41-17199,35.7901726,0
51,clueweb09-en0006-61-04353,35.7840385,0
51,clueweb09-en0011-41-17282,35.7816582,0
51,clueweb09-en0007-83-23270,35.7709694,0
51,clueweb09-en0007-71-02954,35.765255,0
51,clueweb09-enwp00-93-16535,35.7564888,1
51,clueweb09-enwp01-56-17036,35.7564888,1
51,clueweb09-en0008-40-14669,35.7506294,0
51,clueweb09-en0011-41-17186,35.7366562,0
51,clueweb09-enwp00-95-17841,35.7293282,1
51,clueweb09-en0008-52-30058,35.727108,0
51,clueweb09-enwp02-19-00937,35.7152023,1
51,clueweb09-en0008-40-14673,35.7148438,0
51,clueweb09-en0011-41-17249,35.713459,0
51,clueweb09-enwp02-05-03600,35.7103386,1
51,clueweb09-en0011-69-21571,35.7071877,1
51,clueweb09-en0011-94-02121,35.6994133,0
51,clueweb09-en0003-03-11411,35.6981277,1
51,clueweb09-en0011-41-17254,35.6975212,0
51,clueweb09-en0011-41-17292,35.6966019,1
51,clueweb09-en0011-41-17298,35.6943245,0
51,clueweb09-en0006-61-04355,35.6898956,0
51,clueweb09-en0007-89-20350,35.688858,0
51,clueweb09-en0011-41-17253,35.6858597,0
51,clueweb09-en0011-41-17273,35.6827888,0
51,clueweb09-en0011-41-17252,35.6808739,0
51,clueweb09-en0011-41-17214,35.6792603,1
51,clueweb09-en0011-41-17187,35.6722794,0
51,clueweb09-en0004-84-21067,35.6679077,0
51,clueweb09-en0011-21-30462,35.6549034,0
51,clueweb09-en0007-89-20296,35.6535568,0
51,clueweb09-en0007-89-20413,35.6451149,1
51,clueweb09-en0008-88-23094,35.6392784,2
51,clueweb09-en0011-41-17281,35.6096001,1
51,clueweb09-en0011-41-17246,35.6046562,0
51,clueweb09-en0007-42-22223,35.5919609,2
51,clueweb09-en0011-41-17251,35.5882225,0
51,clueweb09-en0011-41-17250,35.5656891,0
51,clueweb09-en0011-07-09955,35.5588837,0
51,clueweb09-en0008-32-08511,35.5583725,1
51,clueweb09-en0005-19-41360,35.5581474,0
51,clueweb09-en0007-35-00957,35.5459862,0
51,clueweb09-en0007-89-20264,35.5453186,1
51,clueweb09-en0001-12-06909,35.5420113,0
51,clueweb09-en0010-37-28468,35.5212593,0
51,clueweb09-en0011-41-17215,35.5036926,0
51,clueweb09-en0003-98-02602,35.5030518,0
51,clueweb09-en0008-64-11454,35.495369,0
51,clueweb09-en0011-21-30463,35.4879875,0
51,clueweb09-en0011-41-17274,35.4821053,0
51,clueweb09-en0008-96-11286,35.4775887,0
51,clueweb09-en0007-57-33727,35.4662857,0
51,clueweb09-en0007-57-24444,35.4661293,0
51,clueweb09-en0011-41-17256,35.4630165,0
51,clueweb09-en0007-89-20340,35.4605331,0
51,clueweb09-en0011-41-17264,35.455616,0
51,clueweb09-en0011-41-17237,35.4436607,0
51,clueweb09-en0001-12-06918,35.4410591,0
51,clueweb09-en0007-72-18225,35.4315834,0
51,clueweb09-en0011-41-17258,35.4256287,0
51,clueweb09-en0008-42-06336,35.4093437,0
51,clueweb09-en0000-94-02396,35.4019737,0
51,clueweb09-en0009-85-39698,35.3994408,1
51,clueweb09-en0011-41-17284,35.3975487,0
51,clueweb09-en0007-89-20244,35.3959274,0
51,clueweb09-en0006-46-11540,35.3899574,0
51,clueweb09-en0011-41-17218,35.378418,0
51,clueweb09-en0011-33-03551,35.3777924,0
51,clueweb09-en0001-21-25404,35.3692131,0
51,clueweb09-en0007-18-37400,35.3692131,0
51,clueweb09-en0003-57-16902,35.3658829,1
51,clueweb09-en0010-58-36005,35.3646049,0
51,clueweb09-en0001-74-37938,35.3510323,0
51,clueweb09-en0007-89-20284,35.3469505,1
51,clueweb09-en0007-83-23277,35.3421364,0
51,clueweb09-en0005-19-41899,35.3418503,0
51,clueweb09-en0011-41-17212,35.3373222,0
51,clueweb09-en0006-50-29999,35.3240738,0
51,clueweb09-en0001-69-21592,35.3183975,0
51,clueweb09-en0008-56-28642,35.3168602,0
51,clueweb09-en0001-12-06929,35.3064651,0
51,clueweb09-en0011-41-17189,35.2961693,0
51,clueweb09-en0009-15-14336,35.2940254,0
51,clueweb09-en0011-33-03549,35.2839165,0
51,clueweb09-en0011-41-17261,35.2832336,0
51,clueweb09-en0008-42-06337,35.2793884,1
51,clueweb09-en0011-01-24937,35.2712746,0
51,clueweb09-en0009-15-14338,35.2674789,0
