topic,doc,score,rel
51,clueweb09-en0007-17-32780,-7.26256,1
51,clueweb09-en0007-81-08143,-7.41953,1
51,clueweb09-en0030-65-32869,-7.50714,1
51,clueweb09-en0030-65-32974,-7.51302,0
51,clueweb09-en0054-79-13017,-7.59058,1
51,clueweb09-en0087-64-09275,-7.60935,1
51,clueweb09-en0059-75-02177,-7.62341,1
51,clueweb09-en0008-42-06337,-7.65447,1
51,clueweb09-en0016-57-25102,-7.66677,1
51,clueweb09-en0071-23-33248,-7.67336,1
51,clueweb09-en0016-57-25039,-7.67912,0
51,clueweb09-en0065-03-10251,-7.71482,0
51,clueweb09-en0040-08-35086,-7.71765,2
51,clueweb09-en0016-57-25092,-7.71791,1
51,clueweb09-en0051-83-10628,-7.73205,0
51,clueweb09-en0067-38-03161,-7.73462,0
51,clueweb09-en0040-08-35085,-7.74204,0
51,clueweb09-en0092-00-03048,-7.74876,1
51,clueweb09-en0078-25-12064,-7.75057,0
51,clueweb09-en0008-38-14639,-7.75569,0
51,clueweb09-en0061-44-14791,-7.75747,1
51,clueweb09-en0107-56-25382,-7.75752,0
51,clueweb09-en0053-82-36497,-7.76328,0
51,clueweb09-en0026-83-38386,-7.76802,2
51,clueweb09-en0097-15-08336,-7.76821,1
51,clueweb09-en0030-65-32863,-7.772,0
51,clueweb09-en0131-72-46448,-7.77399,1
51,clueweb09-en0040-02-21140,-7.77485,0
51,clueweb09-en0039-19-17541,-7.77717,0
51,clueweb09-en0078-83-13305,-7.77865,1
51,clueweb09-en0024-25-20191,-7.78479,1
51,clueweb09-en0128-12-18639,-7.78806,2
51,clueweb09-en0038-51-33785,-7.79737,3
51,clueweb09-en0030-65-32907,-7.79995,0
51,clueweb09-en0082-89-42932,-7.80465,0
51,clueweb09-en0073-71-05333,-7.8062,0
51,clueweb09-en0045-07-00644,-7.81089,0
51,clueweb09-en0096-53-37947,-7.81263,1
51,clueweb09-en0059-75-02176,-7.81695,0
51,clueweb09-en0007-42-22223,-7.81704,2
51,clueweb09-en0016-57-25143,-7.81732,0
51,clueweb09-en0106-37-31549,-7.81895,0
51,clueweb09-en0094-60-40973,-7.81958,0
51,clueweb09-en0009-29-19804,-7.8196,0
51,clueweb09-en0099-74-27816,-7.82607,0
51,clueweb09-en0004-36-39733,-7.8264,1
51,clueweb09-en0016-57-25223,-7.8311,0
51,clueweb09-en0022-44-22778,-7.83395,0
51,clueweb09-en0107-44-20738,-7.83585,0
51,clueweb09-en0123-38-00961,-7.83826,0
51,clueweb09-en0016-57-25149,-7.84007,0
51,clueweb09-en0006-51-16125,-7.84549,1
51,clueweb09-en0025-82-09111,-7.84744,0
51,clueweb09-en0030-65-32975,-7.85173,0
51,clueweb09-en0078-98-12207,-7.85455,0
51,clueweb09-en0030-65-32971,-7.85585,0
51,clueweb09-en0061-44-14823,-7.86107,0
51,clueweb09-en0008-56-28642,-7.86746,0
51,clueweb09-en0050-83-28796,-7.86768,0
51,clueweb09-en0079-45-04582,-7.8729,1
51,clueweb09-en0009-22-08986,-7.87765,0
51,clueweb09-en0068-21-25389,-7.87949,0
51,clueweb09-en0133-98-40361,-7.87957,0
51,clueweb09-en0080-95-06298,-7.88085,1
51,clueweb09-en0033-86-32886,-7.88386,0
51,clueweb09-en0090-58-31563,-7.88402,0
51,clueweb09-enwp00-27-06293,-7.88461,1
51,clueweb09-en0114-73-15936,-7.8851,0
51,clueweb09-en0131-07-36811,-7.88935,0
51,clueweb09-en0079-45-04581,-7.89285,0
51,clueweb09-en0030-27-27258,-7.89312,0
51,clueweb09-en0092-26-25838,-7.89448,0
51,clueweb09-en0108-11-45302,-7.89661,0
51,clueweb09-en0037-01-13522,-7.89823,0
51,clueweb09-en0012-54-03282,-7.903,1
51,clueweb09-en0022-59-33997,-7.91295,0
51,clueweb09-en0072-32-29430,-7.91369,1
51,clueweb09-en0061-44-14824,-7.91654,0
51,clueweb09-en0004-16-06254,-7.91851,0
51,clueweb09-enwp00-31-05923,-7.91938,1
51,clueweb09-enwp00-24-05847,-7.92433,1
51,clueweb09-en0077-98-35575,-7.92661,1
51,clueweb09-en0040-02-21157,-7.92693,0
51,clueweb09-enwp00-23-05499,-7.92832,1
51,clueweb09-enwp00-23-05500,-7.92835,1
51,clueweb09-en0106-70-10798,-7.93022,2
51,clueweb09-en0023-47-29195,-7.93082,0
51,clueweb09-en0080-95-08189,-7.93282,0
51,clueweb09-en0120-94-10705,-7.93525,2
51,clueweb09-en0011-41-17278,-7.93919,1
51,clueweb09-en0016-15-27350,-7.94331,0
51,clueweb09-en0066-06-31258,-7.94643,0
51,clueweb09-en0017-29-07888,-7.94788,0
51,clueweb09-en0031-27-00083,-7.94872,0
51,clueweb09-en0065-27-19468,-7.95499,0
51,clueweb09-en0039-00-12714,-7.95795,0
51,clueweb09-en0023-89-00788,-7.96031,0
51,clueweb09-en0036-38-37382,-7.96031,0
51,clueweb09-en0064-76-35909,-7.96031,0
51,clueweb09-en0001-01-17957,-7.96032,1
51,clueweb09-en0011-41-17281,-7.96123,1
51,clueweb09-en0050-30-29300,-7.96223,0
51,clueweb09-en0059-99-07306,-7.9645,0
51,clueweb09-en0017-29-07887,-7.96604,0
51,clueweb09-en0031-27-00082,-7.96604,0
51,clueweb09-en0066-64-23708,-7.97311,0
51,clueweb09-en0022-44-22776,-7.97487,0
51,clueweb09-en0022-44-22777,-7.97487,0
51,clueweb09-en0036-38-37381,-7.97696,0
51,clueweb09-en0030-00-31286,-7.97758,0
51,clueweb09-en0064-76-35908,-7.97761,0
51,clueweb09-en0067-03-33529,-7.97965,0
51,clueweb09-en0050-68-38202,-7.98157,3
51,clueweb09-en0054-28-26035,-7.98291,0
51,clueweb09-en0092-51-42066,-7.98561,0
51,clueweb09-en0036-10-24462,-7.98669,0
51,clueweb09-en0079-21-09587,-7.98971,0
51,clueweb09-en0053-99-10227,-7.99452,0
51,clueweb09-en0011-56-07362,-7.99616,0
51,clueweb09-en0074-24-36487,-7.99866,0
51,clueweb09-en0016-57-25253,-7.99961,0
51,clueweb09-en0023-79-35060,-8.00339,0
51,clueweb09-en0023-89-00787,-8.00366,0
51,clueweb09-en0078-60-24772,-8.00373,0
51,clueweb09-en0016-57-25077,-8.00642,0
51,clueweb09-en0026-83-38391,-8.0073,0
51,clueweb09-en0001-95-29833,-8.00731,0
51,clueweb09-en0026-73-34652,-8.00881,0
51,clueweb09-en0066-64-23728,-8.00896,0
51,clueweb09-en0095-42-42928,-8.01291,0
51,clueweb09-en0087-25-22969,-8.01597,0
51,clueweb09-en0122-48-04059,-8.01662,0
51,clueweb09-en0040-08-35093,-8.01921,0
51,clueweb09-en0036-23-32225,-8.01941,0
51,clueweb09-en0101-27-29755,-8.02027,0
51,clueweb09-en0072-48-23885,-8.02464,1
51,clueweb09-en0039-11-13043,-8.02511,0
51,clueweb09-en0025-64-25855,-8.03061,0
51,clueweb09-en0022-72-07587,-8.03184,1
51,clueweb09-en0038-51-33782,-8.03427,0
51,clueweb09-en0001-21-25404,-8.03497,0
51,clueweb09-en0060-87-20845,-8.03633,0
51,clueweb09-en0061-44-14831,-8.04047,0
51,clueweb09-en0087-59-07076,-8.04119,0
51,clueweb09-en0064-38-25325,-8.04476,0
51,clueweb09-en0051-21-01363,-8.05106,0
51,clueweb09-en0010-37-28468,-8.05122,0
51,clueweb09-en0038-56-12863,-8.05706,0
51,clueweb09-en0010-86-27052,-8.05947,1
51,clueweb09-en0066-76-16893,-8.06039,0
51,clueweb09-en0040-41-33056,-8.06073,0
51,clueweb09-en0060-77-33653,-8.06239,0
51,clueweb09-en0065-20-33465,-8.06493,0
51,clueweb09-en0007-18-37400,-8.06795,0
51,clueweb09-en0021-52-23135,-8.06871,0
51,clueweb09-en0054-66-39067,-8.07007,0
51,clueweb09-en0039-91-14735,-8.07032,1
51,clueweb09-en0052-89-25539,-8.07256,0
51,clueweb09-en0114-75-35810,-8.07531,0
51,clueweb09-en0038-04-00030,-8.0758,0
51,clueweb09-en0001-01-18098,-8.07717,0
51,clueweb09-en0036-40-12086,-8.07954,2
51,clueweb09-en0049-58-25740,-8.07978,0
51,clueweb09-en0062-38-24708,-8.08246,0
51,clueweb09-en0036-51-32214,-8.08293,0
51,clueweb09-en0037-99-12790,-8.08622,0
51,clueweb09-en0066-06-31260,-8.0865,0
51,clueweb09-en0121-39-03007,-8.08971,0
51,clueweb09-en0132-48-38415,-8.09043,0
51,clueweb09-en0079-11-11014,-8.0916,0
