topic,doc,score,rel
51,clueweb09-en0007-17-32780,-8.3485,1
51,clueweb09-en0007-81-08143,-8.58022,1
51,clueweb09-en0030-65-32974,-8.60697,0
51,clueweb09-en0030-65-32869,-8.64095,1
51,clueweb09-en0065-03-10251,-8.70136,0
51,clueweb09-en0059-75-02177,-8.70623,1
51,clueweb09-en0016-57-25092,-8.71049,1
51,clueweb09-en0016-57-25102,-8.7157,1
51,clueweb09-en0051-83-10628,-8.73613,0
51,clueweb09-enwp00-93-16553,-8.74039,0
51,clueweb09-en0087-64-09275,-8.75521,1
51,clueweb09-en0030-65-32907,-8.75941,0
51,clueweb09-en0016-57-25039,-8.77639,0
51,clueweb09-en0016-57-25143,-8.77741,0
51,clueweb09-en0073-71-05333,-8.77904,0
51,clueweb09-en0040-08-35085,-8.788,0
51,clueweb09-en0008-42-06337,-8.78873,1
51,clueweb09-en0054-79-13017,-8.80452,1
51,clueweb09-en0071-23-33248,-8.80479,1
51,clueweb09-en0026-83-38386,-8.80806,2
51,clueweb09-en0001-21-25404,-8.81191,0
51,clueweb09-en0030-65-32863,-8.82079,0
51,clueweb09-en0131-72-46448,-8.82629,1
51,clueweb09-en0007-42-22223,-8.82899,2
51,clueweb09-en0067-38-03161,-8.84401,0
51,clueweb09-en0007-18-37400,-8.84564,0
51,clueweb09-en0040-08-35086,-8.84612,2
51,clueweb09-en0022-44-22778,-8.85035,0
51,clueweb09-en0053-82-36497,-8.85426,0
51,clueweb09-en0131-07-36811,-8.86154,0
51,clueweb09-en0021-52-23135,-8.87253,0
51,clueweb09-en0097-15-08336,-8.87745,1
51,clueweb09-en0080-95-06298,-8.88881,1
51,clueweb09-en0006-51-16125,-8.89181,1
51,clueweb09-en0037-01-13522,-8.89431,0
51,clueweb09-en0030-65-32971,-8.89665,0
51,clueweb09-en0079-45-04581,-8.89782,0
51,clueweb09-en0106-70-10798,-8.89912,2
51,clueweb09-en0024-25-20191,-8.90097,1
51,clueweb09-en0092-00-03048,-8.9106,1
51,clueweb09-en0061-44-14791,-8.91181,1
51,clueweb09-en0099-74-27816,-8.91295,0
51,clueweb09-en0016-57-25149,-8.91336,0
51,clueweb09-en0079-45-04582,-8.91766,1
51,clueweb09-en0059-99-07306,-8.91879,0
51,clueweb09-en0078-25-12064,-8.91965,0
51,clueweb09-en0078-83-13305,-8.92472,1
51,clueweb09-en0040-02-21140,-8.92986,0
51,clueweb09-en0094-60-40973,-8.94005,0
51,clueweb09-en0107-44-20738,-8.94379,0
51,clueweb09-en0030-65-32975,-8.94382,0
51,clueweb09-en0050-83-28796,-8.95101,0
51,clueweb09-en0108-11-45302,-8.9622,0
51,clueweb09-en0096-53-37947,-8.96306,1
51,clueweb09-enwp00-27-06293,-8.96377,1
51,clueweb09-en0061-44-14823,-8.96913,0
51,clueweb09-en0092-26-25838,-8.96919,0
51,clueweb09-en0011-41-17273,-8.97228,0
51,clueweb09-en0039-00-12714,-8.97476,0
51,clueweb09-en0009-29-19804,-8.97493,0
51,clueweb09-en0074-24-36487,-8.97647,0
51,clueweb09-en0128-12-18639,-8.97879,2
51,clueweb09-en0123-38-00961,-8.98318,0
51,clueweb09-en0131-76-45354,-8.98486,0
51,clueweb09-enwp00-31-05923,-8.98708,1
51,clueweb09-en0087-64-09211,-8.98725,0
51,clueweb09-en0133-98-40361,-8.98782,0
51,clueweb09-en0008-56-28642,-8.98801,0
51,clueweb09-en0065-27-19468,-8.9884,0
51,clueweb09-en0038-51-33785,-8.9887,3
51,clueweb09-en0004-36-39733,-8.98897,1
51,clueweb09-en0023-47-29195,-8.98966,0
51,clueweb09-enwp00-24-05847,-8.99251,1
51,clueweb09-en0023-79-35060,-8.99522,0
51,clueweb09-enwp00-23-05499,-8.99559,1
51,clueweb09-enwp00-23-05500,-8.99579,1
51,clueweb09-en0108-21-39623,-9.00303,0
51,clueweb09-en0068-21-25389,-9.00478,0
51,clueweb09-en0051-93-36419,-9.00505,0
51,clueweb09-en0025-28-06862,-9.00665,0
51,clueweb09-en0025-64-25855,-9.01114,0
51,clueweb09-en0033-86-32886,-9.01273,0
51,clueweb09-en0077-98-35575,-9.01675,1
51,clueweb09-en0040-08-35100,-9.02038,0
51,clueweb09-en0017-27-21254,-9.02074,0
51,clueweb09-en0081-59-25024,-9.02269,0
51,clueweb09-en0050-30-29297,-9.02785,0
51,clueweb09-en0026-83-38391,-9.02819,0
51,clueweb09-en0100-42-01018,-9.02902,0
51,clueweb09-en0010-37-28468,-9.03056,0
51,clueweb09-en0052-89-25539,-9.03057,0
51,clueweb09-en0060-77-33653,-9.03144,0
51,clueweb09-en0061-44-14831,-9.03152,0
51,clueweb09-en0059-75-02176,-9.03172,0
51,clueweb09-en0095-42-42928,-9.03252,0
51,clueweb09-en0016-57-25253,-9.03303,0
51,clueweb09-en0051-21-01363,-9.03339,0
51,clueweb09-en0072-32-29430,-9.03439,1
51,clueweb09-en0114-75-35810,-9.03469,0
51,clueweb09-en0051-27-12788,-9.03874,0
51,clueweb09-en0054-66-39067,-9.04104,0
51,clueweb09-en0107-56-25382,-9.0414,0
51,clueweb09-en0132-48-38415,-9.04931,0
51,clueweb09-en0040-02-21157,-9.04981,0
51,clueweb09-en0030-65-32906,-9.05188,0
51,clueweb09-en0030-27-27258,-9.05404,0
51,clueweb09-en0065-03-10260,-9.05465,0
