topic,doc,score,rel
51,clueweb09-en0127-52-21482,56.4226830303371,1
51,clueweb09-en0030-88-10894,52.3770999413741,0
51,clueweb09-en0036-11-35873,43.9948207612512,0
51,clueweb09-en0016-57-25039,43.7895634665471,0
51,clueweb09-en0087-64-09275,43.761052830125,1
51,clueweb09-en0022-64-36420,43.725532531175,0
51,clueweb09-en0012-17-28510,43.7159202909768,0
51,clueweb09-en0022-86-09587,43.6525263548213,0
51,clueweb09-en0008-85-35877,43.562241531459,0
51,clueweb09-en0023-20-21907,43.546774331602,0
51,clueweb09-en0011-12-02486,43.520358373232,0
51,clueweb09-en0050-72-39606,43.5096772102969,0
51,clueweb09-en0008-85-35882,43.4857062685759,0
51,clueweb09-en0036-84-23133,43.4545993930583,0
51,clueweb09-en0023-20-21911,43.4179717259302,0
51,clueweb09-en0114-68-32533,43.3892012174285,0
51,clueweb09-en0064-00-40512,43.387457009763,0
51,clueweb09-en0127-86-32168,43.3472232008442,0
51,clueweb09-en0008-85-35879,43.322935753328,0
51,clueweb09-en0072-07-13393,43.2873749965768,0
51,clueweb09-en0073-86-08760,43.252816255324,0
51,clueweb09-en0041-02-18277,43.2511793217181,0
51,clueweb09-en0023-20-21906,43.2376671519229,0
51,clueweb09-en0032-37-13464,43.211723199477,0
51,clueweb09-en0093-40-23468,43.2025384737237,0
51,clueweb09-en0011-80-03785,43.2004625193822,0
51,clueweb09-en0044-43-10913,43.1862386321044,0
51,clueweb09-en0007-32-06189,43.164767223413,0
51,clueweb09-en0114-68-32529,43.1422576552007,0
51,clueweb09-en0023-20-21909,43.129107012867,0
51,clueweb09-en0023-20-21908,43.1250805910968,0
51,clueweb09-en0066-75-24423,43.1234097163771,0
51,clueweb09-en0045-07-00644,43.1064349744812,0
51,clueweb09-en0022-96-17249,43.088272588694,0
51,clueweb09-en0030-21-36142,43.0652120420317,0
51,clueweb09-en0023-20-21905,43.0597524704525,0
51,clueweb09-en0072-83-30454,43.0023460114855,0
51,clueweb09-en0102-25-12973,42.9842262948013,0
51,clueweb09-en0025-18-29172,42.9639001353352,0
51,clueweb09-en0030-27-12681,42.9415052598557,0
51,clueweb09-en0001-90-05710,42.940543596009,0
51,clueweb09-en0036-55-22970,42.9309402699435,0
51,clueweb09-en0035-76-05394,42.9149060537538,0
51,clueweb09-en0051-18-00868,42.90056435188,0
51,clueweb09-en0011-01-24941,42.8992233253627,1
51,clueweb09-en0008-85-35881,42.8919166422823,0
51,clueweb09-en0001-80-06127,42.8917996259446,0
51,clueweb09-en0079-52-01837,42.8675903143019,0
51,clueweb09-en0013-84-31042,42.8638369716437,0
51,clueweb09-en0079-45-28080,42.8584927345567,0
51,clueweb09-en0030-21-36155,42.8051781045437,0
51,clueweb09-en0131-77-35452,42.8027389425919,0
51,clueweb09-en0012-24-38414,42.7992998559299,0
51,clueweb09-en0065-05-02183,42.7918974146355,0
51,clueweb09-enwp00-98-16864,42.7884861813314,0
51,clueweb09-en0051-81-22847,42.7864143102336,0
51,clueweb09-en0096-53-37947,42.7805132532585,1
51,clueweb09-en0065-74-08392,42.7779328645475,0
51,clueweb09-en0011-41-17216,42.7755142976563,0
51,clueweb09-en0063-67-19275,42.7733247785047,0
51,clueweb09-en0023-67-32468,42.7465937415306,0
51,clueweb09-en0025-28-05005,42.7465537858457,1
51,clueweb09-en0004-77-30624,42.7425954815946,1
51,clueweb09-en0079-23-29013,42.7090307882852,0
51,clueweb09-en0065-20-33465,42.7037390656381,0
51,clueweb09-en0035-63-24721,42.6871103005336,0
51,clueweb09-en0067-99-21782,42.6823448202019,0
51,clueweb09-en0024-45-30735,42.682060489787,0
51,clueweb09-en0022-96-17248,42.6726033398563,0
51,clueweb09-en0051-36-09236,42.669236161167,0
51,clueweb09-en0077-09-35997,42.6630431538128,0
51,clueweb09-en0026-73-34648,42.6373938864176,0
51,clueweb09-en0024-23-01350,42.6275428928001,0
51,clueweb09-en0023-20-21910,42.6172111073314,0
51,clueweb09-en0116-07-27190,42.5842117088326,0
51,clueweb09-en0091-38-10199,42.566835876206,0
51,clueweb09-en0023-20-21912,42.5643770238389,0
51,clueweb09-en0022-96-17246,42.5511680726798,0
51,clueweb09-en0040-41-33056,42.5478915158627,0
51,clueweb09-enwp00-93-16553,42.5477660374303,0
