topic,doc,score,rel
51,clueweb09-enwp02-23-17984,637.620869,0
51,clueweb09-enwp01-93-17804,637.602946,0
51,clueweb09-enwp01-72-17653,637.555544,0
51,clueweb09-enwp01-85-19433,550.855326,0
51,clueweb09-enwp01-76-18817,301.788862,0
51,clueweb09-enwp00-79-05685,301.740114,0
51,clueweb09-enwp00-33-21068,301.73861,0
51,clueweb09-enwp01-71-20771,301.735313,0
51,clueweb09-enwp01-56-05713,300.598162,0
51,clueweb09-enwp00-84-07154,300.494359,0
51,clueweb09-enwp02-30-18100,245.043443,0
51,clueweb09-enwp00-77-09494,244.621348,0
51,clueweb09-enwp02-14-09765,244.620259,0
51,clueweb09-enwp02-14-09766,244.620259,0
51,clueweb09-enwp00-66-09765,244.603782,0
51,clueweb09-enwp00-66-09766,244.603782,0
51,clueweb09-enwp00-61-09883,244.588269,0
51,clueweb09-enwp00-84-17568,244.471436,0
51,clueweb09-enwp00-75-00866,244.083641,1
51,clueweb09-enwp00-73-01083,244.075244,1
51,clueweb09-enwp00-42-08767,244.07469,1
51,clueweb09-enwp00-34-22452,244.045977,0
51,clueweb09-enwp00-83-16505,244.020089,1
51,clueweb09-enwp00-78-09678,244.012063,0
51,clueweb09-enwp00-68-10590,243.91997,0
51,clueweb09-enwp02-09-03587,243.362641,1
51,clueweb09-enwp01-11-18526,233.64405,0
51,clueweb09-enwp00-99-18008,233.635771,0
51,clueweb09-enwp01-03-17847,233.633509,0
51,clueweb09-enwp01-19-17808,233.627538,0
51,clueweb09-enwp01-11-18268,233.602013,0
51,clueweb09-enwp01-16-18995,233.596884,0
51,clueweb09-enwp01-05-16639,233.593813,0
51,clueweb09-enwp01-10-12668,233.589842,0
51,clueweb09-enwp02-24-16639,233.588949,0
51,clueweb09-enwp01-19-18330,233.587413,0
51,clueweb09-enwp01-02-13098,233.585193,0
51,clueweb09-enwp01-05-12958,233.581082,0
51,clueweb09-enwp02-24-12958,233.576218,0
51,clueweb09-enwp01-15-17705,233.573682,0
51,clueweb09-enwp01-16-16428,233.562534,0
51,clueweb09-enwp01-11-16529,233.558101,0
51,clueweb09-enwp01-16-18997,233.550403,0
51,clueweb09-enwp01-10-13566,233.549698,0
51,clueweb09-enwp01-40-07691,233.539742,0
51,clueweb09-enwp01-13-17925,233.53652,0
51,clueweb09-enwp01-16-17467,233.53514,0
51,clueweb09-enwp01-74-19187,233.533393,0
51,clueweb09-enwp01-02-16995,233.532957,0
51,clueweb09-enwp01-10-12495,233.531887,0
51,clueweb09-enwp01-16-12941,233.526215,0
51,clueweb09-enwp01-08-17054,233.525348,0
51,clueweb09-enwp01-74-19198,233.525143,0
51,clueweb09-enwp01-06-18133,233.525126,0
51,clueweb09-enwp01-06-18134,233.522576,0
51,clueweb09-enwp01-08-17053,233.520885,0
51,clueweb09-enwp01-13-17924,233.518033,0
51,clueweb09-enwp01-35-15605,233.517014,0
51,clueweb09-enwp01-02-20584,233.494031,0
51,clueweb09-enwp01-31-13953,233.488468,0
51,clueweb09-enwp01-64-01730,233.485361,0
51,clueweb09-enwp01-17-13743,233.481457,0
51,clueweb09-enwp01-06-19397,233.472832,0
51,clueweb09-enwp01-07-10017,233.46955,0
51,clueweb09-enwp01-00-14291,233.469029,0
51,clueweb09-enwp01-03-03782,233.467873,0
51,clueweb09-enwp01-13-11741,233.467033,0
51,clueweb09-enwp01-31-07721,233.462445,0
51,clueweb09-enwp01-44-03164,233.461938,0
51,clueweb09-enwp01-75-00026,233.45818,0
51,clueweb09-enwp01-41-17478,233.453176,0
51,clueweb09-enwp01-03-18357,233.452592,0
