topic,doc,score,rel
51,clueweb09-en0007-81-08143,-3.22369,1
51,clueweb09-en0008-43-16164,-3.23123,3
51,clueweb09-en0000-81-00258,-3.33089,0
51,clueweb09-en0007-89-20264,-3.33159,1
51,clueweb09-en0009-75-38683,-3.63052,1
51,clueweb09-en0001-55-24375,-3.80896,0
51,clueweb09-en0007-17-32780,-3.91889,1
51,clueweb09-en0007-95-17534,-4.27905,1
51,clueweb09-en0007-58-07045,-4.30358,0
51,clueweb09-en0007-45-28670,-4.3141,0
51,clueweb09-en0004-09-26101,-4.33836,0
51,clueweb09-en0010-40-24957,-4.34333,0
51,clueweb09-en0004-77-30624,-4.35275,1
51,clueweb09-en0001-95-29833,-4.38624,0
51,clueweb09-en0011-91-32012,-4.42309,0
51,clueweb09-en0001-90-05710,-4.4233,0
51,clueweb09-en0010-86-27052,-4.43219,1
51,clueweb09-en0001-12-06884,-4.43327,1
51,clueweb09-en0001-69-21592,-4.48928,0
51,clueweb09-en0009-63-08862,-4.53856,0
51,clueweb09-en0001-12-06928,-4.54445,0
51,clueweb09-en0001-12-06954,-4.55268,0
51,clueweb09-en0009-29-19817,-4.56765,0
51,clueweb09-en0001-12-06930,-4.606,0
51,clueweb09-en0008-42-06337,-4.61057,1
51,clueweb09-en0010-71-31244,-4.61184,0
51,clueweb09-en0011-10-04505,-4.62079,1
51,clueweb09-en0008-40-14674,-4.63044,0
51,clueweb09-en0008-66-10852,-4.63046,1
51,clueweb09-en0008-56-28642,-4.6332,0
51,clueweb09-en0011-01-24941,-4.6333,1
51,clueweb09-en0007-89-20284,-4.63592,1
51,clueweb09-en0005-55-14981,-4.65298,0
51,clueweb09-en0000-25-13013,-4.68812,0
51,clueweb09-en0010-86-27053,-4.71405,1
51,clueweb09-en0008-56-28635,-4.72069,0
51,clueweb09-en0007-89-20413,-4.72268,1
51,clueweb09-en0000-96-09552,-4.73551,0
51,clueweb09-en0004-36-39733,-4.74443,1
51,clueweb09-en0009-29-19804,-4.76316,0
51,clueweb09-en0011-52-07344,-4.76541,0
51,clueweb09-en0011-41-17281,-4.78403,1
51,clueweb09-enwp00-23-05499,-4.78959,1
51,clueweb09-enwp00-23-05500,-4.78985,1
51,clueweb09-enwp00-27-06293,-4.79131,1
51,clueweb09-enwp00-24-05847,-4.79411,1
51,clueweb09-enwp00-31-05923,-4.79411,1
51,clueweb09-en0010-03-30909,-4.84968,0
51,clueweb09-en0008-66-10870,-4.85217,0
51,clueweb09-en0007-89-20350,-4.85475,0
51,clueweb09-en0006-51-16125,-4.87836,1
51,clueweb09-en0007-78-06781,-4.88515,0
51,clueweb09-en0002-15-01072,-4.88704,0
51,clueweb09-en0007-89-20254,-4.89464,0
51,clueweb09-en0008-66-10851,-4.89819,0
51,clueweb09-en0001-01-17996,-4.90001,0
51,clueweb09-en0000-82-32505,-4.90977,0
51,clueweb09-en0005-36-19115,-4.91963,0
51,clueweb09-en0007-84-28988,-4.92804,0
51,clueweb09-en0011-41-17215,-4.94335,0
51,clueweb09-en0003-57-16902,-4.94863,1
51,clueweb09-en0001-12-06933,-4.95052,0
51,clueweb09-en0011-56-07362,-4.96879,0
51,clueweb09-en0001-55-23602,-4.97332,0
51,clueweb09-en0011-88-03739,-4.97741,1
51,clueweb09-en0007-45-28690,-4.97839,0
51,clueweb09-en0008-65-06270,-4.98788,0
51,clueweb09-en0002-88-29308,-4.99473,0
51,clueweb09-en0011-12-02486,-5.00426,0
51,clueweb09-en0008-96-11286,-5.00607,0
51,clueweb09-en0007-66-21597,-5.00827,0
51,clueweb09-en0001-01-17957,-5.00846,1
51,clueweb09-en0006-35-33932,-5.00878,0
51,clueweb09-en0001-01-18108,-5.01221,0
51,clueweb09-en0001-01-17983,-5.01724,0
51,clueweb09-en0011-41-17278,-5.02416,1
51,clueweb09-en0001-18-30969,-5.02561,0
51,clueweb09-en0006-78-11502,-5.02995,0
51,clueweb09-en0001-27-08686,-5.0312,0
51,clueweb09-en0009-43-25277,-5.03168,0
51,clueweb09-en0001-01-17982,-5.03264,0
51,clueweb09-en0006-61-04410,-5.03569,0
51,clueweb09-en0008-38-14639,-5.03788,0
51,clueweb09-enwp02-09-03587,-5.04929,1
51,clueweb09-enwp00-83-16505,-5.04959,1
51,clueweb09-enwp00-73-01083,-5.04965,1
51,clueweb09-enwp00-75-00866,-5.04965,1
51,clueweb09-enwp00-42-08767,-5.04972,1
51,clueweb09-enwp00-84-17568,-5.05004,0
51,clueweb09-enwp00-78-09678,-5.05007,0
51,clueweb09-enwp00-68-10590,-5.05014,0
51,clueweb09-enwp00-61-09883,-5.05027,0
51,clueweb09-enwp00-66-09765,-5.05027,0
51,clueweb09-enwp00-66-09766,-5.05027,0
51,clueweb09-enwp02-14-09765,-5.05027,0
51,clueweb09-enwp02-14-09766,-5.05027,0
51,clueweb09-enwp00-77-09494,-5.05033,0
51,clueweb09-enwp00-34-22452,-5.05046,0
51,clueweb09-en0001-80-26236,-5.05213,0
51,clueweb09-en0009-22-08986,-5.05976,0
51,clueweb09-en0001-01-18098,-5.06156,0
51,clueweb09-en0010-85-28651,-5.06413,0
51,clueweb09-en0005-62-15190,-5.07233,0
51,clueweb09-en0011-72-02913,-5.07538,0
51,clueweb09-en0008-96-11290,-5.07783,0
51,clueweb09-en0002-88-29306,-5.07869,0
51,clueweb09-en0009-29-38870,-5.07959,0
51,clueweb09-en0001-93-23513,-5.07985,0
51,clueweb09-en0008-14-01793,-5.08147,1
51,clueweb09-en0011-50-29077,-5.08169,0
51,clueweb09-en0003-93-25577,-5.084,1
51,clueweb09-en0011-41-17271,-5.08408,0
51,clueweb09-en0008-67-07347,-5.08434,0
51,clueweb09-en0010-30-03927,-5.08526,0
51,clueweb09-en0011-69-02822,-5.08807,0
51,clueweb09-en0004-16-06254,-5.08964,0
51,clueweb09-en0011-41-17257,-5.0937,1
51,clueweb09-en0002-05-26045,-5.09499,0
51,clueweb09-en0007-58-02747,-5.09531,0
51,clueweb09-en0010-46-13994,-5.09844,0
51,clueweb09-en0000-58-10698,-5.0989,0
51,clueweb09-en0008-59-04222,-5.09995,0
51,clueweb09-en0007-81-39422,-5.10031,0
51,clueweb09-en0011-41-17286,-5.10057,1
51,clueweb09-en0002-88-29309,-5.10085,0
51,clueweb09-en0001-80-06127,-5.10094,0
51,clueweb09-en0007-95-17097,-5.10195,1
51,clueweb09-en0007-17-32774,-5.10348,0
51,clueweb09-en0001-17-24757,-5.10582,0
51,clueweb09-en0006-78-11477,-5.10607,0
51,clueweb09-en0006-78-11515,-5.10642,0
51,clueweb09-en0011-41-17292,-5.10778,1
51,clueweb09-en0008-32-08511,-5.10852,1
51,clueweb09-en0006-18-04143,-5.10854,0
51,clueweb09-en0006-18-04302,-5.1092,0
51,clueweb09-en0006-18-03874,-5.10954,0
51,clueweb09-en0008-42-06338,-5.11425,0
51,clueweb09-en0000-92-16377,-5.11599,0
51,clueweb09-en0007-86-24047,-5.11863,0
51,clueweb09-en0007-58-04783,-5.12072,0
51,clueweb09-en0007-89-20296,-5.12099,0
51,clueweb09-en0007-81-39423,-5.12116,0
51,clueweb09-en0002-43-07334,-5.12259,0
51,clueweb09-en0004-44-11033,-5.12323,0
51,clueweb09-en0001-71-17056,-5.12793,0
51,clueweb09-en0002-88-29342,-5.12895,0
51,clueweb09-en0008-42-06341,-5.12964,0
51,clueweb09-en0011-91-23010,-5.12985,0
51,clueweb09-en0008-67-07366,-5.13137,0
51,clueweb09-en0011-63-33464,-5.13598,0
51,clueweb09-en0001-12-06925,-5.13765,0
51,clueweb09-en0002-26-19471,-5.13903,0
51,clueweb09-en0009-15-14336,-5.14196,0
51,clueweb09-en0009-15-14338,-5.14233,0
51,clueweb09-en0001-84-19365,-5.14377,0
51,clueweb09-en0007-79-06620,-5.15202,0
51,clueweb09-en0006-61-04382,-5.15208,1
51,clueweb09-en0009-75-38682,-5.15222,0
51,clueweb09-en0002-88-29337,-5.15314,0
51,clueweb09-en0010-35-24568,-5.15329,0
51,clueweb09-en0005-14-09499,-5.15591,0
51,clueweb09-en0009-46-22150,-5.15602,0
51,clueweb09-en0001-17-24767,-5.15662,0
51,clueweb09-en0007-42-22223,-5.1596,2
51,clueweb09-en0009-75-38684,-5.16036,0
51,clueweb09-en0001-80-26231,-5.16057,0
51,clueweb09-en0003-55-29804,-5.16107,0
51,clueweb09-en0008-66-10855,-5.16406,0
51,clueweb09-en0007-58-06650,-5.16569,0
51,clueweb09-en0003-45-29390,-5.16677,0
51,clueweb09-en0007-15-05445,-5.16848,0
51,clueweb09-enwp00-83-16491,-5.16959,0
51,clueweb09-enwp00-43-17002,-5.17061,0
51,clueweb09-enwp00-41-17358,-5.17075,1
51,clueweb09-enwp00-46-17450,-5.17075,0
51,clueweb09-enwp01-99-17450,-5.17075,0
51,clueweb09-en0011-41-17264,-5.17519,0
51,clueweb09-en0006-50-30591,-5.17788,0
51,clueweb09-en0006-51-16123,-5.17818,0
51,clueweb09-en0001-21-25404,-5.17839,0
51,clueweb09-en0007-18-37400,-5.17858,0
51,clueweb09-en0002-79-23132,-5.18322,0
51,clueweb09-en0006-01-07016,-5.18855,0
51,clueweb09-en0008-14-01754,-5.19063,0
51,clueweb09-en0010-05-06251,-5.19555,1
51,clueweb09-en0007-49-39158,-5.19706,0
51,clueweb09-en0009-10-37353,-5.19732,0
51,clueweb09-en0008-32-08460,-5.20851,0
51,clueweb09-en0009-64-29768,-5.21044,0
51,clueweb09-en0006-67-04748,-5.21187,0
51,clueweb09-en0011-41-17214,-5.21304,1
51,clueweb09-en0011-41-17301,-5.21802,0
51,clueweb09-en0000-58-10689,-5.22088,0
51,clueweb09-enwp00-95-17841,-5.22418,1
51,clueweb09-en0009-67-27379,-5.23099,0
51,clueweb09-en0000-58-10709,-5.232,0
51,clueweb09-en0009-75-38704,-5.23223,0
51,clueweb09-en0000-58-10710,-5.23243,0
51,clueweb09-en0008-87-10439,-5.23589,1
51,clueweb09-en0007-89-20282,-5.23592,0
51,clueweb09-en0008-64-11452,-5.23878,0
51,clueweb09-en0007-95-16062,-5.23994,0
51,clueweb09-enwp00-21-05193,-5.24115,0
51,clueweb09-en0010-07-20095,-5.24324,0
51,clueweb09-en0009-15-14337,-5.24528,0
51,clueweb09-en0006-61-04354,-5.24691,2
51,clueweb09-en0011-41-17298,-5.24704,0
51,clueweb09-en0000-25-01604,-5.2501,0
51,clueweb09-en0010-58-36100,-5.25248,0
51,clueweb09-en0002-88-29338,-5.25255,0
51,clueweb09-en0010-37-28468,-5.25296,0
51,clueweb09-en0011-41-17268,-5.25338,1
51,clueweb09-en0003-61-25234,-5.25414,0
51,clueweb09-en0006-50-29999,-5.25611,0
51,clueweb09-en0004-70-26881,-5.25697,0
51,clueweb09-en0007-89-20458,-5.25922,0
51,clueweb09-en0007-09-25334,-5.25942,0
51,clueweb09-en0009-56-10176,-5.2618,0
51,clueweb09-en0001-12-06874,-5.2669,0
51,clueweb09-en0011-88-03710,-5.26757,0
51,clueweb09-en0008-88-23094,-5.27271,2
51,clueweb09-en0003-93-25578,-5.27287,0
51,clueweb09-en0011-41-17216,-5.27509,0
