topic,doc,score,rel
51,clueweb09-enwp00-27-06293,1.04577482122339,1
51,clueweb09-enwp00-23-05500,1.04536519009253,1
51,clueweb09-enwp00-23-05499,1.04429653004557,1
51,clueweb09-enwp00-24-05847,1.04089267731473,1
51,clueweb09-enwp00-31-05923,1.03990259922188,1
51,clueweb09-enwp00-93-16535,1.0349495532618,1
51,clueweb09-enwp00-95-17841,1.03246789730045,1
51,clueweb09-enwp01-56-17036,1.03175304543071,1
51,clueweb09-enwp01-55-06136,1.0317218073615,1
51,clueweb09-enwp02-19-00937,1.02766956196773,1
51,clueweb09-enwp02-05-03600,1.02216195647383,1
51,clueweb09-en0128-12-18639,1.02198036232212,2
51,clueweb09-en0120-52-22426,1.02163790689262,0
51,clueweb09-en0038-51-33785,1.02129046950792,3
51,clueweb09-en0061-44-14791,1.01927296995176,1
51,clueweb09-en0040-02-21140,1.01813634797832,0
51,clueweb09-en0133-90-15067,1.01738988749124,2
51,clueweb09-enwp00-41-17358,1.01737490892913,1
51,clueweb09-en0054-79-13017,1.01719758325809,1
51,clueweb09-en0035-67-18970,1.01683727887962,0
51,clueweb09-enwp00-43-17002,1.01594494682204,0
51,clueweb09-en0008-43-16164,1.01588882941671,3
51,clueweb09-en0040-02-21157,1.01529420524225,0
51,clueweb09-enwp00-34-22452,1.01528336224609,0
51,clueweb09-en0007-81-08143,1.01502007128413,1
51,clueweb09-en0040-08-35086,1.01484245595966,2
51,clueweb09-en0025-82-09111,1.01454522994339,0
51,clueweb09-en0061-44-14824,1.01433592181246,0
51,clueweb09-en0047-29-06768,1.01420053716585,1
51,clueweb09-enwp00-83-16491,1.01411502638171,0
51,clueweb09-en0127-10-06510,1.01369693746803,0
51,clueweb09-enwp00-77-09494,1.01355007505966,0
51,clueweb09-en0067-87-40849,1.01349294200763,0
51,clueweb09-enwp02-14-09766,1.01341659739549,0
51,clueweb09-enwp00-78-09678,1.01337454350399,0
51,clueweb09-en0037-69-19022,1.013364786227,0
51,clueweb09-enwp00-66-09766,1.01332587294809,0
51,clueweb09-enwp01-99-17450,1.01332204577288,0
51,clueweb09-enwp00-46-17450,1.01326295742063,0
51,clueweb09-en0100-80-12547,1.01321093870075,0
51,clueweb09-en0079-21-09587,1.01316030731042,0
51,clueweb09-en0082-89-42932,1.0130589868302,0
51,clueweb09-en0036-40-12086,1.01293683624796,2
51,clueweb09-en0004-77-30624,1.01293467322268,1
51,clueweb09-en0050-83-28797,1.01292801153245,1
51,clueweb09-en0133-71-23355,1.01276206545723,1
51,clueweb09-en0093-01-01638,1.0127171750271,1
51,clueweb09-enwp01-56-17042,1.0126353824547,2
51,clueweb09-en0097-15-08336,1.01220904150946,1
51,clueweb09-en0078-83-13305,1.01220664452432,1
51,clueweb09-en0093-41-24581,1.01193865323897,0
51,clueweb09-en0093-25-09218,1.01193538414,0
51,clueweb09-en0039-19-17541,1.01187958795687,0
51,clueweb09-en0016-19-24681,1.0118529241865,2
51,clueweb09-enwp00-84-17568,1.01176927328431,0
51,clueweb09-enwp00-83-16505,1.01165708940334,1
51,clueweb09-en0041-30-31840,1.01142034663109,0
51,clueweb09-en0033-54-27024,1.01133739336821,0
51,clueweb09-enwp00-98-16864,1.01130670213992,0
51,clueweb09-enwp01-12-18286,1.01125748487312,0
51,clueweb09-en0094-60-40973,1.01122338543407,0
