topic,doc,score,rel
51,clueweb09-en0007-89-20264,1.3572057340818,1
51,clueweb09-en0000-81-00258,1.27949905559419,0
51,clueweb09-en0008-43-16164,1.25684149919408,3
51,clueweb09-en0010-85-28651,1.20720640118596,0
51,clueweb09-enwp00-27-06293,1.2016803368594,1
51,clueweb09-en0009-75-38683,1.2015181885108,1
51,clueweb09-enwp00-23-05499,1.19846694234214,1
51,clueweb09-enwp00-24-05847,1.19783742472144,1
51,clueweb09-enwp00-31-05923,1.19311027742515,1
51,clueweb09-en0010-86-27052,1.18384690621343,1
51,clueweb09-en0007-17-32780,1.17583892984487,1
51,clueweb09-enwp00-23-05500,1.17095198580091,1
51,clueweb09-en0008-56-28642,1.16532155390047,0
51,clueweb09-en0006-51-16125,1.16408391060362,1
51,clueweb09-en0011-41-17286,1.16402330405536,1
51,clueweb09-en0004-77-30624,1.15589136319703,1
51,clueweb09-en0007-89-20413,1.15361794142641,1
51,clueweb09-en0001-95-29833,1.13765588028897,0
51,clueweb09-en0007-81-08143,1.13605756662212,1
51,clueweb09-en0011-41-17271,1.13372789037987,0
51,clueweb09-en0004-36-39733,1.1335590957521,1
51,clueweb09-en0003-93-25577,1.12860407549721,1
51,clueweb09-en0007-89-20284,1.12283089290342,1
51,clueweb09-en0007-42-22223,1.11993978077848,2
51,clueweb09-en0011-56-07362,1.11451854548514,0
51,clueweb09-en0011-41-17268,1.11323847622346,1
51,clueweb09-en0008-66-10852,1.11317660252437,1
51,clueweb09-en0008-96-11286,1.1038804856127,0
51,clueweb09-en0010-86-27053,1.10276492789891,1
51,clueweb09-en0008-66-10855,1.0960935141057,0
51,clueweb09-en0008-66-10870,1.09198230200066,0
51,clueweb09-en0008-88-23094,1.0883964724855,2
51,clueweb09-en0011-50-29077,1.08610306126626,0
51,clueweb09-en0008-42-06337,1.08402488223977,1
51,clueweb09-en0011-41-17298,1.08073902920196,0
51,clueweb09-en0008-38-14639,1.08043963827037,0
51,clueweb09-en0008-87-10439,1.0788800644216,1
51,clueweb09-en0008-64-12138,1.07871308034302,0
51,clueweb09-en0011-41-17281,1.07681151576267,1
51,clueweb09-en0006-35-33932,1.07655178454587,0
51,clueweb09-en0009-22-08986,1.07620275936029,0
51,clueweb09-en0001-12-06884,1.07472829512701,1
51,clueweb09-en0011-01-24941,1.07446805061732,1
51,clueweb09-en0007-15-05482,1.07335572764869,0
51,clueweb09-en0008-14-01793,1.07017717037746,1
51,clueweb09-en0011-41-17214,1.06877367191972,1
51,clueweb09-en0011-41-17215,1.0675511008692,0
51,clueweb09-en0011-10-04505,1.0631700283277,1
51,clueweb09-en0008-64-11452,1.0616672949186,0
51,clueweb09-en0004-16-06254,1.06130548125597,0
51,clueweb09-enwp02-19-00937,1.05863163922814,1
51,clueweb09-en0001-12-06930,1.05860584311001,0
51,clueweb09-en0002-90-08640,1.05854708435767,0
51,clueweb09-en0011-39-20427,1.05800957224948,0
51,clueweb09-en0007-15-05471,1.05663497618253,0
51,clueweb09-en0009-85-39698,1.05661466607713,1
51,clueweb09-en0010-30-03927,1.05559813635281,0
51,clueweb09-en0007-49-30125,1.05501555846307,0
51,clueweb09-en0007-35-00957,1.05444152904785,0
51,clueweb09-en0007-15-05425,1.05072139619816,0
51,clueweb09-en0011-41-17301,1.05065149304806,0
51,clueweb09-en0007-15-05438,1.0502045994185,0
51,clueweb09-en0007-15-05466,1.04985065070535,0
51,clueweb09-en0007-15-05443,1.04977723504762,0
51,clueweb09-en0011-41-17207,1.04917301360559,2
51,clueweb09-en0001-12-06933,1.0488688295206,0
51,clueweb09-en0007-49-30118,1.04788786556765,0
51,clueweb09-en0007-15-05478,1.04745964754235,0
51,clueweb09-en0011-94-02121,1.04606423205676,0
51,clueweb09-en0011-41-17250,1.04595367283591,0
51,clueweb09-en0008-66-10851,1.04580486566685,0
51,clueweb09-en0007-15-05445,1.0455867209721,0
51,clueweb09-en0007-15-05452,1.0448409001963,0
51,clueweb09-en0011-41-17278,1.0444673214155,1
51,clueweb09-en0011-47-31334,1.04349128292483,0
51,clueweb09-en0007-45-28670,1.04202629724321,0
51,clueweb09-en0007-15-05449,1.04059854812704,0
51,clueweb09-en0009-84-34320,1.04044674748476,1
51,clueweb09-en0007-15-05475,1.03771924068244,0
51,clueweb09-en0004-70-26881,1.03603272496361,0
51,clueweb09-en0007-49-30120,1.03597996058836,0
51,clueweb09-en0007-15-05437,1.03538671389916,0
51,clueweb09-en0007-15-05450,1.03442078006362,0
51,clueweb09-enwp00-93-16535,1.03427378024702,1
51,clueweb09-enwp01-55-06136,1.03325179132978,1
51,clueweb09-en0007-09-25334,1.03291182599524,0
51,clueweb09-enwp01-56-17036,1.0326282960048,1
51,clueweb09-enwp00-95-17841,1.03251710094672,1
51,clueweb09-en0006-61-04382,1.03247633558275,1
51,clueweb09-en0011-41-17273,1.03207556515209,0
51,clueweb09-en0011-41-17237,1.0317512197733,0
51,clueweb09-en0007-49-30123,1.02956903038614,0
51,clueweb09-en0007-49-30114,1.0287611133301,0
51,clueweb09-en0009-56-10176,1.02748279235742,0
51,clueweb09-en0010-03-31177,1.02747769003814,0
51,clueweb09-en0011-52-07344,1.02665192427558,0
51,clueweb09-en0008-03-24683,1.02657025924643,0
51,clueweb09-en0001-12-06954,1.02544804492361,0
51,clueweb09-en0007-15-05470,1.02536303343351,0
51,clueweb09-en0008-56-28635,1.02425895367519,0
51,clueweb09-en0007-15-05483,1.02382385859319,0
51,clueweb09-en0011-41-17274,1.02357656432863,0
51,clueweb09-en0007-15-05428,1.02305792287795,0
51,clueweb09-en0006-67-29605,1.02287079545142,0
51,clueweb09-en0007-15-05448,1.02212981533111,0
51,clueweb09-en0001-01-18098,1.02204367066493,0
51,clueweb09-en0007-83-23259,1.02168125339502,1
51,clueweb09-en0007-49-30116,1.02146809847269,0
51,clueweb09-en0007-49-30127,1.02145833361113,0
51,clueweb09-en0011-41-17257,1.02138886059683,1
51,clueweb09-en0007-49-30124,1.01899819845298,0
51,clueweb09-en0001-12-06928,1.01801635704967,0
51,clueweb09-en0007-15-05440,1.01590305522269,0
51,clueweb09-en0007-15-05451,1.01529790671107,0
51,clueweb09-en0011-69-21571,1.01508961364596,1
51,clueweb09-en0002-05-26045,1.01494605113285,0
51,clueweb09-en0011-41-17254,1.01476389136798,0
51,clueweb09-en0006-47-26813,1.01342969937875,0
51,clueweb09-en0009-29-19817,1.01330709298353,0
51,clueweb09-en0000-92-16377,1.01305451200415,0
51,clueweb09-en0007-49-30121,1.01238811626689,0
51,clueweb09-en0007-15-05442,1.01198350462413,0
51,clueweb09-en0007-15-05473,1.01048445720568,0
51,clueweb09-en0010-46-13994,1.00918879635411,0
51,clueweb09-en0002-80-35729,1.00827865471533,0
51,clueweb09-en0001-41-17450,1.0075022441468,0
51,clueweb09-en0010-34-43663,1.0073979648664,0
51,clueweb09-en0009-67-27379,1.00616200399088,0
51,clueweb09-en0011-41-17292,1.00573559587127,1
51,clueweb09-en0007-15-05481,1.0049506607528,0
51,clueweb09-en0011-41-17253,1.00403339403554,0
51,clueweb09-en0010-87-16855,1.00394053869973,0
51,clueweb09-en0006-61-04378,1.00318159210836,0
51,clueweb09-en0001-69-21592,1.00297843128102,0
51,clueweb09-en0006-61-04409,1.00296672195014,0
51,clueweb09-en0011-41-17264,1.00216008487651,0
51,clueweb09-en0011-88-03739,0.99988263948296,1
51,clueweb09-en0008-32-08460,0.99987263324816,0
51,clueweb09-en0001-01-17996,0.99866469473102,0
51,clueweb09-en0009-63-08922,0.997326625811784,0
51,clueweb09-en0011-69-02822,0.996897479580557,0
51,clueweb09-en0008-37-05398,0.996337990137492,0
51,clueweb09-en0011-91-23010,0.995673902359559,0
51,clueweb09-en0011-41-17217,0.99564771301837,0
51,clueweb09-en0008-07-07479,0.992775118533311,0
51,clueweb09-en0006-01-07016,0.991386425940234,0
51,clueweb09-en0007-15-05436,0.991083920696583,0
51,clueweb09-en0011-41-17252,0.990926024677712,0
51,clueweb09-en0008-66-10895,0.990855591566071,0
51,clueweb09-en0002-80-36071,0.99049169907575,0
51,clueweb09-en0010-85-28660,0.990075109671099,0
51,clueweb09-en0008-40-14674,0.989885866498819,0
51,clueweb09-en0009-30-04040,0.988037829181514,1
51,clueweb09-en0010-03-30909,0.987364100502355,0
