topic,doc,score,rel
51,clueweb09-en0008-43-16164,20.6950525672266,3
51,clueweb09-en0007-89-20413,20.6238174911154,1
51,clueweb09-en0007-89-20264,20.194075226592,1
51,clueweb09-en0001-95-29833,20.0868642987398,0
51,clueweb09-en0001-84-19365,20.0193259865353,0
51,clueweb09-en0005-19-11234,19.953939448587,1
51,clueweb09-en0007-17-32780,19.9187044631788,1
51,clueweb09-en0011-41-17207,19.8900443193057,2
51,clueweb09-en0008-42-06337,19.7040828326633,1
51,clueweb09-en0008-38-14639,19.6273342495741,0
51,clueweb09-en0004-77-30624,19.6083890683902,1
51,clueweb09-en0000-81-00258,19.5546338490334,0
51,clueweb09-en0008-59-04222,19.5197755243518,0
51,clueweb09-en0009-84-34320,19.5181130623735,1
51,clueweb09-en0007-89-20411,19.4612986016851,0
51,clueweb09-en0003-93-25577,19.4448308077808,1
51,clueweb09-en0011-41-17271,19.4448308077808,0
51,clueweb09-en0006-48-02867,19.4184089247401,1
51,clueweb09-en0011-41-17286,19.3813570072889,1
51,clueweb09-en0010-40-24957,19.3259113822521,0
51,clueweb09-en0001-01-18108,19.3069816377287,0
51,clueweb09-enwp00-23-05499,19.2477331613995,1
51,clueweb09-enwp00-23-05500,19.2469474867638,1
51,clueweb09-enwp00-27-06293,19.2289565571194,1
51,clueweb09-enwp00-24-05847,19.2258117174819,1
51,clueweb09-enwp00-31-05923,19.2258117174819,1
51,clueweb09-en0008-66-10852,19.1842552648147,1
51,clueweb09-en0006-61-04354,19.0621573160678,2
51,clueweb09-en0004-77-14109,18.946835755768,0
51,clueweb09-en0006-61-04382,18.9409779642634,1
51,clueweb09-en0007-89-20422,18.8827232535557,0
51,clueweb09-en0007-15-05432,18.8788913318448,0
51,clueweb09-en0011-41-17298,18.8775787320838,0
51,clueweb09-en0011-41-17278,18.8569111850013,1
51,clueweb09-en0007-81-08143,18.8546994759908,1
51,clueweb09-en0001-12-06930,18.8515929610838,0
51,clueweb09-en0011-94-02121,18.8458762593152,0
51,clueweb09-en0011-39-20427,18.7161585230544,0
51,clueweb09-en0002-80-35979,18.6989227640638,0
51,clueweb09-en0007-89-20265,18.6860829066867,0
51,clueweb09-en0011-41-17268,18.6827111223384,1
51,clueweb09-en0001-12-06884,18.6558617565453,1
51,clueweb09-en0004-36-39733,18.6558113378666,1
51,clueweb09-en0011-41-17257,18.6473287629063,1
51,clueweb09-enwp00-95-17841,18.6435857112626,1
51,clueweb09-enwp00-93-16535,18.6429435859497,1
51,clueweb09-enwp01-56-17036,18.6429435859497,1
51,clueweb09-enwp02-19-00937,18.6232532634044,1
51,clueweb09-en0007-15-05425,18.6018622961809,0
51,clueweb09-en0007-15-05443,18.6018622961809,0
51,clueweb09-en0007-49-30114,18.6018622961809,0
51,clueweb09-enwp01-55-06136,18.5951153711799,1
51,clueweb09-en0011-41-17284,18.5765489806274,0
51,clueweb09-en0008-73-10199,18.5448231685849,0
51,clueweb09-en0008-66-10855,18.538346766022,0
51,clueweb09-en0006-48-02868,18.5358088588161,0
51,clueweb09-en0007-42-22223,18.5203954350615,2
51,clueweb09-en0011-41-17281,18.5110597276277,1
51,clueweb09-en0008-37-05398,18.4587904435873,0
51,clueweb09-en0010-49-39026,18.452752906074,0
51,clueweb09-en0007-15-05471,18.4254130527855,0
51,clueweb09-en0007-49-30125,18.4254130527855,0
51,clueweb09-en0010-42-18001,18.4172595858638,0
51,clueweb09-en0002-05-26045,18.4035231534617,0
51,clueweb09-en0001-41-17450,18.3972776772467,0
51,clueweb09-en0005-07-16868,18.3905067654051,0
51,clueweb09-en0001-12-06874,18.3857100020162,0
51,clueweb09-en0006-48-02862,18.3845172825054,0
51,clueweb09-en0011-41-17248,18.3697623985122,0
51,clueweb09-en0008-56-28642,18.3658839420923,0
51,clueweb09-en0008-66-10870,18.3546621210691,0
51,clueweb09-en0011-41-17292,18.3534294747362,1
51,clueweb09-en0011-41-17214,18.3505349212307,1
51,clueweb09-enwp00-83-16491,18.3364655718282,0
51,clueweb09-enwp00-43-17002,18.3359225417933,0
51,clueweb09-enwp00-41-17358,18.3353796139374,1
51,clueweb09-enwp00-46-17450,18.3353796139374,0
51,clueweb09-enwp01-99-17450,18.3353796139374,0
51,clueweb09-en0010-30-03927,18.3160340539455,0
51,clueweb09-en0006-32-10601,18.3109393241881,0
51,clueweb09-en0010-49-39016,18.2955424514353,0
51,clueweb09-en0007-83-23259,18.2916321818822,1
51,clueweb09-en0009-63-08917,18.287100384047,0
51,clueweb09-en0007-83-23270,18.284519178668,0
51,clueweb09-en0007-15-05451,18.2803495314195,0
51,clueweb09-en0007-49-30121,18.2803495314195,0
51,clueweb09-en0007-89-20248,18.2477114900149,0
51,clueweb09-en0009-85-39698,18.2417840920913,1
51,clueweb09-en0010-58-36005,18.2057171899395,0
51,clueweb09-en0001-50-19915,18.1965821938496,0
51,clueweb09-en0007-15-05445,18.1888270876482,0
51,clueweb09-en0003-03-11411,18.1797856088948,1
51,clueweb09-en0011-69-21571,18.1797856088948,1
51,clueweb09-en0008-66-10851,18.1731861640839,0
51,clueweb09-en0003-58-24404,18.1617006748511,0
51,clueweb09-en0002-88-29306,18.1611832836134,0
51,clueweb09-enwp01-47-21405,18.1144862213505,0
51,clueweb09-enwp01-64-20952,18.1144862213505,0
51,clueweb09-enwp00-17-19897,18.1101816696482,0
51,clueweb09-enwp00-02-19981,18.1093916928926,0
51,clueweb09-enwp00-05-19863,18.1093916928926,0
51,clueweb09-enwp01-96-01929,18.1089967856065,0
51,clueweb09-enwp01-12-18286,18.0991902100598,0
51,clueweb09-enwp00-83-16479,18.0954866874819,0
51,clueweb09-enwp00-91-16763,18.0905590638303,0
51,clueweb09-en0003-02-03866,18.0900163699971,0
51,clueweb09-en0007-15-05434,18.08734624277,0
51,clueweb09-en0011-41-17274,18.0839112626722,0
51,clueweb09-en0007-15-05482,18.0822194959026,0
