topic,doc,score,rel
101,clueweb09-en0003-60-13052,0.62492,2
101,clueweb09-en0009-19-09281,0.54429,0
101,clueweb09-en0008-86-11051,0.53546,0
101,clueweb09-en0004-66-09322,0.50487,2
101,clueweb09-en0011-32-10292,0.44398,0
101,clueweb09-en0010-93-30671,0.43419,1
101,clueweb09-en0006-70-22626,0.41856,0
101,clueweb09-en0001-91-27453,0.41477,0
101,clueweb09-en0010-39-17891,0.39773,0
101,clueweb09-en0009-19-09264,0.375,0
101,clueweb09-en0008-86-11031,0.36364,0
101,clueweb09-en0009-17-05479,0.34612,0
101,clueweb09-en0003-75-17857,0.32471,1
101,clueweb09-en0010-91-25316,0.324,1
101,clueweb09-en0002-62-17931,0.3125,0
101,clueweb09-en0001-74-36490,0.31061,0
101,clueweb09-en0011-52-14199,0.30871,0
101,clueweb09-en0008-24-24500,0.30492,0
101,clueweb09-en0007-71-07471,0.30114,0
101,clueweb09-en0010-42-04786,0.29924,0
101,clueweb09-en0007-65-25377,0.29356,0
101,clueweb09-en0002-26-21862,0.29167,0
101,clueweb09-en0008-24-24493,0.29167,0
101,clueweb09-en0006-70-22515,0.2803,0
101,clueweb09-en0006-70-22583,0.27841,0
101,clueweb09-en0009-83-31721,0.27841,0
101,clueweb09-enwp01-40-22507,0.27462,0
101,clueweb09-en0004-75-27659,0.26894,0
101,clueweb09-en0008-72-29938,0.26515,0
101,clueweb09-en0000-21-12356,0.25947,0
101,clueweb09-en0000-79-12800,0.25947,1
101,clueweb09-en0007-97-26000,0.25947,0
101,clueweb09-en0006-70-22560,0.25568,0
101,clueweb09-en0006-70-22597,0.25379,0
101,clueweb09-en0006-70-22653,0.25379,0
101,clueweb09-en0009-14-05238,0.25379,0
101,clueweb09-en0004-37-01154,0.25189,0
101,clueweb09-en0006-70-22577,0.25189,0
101,clueweb09-en0008-50-34897,0.25189,0
101,clueweb09-enwp01-10-20426,0.25189,0
101,clueweb09-en0006-70-22496,0.25,0
101,clueweb09-en0007-97-25999,0.25,0
101,clueweb09-en0007-97-26261,0.25,0
101,clueweb09-en0010-88-00029,0.25,1
101,clueweb09-en0006-80-16991,0.24811,0
101,clueweb09-en0006-51-35681,0.24621,1
101,clueweb09-en0006-70-22523,0.24432,0
101,clueweb09-en0006-70-22608,0.23864,0
101,clueweb09-en0006-70-22517,0.23674,0
101,clueweb09-en0006-70-22594,0.23674,0
101,clueweb09-en0011-50-37385,0.23674,0
101,clueweb09-en0006-70-22678,0.23485,0
101,clueweb09-en0006-37-16979,0.23295,0
101,clueweb09-en0008-80-29984,0.23295,0
101,clueweb09-en0008-51-28018,0.23106,0
101,clueweb09-en0000-11-36944,0.22917,0
101,clueweb09-en0007-97-25998,0.22917,0
101,clueweb09-en0006-70-22555,0.22727,0
101,clueweb09-en0004-79-15466,0.22348,0
101,clueweb09-en0006-70-22500,0.22348,0
101,clueweb09-en0006-70-22613,0.22348,0
101,clueweb09-en0006-70-22624,0.22348,0
101,clueweb09-en0010-37-40536,0.22348,0
101,clueweb09-en0011-32-10186,0.22348,0
101,clueweb09-en0006-70-22566,0.21886,1
101,clueweb09-en0001-69-04553,0.21591,0
101,clueweb09-en0004-44-12378,0.21402,0
101,clueweb09-en0011-32-10146,0.21402,0
101,clueweb09-en0002-83-01420,0.21212,1
101,clueweb09-en0006-70-22562,0.21212,0
101,clueweb09-en0006-70-22568,0.21212,0
101,clueweb09-en0003-60-13047,0.20644,0
101,clueweb09-en0006-70-22506,0.20644,0
101,clueweb09-en0009-15-15863,0.20644,0
101,clueweb09-en0006-97-01938,0.20455,1
101,clueweb09-en0010-91-25089,0.20455,0
101,clueweb09-en0002-54-00468,0.20265,1
101,clueweb09-en0006-70-22588,0.20265,0
101,clueweb09-en0006-70-22627,0.20265,0
101,clueweb09-en0009-39-12311,0.20265,0
101,clueweb09-en0006-83-31753,0.19886,0
101,clueweb09-en0007-97-26001,0.19129,0
101,clueweb09-en0005-83-31893,0.18858,0
101,clueweb09-en0008-90-16355,0.1875,0
101,clueweb09-en0006-70-22659,0.18561,0
101,clueweb09-en0008-78-08029,0.18561,0
101,clueweb09-en0010-91-25096,0.18561,0
101,clueweb09-en0011-83-34136,0.18371,0
101,clueweb09-en0001-98-07420,0.18333,0
101,clueweb09-en0006-70-22638,0.17803,0
101,clueweb09-en0010-42-03657,0.17424,0
101,clueweb09-en0000-78-19663,0.17235,0
101,clueweb09-en0011-98-14876,0.17045,0
101,clueweb09-en0010-93-30940,0.16856,0
101,clueweb09-en0006-70-22658,0.16477,0
101,clueweb09-en0008-90-41002,0.16383,0
101,clueweb09-en0006-23-24823,0.16288,0
101,clueweb09-en0006-70-22571,0.16288,0
101,clueweb09-en0006-70-22616,0.16288,0
101,clueweb09-en0008-51-28078,0.15909,0
101,clueweb09-en0001-13-03866,0.1572,0
101,clueweb09-en0002-98-11102,0.1572,0
101,clueweb09-en0006-70-22639,0.1572,0
101,clueweb09-en0011-71-15097,0.1572,0
101,clueweb09-en0006-70-22502,0.1553,0
101,clueweb09-en0006-70-22602,0.1553,0
101,clueweb09-en0006-70-22631,0.1553,0
101,clueweb09-en0002-46-20098,0.15341,0
101,clueweb09-en0008-28-23354,0.15341,0
101,clueweb09-en0010-93-32796,0.15341,0
101,clueweb09-en0002-94-07010,0.15152,0
101,clueweb09-en0006-70-22494,0.15152,0
101,clueweb09-en0006-70-22630,0.15152,0
101,clueweb09-en0010-56-30018,0.15152,1
101,clueweb09-en0006-70-22559,0.14962,0
101,clueweb09-en0006-70-22615,0.14962,0
101,clueweb09-en0006-70-22634,0.14962,0
101,clueweb09-en0009-42-25680,0.14962,0
101,clueweb09-en0006-70-22551,0.14773,0
101,clueweb09-en0006-70-22650,0.14773,0
101,clueweb09-en0006-70-22655,0.14773,0
101,clueweb09-en0006-70-22518,0.14583,0
101,clueweb09-en0006-70-22550,0.14583,0
101,clueweb09-en0006-70-22572,0.14583,0
101,clueweb09-en0006-70-22629,0.14583,0
101,clueweb09-en0006-70-22647,0.14583,0
101,clueweb09-en0006-70-22667,0.14583,0
101,clueweb09-en0010-93-26924,0.14583,0
101,clueweb09-en0006-70-22516,0.14394,0
101,clueweb09-en0006-70-22554,0.14394,0
101,clueweb09-en0006-70-22582,0.14394,0
