topic,doc,score,rel
101,clueweb09-enwp01-51-16785,3343,0
101,clueweb09-enwp01-10-20426,3293,0
101,clueweb09-enwp01-40-22507,3293,0
101,clueweb09-enwp02-30-09857,3260,0
101,clueweb09-enwp01-12-07209,3200,0
101,clueweb09-enwp02-03-03394,2972,0
101,clueweb09-enwp03-16-22050,2915,0
101,clueweb09-enwp02-13-04488,2757,0
101,clueweb09-enwp00-95-09531,2756,0
101,clueweb09-enwp01-28-03980,2742,0
101,clueweb09-enwp00-76-23137,2726,0
101,clueweb09-enwp00-40-23043,2725,0
101,clueweb09-enwp01-12-10029,2718,0
101,clueweb09-enwp01-41-04187,2714,0
101,clueweb09-enwp00-51-15976,2707,0
101,clueweb09-enwp01-32-04787,2702,0
101,clueweb09-enwp01-65-06596,2702,0
101,clueweb09-enwp01-24-10324,2662,0
101,clueweb09-enwp00-56-02603,2632,0
101,clueweb09-enwp00-71-18339,2593,0
101,clueweb09-enwp01-56-00424,2554,0
101,clueweb09-enwp00-68-19686,2486,0
101,clueweb09-enwp00-18-17706,2470,0
101,clueweb09-enwp00-06-17314,2468,0
101,clueweb09-enwp01-58-17706,2446,0
101,clueweb09-enwp00-69-18650,2415,0
101,clueweb09-enwp00-42-13855,2402,0
101,clueweb09-enwp00-43-13171,2401,0
101,clueweb09-enwp00-51-14242,2401,0
101,clueweb09-enwp00-54-13051,2401,0
101,clueweb09-enwp00-83-16693,2401,0
101,clueweb09-enwp00-89-18318,2401,0
101,clueweb09-enwp01-42-04114,2401,0
101,clueweb09-enwp01-90-12521,2397,0
101,clueweb09-enwp01-72-20002,2378,0
101,clueweb09-enwp00-63-18127,2323,0
101,clueweb09-enwp03-26-02197,2296,0
101,clueweb09-enwp00-30-23121,2290,0
101,clueweb09-enwp00-45-07390,2287,0
101,clueweb09-enwp00-53-07232,2286,0
101,clueweb09-enwp00-55-11761,2286,0
101,clueweb09-enwp03-19-19227,2273,0
101,clueweb09-enwp01-93-08708,2271,0
101,clueweb09-enwp02-09-00784,2271,0
101,clueweb09-enwp02-01-17167,2260,0
101,clueweb09-enwp00-73-18875,2258,0
101,clueweb09-enwp00-73-18876,2251,0
101,clueweb09-enwp00-93-22968,2250,0
101,clueweb09-enwp03-05-01684,2244,0
101,clueweb09-enwp03-23-00689,2244,0
101,clueweb09-enwp03-26-12131,2242,0
101,clueweb09-enwp01-84-17269,2238,0
101,clueweb09-enwp00-85-19628,2236,0
101,clueweb09-enwp03-22-02553,2225,0
101,clueweb09-enwp01-66-19095,2220,0
101,clueweb09-enwp01-84-17270,2220,0
101,clueweb09-enwp01-53-17276,2219,0
101,clueweb09-enwp03-26-21792,2219,0
101,clueweb09-enwp03-27-22304,2219,0
101,clueweb09-enwp03-30-03346,2219,0
101,clueweb09-enwp03-35-16499,2219,0
101,clueweb09-enwp03-37-16964,2219,0
101,clueweb09-enwp01-30-11012,2215,0
101,clueweb09-enwp01-72-05082,2215,0
101,clueweb09-enwp03-34-00708,2212,0
101,clueweb09-enwp01-97-18837,2210,0
101,clueweb09-enwp00-93-02800,2204,0
101,clueweb09-enwp00-77-18523,2195,0
101,clueweb09-enwp00-63-18129,2194,0
101,clueweb09-enwp01-61-16210,2194,0
101,clueweb09-enwp00-73-18878,2192,0
101,clueweb09-enwp00-74-18124,2192,0
101,clueweb09-enwp00-85-19627,2191,0
101,clueweb09-enwp01-68-16492,2191,0
101,clueweb09-enwp03-22-02211,2189,0
101,clueweb09-enwp02-31-00021,2188,0
101,clueweb09-enwp00-60-18335,2185,0
101,clueweb09-enwp00-63-18128,2182,0
101,clueweb09-enwp03-33-18916,2181,0
101,clueweb09-enwp02-13-19438,2179,0
101,clueweb09-enwp00-74-18125,2177,0
101,clueweb09-enwp00-68-19688,2174,0
101,clueweb09-enwp00-76-19484,2169,0
101,clueweb09-enwp01-63-18783,2169,0
101,clueweb09-enwp01-79-10797,2163,0
101,clueweb09-enwp00-60-18337,2161,0
101,clueweb09-enwp00-67-19072,2159,0
101,clueweb09-enwp00-74-18126,2153,0
101,clueweb09-enwp02-29-17905,2153,0
101,clueweb09-enwp00-72-18994,2152,0
101,clueweb09-enwp01-38-18879,2142,0
101,clueweb09-enwp01-52-20821,2133,0
101,clueweb09-enwp03-20-07894,2132,0
101,clueweb09-enwp03-26-07559,2132,0
101,clueweb09-enwp01-57-17553,2126,0
101,clueweb09-enwp00-13-05890,2125,0
101,clueweb09-enwp00-62-18788,2125,0
101,clueweb09-enwp00-63-18125,2125,0
101,clueweb09-enwp00-81-05890,2125,0
101,clueweb09-enwp00-70-18618,2124,0
101,clueweb09-enwp00-73-18874,2124,0
101,clueweb09-enwp00-73-18877,2124,0
101,clueweb09-enwp00-76-19483,2124,0
101,clueweb09-enwp02-28-02128,2122,0
