topic,doc,score,rel
101,clueweb09-en0008-80-29979,-5.53492,0
101,clueweb09-en0008-80-30022,-5.5461,1
101,clueweb09-en0008-80-30010,-5.56964,0
101,clueweb09-en0008-80-29999,-5.65003,1
101,clueweb09-en0002-83-01420,-5.66239,1
101,clueweb09-en0008-80-29983,-5.83347,0
101,clueweb09-en0010-93-30671,-5.95587,1
101,clueweb09-en0001-91-27453,-5.97852,0
101,clueweb09-en0008-80-30000,-5.98078,0
101,clueweb09-en0008-80-29984,-5.99672,0
101,clueweb09-en0006-70-22566,-6.01377,1
101,clueweb09-en0008-80-29992,-6.04255,1
101,clueweb09-en0004-66-09322,-6.05297,2
101,clueweb09-en0008-80-29996,-6.17288,0
101,clueweb09-en0004-97-01606,-6.17643,0
101,clueweb09-en0006-70-22626,-6.18096,0
101,clueweb09-en0000-21-12356,-6.19385,0
101,clueweb09-en0001-69-04553,-6.19681,0
101,clueweb09-en0010-91-25316,-6.28625,1
101,clueweb09-en0006-80-16991,-6.29444,0
101,clueweb09-en0006-70-22608,-6.32349,0
101,clueweb09-en0004-42-00749,-6.35393,0
101,clueweb09-en0004-42-00756,-6.36019,0
101,clueweb09-en0010-88-00048,-6.37209,0
101,clueweb09-en0001-74-36490,-6.37785,0
101,clueweb09-en0006-70-22659,-6.38677,0
101,clueweb09-en0006-70-22588,-6.38955,0
101,clueweb09-en0006-70-22550,-6.39174,0
101,clueweb09-en0006-70-22560,-6.39195,0
101,clueweb09-en0006-70-22678,-6.39234,0
101,clueweb09-en0006-70-22568,-6.39497,0
101,clueweb09-en0006-70-22638,-6.39827,0
101,clueweb09-en0011-52-14199,-6.4024,0
101,clueweb09-en0006-70-22602,-6.40861,0
101,clueweb09-en0006-70-22551,-6.41109,0
101,clueweb09-en0006-70-22503,-6.41516,0
101,clueweb09-en0006-70-22583,-6.41543,0
101,clueweb09-en0006-70-22510,-6.42285,0
101,clueweb09-en0006-70-22613,-6.42314,0
101,clueweb09-en0006-70-22497,-6.42475,0
101,clueweb09-en0006-70-22562,-6.43015,0
101,clueweb09-en0006-70-22650,-6.43084,0
101,clueweb09-en0003-60-13052,-6.43157,2
101,clueweb09-en0006-70-22620,-6.44226,0
101,clueweb09-en0010-05-10966,-6.44278,0
101,clueweb09-en0006-70-22618,-6.45238,0
101,clueweb09-en0008-54-15954,-6.45912,0
101,clueweb09-en0006-70-22548,-6.46664,0
101,clueweb09-en0006-70-22655,-6.47056,0
101,clueweb09-en0006-70-22554,-6.47493,0
101,clueweb09-en0006-70-22535,-6.47811,0
101,clueweb09-en0007-40-20313,-6.48241,0
101,clueweb09-en0010-05-10712,-6.48286,0
101,clueweb09-en0006-70-22546,-6.4833,0
101,clueweb09-en0006-70-22631,-6.48465,0
101,clueweb09-en0006-70-22500,-6.48551,0
101,clueweb09-en0006-70-22589,-6.48629,0
101,clueweb09-en0000-78-19663,-6.48883,0
101,clueweb09-en0006-70-22661,-6.49255,0
