topic,doc,score,rel
101,clueweb09-en0031-19-26516,-2.91491,1
101,clueweb09-en0010-91-25316,-3.93201,1
101,clueweb09-en0010-93-30671,-4.24395,1
101,clueweb09-en0004-66-09322,-4.62193,2
101,clueweb09-en0044-05-29808,-4.9685,2
101,clueweb09-en0060-32-10400,-4.9756,1
101,clueweb09-en0019-32-21921,-5.07865,2
101,clueweb09-en0041-66-35720,-5.08356,2
101,clueweb09-en0024-38-09469,-5.09498,0
101,clueweb09-en0017-31-24902,-5.10082,0
101,clueweb09-en0050-62-35743,-5.1062,2
101,clueweb09-en0133-62-23650,-5.14901,1
101,clueweb09-en0055-06-00232,-5.17289,0
101,clueweb09-en0096-02-40274,-5.2198,1
101,clueweb09-en0127-06-11166,-5.24589,1
101,clueweb09-en0047-33-20039,-5.29538,1
101,clueweb09-en0023-64-26329,-5.30275,0
101,clueweb09-en0040-43-16645,-5.33328,0
101,clueweb09-en0037-73-29794,-5.3896,0
101,clueweb09-en0041-03-23195,-5.40266,1
101,clueweb09-en0090-78-13282,-5.40837,1
101,clueweb09-en0116-19-29396,-5.43431,1
101,clueweb09-en0019-36-02171,-5.45886,0
101,clueweb09-en0047-17-30079,-5.48536,1
101,clueweb09-en0123-63-34464,-5.48801,1
101,clueweb09-en0114-34-23456,-5.50675,0
101,clueweb09-en0060-32-10470,-5.51241,1
101,clueweb09-en0073-28-33925,-5.56853,1
101,clueweb09-enwp01-40-22507,-5.56945,0
101,clueweb09-en0037-10-42637,-5.57853,1
101,clueweb09-en0119-32-24172,-5.58198,0
101,clueweb09-en0087-57-35691,-5.61571,0
101,clueweb09-en0008-80-29984,-5.61786,0
101,clueweb09-en0116-19-29397,-5.63697,0
101,clueweb09-en0039-42-35964,-5.63909,1
101,clueweb09-en0053-05-28222,-5.64834,1
101,clueweb09-en0025-12-25335,-5.65122,1
101,clueweb09-en0011-32-10292,-5.65404,0
101,clueweb09-en0037-01-04779,-5.67182,1
101,clueweb09-en0025-12-25338,-5.71926,1
101,clueweb09-en0001-98-07420,-5.72455,0
101,clueweb09-en0025-12-25336,-5.7397,0
101,clueweb09-en0110-53-13019,-5.78827,1
101,clueweb09-en0069-24-06610,-5.78895,1
101,clueweb09-en0041-11-05928,-5.80315,0
101,clueweb09-en0072-22-06787,-5.80315,1
101,clueweb09-en0012-66-25933,-5.81558,0
101,clueweb09-en0120-01-28902,-5.83442,0
101,clueweb09-en0013-37-12431,-5.84474,0
101,clueweb09-en0002-83-01420,-5.85029,1
101,clueweb09-en0108-92-12567,-5.87721,0
101,clueweb09-en0025-12-25334,-5.87762,1
101,clueweb09-en0118-20-03794,-5.90193,0
101,clueweb09-en0082-03-06343,-5.91773,0
101,clueweb09-en0053-05-28226,-5.92931,1
101,clueweb09-en0074-97-20538,-5.94182,0
101,clueweb09-en0058-87-11478,-5.94707,0
101,clueweb09-en0119-72-28210,-5.94797,0
101,clueweb09-en0037-73-29894,-5.95985,0
101,clueweb09-en0004-42-00749,-5.9599,0
101,clueweb09-en0033-30-08382,-5.96227,0
101,clueweb09-en0017-84-26707,-5.97133,0
101,clueweb09-en0025-12-25333,-5.97889,0
101,clueweb09-en0096-20-32648,-6.02699,0
101,clueweb09-en0013-82-27108,-6.03079,0
101,clueweb09-en0082-03-06344,-6.03556,0
101,clueweb09-enwp01-10-20426,-6.04055,0
101,clueweb09-en0045-27-05609,-6.04985,0
101,clueweb09-en0017-44-12081,-6.05425,0
101,clueweb09-en0101-92-06666,-6.05766,0
101,clueweb09-en0008-80-30010,-6.06229,0
101,clueweb09-en0001-69-04553,-6.08938,0
101,clueweb09-en0030-22-29488,-6.10427,0
