topic,doc,score,rel
101,clueweb09-en0031-19-26516,-4.95483,1
101,clueweb09-en0010-91-25316,-5.31107,1
101,clueweb09-en0044-05-29808,-5.40625,2
101,clueweb09-en0010-93-30671,-5.61308,1
101,clueweb09-en0004-66-09322,-5.78763,2
101,clueweb09-en0096-02-40274,-5.87001,1
101,clueweb09-en0017-31-24902,-5.87455,0
101,clueweb09-en0041-66-35720,-5.92289,2
101,clueweb09-en0060-32-10400,-5.95531,1
101,clueweb09-en0019-32-21921,-5.99103,2
101,clueweb09-en0050-62-35743,-6.00777,2
101,clueweb09-en0133-62-23650,-6.02194,1
101,clueweb09-en0037-73-29794,-6.07622,0
101,clueweb09-en0127-06-11166,-6.10145,1
101,clueweb09-en0025-12-25338,-6.15598,1
101,clueweb09-en0090-78-13282,-6.1673,1
101,clueweb09-en0041-03-23195,-6.17515,1
101,clueweb09-en0116-19-29396,-6.18242,1
101,clueweb09-en0060-32-10470,-6.19757,1
101,clueweb09-en0123-63-34464,-6.20676,1
101,clueweb09-en0047-17-30079,-6.21136,1
101,clueweb09-en0114-34-23456,-6.21791,0
101,clueweb09-en0025-12-25335,-6.24493,1
101,clueweb09-en0028-43-27458,-6.24841,1
101,clueweb09-en0039-42-35964,-6.2571,1
101,clueweb09-en0025-12-25334,-6.26044,1
101,clueweb09-en0053-05-28222,-6.26924,1
101,clueweb09-en0116-19-29397,-6.28037,0
101,clueweb09-en0011-32-10292,-6.28907,0
101,clueweb09-en0025-12-25336,-6.35372,0
101,clueweb09-en0041-11-05928,-6.35383,0
101,clueweb09-en0072-22-06787,-6.35383,1
101,clueweb09-en0082-03-06343,-6.40607,0
101,clueweb09-en0053-05-28226,-6.41118,1
101,clueweb09-en0025-12-25333,-6.41846,0
101,clueweb09-en0082-03-06344,-6.44065,0
101,clueweb09-en0045-27-05609,-6.56891,0
101,clueweb09-en0055-89-25575,-6.56944,0
101,clueweb09-en0060-32-10469,-6.57168,0
101,clueweb09-en0095-32-39044,-6.60712,0
101,clueweb09-en0067-29-28365,-6.61842,0
101,clueweb09-en0033-30-08382,-6.6433,0
101,clueweb09-en0016-03-34498,-6.64795,0
101,clueweb09-en0073-28-33925,-6.65286,1
101,clueweb09-en0001-98-07420,-6.65526,0
101,clueweb09-en0037-10-42637,-6.65804,1
101,clueweb09-en0031-84-05698,-6.68625,0
101,clueweb09-en0045-27-05779,-6.7013,0
101,clueweb09-en0055-06-00232,-6.75376,0
101,clueweb09-en0039-69-07391,-6.7539,0
101,clueweb09-en0082-03-06345,-6.75974,0
101,clueweb09-en0041-45-24575,-6.76446,0
101,clueweb09-en0030-14-36606,-6.76739,0
101,clueweb09-en0045-24-06053,-6.78158,0
101,clueweb09-en0030-14-36654,-6.802,0
101,clueweb09-en0010-91-25096,-6.8314,0
101,clueweb09-en0006-37-16979,-6.84839,0
101,clueweb09-en0010-91-25089,-6.84945,0
101,clueweb09-en0073-21-12819,-6.8497,0
101,clueweb09-en0032-46-23061,-6.85226,0
101,clueweb09-en0024-69-05586,-6.85304,0
101,clueweb09-en0087-95-13347,-6.85605,0
101,clueweb09-en0024-38-09469,-6.85717,0
101,clueweb09-en0058-87-11478,-6.85732,0
101,clueweb09-en0087-95-13112,-6.85757,0
101,clueweb09-en0119-72-28210,-6.85783,0
101,clueweb09-en0040-43-16645,-6.87052,0
101,clueweb09-en0101-92-06666,-6.88052,0
101,clueweb09-en0017-53-16679,-6.8898,0
101,clueweb09-en0008-72-29938,-6.8902,0
101,clueweb09-en0119-32-24172,-6.89279,0
101,clueweb09-en0024-58-25541,-6.89667,0
101,clueweb09-en0023-48-22038,-6.89728,0
101,clueweb09-en0002-25-14422,-6.91238,0
101,clueweb09-en0052-98-00937,-6.91522,0
101,clueweb09-en0047-33-20039,-6.91541,1
101,clueweb09-en0021-44-07624,-6.92858,0
101,clueweb09-en0019-36-02171,-6.94249,0
101,clueweb09-en0045-27-05374,-6.94516,0
101,clueweb09-en0016-70-28798,-6.95904,0
101,clueweb09-enwp01-40-22507,-6.96201,0
101,clueweb09-en0002-46-20031,-6.9685,0
101,clueweb09-en0087-78-13128,-6.96949,0
101,clueweb09-en0065-09-43754,-6.9741,0
101,clueweb09-en0047-85-01878,-7.00481,0
101,clueweb09-en0079-89-32522,-7.01313,0
101,clueweb09-en0007-96-22218,-7.01968,0
101,clueweb09-en0030-14-36901,-7.02995,0
101,clueweb09-en0030-22-29030,-7.03492,0
101,clueweb09-en0059-95-01493,-7.03913,0
101,clueweb09-en0012-66-25933,-7.04066,0
101,clueweb09-en0115-71-21391,-7.04158,0
101,clueweb09-enwp01-51-16785,-7.04429,0
101,clueweb09-en0059-96-10552,-7.0461,0
101,clueweb09-en0008-51-28018,-7.04807,0
101,clueweb09-en0030-14-36657,-7.049,0
101,clueweb09-en0001-40-23122,-7.05137,0
101,clueweb09-en0013-15-36966,-7.05697,0
101,clueweb09-en0059-96-10234,-7.05872,0
101,clueweb09-en0051-13-40791,-7.06039,0
101,clueweb09-en0017-44-12081,-7.06334,0
101,clueweb09-en0031-19-26517,-7.06388,0
101,clueweb09-en0030-14-36656,-7.06623,0
101,clueweb09-en0059-67-10539,-7.06783,0
101,clueweb09-en0008-80-30010,-7.06789,0
101,clueweb09-en0045-27-05376,-7.06996,0
101,clueweb09-en0030-14-36655,-7.0782,0
101,clueweb09-en0013-15-36968,-7.07826,0
101,clueweb09-en0059-67-10536,-7.07874,0
101,clueweb09-en0030-14-36653,-7.08066,0
101,clueweb09-en0045-27-05375,-7.08071,0
101,clueweb09-en0045-27-05230,-7.08709,0
101,clueweb09-en0087-95-13162,-7.09417,0
101,clueweb09-en0018-65-05807,-7.09747,0
101,clueweb09-en0000-02-19974,-7.09829,0
101,clueweb09-en0045-27-05378,-7.09995,0
101,clueweb09-en0073-21-13041,-7.10125,0
101,clueweb09-en0049-25-14250,-7.10787,0
101,clueweb09-en0045-27-05377,-7.10816,0
101,clueweb09-en0054-83-29515,-7.10827,0
101,clueweb09-en0017-84-21804,-7.10966,0
101,clueweb09-en0001-93-25798,-7.1099,0
101,clueweb09-en0002-46-20098,-7.11026,0
101,clueweb09-en0037-73-29675,-7.11051,0
101,clueweb09-en0013-37-12431,-7.11314,0
101,clueweb09-en0021-40-26431,-7.11332,0
101,clueweb09-en0030-22-29195,-7.1164,0
101,clueweb09-en0002-62-17980,-7.11901,0
101,clueweb09-en0017-84-21597,-7.12008,0
101,clueweb09-en0030-14-36637,-7.12427,0
101,clueweb09-en0007-04-11250,-7.14079,0
101,clueweb09-en0073-21-12665,-7.14347,0
101,clueweb09-en0008-33-31379,-7.14475,0
101,clueweb09-en0089-92-06616,-7.14856,0
101,clueweb09-en0016-70-28656,-7.15349,0
101,clueweb09-en0130-70-27471,-7.1546,0
101,clueweb09-en0001-98-07435,-7.15481,0
101,clueweb09-en0127-59-29472,-7.1585,0
101,clueweb09-en0023-69-23825,-7.16092,0
101,clueweb09-en0037-92-26586,-7.16333,0
101,clueweb09-en0054-83-29522,-7.16424,0
101,clueweb09-en0004-42-00749,-7.16584,0
101,clueweb09-en0045-24-06001,-7.16802,0
101,clueweb09-en0100-84-18291,-7.17212,0
101,clueweb09-en0077-36-31655,-7.17694,0
101,clueweb09-en0087-95-13104,-7.17818,0
101,clueweb09-en0037-01-04779,-7.18274,1
101,clueweb09-en0010-71-36164,-7.18551,0
101,clueweb09-en0089-92-06615,-7.18746,0
101,clueweb09-en0030-14-36970,-7.18794,0
101,clueweb09-en0087-78-13312,-7.1919,0
101,clueweb09-en0059-67-10537,-7.19218,0
101,clueweb09-en0015-20-25630,-7.19487,0
101,clueweb09-en0072-01-14736,-7.19509,0
101,clueweb09-en0052-63-28586,-7.19714,0
101,clueweb09-en0074-97-20538,-7.19957,0
101,clueweb09-en0100-84-18234,-7.19986,0
101,clueweb09-en0059-67-10535,-7.2008,0
101,clueweb09-en0000-78-19663,-7.20387,0
101,clueweb09-en0015-79-26948,-7.20387,0
101,clueweb09-en0020-99-40732,-7.20427,0
101,clueweb09-en0059-67-10538,-7.20486,0
101,clueweb09-en0030-14-36723,-7.20782,0
101,clueweb09-en0114-94-28344,-7.21071,0
101,clueweb09-en0061-55-02483,-7.21105,0
101,clueweb09-en0120-96-31550,-7.21281,0
101,clueweb09-en0007-64-25868,-7.21421,0
101,clueweb09-en0064-57-22328,-7.21627,0
101,clueweb09-en0059-67-10540,-7.21662,0
101,clueweb09-en0033-98-18419,-7.21976,0
101,clueweb09-en0037-53-17821,-7.22348,0
101,clueweb09-en0008-80-30000,-7.22359,0
101,clueweb09-en0017-44-12082,-7.22396,0
101,clueweb09-en0002-49-10468,-7.22435,0
101,clueweb09-en0045-27-05718,-7.22673,0
101,clueweb09-enwp01-10-20426,-7.22694,0
101,clueweb09-en0092-12-23678,-7.22773,0
101,clueweb09-en0061-55-02482,-7.22781,0
101,clueweb09-en0008-80-30011,-7.22817,0
101,clueweb09-en0016-70-28797,-7.23046,0
101,clueweb09-en0074-97-20454,-7.23224,0
101,clueweb09-en0030-22-29197,-7.23495,0
101,clueweb09-en0061-55-02484,-7.23541,0
101,clueweb09-en0074-99-08761,-7.23641,0
101,clueweb09-en0012-24-14192,-7.23698,0
101,clueweb09-en0021-77-02897,-7.23727,0
101,clueweb09-en0016-03-34112,-7.23764,0
101,clueweb09-en0010-91-25336,-7.24042,0
101,clueweb09-en0008-78-08020,-7.24245,0
101,clueweb09-en0087-78-13129,-7.24277,0
101,clueweb09-en0074-99-08759,-7.24476,0
101,clueweb09-en0030-22-29200,-7.24498,0
101,clueweb09-en0093-27-31719,-7.24815,0
101,clueweb09-en0007-76-34890,-7.25129,0
101,clueweb09-en0037-53-17817,-7.25223,0
101,clueweb09-en0030-22-29199,-7.25256,0
101,clueweb09-en0114-94-28355,-7.2602,0
101,clueweb09-en0030-31-20642,-7.26547,0
101,clueweb09-en0030-31-20643,-7.26863,0
101,clueweb09-en0008-80-30022,-7.26935,1
101,clueweb09-en0094-07-00483,-7.27153,0
101,clueweb09-en0102-87-06753,-7.27285,0
101,clueweb09-en0001-40-22752,-7.27361,0
101,clueweb09-en0132-38-03780,-7.27663,0
101,clueweb09-en0030-22-29198,-7.27719,0
101,clueweb09-en0037-22-24499,-7.27921,0
101,clueweb09-en0032-01-24769,-7.27949,0
101,clueweb09-en0024-13-15744,-7.28275,0
101,clueweb09-en0064-74-44831,-7.28398,0
101,clueweb09-en0045-27-05388,-7.28761,0
101,clueweb09-en0087-78-12971,-7.28911,0
101,clueweb09-en0045-58-26875,-7.29142,0
101,clueweb09-en0052-55-01720,-7.29501,0
101,clueweb09-en0061-55-02481,-7.29517,0
101,clueweb09-en0029-02-18065,-7.29706,0
101,clueweb09-en0001-98-07424,-7.30036,0
101,clueweb09-en0045-58-26884,-7.30048,0
101,clueweb09-en0008-80-29983,-7.30222,0
101,clueweb09-en0030-39-28656,-7.30261,0
101,clueweb09-en0013-08-16334,-7.303,0
101,clueweb09-en0045-24-05909,-7.30321,0
101,clueweb09-en0016-03-34426,-7.30426,0
101,clueweb09-en0059-96-11124,-7.30553,0
101,clueweb09-en0095-96-17057,-7.30746,0
101,clueweb09-en0013-68-28446,-7.30775,0
101,clueweb09-en0065-68-31816,-7.30978,0
101,clueweb09-en0074-99-08760,-7.31002,0
101,clueweb09-en0074-99-08765,-7.31045,0
101,clueweb09-en0027-56-22831,-7.31108,0
101,clueweb09-en0010-37-40536,-7.31342,0
101,clueweb09-en0073-53-10884,-7.3146,0
101,clueweb09-en0051-56-26264,-7.31721,0
101,clueweb09-en0016-70-28653,-7.31742,0
101,clueweb09-en0074-99-08766,-7.31905,0
101,clueweb09-en0102-53-04296,-7.32052,0
101,clueweb09-en0127-59-19726,-7.32102,0
101,clueweb09-en0031-19-26485,-7.32507,0
101,clueweb09-en0060-32-10318,-7.32586,0
101,clueweb09-en0011-83-34136,-7.32649,0
101,clueweb09-en0023-42-04060,-7.32747,0
101,clueweb09-en0089-92-06617,-7.32755,0
101,clueweb09-en0023-69-23845,-7.32803,0
101,clueweb09-en0065-91-07228,-7.33013,0
101,clueweb09-en0103-13-25674,-7.33191,0
101,clueweb09-en0016-13-30099,-7.33392,0
101,clueweb09-en0007-04-11251,-7.33526,0
101,clueweb09-en0024-63-24618,-7.33538,0
101,clueweb09-en0076-70-29881,-7.33619,0
101,clueweb09-en0021-40-26935,-7.33679,0
101,clueweb09-en0023-67-13751,-7.33751,0
101,clueweb09-en0021-20-20318,-7.33999,0
101,clueweb09-en0001-69-04553,-7.34177,0
101,clueweb09-en0087-78-13187,-7.34195,0
101,clueweb09-en0039-42-36077,-7.34363,0
101,clueweb09-en0037-07-03860,-7.34395,0
101,clueweb09-en0016-94-06611,-7.34623,0
101,clueweb09-en0118-99-09072,-7.34955,0
101,clueweb09-en0008-35-46597,-7.34977,0
101,clueweb09-en0116-77-36728,-7.35134,0
101,clueweb09-en0013-38-12290,-7.35212,0
101,clueweb09-en0016-87-28957,-7.35312,0
101,clueweb09-en0023-67-13803,-7.35391,0
101,clueweb09-en0023-33-46715,-7.35443,0
101,clueweb09-en0074-99-08763,-7.35449,0
101,clueweb09-en0007-40-20313,-7.35505,0
101,clueweb09-en0102-87-06754,-7.35799,0
101,clueweb09-en0079-62-11005,-7.35813,0
101,clueweb09-en0088-75-08875,-7.35905,0
101,clueweb09-en0010-91-25404,-7.3638,0
101,clueweb09-en0017-84-21806,-7.36471,0
101,clueweb09-en0059-39-05672,-7.36867,0
101,clueweb09-en0053-56-09607,-7.37002,0
101,clueweb09-en0004-32-10515,-7.37238,0
101,clueweb09-en0031-96-09730,-7.37632,0
101,clueweb09-en0010-91-25366,-7.3795,0
101,clueweb09-en0024-68-22767,-7.37967,0
101,clueweb09-en0043-02-21708,-7.38011,0
101,clueweb09-en0037-08-42369,-7.38628,0
101,clueweb09-en0001-08-03782,-7.39014,0
101,clueweb09-en0065-91-07230,-7.39043,0
101,clueweb09-en0037-08-42510,-7.39432,0
101,clueweb09-en0054-06-33375,-7.39441,0
101,clueweb09-en0047-85-01950,-7.39479,0
101,clueweb09-en0010-91-25317,-7.39553,1
101,clueweb09-en0018-06-08621,-7.39722,0
101,clueweb09-en0089-92-06618,-7.39982,0
101,clueweb09-en0047-95-17128,-7.40006,0
101,clueweb09-en0077-36-31598,-7.40025,0
101,clueweb09-en0010-53-37449,-7.4022,0
101,clueweb09-en0012-72-21065,-7.40278,0
101,clueweb09-en0085-38-23998,-7.40413,0
101,clueweb09-en0009-17-05479,-7.40415,0
101,clueweb09-en0023-64-26329,-7.40541,0
101,clueweb09-en0133-89-50143,-7.40541,0
101,clueweb09-en0116-68-30638,-7.40695,0
101,clueweb09-en0091-43-23744,-7.40701,0
101,clueweb09-en0031-91-03424,-7.40784,0
101,clueweb09-en0031-19-26489,-7.40903,0
101,clueweb09-en0128-34-09168,-7.40927,0
101,clueweb09-en0023-33-46724,-7.41328,0
101,clueweb09-en0010-05-10712,-7.41632,0
101,clueweb09-en0012-72-19924,-7.41827,0
101,clueweb09-en0018-77-21067,-7.41847,0
101,clueweb09-en0124-31-18099,-7.41861,0
101,clueweb09-en0088-75-09066,-7.41985,0
101,clueweb09-en0022-44-20335,-7.42005,0
101,clueweb09-en0068-03-25621,-7.42009,0
101,clueweb09-en0059-39-05212,-7.42042,0
101,clueweb09-en0105-23-39340,-7.42531,0
101,clueweb09-en0046-93-05784,-7.42581,0
101,clueweb09-en0051-15-14101,-7.42584,0
101,clueweb09-en0089-40-00238,-7.4265,0
101,clueweb09-en0006-51-35681,-7.42811,1
101,clueweb09-en0008-51-28078,-7.43392,0
101,clueweb09-en0075-67-06297,-7.43438,0
101,clueweb09-en0023-76-11715,-7.43452,0
101,clueweb09-en0130-46-47987,-7.43498,0
101,clueweb09-en0074-37-31225,-7.43675,0
101,clueweb09-en0038-78-38373,-7.4369,0
101,clueweb09-en0073-30-07922,-7.43718,0
101,clueweb09-en0067-48-02309,-7.43732,0
101,clueweb09-en0025-69-28777,-7.43741,0
101,clueweb09-en0037-08-42384,-7.4397,0
101,clueweb09-en0060-07-28956,-7.44054,0
101,clueweb09-en0027-32-01983,-7.44069,0
101,clueweb09-en0117-90-27594,-7.44257,0
101,clueweb09-en0054-83-28359,-7.44503,0
101,clueweb09-enwp01-53-17276,-7.44516,0
101,clueweb09-en0013-82-27076,-7.44611,0
101,clueweb09-en0049-99-26126,-7.44626,0
101,clueweb09-en0039-74-28461,-7.44739,0
101,clueweb09-en0026-72-43029,-7.44894,0
101,clueweb09-en0062-04-10247,-7.44928,0
101,clueweb09-en0046-30-30328,-7.4494,0
101,clueweb09-en0046-30-30573,-7.44955,0
101,clueweb09-en0069-97-07316,-7.45015,0
101,clueweb09-en0043-02-21727,-7.45204,0
101,clueweb09-en0010-91-25095,-7.45231,0
101,clueweb09-en0051-15-14097,-7.4535,0
101,clueweb09-en0036-10-22484,-7.45459,0
101,clueweb09-en0008-51-28017,-7.45494,0
101,clueweb09-en0054-25-15546,-7.45567,0
101,clueweb09-en0001-40-23150,-7.45733,0
101,clueweb09-en0103-41-21654,-7.45781,0
101,clueweb09-en0034-09-31729,-7.45817,0
101,clueweb09-en0111-02-04111,-7.45834,0
101,clueweb09-en0009-60-12952,-7.45987,0
101,clueweb09-en0046-93-06423,-7.46095,0
101,clueweb09-en0060-07-28812,-7.462,0
101,clueweb09-en0082-88-27000,-7.46451,0
101,clueweb09-en0032-46-23063,-7.46697,0
101,clueweb09-en0001-98-07440,-7.46749,0
101,clueweb09-en0017-84-21808,-7.46802,0
101,clueweb09-en0060-32-10213,-7.46948,0
101,clueweb09-en0031-19-26490,-7.46968,0
101,clueweb09-en0088-53-23659,-7.46978,0
101,clueweb09-en0032-01-24766,-7.47275,0
101,clueweb09-en0033-53-12731,-7.47301,0
101,clueweb09-en0107-49-27242,-7.47412,0
101,clueweb09-en0025-69-28812,-7.47482,0
101,clueweb09-en0031-81-10000,-7.47486,0
101,clueweb09-en0027-32-01961,-7.47617,0
101,clueweb09-en0039-59-19775,-7.47996,0
101,clueweb09-en0011-44-01932,-7.48549,0
101,clueweb09-en0090-42-06899,-7.48656,0
101,clueweb09-en0039-59-19774,-7.48689,0
101,clueweb09-en0009-72-07362,-7.48784,0
101,clueweb09-en0012-61-35303,-7.48846,0
101,clueweb09-en0008-62-37098,-7.4886,0
101,clueweb09-en0074-99-08662,-7.48938,0
101,clueweb09-en0031-19-26493,-7.49025,0
101,clueweb09-en0012-72-20758,-7.49184,0
101,clueweb09-en0094-63-03952,-7.49353,0
101,clueweb09-en0074-99-08762,-7.49715,0
101,clueweb09-en0034-13-25551,-7.49733,0
101,clueweb09-en0045-58-26876,-7.49767,0
101,clueweb09-en0023-43-42235,-7.49826,0
101,clueweb09-en0115-29-29928,-7.49859,0
101,clueweb09-en0012-66-25922,-7.49863,0
101,clueweb09-en0018-65-05806,-7.49979,0
101,clueweb09-en0051-98-13958,-7.50159,0
101,clueweb09-en0032-01-24658,-7.5019,0
101,clueweb09-en0019-06-40797,-7.50205,0
101,clueweb09-en0043-05-24619,-7.50245,0
101,clueweb09-en0053-42-30005,-7.50329,0
101,clueweb09-en0006-46-31462,-7.5039,0
101,clueweb09-en0060-07-28768,-7.50532,0
101,clueweb09-en0015-02-13023,-7.50569,0
101,clueweb09-en0102-40-17015,-7.50579,0
101,clueweb09-en0060-25-27227,-7.50696,0
101,clueweb09-en0051-56-26299,-7.50789,0
101,clueweb09-en0024-62-03802,-7.50882,0
101,clueweb09-en0010-91-25353,-7.50888,0
101,clueweb09-en0120-01-28902,-7.51,0
101,clueweb09-en0127-59-29321,-7.5101,0
101,clueweb09-en0074-99-08457,-7.51053,0
101,clueweb09-en0023-76-11713,-7.51126,0
101,clueweb09-en0104-40-09291,-7.51165,0
101,clueweb09-en0041-19-19177,-7.51199,0
101,clueweb09-en0074-97-20899,-7.51211,0
101,clueweb09-en0005-03-03014,-7.51288,0
101,clueweb09-en0001-12-16567,-7.51617,0
101,clueweb09-en0008-35-46579,-7.51626,0
101,clueweb09-en0032-01-24657,-7.51698,0
101,clueweb09-en0054-83-29516,-7.51758,0
101,clueweb09-en0019-32-35697,-7.5176,0
101,clueweb09-en0018-22-26314,-7.5185,0
101,clueweb09-en0117-94-22246,-7.51911,0
101,clueweb09-en0045-19-09227,-7.5192,0
101,clueweb09-en0040-87-23963,-7.52021,0
101,clueweb09-en0010-20-33304,-7.52047,0
101,clueweb09-en0002-46-20100,-7.52055,0
101,clueweb09-en0102-76-27734,-7.5206,0
101,clueweb09-en0023-76-11716,-7.5214,0
