topic,doc,score,rel
101,clueweb09-enwp02-30-09857,86.1884676,0
101,clueweb09-enwp01-10-20426,84.9742236,0
101,clueweb09-enwp01-40-22507,84.9735552,0
101,clueweb09-enwp02-03-03394,83.0205864,0
101,clueweb09-enwp00-06-17314,82.3267908,0
101,clueweb09-enwp00-18-17706,82.3267908,0
101,clueweb09-enwp01-51-16785,81.1934904,0
101,clueweb09-enwp01-12-10029,79.4451996,0
101,clueweb09-enwp00-95-09531,79.4298684,0
101,clueweb09-enwp01-28-03980,78.8424204,0
101,clueweb09-enwp00-71-18339,76.9074564,0
101,clueweb09-enwp01-12-07209,75.9304152,0
101,clueweb09-enwp00-68-19686,75.9175584,0
101,clueweb09-enwp00-56-02603,74.9080956,0
101,clueweb09-enwp03-16-22050,74.6440248,0
101,clueweb09-enwp01-56-00424,74.3488308,0
101,clueweb09-enwp00-51-15976,74.2532952,0
101,clueweb09-enwp01-24-10324,74.1918204,0
101,clueweb09-en0030-84-02605,73.548205,0
101,clueweb09-en0053-64-15819,73.524369,1
101,clueweb09-en0122-60-06659,73.518083,1
101,clueweb09-en0032-96-12271,73.509683,0
101,clueweb09-en0035-04-30387,73.499313,1
101,clueweb09-en0017-45-10637,73.489759,1
101,clueweb09-en0080-50-44092,73.466505,1
101,clueweb09-en0044-05-29808,73.46281,2
101,clueweb09-en0010-93-30671,73.459667,1
101,clueweb09-en0003-60-13052,73.455481,2
101,clueweb09-en0004-66-09322,73.43751,2
101,clueweb09-en0050-62-35743,73.436998,2
101,clueweb09-en0084-05-08767,73.420335,0
101,clueweb09-en0095-37-11180,73.415767,2
101,clueweb09-en0047-17-30079,73.412521,1
101,clueweb09-en0066-76-27023,73.407003,2
101,clueweb09-en0041-66-35720,73.403257,2
101,clueweb09-en0016-37-29835,73.389154,2
101,clueweb09-en0045-43-19807,73.371978,1
101,clueweb09-en0065-68-18073,73.346371,0
101,clueweb09-en0073-74-22065,73.339503,1
101,clueweb09-en0096-02-40274,73.3394,1
101,clueweb09-en0055-21-10668,73.326741,0
101,clueweb09-en0090-62-22420,73.326741,0
101,clueweb09-en0116-19-29396,73.323859,1
101,clueweb09-en0017-31-24902,73.318972,0
101,clueweb09-en0024-38-09469,73.318632,0
101,clueweb09-en0103-74-20045,73.315009,1
101,clueweb09-en0125-67-11902,73.306361,0
101,clueweb09-en0123-63-34464,73.306046,1
101,clueweb09-en0125-32-19324,73.304181,0
101,clueweb09-en0096-04-41126,73.288369,0
101,clueweb09-en0129-88-41569,73.285506,0
101,clueweb09-en0060-32-10400,73.27777,1
101,clueweb09-en0041-47-35225,73.277697,0
101,clueweb09-en0130-29-51180,73.275266,0
101,clueweb09-en0054-69-33509,73.267026,0
101,clueweb09-en0051-85-00411,73.266138,0
101,clueweb09-en0133-62-23650,73.262321,1
