topic,doc,score,rel
101,clueweb09-en0032-96-12271,-5.00456,0
101,clueweb09-en0113-75-03620,-5.30687,0
101,clueweb09-en0030-84-02605,-5.3812,0
101,clueweb09-en0073-31-09846,-5.4451,0
101,clueweb09-en0086-05-03683,-5.46005,0
101,clueweb09-en0085-22-15373,-5.51176,0
101,clueweb09-en0046-47-04636,-5.69468,0
101,clueweb09-en0053-64-15819,-5.73141,1
101,clueweb09-en0122-60-06659,-5.75233,1
101,clueweb09-en0059-72-28021,-5.8073,0
101,clueweb09-en0035-04-30387,-5.84286,1
101,clueweb09-en0125-67-11902,-5.86363,0
101,clueweb09-en0126-08-07879,-5.88677,0
101,clueweb09-en0080-50-44092,-5.88759,1
101,clueweb09-en0017-45-10637,-5.92768,1
101,clueweb09-en0010-93-30671,-5.95417,1
101,clueweb09-en0027-41-14742,-5.96371,0
101,clueweb09-en0003-60-13052,-5.96516,2
101,clueweb09-en0030-09-02827,-5.9922,0
101,clueweb09-en0088-97-38639,-6.00262,0
101,clueweb09-en0074-78-35320,-6.02103,0
101,clueweb09-en0006-70-22566,-6.03119,1
101,clueweb09-en0017-78-26499,-6.03379,0
101,clueweb09-en0004-66-09322,-6.04166,2
101,clueweb09-en0028-06-00655,-6.0498,0
101,clueweb09-en0054-29-38935,-6.05272,1
101,clueweb09-en0031-30-19983,-6.06743,1
101,clueweb09-en0044-05-29808,-6.07259,2
101,clueweb09-en0109-02-32611,-6.07811,0
101,clueweb09-en0055-06-00232,-6.08462,0
101,clueweb09-en0128-74-05949,-6.08637,0
101,clueweb09-en0119-32-24172,-6.09976,0
101,clueweb09-en0015-06-18373,-6.10655,0
101,clueweb09-en0080-90-05341,-6.10738,0
101,clueweb09-en0095-37-11180,-6.1095,2
101,clueweb09-en0020-61-29589,-6.13526,0
101,clueweb09-en0034-10-25896,-6.13538,0
101,clueweb09-en0066-76-27023,-6.13736,2
101,clueweb09-en0044-25-31704,-6.155,0
101,clueweb09-en0078-26-37044,-6.15532,0
101,clueweb09-en0050-62-35743,-6.15755,2
101,clueweb09-en0019-42-12376,-6.16852,0
101,clueweb09-en0034-10-25904,-6.17665,0
101,clueweb09-en0068-42-22601,-6.1802,0
101,clueweb09-en0061-54-08938,-6.18042,0
101,clueweb09-en0054-83-29546,-6.1842,0
101,clueweb09-en0087-57-35691,-6.19269,0
101,clueweb09-en0008-80-29984,-6.19295,0
101,clueweb09-en0041-66-35720,-6.2005,2
101,clueweb09-en0021-69-31170,-6.21102,0
101,clueweb09-en0087-45-33295,-6.21312,0
101,clueweb09-en0026-74-14964,-6.21329,0
101,clueweb09-en0103-74-20045,-6.22177,1
101,clueweb09-en0081-52-36925,-6.22927,0
101,clueweb09-en0039-70-14104,-6.23541,0
101,clueweb09-enwp01-40-22507,-6.2361,0
101,clueweb09-en0131-32-14783,-6.23955,2
101,clueweb09-en0011-52-14199,-6.24458,0
101,clueweb09-en0083-35-17956,-6.24754,0
101,clueweb09-enwp01-10-20426,-6.24815,0
101,clueweb09-en0060-34-01935,-6.25074,0
101,clueweb09-en0060-77-27800,-6.25334,0
101,clueweb09-en0106-46-23007,-6.26029,0
101,clueweb09-en0129-67-15441,-6.26631,0
101,clueweb09-en0001-91-27453,-6.26889,0
101,clueweb09-en0036-06-06514,-6.27174,0
101,clueweb09-en0036-06-06581,-6.27174,0
101,clueweb09-en0047-33-20039,-6.27221,1
101,clueweb09-en0045-43-19807,-6.27247,1
101,clueweb09-en0045-89-10467,-6.27358,0
101,clueweb09-en0007-71-07471,-6.27508,0
101,clueweb09-en0036-06-06515,-6.2754,0
101,clueweb09-en0044-86-34876,-6.27557,0
101,clueweb09-en0010-42-04786,-6.27573,0
101,clueweb09-en0016-64-31484,-6.2812,0
101,clueweb09-en0051-69-29221,-6.28144,0
101,clueweb09-en0065-68-18073,-6.28485,0
101,clueweb09-en0133-91-27837,-6.28593,0
101,clueweb09-en0037-33-38566,-6.29737,0
101,clueweb09-en0016-37-29835,-6.30512,2
101,clueweb09-en0057-56-28757,-6.30771,0
101,clueweb09-en0074-79-15341,-6.30802,0
