topic,doc,score,rel
101,clueweb09-en0032-96-12271,-6.32739,0
101,clueweb09-en0030-84-02605,-6.59456,0
101,clueweb09-en0113-75-03620,-6.66347,0
101,clueweb09-en0085-22-15373,-6.68962,0
101,clueweb09-en0086-05-03683,-6.70088,0
101,clueweb09-en0073-31-09846,-6.72014,0
101,clueweb09-en0122-60-06659,-6.7935,1
101,clueweb09-en0053-64-15819,-6.81282,1
101,clueweb09-en0080-50-44092,-6.91449,1
101,clueweb09-en0125-67-11902,-6.92211,0
101,clueweb09-en0017-45-10637,-6.93139,1
101,clueweb09-en0046-47-04636,-6.93973,0
101,clueweb09-en0059-72-28021,-6.94286,0
101,clueweb09-en0035-04-30387,-6.94558,1
101,clueweb09-en0010-93-30671,-6.97177,1
101,clueweb09-en0126-08-07879,-6.98943,0
101,clueweb09-en0004-66-09322,-7.03557,2
101,clueweb09-en0054-29-38935,-7.07291,1
101,clueweb09-en0066-76-27023,-7.07964,2
101,clueweb09-en0003-60-13052,-7.08169,2
101,clueweb09-en0095-37-11180,-7.09639,2
101,clueweb09-en0041-66-35720,-7.11904,2
101,clueweb09-en0044-05-29808,-7.12594,2
101,clueweb09-en0074-79-15341,-7.13021,0
101,clueweb09-en0045-43-19807,-7.13107,1
101,clueweb09-en0055-06-00232,-7.15359,0
101,clueweb09-en0050-62-35743,-7.15773,2
101,clueweb09-en0021-69-31170,-7.15915,0
101,clueweb09-en0131-32-14783,-7.16261,2
101,clueweb09-en0017-78-26499,-7.16377,0
101,clueweb09-en0044-25-31704,-7.16896,0
101,clueweb09-en0119-32-24172,-7.17965,0
101,clueweb09-en0031-30-19983,-7.18201,1
101,clueweb09-en0083-35-17956,-7.18219,0
101,clueweb09-en0006-70-22566,-7.18227,1
101,clueweb09-en0068-42-22601,-7.18249,0
101,clueweb09-en0065-68-18073,-7.18645,0
101,clueweb09-en0103-74-20045,-7.18978,1
101,clueweb09-en0047-33-20039,-7.19213,1
101,clueweb09-en0041-47-35225,-7.19333,0
101,clueweb09-en0080-90-05341,-7.19706,0
101,clueweb09-en0054-83-29546,-7.20008,0
101,clueweb09-en0030-09-02827,-7.20201,0
101,clueweb09-en0078-26-37044,-7.20251,0
101,clueweb09-enwp01-40-22507,-7.21231,0
101,clueweb09-en0065-64-14700,-7.21524,0
101,clueweb09-enwp01-10-20426,-7.22013,0
101,clueweb09-en0091-11-39752,-7.2257,0
101,clueweb09-en0087-57-35691,-7.22808,0
101,clueweb09-en0008-80-29984,-7.22834,0
101,clueweb09-en0088-97-38639,-7.24026,0
101,clueweb09-en0034-10-25896,-7.24574,0
101,clueweb09-en0020-61-29589,-7.24575,0
101,clueweb09-en0001-91-27453,-7.25515,0
101,clueweb09-en0074-78-35320,-7.2578,0
101,clueweb09-en0051-90-16074,-7.26559,0
101,clueweb09-en0034-10-25904,-7.27166,0
101,clueweb09-en0016-37-29835,-7.27379,2
101,clueweb09-en0028-06-00655,-7.27413,0
101,clueweb09-en0024-38-09469,-7.27449,0
101,clueweb09-en0027-41-14742,-7.28058,0
101,clueweb09-en0084-05-08767,-7.28496,0
101,clueweb09-en0015-06-18373,-7.28808,0
101,clueweb09-en0087-45-33295,-7.29279,0
101,clueweb09-en0072-04-28455,-7.29541,0
101,clueweb09-en0019-36-02171,-7.29963,0
101,clueweb09-en0040-43-16645,-7.29993,0
101,clueweb09-en0039-70-14104,-7.30081,0
101,clueweb09-en0054-69-33509,-7.3027,0
101,clueweb09-en0129-67-15441,-7.31201,0
101,clueweb09-en0106-46-23007,-7.31969,0
101,clueweb09-en0019-32-21921,-7.32101,2
101,clueweb09-en0130-29-51180,-7.3213,0
101,clueweb09-en0081-76-19518,-7.32161,0
101,clueweb09-en0082-96-10220,-7.32213,1
101,clueweb09-en0019-42-12376,-7.32244,0
101,clueweb09-en0011-52-14199,-7.32723,0
101,clueweb09-en0060-77-27800,-7.32988,0
101,clueweb09-en0043-79-02444,-7.33271,0
