topic,doc,score,rel
101,clueweb09-en0004-66-09322,1956.86,2
101,clueweb09-en0011-50-37385,1928.382,0
101,clueweb09-en0000-11-36944,1925.545,0
101,clueweb09-en0011-32-10292,1918.187,0
101,clueweb09-en0000-45-05740,1826.096,0
101,clueweb09-en0004-17-06169,1791.183,0
101,clueweb09-en0005-74-37559,1754.987,0
101,clueweb09-en0005-74-37538,1752.541,0
101,clueweb09-en0011-31-18804,1740.928,0
101,clueweb09-en0011-31-18799,1739.989,0
101,clueweb09-en0008-80-30010,1739.763,0
101,clueweb09-en0000-74-25760,1733.05,0
101,clueweb09-en0005-83-31893,1732.187,0
101,clueweb09-en0009-42-25689,1729.85,0
101,clueweb09-en0009-42-25661,1727.749,0
101,clueweb09-en0011-31-18783,1725.499,0
101,clueweb09-en0011-31-18784,1725.303,0
101,clueweb09-en0000-78-19663,1722.437,0
101,clueweb09-en0001-12-16773,1715.597,0
101,clueweb09-en0004-10-04210,1714.94,0
101,clueweb09-en0008-80-29992,1713.116,1
101,clueweb09-en0011-31-18798,1712.898,0
101,clueweb09-en0011-31-18797,1712.698,0
101,clueweb09-en0001-12-16778,1712.23,0
101,clueweb09-en0001-12-16369,1711.475,0
101,clueweb09-en0001-91-27453,1710.88,0
101,clueweb09-en0008-90-16355,1710.075,0
101,clueweb09-en0011-31-18788,1709.434,0
101,clueweb09-en0001-74-36490,1708.594,0
101,clueweb09-en0008-86-11031,1707.163,0
101,clueweb09-en0009-19-09264,1706.967,0
101,clueweb09-en0011-81-12142,1706.408,0
101,clueweb09-en0008-28-23354,1706.074,0
101,clueweb09-en0008-80-29999,1705.936,1
101,clueweb09-en0008-80-30008,1705.178,0
101,clueweb09-en0007-69-36174,1704.949,0
101,clueweb09-en0001-22-20348,1702.466,0
101,clueweb09-en0001-12-16811,1702.15,0
101,clueweb09-en0001-62-22224,1701.498,0
101,clueweb09-en0008-80-29979,1700.079,0
101,clueweb09-en0001-12-16791,1699.654,0
101,clueweb09-en0008-78-08027,1699.501,0
101,clueweb09-en0008-78-08024,1698.717,0
101,clueweb09-en0009-42-25680,1698.179,0
101,clueweb09-en0008-90-16330,1696.696,0
101,clueweb09-en0000-42-02010,1696.367,0
101,clueweb09-en0008-80-30000,1695.184,0
101,clueweb09-en0011-31-18779,1694.943,0
101,clueweb09-en0008-80-29984,1694.213,0
101,clueweb09-en0000-79-12800,1694.12,1
101,clueweb09-en0011-31-18794,1693.82,0
101,clueweb09-en0011-31-18803,1693.618,0
101,clueweb09-en0008-90-16331,1692.184,0
101,clueweb09-en0008-78-08022,1691.317,0
101,clueweb09-en0009-69-04713,1691.215,0
101,clueweb09-en0009-19-09281,1690.887,0
101,clueweb09-en0008-86-11051,1690.603,0
101,clueweb09-en0008-78-08025,1690.059,0
101,clueweb09-en0008-78-08031,1689.539,0
101,clueweb09-en0008-78-08023,1687.975,0
101,clueweb09-en0008-78-08026,1687.547,0
101,clueweb09-en0007-69-36175,1686.275,0
101,clueweb09-en0008-80-30022,1686.24,1
101,clueweb09-en0007-75-35445,1686.047,0
101,clueweb09-en0007-69-36189,1684.53,0
101,clueweb09-en0001-69-04553,1684.333,0
101,clueweb09-en0000-51-23170,1684.306,0
101,clueweb09-en0008-80-30011,1683.682,0
101,clueweb09-en0001-12-16590,1681.736,0
101,clueweb09-en0008-78-08028,1681.323,0
101,clueweb09-en0004-07-29950,1680.075,0
101,clueweb09-en0010-02-08065,1679.236,0
101,clueweb09-en0011-33-33396,1678.2,0
101,clueweb09-en0007-69-36171,1678.146,0
101,clueweb09-en0010-02-08067,1677.876,0
101,clueweb09-en0002-06-17354,1676.623,0
101,clueweb09-en0008-51-27979,1676.594,0
101,clueweb09-en0011-31-18787,1676.277,0
101,clueweb09-en0008-78-08020,1676.2,0
101,clueweb09-en0007-69-36179,1675.098,0
101,clueweb09-en0007-69-36190,1674.373,0
101,clueweb09-en0008-54-15915,1673.748,1
101,clueweb09-en0008-51-27976,1673.178,0
101,clueweb09-en0009-86-29904,1672.683,0
101,clueweb09-en0010-02-08069,1671.439,0
101,clueweb09-en0008-51-28018,1671.185,0
101,clueweb09-en0007-54-27441,1670.525,0
101,clueweb09-en0008-24-24500,1670.375,0
101,clueweb09-en0008-80-31969,1670.087,0
101,clueweb09-en0009-62-01021,1669.928,1
101,clueweb09-en0008-01-33675,1669.515,0
101,clueweb09-en0008-90-16321,1667.776,0
101,clueweb09-en0001-12-16652,1667.0,0
101,clueweb09-en0009-94-30355,1665.824,0
101,clueweb09-en0011-31-18789,1665.716,0
101,clueweb09-en0007-69-36183,1665.445,0
101,clueweb09-en0008-70-18084,1664.66,0
101,clueweb09-en0011-37-21292,1663.994,0
101,clueweb09-en0005-99-12472,1663.968,0
101,clueweb09-en0000-89-24089,1663.728,0
101,clueweb09-en0008-44-20424,1662.807,0
101,clueweb09-en0011-97-16054,1662.298,0
101,clueweb09-en0001-12-29269,1660.629,0
101,clueweb09-en0007-69-36173,1660.549,0
101,clueweb09-en0007-69-36184,1659.9,0
101,clueweb09-en0008-03-01357,1658.954,0
101,clueweb09-en0008-72-29938,1658.64,0
101,clueweb09-en0008-92-21081,1658.368,0
101,clueweb09-en0001-12-29265,1657.703,0
101,clueweb09-en0009-42-25683,1657.583,0
101,clueweb09-en0008-54-15939,1657.33,0
101,clueweb09-en0003-75-17857,1656.98,1
101,clueweb09-en0011-33-33370,1656.821,0
101,clueweb09-en0010-02-08089,1655.008,0
101,clueweb09-en0009-19-09251,1654.179,0
101,clueweb09-en0008-51-28126,1654.047,0
101,clueweb09-en0008-86-11019,1653.443,0
101,clueweb09-en0008-78-08029,1652.751,0
101,clueweb09-en0007-69-36188,1651.25,0
101,clueweb09-en0001-98-07424,1651.069,0
101,clueweb09-en0008-12-29011,1651.031,0
101,clueweb09-en0004-30-10855,1650.616,0
101,clueweb09-en0010-02-08076,1650.077,0
101,clueweb09-en0001-81-18345,1648.442,0
101,clueweb09-en0007-69-36177,1647.144,0
101,clueweb09-en0009-25-14829,1647.063,0
101,clueweb09-en0007-54-26781,1646.631,0
101,clueweb09-en0000-11-31269,1646.509,0
101,clueweb09-en0008-54-15934,1646.359,0
101,clueweb09-en0008-90-41003,1645.634,0
101,clueweb09-en0007-70-02732,1645.432,0
101,clueweb09-en0009-27-09114,1645.109,0
101,clueweb09-en0008-90-16345,1643.546,0
101,clueweb09-en0008-11-25547,1643.367,0
101,clueweb09-en0008-30-20105,1642.944,0
101,clueweb09-en0008-80-30023,1642.789,0
101,clueweb09-en0001-85-33089,1642.788,0
101,clueweb09-en0001-85-33092,1640.84,0
101,clueweb09-en0008-91-32953,1640.812,0
101,clueweb09-en0008-90-16372,1640.632,0
101,clueweb09-en0008-80-29983,1640.276,0
