topic,doc,score,rel
101,clueweb09-en0010-93-30671,2707.481,1
101,clueweb09-en0004-66-09322,2616.844,2
101,clueweb09-enwp01-40-22507,2476.424,0
101,clueweb09-en0005-83-31893,2448.761,0
101,clueweb09-en0010-91-25316,2442.143,1
101,clueweb09-en0003-60-13052,2426.195,2
101,clueweb09-en0008-86-11051,2403.328,0
101,clueweb09-en0009-19-09281,2402.733,0
101,clueweb09-en0011-32-10292,2374.106,0
101,clueweb09-enwp01-10-20426,2369.41,0
101,clueweb09-en0006-70-22566,2366.971,1
101,clueweb09-en0001-91-27453,2362.761,0
101,clueweb09-en0007-97-25998,2360.879,0
101,clueweb09-en0011-52-14199,2348.046,0
101,clueweb09-en0006-70-22583,2343.278,0
101,clueweb09-en0006-70-22626,2338.972,0
101,clueweb09-en0008-86-11031,2328.561,0
101,clueweb09-en0008-51-28018,2328.364,0
101,clueweb09-en0009-19-09264,2327.788,0
101,clueweb09-en0007-97-26261,2323.998,0
101,clueweb09-en0001-40-23150,2321.737,0
101,clueweb09-en0006-70-22560,2320.868,0
101,clueweb09-en0007-97-26001,2319.914,0
101,clueweb09-en0007-97-25999,2319.216,0
101,clueweb09-en0010-42-03657,2316.153,0
101,clueweb09-en0004-66-09321,2314.416,0
101,clueweb09-en0003-60-13034,2307.033,0
101,clueweb09-en0008-51-28017,2306.741,0
101,clueweb09-en0006-70-22493,2306.023,0
101,clueweb09-en0011-50-37324,2305.79,0
101,clueweb09-en0006-70-22622,2305.524,0
101,clueweb09-en0006-70-22492,2304.611,0
101,clueweb09-en0006-70-22581,2304.591,0
101,clueweb09-en0010-91-25096,2303.985,0
101,clueweb09-en0004-42-00749,2303.936,0
101,clueweb09-en0010-91-25089,2303.432,0
101,clueweb09-en0006-70-22614,2303.294,0
101,clueweb09-en0005-27-32450,2302.651,0
101,clueweb09-en0006-70-22606,2300.551,0
101,clueweb09-en0006-70-22616,2298.83,0
101,clueweb09-en0006-70-22589,2297.624,0
101,clueweb09-en0006-70-22613,2296.906,0
101,clueweb09-en0006-70-22619,2296.677,0
101,clueweb09-en0006-70-22656,2296.485,0
101,clueweb09-en0006-70-22592,2296.434,0
101,clueweb09-en0009-60-12955,2296.002,0
101,clueweb09-en0006-70-22620,2295.718,0
101,clueweb09-en0006-70-22595,2295.703,0
101,clueweb09-en0006-70-22604,2294.879,0
101,clueweb09-en0006-70-22591,2292.981,0
101,clueweb09-en0006-70-22570,2292.824,0
101,clueweb09-en0006-70-22612,2292.207,0
101,clueweb09-en0006-70-22609,2291.89,0
101,clueweb09-en0006-70-22547,2291.843,0
101,clueweb09-en0006-70-22573,2291.259,0
101,clueweb09-en0008-72-29938,2291.252,0
101,clueweb09-en0006-70-22542,2291.132,0
101,clueweb09-en0006-70-22610,2290.842,0
101,clueweb09-en0006-70-22587,2290.51,0
101,clueweb09-en0006-70-22605,2289.809,0
101,clueweb09-en0006-70-22514,2288.577,0
101,clueweb09-en0006-70-22596,2288.02,0
101,clueweb09-en0006-70-22539,2288.009,0
101,clueweb09-en0006-70-22528,2286.833,0
101,clueweb09-en0006-70-22664,2286.715,0
101,clueweb09-en0006-70-22579,2285.839,0
101,clueweb09-en0006-70-22526,2285.835,0
101,clueweb09-en0008-80-30022,2285.037,1
101,clueweb09-en0000-79-12800,2284.836,1
101,clueweb09-en0006-70-22665,2284.194,0
101,clueweb09-en0006-70-22553,2283.12,0
101,clueweb09-en0006-70-22555,2283.073,0
101,clueweb09-en0011-69-15999,2282.845,0
101,clueweb09-en0006-70-22537,2282.742,0
101,clueweb09-en0002-83-01420,2281.857,1
101,clueweb09-en0006-70-22549,2281.642,0
