topic,doc,score,rel
101,clueweb09-en0010-91-25316,-3.7326,1
101,clueweb09-en0010-93-30671,-4.09122,1
101,clueweb09-en0004-66-09322,-4.45193,2
101,clueweb09-en0008-72-29938,-5.00863,0
101,clueweb09-enwp01-40-22507,-5.08864,0
101,clueweb09-en0008-80-29984,-5.36309,0
101,clueweb09-en0011-32-10292,-5.44604,0
101,clueweb09-en0001-98-07420,-5.45251,0
101,clueweb09-en0008-51-28018,-5.4968,0
101,clueweb09-en0002-83-01420,-5.53222,1
101,clueweb09-en0002-49-10468,-5.5568,0
101,clueweb09-en0004-42-00749,-5.56294,0
101,clueweb09-en0000-78-19663,-5.57108,0
101,clueweb09-en0011-36-33299,-5.61159,0
101,clueweb09-enwp01-10-20426,-5.62199,0
101,clueweb09-en0002-62-17980,-5.63701,0
101,clueweb09-en0010-91-25096,-5.67496,0
101,clueweb09-en0001-69-04553,-5.68278,0
101,clueweb09-en0008-80-30010,-5.68954,0
101,clueweb09-en0010-91-25089,-5.72397,0
101,clueweb09-en0010-42-03657,-5.78262,0
101,clueweb09-en0009-17-05479,-5.79436,0
101,clueweb09-en0002-25-14422,-5.80988,0
101,clueweb09-en0010-05-10712,-5.82641,0
101,clueweb09-en0006-51-35681,-5.8443,1
101,clueweb09-en0008-80-30011,-5.86187,0
101,clueweb09-en0007-40-20313,-5.8707,0
101,clueweb09-en0008-51-28078,-5.87995,0
101,clueweb09-en0008-51-28017,-5.89394,0
101,clueweb09-en0001-40-23150,-5.90665,0
101,clueweb09-en0009-60-12952,-5.91139,0
101,clueweb09-en0002-46-20031,-5.92349,0
101,clueweb09-en0008-80-30022,-5.94301,1
101,clueweb09-en0008-51-28115,-5.96564,0
101,clueweb09-en0008-80-30000,-6.0001,0
101,clueweb09-en0003-16-26817,-6.01765,1
101,clueweb09-enwp01-51-16785,-6.0568,0
101,clueweb09-en0008-80-29999,-6.07408,1
101,clueweb09-en0001-39-05185,-6.09491,0
101,clueweb09-en0006-23-24820,-6.10221,0
101,clueweb09-en0006-37-16979,-6.10448,0
101,clueweb09-en0008-82-30566,-6.11419,0
101,clueweb09-en0006-23-24826,-6.11739,0
101,clueweb09-en0004-66-09321,-6.11979,0
101,clueweb09-en0006-23-24822,-6.1278,0
101,clueweb09-en0008-51-28021,-6.13469,0
101,clueweb09-en0006-23-24819,-6.14275,0
101,clueweb09-en0003-80-10016,-6.15543,0
101,clueweb09-en0006-23-24823,-6.1591,0
101,clueweb09-en0006-23-24827,-6.16038,0
101,clueweb09-en0008-80-29992,-6.16876,1
101,clueweb09-en0006-23-24825,-6.17318,0
101,clueweb09-en0008-54-15954,-6.18101,0
101,clueweb09-en0000-02-19974,-6.18461,0
101,clueweb09-en0006-23-24829,-6.20186,0
