topic,doc,score,rel
101,clueweb09-en0010-91-25316,-3.72902,1
101,clueweb09-en0010-93-30671,-4.09092,1
101,clueweb09-en0004-66-09322,-4.44449,2
101,clueweb09-en0008-72-29938,-5.00631,0
101,clueweb09-enwp01-40-22507,-5.08634,0
101,clueweb09-en0001-98-07420,-5.2801,0
101,clueweb09-en0008-80-29984,-5.36257,0
101,clueweb09-en0002-49-10468,-5.4339,0
101,clueweb09-en0011-32-10292,-5.4441,0
101,clueweb09-en0008-51-28018,-5.49642,0
101,clueweb09-en0002-83-01420,-5.53047,1
101,clueweb09-en0004-42-00749,-5.55989,0
101,clueweb09-en0000-78-19663,-5.57058,0
101,clueweb09-en0011-36-33299,-5.60156,0
101,clueweb09-enwp01-10-20426,-5.61595,0
101,clueweb09-en0010-91-25096,-5.62957,0
101,clueweb09-en0002-62-17980,-5.63638,0
101,clueweb09-en0006-37-16979,-5.66193,0
101,clueweb09-en0010-91-25089,-5.66664,0
101,clueweb09-en0001-69-04553,-5.67292,0
101,clueweb09-en0008-80-30010,-5.68787,0
101,clueweb09-en0002-25-14422,-5.76436,0
101,clueweb09-en0010-42-03657,-5.77956,0
101,clueweb09-en0009-17-05479,-5.7904,0
101,clueweb09-en0010-05-10712,-5.81636,0
101,clueweb09-en0006-51-35681,-5.8425,1
101,clueweb09-en0008-51-28078,-5.85565,0
101,clueweb09-en0008-80-30011,-5.8605,0
101,clueweb09-en0007-40-20313,-5.86996,0
101,clueweb09-en0002-46-20031,-5.87774,0
101,clueweb09-en0008-51-28017,-5.89338,0
101,clueweb09-en0001-40-23150,-5.90098,0
101,clueweb09-en0009-60-12952,-5.90134,0
101,clueweb09-en0008-80-30022,-5.94133,1
101,clueweb09-en0008-51-28115,-5.96417,0
101,clueweb09-en0008-80-30000,-5.99858,0
101,clueweb09-en0003-16-26817,-6.01566,1
101,clueweb09-enwp01-51-16785,-6.05148,0
101,clueweb09-en0008-80-29999,-6.0707,1
101,clueweb09-en0001-39-05185,-6.08486,0
101,clueweb09-en0006-23-24820,-6.09216,0
101,clueweb09-en0006-23-24826,-6.10734,0
101,clueweb09-en0008-82-30566,-6.112,0
101,clueweb09-en0004-66-09321,-6.11668,0
101,clueweb09-en0006-23-24822,-6.11775,0
101,clueweb09-en0008-51-28021,-6.13072,0
101,clueweb09-en0006-23-24819,-6.1327,0
101,clueweb09-en0000-02-19974,-6.13818,0
101,clueweb09-en0006-23-24823,-6.14905,0
101,clueweb09-en0006-23-24827,-6.15033,0
101,clueweb09-en0003-80-10016,-6.15145,0
101,clueweb09-en0001-93-25798,-6.15873,0
101,clueweb09-en0006-23-24825,-6.16313,0
101,clueweb09-en0008-80-29992,-6.16633,1
101,clueweb09-en0007-29-07448,-6.1769,0
101,clueweb09-en0002-26-21869,-6.17922,0
101,clueweb09-en0008-54-15954,-6.17927,0
101,clueweb09-en0006-23-24829,-6.19181,0
101,clueweb09-en0011-44-01932,-6.19965,0
101,clueweb09-en0008-62-37098,-6.20019,0
101,clueweb09-en0007-09-13995,-6.22126,0
101,clueweb09-en0007-04-11250,-6.22468,0
101,clueweb09-en0008-33-31379,-6.23203,0
101,clueweb09-en0003-68-14741,-6.24094,0
101,clueweb09-en0004-91-08018,-6.24538,0
101,clueweb09-en0000-02-19962,-6.26147,0
101,clueweb09-en0007-96-22218,-6.27026,0
101,clueweb09-en0001-98-07435,-6.27639,0
101,clueweb09-en0008-80-29985,-6.29767,0
101,clueweb09-en0002-46-20098,-6.30065,0
101,clueweb09-en0003-89-24431,-6.30332,0
101,clueweb09-en0010-71-36164,-6.31326,0
101,clueweb09-en0006-11-05235,-6.31452,0
101,clueweb09-en0001-40-23122,-6.31669,0
101,clueweb09-en0011-06-23769,-6.32877,0
101,clueweb09-en0004-55-23868,-6.34335,0
101,clueweb09-en0002-46-19986,-6.34564,0
101,clueweb09-en0008-80-29983,-6.35169,0
101,clueweb09-en0002-46-23733,-6.35982,0
101,clueweb09-en0011-21-17985,-6.37672,0
101,clueweb09-en0002-46-19935,-6.37964,0
101,clueweb09-en0001-12-16567,-6.38197,0
101,clueweb09-en0010-91-25336,-6.38539,0
101,clueweb09-en0009-60-12955,-6.39294,0
101,clueweb09-en0009-27-17279,-6.3933,0
101,clueweb09-en0010-28-31542,-6.39982,0
101,clueweb09-en0001-25-08269,-6.40141,0
101,clueweb09-en0004-66-09346,-6.40234,0
101,clueweb09-en0006-83-31753,-6.40511,0
101,clueweb09-en0007-64-34633,-6.40627,0
101,clueweb09-en0008-44-25751,-6.40694,0
101,clueweb09-en0006-64-01102,-6.40814,0
101,clueweb09-en0011-31-38934,-6.4128,0
101,clueweb09-en0006-51-35696,-6.43464,0
101,clueweb09-en0007-76-34890,-6.44616,0
101,clueweb09-en0008-49-26221,-6.45524,0
101,clueweb09-en0009-72-07362,-6.45608,0
101,clueweb09-en0003-36-28032,-6.4656,0
101,clueweb09-en0001-44-40755,-6.46576,0
101,clueweb09-en0002-46-20144,-6.47551,0
101,clueweb09-en0002-46-20136,-6.47862,0
101,clueweb09-en0001-25-08270,-6.48453,0
101,clueweb09-en0001-40-22752,-6.48749,0
101,clueweb09-en0008-11-26112,-6.50811,0
101,clueweb09-en0007-64-25868,-6.51045,0
101,clueweb09-en0008-80-29979,-6.51185,0
101,clueweb09-en0001-46-24826,-6.517,0
101,clueweb09-en0008-96-06825,-6.52623,0
101,clueweb09-en0006-11-05186,-6.53948,0
101,clueweb09-en0001-98-07424,-6.54378,0
101,clueweb09-en0004-04-28368,-6.56456,0
101,clueweb09-en0008-78-08020,-6.56503,0
101,clueweb09-en0010-42-03661,-6.56724,0
101,clueweb09-en0004-42-33448,-6.57968,0
101,clueweb09-en0011-17-07165,-6.58202,0
101,clueweb09-en0009-69-04713,-6.58382,0
101,clueweb09-en0005-09-25575,-6.58892,0
101,clueweb09-en0005-34-13770,-6.59543,0
101,clueweb09-en0002-34-31150,-6.59655,0
101,clueweb09-en0002-60-02870,-6.60772,0
101,clueweb09-en0007-04-11251,-6.61345,0
101,clueweb09-en0007-76-23766,-6.62518,0
101,clueweb09-en0006-15-17833,-6.62613,0
101,clueweb09-en0008-54-15952,-6.62736,0
101,clueweb09-en0010-91-25404,-6.63019,0
101,clueweb09-en0008-35-46597,-6.63846,0
101,clueweb09-en0005-24-36860,-6.65037,0
101,clueweb09-enwp00-63-18127,-6.65339,0
101,clueweb09-en0006-37-14193,-6.66329,0
101,clueweb09-en0010-91-25366,-6.66384,0
101,clueweb09-en0009-99-09422,-6.66646,0
101,clueweb09-en0007-11-28678,-6.67208,0
101,clueweb09-enwp02-30-09857,-6.68061,0
101,clueweb09-en0004-32-10515,-6.68369,0
101,clueweb09-en0001-08-03782,-6.68415,0
101,clueweb09-en0005-24-36857,-6.68452,0
101,clueweb09-en0011-31-18792,-6.69323,0
101,clueweb09-en0009-11-31327,-6.69863,0
101,clueweb09-en0001-98-07437,-6.699,0
101,clueweb09-en0008-80-29996,-6.70417,0
101,clueweb09-en0010-37-40536,-6.70855,0
101,clueweb09-en0008-60-29026,-6.71005,0
101,clueweb09-en0002-46-20002,-6.72324,0
101,clueweb09-en0011-83-34136,-6.73107,0
101,clueweb09-en0006-40-17105,-6.73601,0
101,clueweb09-en0001-40-23212,-6.73941,0
101,clueweb09-en0010-53-37449,-6.74464,0
101,clueweb09-en0002-26-21899,-6.74466,0
101,clueweb09-en0005-24-36855,-6.74532,0
101,clueweb09-en0001-44-43742,-6.76847,0
101,clueweb09-en0011-81-11963,-6.77037,0
101,clueweb09-enwp01-53-17276,-6.77153,0
101,clueweb09-en0011-37-14455,-6.78641,0
101,clueweb09-en0009-24-30186,-6.79136,0
101,clueweb09-en0006-51-35676,-6.79767,0
101,clueweb09-en0002-46-19941,-6.79826,0
101,clueweb09-en0007-64-25992,-6.79834,0
101,clueweb09-en0007-11-10186,-6.80651,0
101,clueweb09-en0010-91-25095,-6.80672,0
101,clueweb09-en0010-59-37825,-6.8076,0
101,clueweb09-en0010-22-21504,-6.81715,0
101,clueweb09-en0006-07-04251,-6.81735,0
101,clueweb09-en0002-46-20147,-6.82381,0
101,clueweb09-en0006-11-05244,-6.83599,0
101,clueweb09-en0007-38-37466,-6.83741,0
101,clueweb09-en0001-98-07440,-6.8404,0
101,clueweb09-en0010-22-21503,-6.8449,0
101,clueweb09-en0005-45-01274,-6.85298,0
101,clueweb09-en0008-65-10590,-6.85309,0
101,clueweb09-en0010-52-22057,-6.85454,0
101,clueweb09-en0006-69-16523,-6.85768,0
101,clueweb09-en0010-38-10089,-6.86439,0
101,clueweb09-en0006-45-19870,-6.86855,0
101,clueweb09-en0008-54-15938,-6.86999,0
101,clueweb09-en0010-22-21495,-6.87534,0
101,clueweb09-en0004-18-34621,-6.87619,0
101,clueweb09-en0004-04-31897,-6.88591,0
101,clueweb09-en0004-91-09353,-6.88893,0
101,clueweb09-en0006-46-31462,-6.89168,0
101,clueweb09-en0010-91-25353,-6.89764,0
101,clueweb09-en0007-97-25902,-6.89882,0
101,clueweb09-en0011-33-11143,-6.90121,0
101,clueweb09-en0003-74-15318,-6.90822,0
101,clueweb09-en0011-31-18789,-6.90844,0
101,clueweb09-en0000-21-03385,-6.91027,0
101,clueweb09-en0011-98-21737,-6.91039,0
101,clueweb09-en0007-97-25901,-6.91178,0
101,clueweb09-en0008-22-19086,-6.91574,0
101,clueweb09-en0006-37-13709,-6.91673,0
101,clueweb09-en0008-80-29978,-6.91776,0
101,clueweb09-en0002-26-21907,-6.91898,0
101,clueweb09-enwp01-12-07209,-6.92172,0
101,clueweb09-en0004-08-32807,-6.92292,0
101,clueweb09-en0010-22-21510,-6.92569,0
101,clueweb09-en0011-98-21819,-6.92936,0
101,clueweb09-en0004-44-37975,-6.93286,0
101,clueweb09-en0008-41-02769,-6.93523,0
101,clueweb09-en0004-18-34657,-6.9367,0
101,clueweb09-en0008-52-42616,-6.93721,0
101,clueweb09-en0002-46-20062,-6.94034,0
101,clueweb09-en0008-11-23318,-6.94431,0
101,clueweb09-en0002-46-20100,-6.94453,0
101,clueweb09-en0010-22-21509,-6.94557,0
101,clueweb09-en0011-36-33300,-6.94566,0
101,clueweb09-en0009-66-05251,-6.9503,0
101,clueweb09-en0010-91-25317,-6.96034,1
101,clueweb09-en0008-54-15960,-6.96201,0
101,clueweb09-en0008-54-15915,-6.96581,1
101,clueweb09-en0005-03-03014,-6.96666,0
101,clueweb09-en0008-54-15944,-6.96802,0
101,clueweb09-en0009-60-12954,-6.96909,0
101,clueweb09-en0006-91-27332,-6.96966,0
101,clueweb09-en0008-35-46579,-6.97011,0
101,clueweb09-en0008-11-24501,-6.97236,0
101,clueweb09-en0008-85-37687,-6.97358,0
101,clueweb09-en0004-08-29092,-6.97434,0
101,clueweb09-en0006-71-10839,-6.97464,0
101,clueweb09-en0010-20-33304,-6.97919,0
101,clueweb09-en0011-50-34750,-6.98011,0
101,clueweb09-en0001-74-33751,-6.98386,0
101,clueweb09-en0002-46-19928,-6.98411,0
101,clueweb09-en0011-33-33396,-6.98426,0
101,clueweb09-en0010-91-25202,-6.9843,0
101,clueweb09-enwp01-66-19095,-6.98464,0
101,clueweb09-en0008-49-26272,-6.98608,0
101,clueweb09-en0007-69-36174,-6.98829,0
101,clueweb09-en0007-69-36189,-6.98837,0
101,clueweb09-en0006-34-10160,-6.98949,0
101,clueweb09-en0010-12-29206,-6.99209,0
101,clueweb09-en0007-97-25939,-6.99369,0
101,clueweb09-en0007-10-20908,-6.99667,0
101,clueweb09-en0004-95-18148,-6.99695,0
101,clueweb09-en0010-91-25280,-6.99994,0
101,clueweb09-en0002-26-21854,-7.0006,0
101,clueweb09-en0002-26-21903,-7.00123,0
101,clueweb09-en0008-80-30004,-7.00599,0
101,clueweb09-en0002-46-20061,-7.01832,0
101,clueweb09-en0008-72-02376,-7.02179,0
101,clueweb09-en0006-11-05183,-7.02379,0
101,clueweb09-en0002-26-21851,-7.02447,0
101,clueweb09-en0011-44-20659,-7.0246,0
101,clueweb09-en0011-05-32731,-7.02673,0
101,clueweb09-en0011-81-11947,-7.02733,0
101,clueweb09-en0010-91-25357,-7.03077,0
101,clueweb09-en0008-54-15909,-7.03283,0
101,clueweb09-en0007-55-15339,-7.03326,0
101,clueweb09-en0010-91-25309,-7.03718,0
101,clueweb09-en0002-46-19943,-7.04772,0
101,clueweb09-en0011-89-20656,-7.04797,0
101,clueweb09-en0005-62-26330,-7.04816,0
101,clueweb09-en0008-54-15956,-7.05043,0
101,clueweb09-en0011-89-20616,-7.05089,0
101,clueweb09-en0002-26-21901,-7.05173,0
101,clueweb09-en0011-83-34150,-7.05671,0
101,clueweb09-en0005-03-02797,-7.05788,0
101,clueweb09-en0002-26-03009,-7.06339,0
101,clueweb09-en0000-79-27264,-7.06498,0
101,clueweb09-en0007-97-26227,-7.06585,0
101,clueweb09-en0006-11-10405,-7.06596,0
101,clueweb09-en0007-97-26090,-7.06692,0
101,clueweb09-en0007-26-16455,-7.07229,0
101,clueweb09-en0007-03-18656,-7.0786,0
101,clueweb09-en0008-80-34940,-7.07936,0
101,clueweb09-en0007-97-25935,-7.08581,0
101,clueweb09-en0010-91-25384,-7.08583,0
101,clueweb09-en0000-01-20612,-7.0862,0
101,clueweb09-en0002-46-20106,-7.08725,0
101,clueweb09-en0006-11-05139,-7.08837,0
101,clueweb09-en0010-42-03660,-7.08842,0
101,clueweb09-en0005-21-31774,-7.09274,0
101,clueweb09-en0001-93-25803,-7.09368,0
101,clueweb09-en0005-38-32915,-7.09475,0
101,clueweb09-en0001-93-25808,-7.09485,0
101,clueweb09-en0010-91-25105,-7.09573,0
101,clueweb09-en0006-27-36893,-7.10017,0
101,clueweb09-en0006-15-33465,-7.10057,0
101,clueweb09-en0010-04-18203,-7.10382,0
101,clueweb09-en0002-26-21904,-7.10389,0
101,clueweb09-en0008-33-31349,-7.10449,0
101,clueweb09-en0007-06-06125,-7.10758,0
101,clueweb09-en0005-55-01771,-7.10958,0
101,clueweb09-en0002-26-21861,-7.10995,0
101,clueweb09-en0010-91-25199,-7.11367,0
101,clueweb09-en0006-62-17889,-7.1139,0
101,clueweb09-en0002-46-20077,-7.11463,0
101,clueweb09-en0008-11-24094,-7.11822,0
101,clueweb09-en0010-91-25492,-7.12095,0
101,clueweb09-en0003-73-28154,-7.12096,0
101,clueweb09-en0002-86-16369,-7.12247,0
101,clueweb09-en0007-97-25892,-7.12354,0
101,clueweb09-en0007-10-35088,-7.12449,0
101,clueweb09-en0002-26-21863,-7.12692,0
101,clueweb09-en0001-98-07423,-7.12749,0
101,clueweb09-en0010-91-25104,-7.12852,0
101,clueweb09-en0007-10-35089,-7.12869,0
101,clueweb09-en0010-99-00966,-7.12874,0
101,clueweb09-en0010-91-25483,-7.12921,0
101,clueweb09-en0010-91-25218,-7.13136,0
101,clueweb09-en0002-26-21897,-7.13333,0
101,clueweb09-en0007-97-26087,-7.13376,0
101,clueweb09-enwp00-76-23137,-7.13599,0
101,clueweb09-en0003-95-13988,-7.13614,0
101,clueweb09-en0011-90-15739,-7.13914,0
101,clueweb09-en0002-26-21864,-7.1397,0
101,clueweb09-en0011-36-31519,-7.14015,0
101,clueweb09-en0010-91-25252,-7.14066,0
101,clueweb09-en0002-80-00074,-7.14237,0
101,clueweb09-en0010-91-25446,-7.14733,0
101,clueweb09-en0000-24-04720,-7.14861,0
101,clueweb09-en0002-57-33046,-7.15,0
101,clueweb09-en0000-24-04719,-7.15011,0
101,clueweb09-en0009-42-25682,-7.15036,0
101,clueweb09-en0001-98-07434,-7.15105,0
101,clueweb09-en0002-46-19970,-7.153,0
101,clueweb09-en0011-81-11945,-7.15359,0
101,clueweb09-en0007-38-37472,-7.1543,0
101,clueweb09-en0002-26-21860,-7.15569,0
101,clueweb09-en0011-83-34159,-7.15669,0
101,clueweb09-en0006-62-17935,-7.15909,0
101,clueweb09-en0004-91-08109,-7.16287,0
101,clueweb09-en0007-81-06468,-7.16497,0
101,clueweb09-en0006-11-05130,-7.165,0
101,clueweb09-en0009-48-11585,-7.16516,0
101,clueweb09-en0002-26-21856,-7.16954,0
101,clueweb09-en0006-37-13636,-7.1705,0
101,clueweb09-en0010-91-25334,-7.17562,0
101,clueweb09-en0001-93-25757,-7.17652,0
101,clueweb09-en0005-24-32870,-7.1769,0
101,clueweb09-enwp02-03-03394,-7.18043,0
101,clueweb09-en0010-12-37552,-7.1825,0
101,clueweb09-en0002-26-21905,-7.18273,0
101,clueweb09-en0005-73-33462,-7.18435,0
101,clueweb09-en0007-97-26184,-7.18775,0
101,clueweb09-en0009-84-23523,-7.19022,0
101,clueweb09-en0002-26-21852,-7.19482,0
101,clueweb09-en0011-34-03454,-7.19548,0
101,clueweb09-en0010-91-25333,-7.19912,0
101,clueweb09-en0007-82-40887,-7.20077,0
101,clueweb09-en0004-61-09210,-7.20156,0
101,clueweb09-en0010-91-25330,-7.20156,0
101,clueweb09-en0010-91-25444,-7.20201,0
101,clueweb09-en0011-89-20660,-7.20226,0
101,clueweb09-enwp01-24-10324,-7.20377,0
101,clueweb09-en0008-33-18597,-7.20409,0
101,clueweb09-en0011-89-20619,-7.20731,0
101,clueweb09-en0005-95-12170,-7.20818,0
101,clueweb09-en0002-25-14418,-7.20861,0
101,clueweb09-en0003-53-08060,-7.21078,0
101,clueweb09-en0006-13-29548,-7.21137,0
101,clueweb09-en0009-72-07343,-7.21183,0
101,clueweb09-en0010-91-25161,-7.21328,0
101,clueweb09-en0006-13-29554,-7.21346,0
101,clueweb09-en0011-00-28235,-7.21676,0
101,clueweb09-en0008-78-08024,-7.2191,0
101,clueweb09-en0006-44-24021,-7.22178,0
101,clueweb09-en0002-78-00946,-7.22369,0
101,clueweb09-en0009-15-15854,-7.22369,0
101,clueweb09-en0010-68-25633,-7.22474,0
101,clueweb09-en0007-97-26044,-7.22665,0
101,clueweb09-en0005-18-41203,-7.22951,0
101,clueweb09-en0006-27-36971,-7.23132,0
101,clueweb09-en0008-06-21099,-7.23178,0
101,clueweb09-en0007-83-23310,-7.23216,0
101,clueweb09-en0010-99-05418,-7.23411,0
101,clueweb09-en0008-30-41865,-7.23467,0
101,clueweb09-en0008-78-08026,-7.23551,0
101,clueweb09-en0010-54-32973,-7.2362,0
101,clueweb09-en0010-57-01825,-7.23622,0
101,clueweb09-en0008-49-26226,-7.23857,0
101,clueweb09-en0002-61-03008,-7.23955,0
101,clueweb09-en0002-46-20128,-7.24176,0
101,clueweb09-en0010-91-25343,-7.24233,0
101,clueweb09-en0008-72-02672,-7.24294,0
101,clueweb09-en0004-44-40335,-7.24367,0
101,clueweb09-en0002-09-20048,-7.244,0
101,clueweb09-en0009-21-11789,-7.24508,0
101,clueweb09-en0001-93-25751,-7.24539,0
101,clueweb09-en0006-51-35690,-7.24704,0
101,clueweb09-en0010-44-37517,-7.2472,0
101,clueweb09-en0008-78-08028,-7.24725,0
101,clueweb09-en0010-91-25415,-7.24808,0
101,clueweb09-en0002-23-17150,-7.25128,0
101,clueweb09-en0007-56-20813,-7.25438,0
101,clueweb09-en0010-91-25110,-7.25485,0
101,clueweb09-en0010-91-25229,-7.25594,0
101,clueweb09-en0007-29-06957,-7.25724,0
101,clueweb09-en0008-67-13392,-7.25805,0
101,clueweb09-en0010-91-25481,-7.25932,0
101,clueweb09-en0000-79-40237,-7.26063,0
101,clueweb09-en0011-23-39777,-7.26133,0
101,clueweb09-en0006-74-11037,-7.26158,0
101,clueweb09-en0008-74-24718,-7.26174,0
101,clueweb09-en0007-10-35068,-7.26338,0
101,clueweb09-en0005-62-26383,-7.2653,0
101,clueweb09-en0003-54-28849,-7.26701,0
101,clueweb09-en0007-64-25797,-7.26801,0
101,clueweb09-en0010-91-25318,-7.26809,0
101,clueweb09-en0002-74-04162,-7.26837,0
101,clueweb09-en0008-78-08025,-7.26915,0
101,clueweb09-en0007-29-06962,-7.27017,0
101,clueweb09-en0007-77-24944,-7.27083,0
101,clueweb09-en0006-74-11329,-7.27228,0
101,clueweb09-en0009-42-33912,-7.27288,0
101,clueweb09-en0008-78-08021,-7.2735,0
101,clueweb09-en0008-43-28670,-7.27367,0
101,clueweb09-en0002-81-10020,-7.27398,0
101,clueweb09-en0011-09-06348,-7.27609,0
101,clueweb09-en0010-91-23856,-7.281,0
101,clueweb09-en0009-16-38517,-7.28182,0
101,clueweb09-en0010-91-25214,-7.28231,0
101,clueweb09-en0010-91-25141,-7.28625,0
101,clueweb09-en0007-38-37465,-7.28669,0
101,clueweb09-en0007-66-18656,-7.28845,0
101,clueweb09-en0005-77-22426,-7.28926,0
101,clueweb09-en0007-97-26269,-7.28964,0
101,clueweb09-en0001-40-23376,-7.28983,0
101,clueweb09-en0008-50-34902,-7.295,0
101,clueweb09-en0010-91-25207,-7.29624,0
101,clueweb09-en0007-00-02514,-7.29825,0
101,clueweb09-en0006-37-15723,-7.2992,0
101,clueweb09-enwp00-51-15976,-7.30109,0
101,clueweb09-en0009-39-12311,-7.3015,0
101,clueweb09-en0010-91-25350,-7.30172,0
101,clueweb09-en0006-64-01931,-7.30177,0
101,clueweb09-en0011-89-20625,-7.30324,0
101,clueweb09-en0010-91-25328,-7.30606,0
101,clueweb09-en0007-97-26275,-7.30628,0
101,clueweb09-en0007-97-26276,-7.30628,0
101,clueweb09-en0008-82-35106,-7.30758,0
101,clueweb09-en0004-56-05945,-7.30944,0
101,clueweb09-en0011-34-10594,-7.31034,0
101,clueweb09-en0008-49-26267,-7.31122,0
101,clueweb09-en0008-71-06880,-7.31154,0
101,clueweb09-enwp01-57-15611,-7.31189,0
101,clueweb09-en0005-03-04991,-7.31245,0
101,clueweb09-en0008-78-08027,-7.31329,0
101,clueweb09-en0008-78-08022,-7.31399,0
101,clueweb09-en0000-01-20633,-7.31434,0
101,clueweb09-en0000-15-09922,-7.3144,0
101,clueweb09-en0007-97-26274,-7.31473,0
101,clueweb09-en0009-42-33872,-7.31609,0
101,clueweb09-en0002-09-20047,-7.31862,0
101,clueweb09-en0001-98-07429,-7.32003,0
101,clueweb09-en0009-18-15481,-7.3207,0
101,clueweb09-enwp01-57-17553,-7.3228,0
101,clueweb09-en0007-64-25859,-7.3236,0
101,clueweb09-en0008-49-26227,-7.32416,0
101,clueweb09-en0010-91-25390,-7.32437,0
101,clueweb09-en0002-46-19963,-7.32475,0
101,clueweb09-en0007-97-26283,-7.32543,0
101,clueweb09-en0001-40-14409,-7.32814,0
101,clueweb09-en0010-75-19174,-7.32933,0
101,clueweb09-en0008-28-23354,-7.33038,0
101,clueweb09-en0007-97-25878,-7.3305,0
101,clueweb09-en0000-02-19971,-7.33176,0
101,clueweb09-en0010-15-14663,-7.33188,0
101,clueweb09-en0010-91-25408,-7.3323,0
101,clueweb09-en0010-96-28654,-7.33318,0
101,clueweb09-en0007-15-02145,-7.33379,0
101,clueweb09-en0004-96-02151,-7.33471,0
101,clueweb09-en0007-97-25879,-7.33875,0
101,clueweb09-en0002-20-26513,-7.33896,0
101,clueweb09-en0010-91-25299,-7.33933,0
101,clueweb09-en0007-15-02153,-7.33983,0
101,clueweb09-en0007-97-25982,-7.34049,0
101,clueweb09-en0010-91-25405,-7.34079,0
101,clueweb09-en0007-62-34182,-7.34212,0
101,clueweb09-enwp00-95-09531,-7.34512,0
101,clueweb09-en0007-97-14443,-7.3455,0
101,clueweb09-en0007-10-20024,-7.34773,0
101,clueweb09-en0004-18-34656,-7.35112,0
101,clueweb09-en0008-81-18617,-7.35168,0
101,clueweb09-en0007-97-26280,-7.3519,0
101,clueweb09-en0004-08-29093,-7.35408,0
101,clueweb09-en0002-09-20046,-7.35487,0
101,clueweb09-en0006-35-26624,-7.355,0
101,clueweb09-en0010-17-22681,-7.35512,0
