topic,doc,score,rel
101,clueweb09-en0010-91-25316,10000,1
101,clueweb09-en0010-93-30671,9999,1
101,clueweb09-en0008-54-15915,9998,1
101,clueweb09-en0008-70-26245,9997,0
101,clueweb09-enwp00-63-18127,9996,0
101,clueweb09-en0010-05-10712,9995,0
101,clueweb09-en0002-83-01420,9994,1
101,clueweb09-en0010-91-25366,9993,0
101,clueweb09-en0008-80-29984,9992,0
101,clueweb09-en0004-66-09322,9991,2
101,clueweb09-en0001-08-03782,9990,0
101,clueweb09-en0004-32-10515,9989,0
101,clueweb09-en0001-46-24826,9988,0
101,clueweb09-en0007-04-09621,9987,0
101,clueweb09-enwp00-30-07138,9986,0
101,clueweb09-en0008-72-29938,9985,0
101,clueweb09-en0007-36-27522,9984,0
101,clueweb09-en0010-26-37044,9983,0
101,clueweb09-en0007-97-26090,9982,0
101,clueweb09-en0000-24-04717,9981,0
101,clueweb09-en0004-50-26583,9980,0
101,clueweb09-en0008-54-15954,9979,0
101,clueweb09-enwp00-73-16307,9978,0
101,clueweb09-en0005-09-25575,9977,0
101,clueweb09-en0004-42-00749,9976,0
101,clueweb09-en0003-80-10016,9975,0
101,clueweb09-en0006-11-05186,9974,0
101,clueweb09-en0002-49-10468,9973,0
101,clueweb09-en0010-91-25161,9972,0
101,clueweb09-en0008-99-14685,9971,0
101,clueweb09-en0002-50-02667,9970,0
101,clueweb09-en0008-96-06825,9969,0
101,clueweb09-en0007-88-28300,9968,0
101,clueweb09-enwp01-00-16451,9967,0
101,clueweb09-en0007-83-23310,9966,0
101,clueweb09-en0008-41-02769,9965,0
101,clueweb09-en0011-60-20689,9964,0
101,clueweb09-en0009-60-12955,9963,0
101,clueweb09-en0009-42-25686,9962,0
101,clueweb09-enwp01-38-18879,9961,0
101,clueweb09-en0008-54-15956,9960,0
101,clueweb09-en0010-44-09727,9959,0
101,clueweb09-en0006-51-35681,9958,1
101,clueweb09-enwp00-25-20515,9957,0
101,clueweb09-en0002-46-20031,9956,0
101,clueweb09-en0006-11-05244,9955,0
101,clueweb09-en0008-51-28018,9954,0
101,clueweb09-en0007-97-25939,9953,0
101,clueweb09-en0010-91-25089,9952,0
101,clueweb09-en0003-34-28105,9951,0
101,clueweb09-en0009-27-17279,9950,0
101,clueweb09-en0000-97-13571,9949,0
101,clueweb09-en0003-16-26817,9948,1
101,clueweb09-en0008-90-16323,9947,0
101,clueweb09-en0008-62-37098,9946,0
101,clueweb09-enwp00-42-06296,9945,0
101,clueweb09-en0003-80-09755,9944,0
101,clueweb09-en0000-24-04718,9943,0
101,clueweb09-en0008-28-24272,9942,0
101,clueweb09-en0009-17-05479,9941,0
101,clueweb09-en0010-50-03430,9940,0
101,clueweb09-enwp00-76-19482,9939,0
101,clueweb09-en0004-91-08018,9938,0
101,clueweb09-en0008-44-16680,9937,0
101,clueweb09-en0011-36-31519,9936,0
101,clueweb09-en0008-51-28017,9935,0
101,clueweb09-en0010-91-25096,9934,0
101,clueweb09-en0010-28-31542,9933,0
101,clueweb09-en0004-32-27737,9932,0
101,clueweb09-en0004-47-35923,9931,0
101,clueweb09-en0010-20-33472,9930,0
101,clueweb09-enwp00-40-15939,9929,0
101,clueweb09-en0007-78-02236,9928,0
101,clueweb09-en0010-96-29125,9927,0
101,clueweb09-enwp01-34-15277,9926,0
101,clueweb09-en0007-97-26087,9925,0
101,clueweb09-en0011-55-07041,9924,0
101,clueweb09-en0008-11-03974,9923,0
101,clueweb09-en0008-54-15952,9922,0
101,clueweb09-enwp02-21-17233,9921,0
101,clueweb09-en0009-72-07362,9920,0
101,clueweb09-en0001-40-23150,9919,0
101,clueweb09-en0002-46-19986,9918,0
101,clueweb09-en0011-50-34750,9917,0
101,clueweb09-en0006-37-16979,9916,0
101,clueweb09-en0001-98-07420,9915,0
101,clueweb09-enwp00-68-07874,9914,0
101,clueweb09-en0006-75-16196,9913,0
101,clueweb09-en0006-26-45393,9912,0
101,clueweb09-en0002-86-17501,9911,0
101,clueweb09-enwp00-52-15097,9910,0
101,clueweb09-en0011-32-10292,9909,0
101,clueweb09-en0004-36-22752,9908,0
101,clueweb09-enwp00-51-07004,9907,0
101,clueweb09-en0007-00-02514,9906,0
101,clueweb09-en0009-99-09422,9905,0
101,clueweb09-enwp00-96-18697,9904,0
101,clueweb09-en0008-54-15943,9903,0
101,clueweb09-en0005-45-02602,9902,0
101,clueweb09-enwp00-76-19483,9901,0
101,clueweb09-en0000-11-31909,9900,0
101,clueweb09-en0010-71-36147,9899,0
101,clueweb09-enwp01-51-16785,9898,0
101,clueweb09-en0002-62-17980,9897,0
101,clueweb09-enwp03-21-19053,9896,0
101,clueweb09-en0009-36-09780,9895,0
101,clueweb09-en0009-76-22535,9894,0
101,clueweb09-en0005-12-05431,9893,0
101,clueweb09-en0007-11-08894,9892,0
101,clueweb09-enwp01-93-16876,9891,0
101,clueweb09-enwp00-30-01488,9890,0
101,clueweb09-en0008-90-39171,9889,0
101,clueweb09-en0008-55-29138,9888,0
101,clueweb09-en0007-97-25982,9887,0
101,clueweb09-en0008-49-26221,9886,0
101,clueweb09-enwp01-40-22507,9885,0
101,clueweb09-en0004-55-23868,9884,0
101,clueweb09-en0011-85-07960,9883,0
101,clueweb09-enwp00-73-18874,9882,0
101,clueweb09-enwp03-21-13934,9881,0
101,clueweb09-en0004-64-20758,9880,0
101,clueweb09-en0006-11-05183,9879,0
101,clueweb09-en0008-51-28078,9878,0
101,clueweb09-enwp01-04-24126,9877,0
101,clueweb09-enwp00-65-07271,9876,0
101,clueweb09-en0010-91-25446,9875,0
101,clueweb09-en0005-12-05430,9874,0
101,clueweb09-en0004-72-10807,9873,0
101,clueweb09-en0003-93-27278,9872,0
101,clueweb09-en0006-23-24827,9871,0
101,clueweb09-en0010-68-05348,9870,0
101,clueweb09-en0000-78-19663,9869,0
101,clueweb09-en0008-35-46597,9868,0
101,clueweb09-en0000-24-04719,9867,0
101,clueweb09-enwp00-72-18994,9866,0
101,clueweb09-en0001-69-04553,9865,0
101,clueweb09-en0011-32-10155,9864,0
101,clueweb09-en0006-57-11532,9863,0
101,clueweb09-en0007-76-23766,9862,0
101,clueweb09-en0008-80-30022,9861,1
101,clueweb09-enwp01-12-07209,9860,0
101,clueweb09-en0007-40-20313,9859,0
101,clueweb09-en0010-91-25214,9858,0
101,clueweb09-enwp00-60-06590,9857,0
101,clueweb09-en0004-32-27738,9856,0
101,clueweb09-en0003-95-13988,9855,0
101,clueweb09-en0004-73-21491,9854,0
101,clueweb09-en0001-93-25764,9853,0
101,clueweb09-en0008-57-17373,9852,0
101,clueweb09-en0011-80-07760,9851,0
101,clueweb09-enwp00-56-06907,9850,0
101,clueweb09-en0010-91-25227,9849,0
101,clueweb09-en0002-26-21860,9848,0
101,clueweb09-en0008-28-23894,9847,0
101,clueweb09-en0008-54-15916,9846,0
101,clueweb09-en0006-46-13729,9845,0
101,clueweb09-en0004-44-37975,9844,0
101,clueweb09-en0011-46-01332,9843,0
101,clueweb09-en0001-86-30253,9842,0
101,clueweb09-en0001-40-23212,9841,0
101,clueweb09-en0010-42-03657,9840,0
101,clueweb09-enwp03-30-19124,9839,0
101,clueweb09-enwp00-63-06385,9838,0
101,clueweb09-en0009-69-04696,9837,0
