topic,doc,score,rel
151,clueweb09-en0025-05-27425,0.907404,0
151,clueweb09-en0095-38-23912,0.902445,0
151,clueweb09-en0133-57-19041,0.89098,0
151,clueweb09-en0087-46-23775,0.865602,1
151,clueweb09-en0110-30-14854,0.865053,1
151,clueweb09-en0078-01-39510,0.844885,0
151,clueweb09-en0132-99-59365,0.844822,0
151,clueweb09-en0132-99-59363,0.810339,0
151,clueweb09-en0133-76-18757,0.807575,0
151,clueweb09-en0132-99-59364,0.792627,0
151,clueweb09-en0129-44-54757,0.761453,0
151,clueweb09-en0130-29-31173,0.761193,0
151,clueweb09-en0130-29-31174,0.749556,0
151,clueweb09-en0133-62-39152,0.740351,0
151,clueweb09-en0011-64-42451,0.740038,0
151,clueweb09-en0133-94-18427,0.728881,0
151,clueweb09-en0019-94-25941,0.723775,0
151,clueweb09-en0043-62-18408,0.722763,0
151,clueweb09-en0132-99-59366,0.71363,0
151,clueweb09-en0044-31-27574,0.698255,0
151,clueweb09-en0129-60-45540,0.696592,0
151,clueweb09-en0131-78-30717,0.685527,0
151,clueweb09-en0017-63-15429,0.681764,0
151,clueweb09-en0109-13-11910,0.669397,0
151,clueweb09-en0025-45-14375,0.660609,0
151,clueweb09-en0076-08-07393,0.659395,4
151,clueweb09-en0051-50-40372,0.658986,0
151,clueweb09-en0078-03-38419,0.65755,0
151,clueweb09-en0024-22-14525,0.657458,1
151,clueweb09-en0126-05-35652,0.656896,0
151,clueweb09-en0126-05-35680,0.656896,0
151,clueweb09-en0126-05-35700,0.656896,0
151,clueweb09-en0126-05-35736,0.656896,0
151,clueweb09-en0126-05-35795,0.656896,0
151,clueweb09-en0133-89-45310,0.656216,0
151,clueweb09-en0068-09-00463,0.653379,0
151,clueweb09-en0133-87-21730,0.652368,0
151,clueweb09-en0078-80-39390,0.65172,0
151,clueweb09-en0130-65-20838,0.651284,0
151,clueweb09-en0117-19-30588,0.651171,1
151,clueweb09-en0067-92-19178,0.640426,1
151,clueweb09-en0075-63-13813,0.638373,0
151,clueweb09-en0045-00-19838,0.63754,0
151,clueweb09-en0083-83-23737,0.630424,0
151,clueweb09-en0019-43-19586,0.626859,1
151,clueweb09-en0119-00-42488,0.622389,1
151,clueweb09-en0079-75-23117,0.619405,0
151,clueweb09-en0038-48-23412,0.616281,0
151,clueweb09-en0094-62-14704,0.615011,0
151,clueweb09-en0072-14-11776,0.610806,0
151,clueweb09-en0117-70-27501,0.609353,0
151,clueweb09-en0066-30-11770,0.606826,0
151,clueweb09-en0018-87-23400,0.603827,0
151,clueweb09-en0108-24-39008,0.603262,0
151,clueweb09-en0117-96-19018,0.602005,0
151,clueweb09-en0048-58-33029,0.600585,0
151,clueweb09-en0121-24-07788,0.600153,0
151,clueweb09-en0092-71-03728,0.597555,0
151,clueweb09-en0067-92-19180,0.597195,1
151,clueweb09-en0049-41-31794,0.594874,1
151,clueweb09-en0131-65-51380,0.594466,0
151,clueweb09-en0025-45-14374,0.594433,0
151,clueweb09-en0022-91-14142,0.593932,0
151,clueweb09-en0035-23-06803,0.593211,0
151,clueweb09-en0075-41-22535,0.589798,0
151,clueweb09-en0074-29-00106,0.589118,0
151,clueweb09-en0026-32-45141,0.588371,0
151,clueweb09-en0127-32-08420,0.587103,0
151,clueweb09-en0035-78-32321,0.584846,0
151,clueweb09-en0118-06-07360,0.584448,0
151,clueweb09-en0072-14-11774,0.583987,0
151,clueweb09-en0039-93-22230,0.581508,0
151,clueweb09-en0094-08-29345,0.579347,0
151,clueweb09-en0024-81-21888,0.578117,0
151,clueweb09-en0006-98-41132,0.576806,0
151,clueweb09-en0113-15-01119,0.576325,0
151,clueweb09-en0081-10-34039,0.576026,0
151,clueweb09-en0010-82-12593,0.573217,4
151,clueweb09-en0074-34-04611,0.572532,0
151,clueweb09-en0025-45-14381,0.571247,0
151,clueweb09-en0128-14-10396,0.570424,0
151,clueweb09-en0030-54-04818,0.566446,0
151,clueweb09-en0132-80-34527,0.566209,0
151,clueweb09-en0079-55-22412,0.565966,0
151,clueweb09-en0130-08-13059,0.565596,0
151,clueweb09-en0006-98-41131,0.563526,0
151,clueweb09-en0037-37-28607,0.563382,0
151,clueweb09-en0011-81-31383,0.563089,0
151,clueweb09-en0033-14-25537,0.562875,0
151,clueweb09-en0064-91-23017,0.561271,0
151,clueweb09-en0025-45-14384,0.560755,0
151,clueweb09-en0016-74-02139,0.559995,0
151,clueweb09-en0112-23-24684,0.55949,0
151,clueweb09-en0081-03-37700,0.55864,1
151,clueweb09-en0025-45-14383,0.55846,0
151,clueweb09-en0119-49-39043,0.558367,0
151,clueweb09-en0124-27-20049,0.558287,0
151,clueweb09-en0094-22-28329,0.557779,0
151,clueweb09-en0092-96-40528,0.5576,0
151,clueweb09-en0036-62-29447,0.557454,0
151,clueweb09-en0092-59-01094,0.556868,0
151,clueweb09-en0069-10-37485,0.556827,0
151,clueweb09-en0132-32-36646,0.555139,0
151,clueweb09-en0054-10-05326,0.554843,0
151,clueweb09-en0057-12-30513,0.553872,0
151,clueweb09-en0027-68-33178,0.553663,0
151,clueweb09-en0024-33-22982,0.553515,0
151,clueweb09-en0097-04-03203,0.552932,0
151,clueweb09-en0103-88-17532,0.55176,0
151,clueweb09-en0129-53-11061,0.551757,0
151,clueweb09-en0067-73-09596,0.551076,1
151,clueweb09-en0092-77-18695,0.550543,0
151,clueweb09-en0010-82-12588,0.550217,1
151,clueweb09-en0040-05-11036,0.549484,0
151,clueweb09-en0004-65-36237,0.548869,0
151,clueweb09-en0119-00-42487,0.548763,0
151,clueweb09-en0015-05-28329,0.548623,0
151,clueweb09-en0044-38-08621,0.548267,0
151,clueweb09-en0017-63-12169,0.547916,1
151,clueweb09-en0127-68-10411,0.547412,0
151,clueweb09-en0053-95-36463,0.546595,0
151,clueweb09-en0127-68-10408,0.546023,0
151,clueweb09-en0099-88-29548,0.545835,0
151,clueweb09-en0101-74-01853,0.545684,0
151,clueweb09-en0007-31-08970,0.545556,0
151,clueweb09-en0007-31-09552,0.545556,0
151,clueweb09-en0008-24-06204,0.544853,0
151,clueweb09-en0061-96-22294,0.54454,0
151,clueweb09-en0010-82-12589,0.54305,1
151,clueweb09-en0002-19-09466,0.542612,1
151,clueweb09-en0044-08-26953,0.54202,0
151,clueweb09-en0016-13-15023,0.54178,0
151,clueweb09-en0032-54-16489,0.541443,0
151,clueweb09-en0114-17-17333,0.540612,0
151,clueweb09-en0020-10-06400,0.540404,1
151,clueweb09-en0034-57-19231,0.540404,1
151,clueweb09-en0039-93-22227,0.539803,0
151,clueweb09-en0008-24-06205,0.539477,0
151,clueweb09-en0091-66-17892,0.539188,0
151,clueweb09-en0114-61-30816,0.539142,0
151,clueweb09-en0040-42-13422,0.538351,0
151,clueweb09-en0072-14-11775,0.538324,0
151,clueweb09-en0090-93-14301,0.538154,0
151,clueweb09-en0127-42-15012,0.538062,0
151,clueweb09-en0130-08-13060,0.537762,0
151,clueweb09-en0121-72-07458,0.537582,0
151,clueweb09-en0038-67-12048,0.536809,1
151,clueweb09-en0074-79-08296,0.536567,0
151,clueweb09-en0133-05-00144,0.536487,0
151,clueweb09-en0076-50-08146,0.536313,0
151,clueweb09-en0129-65-24334,0.535878,0
151,clueweb09-en0025-45-14380,0.534441,0
151,clueweb09-en0094-62-14705,0.534189,0
151,clueweb09-en0039-93-22236,0.534171,0
151,clueweb09-en0025-45-14376,0.533916,0
151,clueweb09-en0043-62-12535,0.533653,0
151,clueweb09-en0025-45-14377,0.533587,0
151,clueweb09-en0039-93-22234,0.533451,0
151,clueweb09-en0076-79-00891,0.53334,0
151,clueweb09-en0038-57-41964,0.533127,1
151,clueweb09-en0039-93-22235,0.53297,0
151,clueweb09-en0062-36-14673,0.532149,0
151,clueweb09-en0096-51-38060,0.532052,0
151,clueweb09-en0039-93-22231,0.531079,0
151,clueweb09-en0043-36-15378,0.53065,1
151,clueweb09-en0052-41-40053,0.530425,0
151,clueweb09-en0039-93-22229,0.53017,0
151,clueweb09-en0010-79-21791,0.53014,0
151,clueweb09-en0085-49-01980,0.529708,0
151,clueweb09-en0052-41-40057,0.529661,0
151,clueweb09-en0066-10-24049,0.529641,0
151,clueweb09-en0052-41-40055,0.529223,0
151,clueweb09-en0039-93-22233,0.528791,0
151,clueweb09-en0122-63-13186,0.527389,0
151,clueweb09-en0086-74-12629,0.527316,0
151,clueweb09-en0039-93-22232,0.527147,0
151,clueweb09-en0128-90-31004,0.527122,0
151,clueweb09-en0072-14-11777,0.526887,0
151,clueweb09-en0129-38-45358,0.526331,0
151,clueweb09-en0077-75-19732,0.52612,0
151,clueweb09-en0105-55-18353,0.526007,0
151,clueweb09-en0094-62-14710,0.525594,0
151,clueweb09-en0026-14-16690,0.525529,0
151,clueweb09-en0103-90-11947,0.525286,0
151,clueweb09-en0081-67-07991,0.524841,0
