topic,doc,score,rel
151,clueweb09-enwp00-04-05850,2.0,2
151,clueweb09-enwp00-09-05733,2.0,2
151,clueweb09-enwp00-15-05861,2.0,2
151,clueweb09-enwp00-02-05914,1.0,2
151,clueweb09-enwp00-07-05951,1.0,2
151,clueweb09-enwp00-18-05830,1.0,2
151,clueweb09-enwp01-58-05830,1.0,2
151,clueweb09-en0010-82-12593,0.624,4
151,clueweb09-en0008-31-16573,0.43,0
151,clueweb09-en0010-79-01642,0.296,0
151,clueweb09-en0002-19-09466,0.206,1
151,clueweb09-en0011-80-08664,0.151,1
151,clueweb09-en0009-84-33862,0.15,0
151,clueweb09-en0011-04-11445,0.102,4
151,clueweb09-en0005-29-24033,0.098,1
151,clueweb09-en0008-24-06205,0.088,0
151,clueweb09-en0001-54-14652,0.082,1
151,clueweb09-en0011-67-00072,0.075,1
151,clueweb09-en0004-16-25464,0.073,1
151,clueweb09-en0005-24-24966,0.065,1
151,clueweb09-en0008-84-31949,0.058,1
151,clueweb09-en0006-98-41132,0.056,0
151,clueweb09-en0004-65-36237,0.052,0
151,clueweb09-en0004-01-03541,0.048,4
151,clueweb09-en0006-41-17219,0.048,0
151,clueweb09-en0003-88-24177,0.043,1
151,clueweb09-en0006-18-29833,0.042,1
151,clueweb09-en0009-05-12500,0.037,0
151,clueweb09-en0008-62-35770,0.036,1
151,clueweb09-en0011-10-08000,0.034,0
151,clueweb09-en0000-85-24964,0.029,0
151,clueweb09-en0010-88-01445,0.029,0
151,clueweb09-en0009-15-18349,0.021,0
151,clueweb09-en0008-58-11409,0.019,0
151,clueweb09-en0008-17-07071,0.013,0
151,clueweb09-en0010-26-14181,0.008,0
151,clueweb09-en0000-36-14643,0.005,0
151,clueweb09-en0003-16-13796,0.004,0
151,clueweb09-en0008-68-27655,0.003,0
151,clueweb09-en0009-23-31423,0.0,0
152,clueweb09-enwp00-06-18135,0.2,0
152,clueweb09-enwp00-07-18161,0.2,0
152,clueweb09-enwp00-13-18242,0.2,0
152,clueweb09-enwp00-52-06223,0.2,0
152,clueweb09-enwp00-81-18242,0.2,0
152,clueweb09-enwp01-77-00347,0.2,0
152,clueweb09-en0005-32-12986,0.134,0
152,clueweb09-en0003-53-07611,0.038,0
152,clueweb09-en0002-16-13298,0.017,0
152,clueweb09-en0006-66-24287,0.017,0
153,clueweb09-en0005-84-27159,300.0,0
153,clueweb09-en0010-43-00694,300.0,0
153,clueweb09-en0002-55-25195,200.0,1
153,clueweb09-en0010-41-03883,200.0,1
153,clueweb09-enwp01-51-04135,100.871,0
