topic,doc,score,rel
151,clueweb09-en0008-24-06204,-4.80083,0
151,clueweb09-en0016-13-15023,-4.80133,0
151,clueweb09-en0008-24-06205,-4.80183,0
151,clueweb09-en0044-08-26953,-4.80249,0
151,clueweb09-en0017-63-12169,-5.4286,1
151,clueweb09-en0008-24-06211,-5.44554,0
151,clueweb09-en0022-68-34378,-5.49687,1
151,clueweb09-en0086-73-31487,-5.53284,0
151,clueweb09-en0036-37-25986,-5.53328,1
151,clueweb09-en0081-03-37700,-5.61051,1
151,clueweb09-en0043-36-15378,-5.73817,1
151,clueweb09-en0118-20-27520,-5.88836,1
151,clueweb09-en0086-73-31486,-5.92663,0
151,clueweb09-en0008-24-06210,-5.92717,0
151,clueweb09-en0016-13-14998,-5.97429,0
151,clueweb09-en0008-24-06121,-5.97482,0
151,clueweb09-en0022-68-34319,-6.00309,1
151,clueweb09-en0081-92-32273,-6.01141,1
151,clueweb09-en0081-03-37703,-6.12236,1
151,clueweb09-en0081-77-25189,-6.20901,0
151,clueweb09-en0036-37-25980,-6.27239,1
151,clueweb09-en0024-33-22982,-6.29624,0
151,clueweb09-en0012-63-06509,-6.33234,1
151,clueweb09-en0072-14-11774,-6.36849,0
151,clueweb09-en0041-49-00132,-6.37069,0
151,clueweb09-en0061-38-27447,-6.3723,0
151,clueweb09-en0072-71-27950,-6.41009,0
151,clueweb09-en0022-68-34384,-6.41219,0
151,clueweb09-en0067-73-09596,-6.45263,1
151,clueweb09-en0024-06-12786,-6.48151,0
151,clueweb09-en0131-86-19585,-6.48221,0
151,clueweb09-en0030-84-25611,-6.48636,0
151,clueweb09-en0023-17-09939,-6.48897,0
151,clueweb09-en0052-75-46029,-6.49724,0
151,clueweb09-en0036-37-25981,-6.51299,0
151,clueweb09-en0075-14-14185,-6.51969,0
151,clueweb09-en0023-17-09934,-6.5257,0
151,clueweb09-en0022-68-34358,-6.52587,0
151,clueweb09-en0081-91-43414,-6.52588,0
151,clueweb09-en0016-13-15010,-6.5309,0
151,clueweb09-en0011-10-08000,-6.5437,0
151,clueweb09-en0008-24-06180,-6.558,0
151,clueweb09-en0030-54-01339,-6.56723,0
151,clueweb09-en0026-68-07807,-6.57062,0
151,clueweb09-en0079-89-17789,-6.57206,0
151,clueweb09-en0024-39-21776,-6.57431,0
151,clueweb09-en0032-09-30468,-6.57611,0
151,clueweb09-en0079-16-32288,-6.57851,0
151,clueweb09-en0100-42-19170,-6.58661,0
151,clueweb09-en0072-71-27934,-6.60267,0
151,clueweb09-en0008-24-06212,-6.60883,0
151,clueweb09-en0022-68-34359,-6.61422,0
151,clueweb09-en0089-81-11702,-6.61479,0
151,clueweb09-en0008-24-06095,-6.63443,0
151,clueweb09-en0072-71-27939,-6.652,0
151,clueweb09-en0022-68-34357,-6.66022,0
151,clueweb09-en0086-73-31485,-6.66124,0
151,clueweb09-en0022-68-34367,-6.66851,0
151,clueweb09-en0131-05-12402,-6.66901,0
151,clueweb09-en0022-68-34365,-6.66989,0
151,clueweb09-en0006-18-21721,-6.67001,0
151,clueweb09-en0021-91-39008,-6.67135,0
151,clueweb09-en0081-91-43412,-6.68211,1
151,clueweb09-en0072-71-27949,-6.68367,0
151,clueweb09-en0037-48-00336,-6.68562,0
151,clueweb09-en0072-71-27932,-6.68903,0
151,clueweb09-en0022-68-34383,-6.69068,0
151,clueweb09-en0057-02-14510,-6.69826,0
151,clueweb09-en0006-00-29257,-6.70232,0
151,clueweb09-en0037-47-08594,-6.70745,0
151,clueweb09-en0022-68-34355,-6.70877,0
151,clueweb09-en0066-43-25549,-6.70973,0
151,clueweb09-en0022-68-34334,-6.71317,0
151,clueweb09-en0011-10-07965,-6.71527,0
151,clueweb09-en0081-92-27281,-6.71769,0
151,clueweb09-en0008-24-06208,-6.72011,0
151,clueweb09-en0081-03-37708,-6.72109,0
151,clueweb09-en0011-10-07971,-6.72256,0
151,clueweb09-en0039-04-21328,-6.72367,0
151,clueweb09-en0020-48-03080,-6.72992,0
151,clueweb09-en0023-17-09932,-6.73392,0
151,clueweb09-en0023-17-09941,-6.73492,0
151,clueweb09-en0081-03-37711,-6.73938,0
151,clueweb09-en0039-45-12684,-6.7402,0
151,clueweb09-en0081-16-34346,-6.74669,0
151,clueweb09-en0081-91-43413,-6.74823,0
151,clueweb09-en0036-37-25983,-6.74906,0
151,clueweb09-en0081-77-25191,-6.75078,0
151,clueweb09-en0008-24-06173,-6.75404,0
151,clueweb09-en0074-82-01071,-6.75837,0
151,clueweb09-en0027-08-33006,-6.77102,0
151,clueweb09-en0022-68-34332,-6.77118,0
151,clueweb09-en0081-92-27283,-6.78299,0
151,clueweb09-en0022-68-34308,-6.78338,0
151,clueweb09-en0072-71-27904,-6.80059,0
151,clueweb09-en0008-24-06201,-6.80076,0
151,clueweb09-en0092-79-20377,-6.80178,0
151,clueweb09-en0011-10-07958,-6.80654,0
151,clueweb09-en0011-10-07952,-6.8093,0
151,clueweb09-en0011-10-07951,-6.81027,0
151,clueweb09-en0089-81-11714,-6.81129,0
151,clueweb09-en0011-10-07986,-6.81268,0
151,clueweb09-en0011-10-07988,-6.81506,0
151,clueweb09-en0011-10-07932,-6.81629,0
151,clueweb09-en0011-10-07938,-6.81749,0
151,clueweb09-en0011-10-07962,-6.81749,0
151,clueweb09-en0011-10-07950,-6.81988,0
151,clueweb09-en0011-10-07999,-6.82065,0
151,clueweb09-en0011-10-07994,-6.823,0
151,clueweb09-en0011-10-07957,-6.82656,0
151,clueweb09-en0011-10-07978,-6.82843,0
151,clueweb09-en0019-17-36827,-6.83295,0
151,clueweb09-en0118-50-36693,-6.83701,0
151,clueweb09-en0011-10-08004,-6.84381,0
151,clueweb09-en0008-73-16090,-6.84613,0
151,clueweb09-en0067-23-08108,-6.84613,0
151,clueweb09-en0079-98-00865,-6.84613,0
151,clueweb09-en0118-93-44352,-6.84613,0
151,clueweb09-en0029-94-24007,-6.8463,0
151,clueweb09-en0011-17-06424,-6.84648,0
151,clueweb09-en0008-24-06213,-6.8468,0
151,clueweb09-en0011-10-07981,-6.84914,0
151,clueweb09-en0011-10-07954,-6.84942,0
151,clueweb09-en0037-11-03849,-6.85126,0
151,clueweb09-en0011-10-07982,-6.85698,0
151,clueweb09-en0011-10-08014,-6.86158,0
151,clueweb09-en0034-04-02905,-6.86292,0
151,clueweb09-en0034-60-08379,-6.86559,0
151,clueweb09-en0069-09-08081,-6.86711,0
151,clueweb09-en0030-84-25612,-6.87093,0
151,clueweb09-en0000-12-20448,-6.87159,0
151,clueweb09-en0002-16-24624,-6.873,0
151,clueweb09-en0011-10-07948,-6.87904,0
151,clueweb09-en0019-43-19586,-6.88004,1
151,clueweb09-en0046-44-34177,-6.88101,0
151,clueweb09-en0072-71-27931,-6.88456,0
151,clueweb09-en0011-10-08016,-6.88472,0
151,clueweb09-en0030-54-04818,-6.88793,0
151,clueweb09-en0008-91-26590,-6.88885,0
151,clueweb09-en0016-74-02139,-6.88912,0
151,clueweb09-en0012-53-28553,-6.891,0
151,clueweb09-en0031-07-22545,-6.89731,0
151,clueweb09-en0015-35-28830,-6.8986,0
151,clueweb09-en0016-13-14988,-6.89942,0
151,clueweb09-en0106-08-00954,-6.89951,0
151,clueweb09-en0089-81-11715,-6.90005,0
151,clueweb09-en0016-13-15008,-6.90023,0
151,clueweb09-en0053-47-05275,-6.90634,0
151,clueweb09-en0044-08-26955,-6.91489,0
151,clueweb09-en0020-14-21793,-6.91851,0
151,clueweb09-en0022-68-34368,-6.91865,0
151,clueweb09-en0017-97-11128,-6.92801,0
151,clueweb09-en0092-74-11698,-6.92959,0
151,clueweb09-en0081-62-39029,-6.92968,0
151,clueweb09-en0102-01-32587,-6.93112,0
151,clueweb09-en0026-19-04890,-6.93154,0
151,clueweb09-en0003-16-13775,-6.93418,0
151,clueweb09-en0092-74-11688,-6.93562,0
151,clueweb09-en0030-53-32535,-6.93581,0
151,clueweb09-en0002-25-12563,-6.9492,0
151,clueweb09-en0007-60-25829,-6.95009,0
151,clueweb09-en0048-77-17063,-6.95241,0
151,clueweb09-en0086-73-31465,-6.95254,0
151,clueweb09-en0051-75-11687,-6.95373,0
151,clueweb09-en0092-75-41988,-6.95387,0
151,clueweb09-en0104-62-16812,-6.95587,0
151,clueweb09-en0105-51-03327,-6.95951,0
151,clueweb09-en0030-84-25623,-6.96396,0
151,clueweb09-en0030-84-25625,-6.96574,0
151,clueweb09-en0071-07-10803,-6.96743,0
151,clueweb09-en0009-84-33862,-6.97105,0
151,clueweb09-en0081-03-37704,-6.97255,0
151,clueweb09-en0104-62-16815,-6.97555,0
151,clueweb09-en0119-00-08539,-6.97555,0
151,clueweb09-en0077-11-18140,-6.97927,0
151,clueweb09-en0081-03-37693,-6.98217,0
151,clueweb09-en0022-68-34302,-6.99827,0
151,clueweb09-en0091-82-14348,-7.00606,0
151,clueweb09-en0081-21-42039,-7.00738,0
151,clueweb09-en0121-94-17215,-7.01634,0
151,clueweb09-en0009-81-30201,-7.01996,0
151,clueweb09-en0081-77-25192,-7.02275,0
151,clueweb09-en0130-34-28772,-7.02354,0
