topic,doc,score,rel
151,clueweb09-en0000-00-03430,1000000.0,0
151,clueweb09-en0000-00-03431,999999.0,0
151,clueweb09-en0000-00-03433,999998.0,0
151,clueweb09-en0000-00-03434,999997.0,0
151,clueweb09-en0000-00-03436,999996.0,0
151,clueweb09-en0000-00-03437,999995.0,0
151,clueweb09-en0000-00-03435,999994.0,0
151,clueweb09-en0000-00-03438,999993.0,0
151,clueweb09-en0000-00-17602,999992.0,0
151,clueweb09-en0000-00-16780,999991.0,0
151,clueweb09-en0000-00-17604,999990.0,0
151,clueweb09-en0000-00-17608,999989.0,0
151,clueweb09-en0000-00-17600,999988.0,1
151,clueweb09-en0000-00-13312,999987.0,0
151,clueweb09-en0000-00-17601,999986.0,0
151,clueweb09-en0000-00-13114,999985.0,0
151,clueweb09-en0000-00-13313,999984.0,0
151,clueweb09-en0000-00-16781,999983.0,0
151,clueweb09-en0000-00-17603,999982.0,0
151,clueweb09-en0000-00-17607,999981.0,0
151,clueweb09-en0000-00-18919,999980.0,0
151,clueweb09-en0000-00-16779,999979.0,0
151,clueweb09-en0000-00-17606,999978.0,0
151,clueweb09-en0000-00-13314,999977.0,0
151,clueweb09-en0000-00-17610,999976.0,0
151,clueweb09-en0000-00-13316,999975.0,0
151,clueweb09-en0000-00-13315,999974.0,0
151,clueweb09-en0000-00-17605,999973.0,0
151,clueweb09-en0000-00-18918,999972.0,0
151,clueweb09-en0000-00-18722,999971.0,0
151,clueweb09-en0000-00-04022,999970.0,0
151,clueweb09-en0000-00-04042,999969.0,0
151,clueweb09-en0000-00-08832,999968.0,0
151,clueweb09-en0000-00-08912,999967.0,0
151,clueweb09-en0000-00-08857,999966.0,0
151,clueweb09-en0000-00-12883,999965.0,0
151,clueweb09-en0000-00-04043,999964.0,0
151,clueweb09-en0000-00-04044,999963.0,0
151,clueweb09-en0000-00-08978,999962.0,0
151,clueweb09-en0000-00-04030,999961.0,0
151,clueweb09-en0000-00-04024,999960.0,0
151,clueweb09-en0000-00-04028,999959.0,0
151,clueweb09-en0000-00-08958,999958.0,0
151,clueweb09-en0000-00-04027,999957.0,0
151,clueweb09-en0000-00-04041,999956.0,0
151,clueweb09-en0000-00-08943,999955.0,0
151,clueweb09-en0000-00-04033,999954.0,0
151,clueweb09-en0000-00-04038,999953.0,0
151,clueweb09-en0000-00-04023,999952.0,0
151,clueweb09-en0000-00-04037,999951.0,0
151,clueweb09-en0000-00-04025,999950.0,0
151,clueweb09-en0000-00-04035,999949.0,0
151,clueweb09-en0000-00-08983,999948.0,0
151,clueweb09-en0000-00-04029,999947.0,0
151,clueweb09-en0000-00-04032,999946.0,0
151,clueweb09-en0000-00-04034,999945.0,0
151,clueweb09-en0000-00-04036,999944.0,0
151,clueweb09-en0000-00-04039,999943.0,0
151,clueweb09-en0000-00-08977,999942.0,0
151,clueweb09-en0000-00-08899,999941.0,0
151,clueweb09-en0000-00-18721,999940.0,0
151,clueweb09-en0000-00-04031,999939.0,0
151,clueweb09-en0000-00-08870,999938.0,0
151,clueweb09-en0000-00-08974,999937.0,0
151,clueweb09-en0000-00-04026,999936.0,0
151,clueweb09-en0000-00-08953,999935.0,0
151,clueweb09-en0000-00-04040,999934.0,0
151,clueweb09-en0000-00-08855,999933.0,0
151,clueweb09-en0000-00-08921,999932.0,0
151,clueweb09-en0000-00-08895,999931.0,0
151,clueweb09-en0000-00-08872,999930.0,0
151,clueweb09-en0000-00-08907,999929.0,0
151,clueweb09-en0000-00-08856,999928.0,0
151,clueweb09-en0000-00-08976,999927.0,0
151,clueweb09-en0000-00-08916,999926.0,0
151,clueweb09-en0000-00-08918,999925.0,0
151,clueweb09-en0000-00-08960,999924.0,0
151,clueweb09-en0000-00-08981,999923.0,0
151,clueweb09-en0000-00-08945,999922.0,0
151,clueweb09-en0000-00-08950,999921.0,0
151,clueweb09-en0000-00-08841,999920.0,0
151,clueweb09-en0000-00-08867,999919.0,0
151,clueweb09-en0000-00-08930,999918.0,0
151,clueweb09-en0000-00-08968,999917.0,0
151,clueweb09-en0000-00-17611,999916.0,0
151,clueweb09-en0000-00-14148,999915.0,0
151,clueweb09-en0000-00-08852,999914.0,0
151,clueweb09-en0000-00-08854,999913.0,0
151,clueweb09-en0000-00-08933,999912.0,0
151,clueweb09-en0000-00-08902,999911.0,0
151,clueweb09-en0000-00-08969,999910.0,0
151,clueweb09-en0000-00-08941,999909.0,0
151,clueweb09-en0000-00-08938,999908.0,0
151,clueweb09-en0000-00-08911,999907.0,0
151,clueweb09-en0000-00-08888,999906.0,0
151,clueweb09-en0000-00-08917,999905.0,0
151,clueweb09-en0000-00-08894,999904.0,0
151,clueweb09-en0000-00-08948,999903.0,0
151,clueweb09-en0000-00-08883,999902.0,0
151,clueweb09-en0000-00-08844,999901.0,0
151,clueweb09-en0000-00-18925,999900.0,0
151,clueweb09-en0000-00-18926,999899.0,0
