topic,doc,score,rel
151,clueweb09-en0027-05-20087,10000,1
151,clueweb09-en0017-63-12169,9999,1
151,clueweb09-en0024-22-14600,9998,4
151,clueweb09-en0002-19-09466,9997,1
151,clueweb09-en0049-41-31794,9996,1
151,clueweb09-en0038-97-14423,9995,4
151,clueweb09-en0078-22-27256,9994,1
151,clueweb09-en0008-24-06205,9993,0
151,clueweb09-en0027-68-33178,9992,0
151,clueweb09-en0024-64-06740,9991,1
151,clueweb09-en0081-03-37700,9990,1
151,clueweb09-en0010-82-12588,9989,1
151,clueweb09-en0067-73-09596,9988,1
151,clueweb09-en0073-60-08538,9987,4
151,clueweb09-en0010-82-12587,9986,4
151,clueweb09-en0010-79-01642,9985,0
151,clueweb09-en0016-13-15023,9984,0
151,clueweb09-en0059-39-10214,9983,4
151,clueweb09-en0067-92-19178,9982,1
151,clueweb09-en0011-67-00072,9981,1
151,clueweb09-en0043-36-15378,9980,1
151,clueweb09-en0037-71-18552,9979,4
151,clueweb09-en0020-10-06400,9978,1
151,clueweb09-en0067-92-19180,9977,1
151,clueweb09-en0038-57-41964,9976,1
151,clueweb09-en0016-74-02139,9975,0
151,clueweb09-en0038-67-12048,9974,1
151,clueweb09-en0011-04-11445,9973,4
151,clueweb09-en0106-57-29502,9972,0
151,clueweb09-en0058-02-05242,9971,1
151,clueweb09-en0068-76-35558,9970,0
151,clueweb09-en0010-82-12593,9969,4
151,clueweb09-en0010-82-12589,9968,1
151,clueweb09-en0049-41-31791,9967,1
151,clueweb09-en0007-55-00719,9966,1
151,clueweb09-en0076-08-07393,9965,4
151,clueweb09-en0095-38-23912,9964,0
151,clueweb09-en0102-66-30240,9963,0
151,clueweb09-en0019-94-25941,9962,0
151,clueweb09-en0021-01-31719,9961,0
151,clueweb09-en0034-57-19231,9960,1
151,clueweb09-en0026-49-01717,9959,0
151,clueweb09-en0020-58-02031,9958,0
151,clueweb09-en0020-82-26264,9957,0
151,clueweb09-en0026-82-35218,9956,0
151,clueweb09-en0085-54-02441,9955,0
151,clueweb09-en0019-43-19586,9954,1
151,clueweb09-en0066-30-35947,9953,0
151,clueweb09-en0038-67-12039,9952,0
151,clueweb09-en0011-06-39804,9951,0
151,clueweb09-en0022-68-34373,9950,0
151,clueweb09-en0092-71-03728,9949,0
151,clueweb09-en0072-71-27943,9948,0
151,clueweb09-en0041-25-07428,9947,0
151,clueweb09-en0008-45-16556,9946,0
151,clueweb09-en0008-24-06204,9945,0
151,clueweb09-en0081-92-32273,9944,1
151,clueweb09-en0044-08-26953,9943,0
151,clueweb09-en0022-68-34378,9942,1
151,clueweb09-en0072-14-11774,9941,0
151,clueweb09-en0015-45-28409,9940,0
151,clueweb09-en0006-73-25389,9939,1
151,clueweb09-en0008-24-06211,9938,0
151,clueweb09-en0036-37-25986,9937,1
151,clueweb09-en0039-20-18752,9936,0
151,clueweb09-en0002-95-04304,9935,0
151,clueweb09-en0015-05-28329,9934,0
151,clueweb09-en0090-38-06427,9933,0
151,clueweb09-en0087-46-23775,9932,1
151,clueweb09-en0012-19-07908,9931,1
151,clueweb09-en0099-70-06771,9930,1
151,clueweb09-en0087-18-18516,9929,0
151,clueweb09-en0006-98-41132,9928,0
151,clueweb09-en0073-54-06652,9927,0
151,clueweb09-en0047-63-29239,9926,0
151,clueweb09-en0091-58-03646,9925,0
151,clueweb09-en0061-13-35064,9924,0
151,clueweb09-en0058-85-27151,9923,0
151,clueweb09-en0076-79-00891,9922,0
151,clueweb09-en0023-54-17834,9921,0
151,clueweb09-en0044-08-26962,9920,0
151,clueweb09-en0086-73-31487,9919,0
151,clueweb09-en0001-45-26029,9918,0
151,clueweb09-en0057-12-30513,9917,0
151,clueweb09-en0006-98-41131,9916,0
151,clueweb09-en0091-66-17892,9915,0
151,clueweb09-en0073-72-24793,9914,0
151,clueweb09-en0010-79-21791,9913,0
151,clueweb09-en0081-52-30251,9912,0
151,clueweb09-en0013-41-20180,9911,0
151,clueweb09-en0094-22-28329,9910,0
151,clueweb09-en0022-68-34376,9909,0
151,clueweb09-en0048-58-07411,9908,0
151,clueweb09-en0098-16-12740,9907,0
151,clueweb09-en0074-29-00106,9906,0
151,clueweb09-en0024-75-29834,9905,0
151,clueweb09-en0063-26-12653,9904,0
151,clueweb09-en0037-48-00336,9903,0
151,clueweb09-en0050-93-03783,9902,0
151,clueweb09-en0076-14-01018,9901,0
151,clueweb09-en0072-14-11773,9900,0
151,clueweb09-en0068-16-12297,9899,0
151,clueweb09-en0090-80-02463,9898,0
151,clueweb09-en0004-80-00508,9897,1
151,clueweb09-en0109-33-03777,9896,0
151,clueweb09-en0058-85-27150,9895,0
151,clueweb09-en0078-76-10435,9894,0
151,clueweb09-en0036-96-04130,9893,0
