topic,doc,score,rel
151,clueweb09-en0002-19-09466,10000,1
151,clueweb09-en0010-82-12593,9999,4
151,clueweb09-en0010-82-12588,9998,1
151,clueweb09-en0011-67-00072,9997,1
151,clueweb09-en0010-82-12589,9996,1
151,clueweb09-en0010-82-12587,9995,4
151,clueweb09-en0008-84-31949,9994,1
151,clueweb09-en0011-54-30937,9993,1
151,clueweb09-en0006-98-41131,9992,0
151,clueweb09-en0006-98-41132,9991,0
151,clueweb09-en0008-24-06204,9990,0
151,clueweb09-en0008-24-06205,9989,0
151,clueweb09-en0010-79-01642,9988,0
151,clueweb09-en0006-73-25389,9987,1
151,clueweb09-en0001-92-00487,9986,0
151,clueweb09-en0008-24-06211,9985,0
151,clueweb09-en0004-01-03541,9984,4
151,clueweb09-en0004-80-00508,9983,1
151,clueweb09-en0001-45-26029,9982,0
151,clueweb09-en0010-82-12518,9981,1
151,clueweb09-en0011-67-00108,9980,1
151,clueweb09-en0009-84-33862,9979,0
151,clueweb09-en0004-65-36237,9978,0
151,clueweb09-en0011-06-39804,9977,0
151,clueweb09-en0011-64-42451,9976,0
151,clueweb09-en0011-81-31383,9975,0
151,clueweb09-en0007-55-00719,9974,1
151,clueweb09-en0007-26-18306,9973,0
151,clueweb09-en0007-84-37981,9972,1
151,clueweb09-enwp00-04-05850,9971,2
151,clueweb09-en0008-31-16573,9970,0
151,clueweb09-en0005-24-24966,9969,1
151,clueweb09-en0007-55-00718,9968,1
151,clueweb09-en0003-16-13796,9967,0
151,clueweb09-en0011-67-00071,9966,1
151,clueweb09-en0010-79-21791,9965,0
151,clueweb09-en0011-04-11445,9964,4
151,clueweb09-en0010-79-01651,9963,0
151,clueweb09-en0007-18-30966,9962,0
151,clueweb09-en0010-28-37996,9961,0
151,clueweb09-en0000-13-01489,9960,1
151,clueweb09-en0009-04-16742,9959,1
151,clueweb09-en0004-16-25010,9958,0
151,clueweb09-en0004-16-25132,9957,1
151,clueweb09-en0010-96-35657,9956,0
151,clueweb09-en0001-00-25181,9955,0
151,clueweb09-en0007-14-00327,9954,0
151,clueweb09-en0009-81-30201,9953,0
151,clueweb09-en0007-28-32033,9952,0
151,clueweb09-en0007-55-00754,9951,0
151,clueweb09-en0008-31-16572,9950,1
151,clueweb09-en0006-76-13494,9949,0
151,clueweb09-en0008-84-31950,9948,1
151,clueweb09-en0008-41-10509,9947,0
151,clueweb09-en0008-62-39243,9946,0
151,clueweb09-en0006-76-13495,9945,0
151,clueweb09-en0010-97-09232,9944,0
151,clueweb09-en0001-07-15577,9943,0
151,clueweb09-en0006-18-29937,9942,0
151,clueweb09-en0011-67-00103,9941,0
151,clueweb09-en0005-98-00096,9940,1
151,clueweb09-en0003-88-24170,9939,0
151,clueweb09-en0008-84-32043,9938,0
151,clueweb09-en0004-50-32815,9937,0
151,clueweb09-en0000-35-31755,9936,0
151,clueweb09-en0008-24-06210,9935,0
151,clueweb09-en0000-20-02594,9934,0
151,clueweb09-en0000-41-16013,9933,0
151,clueweb09-en0001-00-25180,9932,0
151,clueweb09-en0003-95-21017,9931,0
151,clueweb09-en0007-60-25864,9930,1
151,clueweb09-en0003-93-27146,9929,0
151,clueweb09-en0011-52-03669,9928,0
151,clueweb09-en0009-79-14364,9927,0
151,clueweb09-en0004-65-06751,9926,0
151,clueweb09-en0004-16-25464,9925,1
151,clueweb09-en0005-21-11315,9924,0
151,clueweb09-en0010-99-33697,9923,0
151,clueweb09-en0006-18-29854,9922,1
151,clueweb09-en0008-47-01488,9921,0
151,clueweb09-en0002-97-14075,9920,0
151,clueweb09-en0011-67-00065,9919,1
151,clueweb09-en0007-70-00685,9918,0
151,clueweb09-en0010-88-01445,9917,0
151,clueweb09-en0008-84-32039,9916,0
151,clueweb09-en0008-24-06121,9915,0
151,clueweb09-en0001-41-08510,9914,1
151,clueweb09-en0006-41-17219,9913,0
151,clueweb09-en0000-59-12837,9912,0
151,clueweb09-en0003-23-03775,9911,0
151,clueweb09-en0000-81-02281,9910,0
151,clueweb09-en0006-04-43983,9909,0
151,clueweb09-en0008-31-16574,9908,0
151,clueweb09-en0011-67-00082,9907,0
151,clueweb09-en0011-67-00098,9906,0
151,clueweb09-en0011-79-28374,9905,0
151,clueweb09-en0008-37-33957,9904,0
151,clueweb09-en0005-56-35975,9903,1
151,clueweb09-en0005-22-32817,9902,0
151,clueweb09-en0004-37-02167,9901,0
151,clueweb09-en0005-46-10982,9900,0
151,clueweb09-en0001-92-00443,9899,0
151,clueweb09-en0010-26-14181,9898,0
151,clueweb09-en0011-67-00102,9897,0
151,clueweb09-en0001-80-31661,9896,0
151,clueweb09-en0009-81-29916,9895,0
151,clueweb09-en0008-58-11409,9894,0
151,clueweb09-en0003-30-10128,9893,0
151,clueweb09-en0007-02-03997,9892,0
151,clueweb09-en0000-13-01490,9891,0
151,clueweb09-en0011-67-00075,9890,0
151,clueweb09-en0009-52-27808,9889,0
151,clueweb09-en0002-19-12719,9888,0
151,clueweb09-en0009-82-05607,9887,0
151,clueweb09-en0001-79-20053,9886,0
151,clueweb09-en0009-23-31423,9885,0
151,clueweb09-en0011-67-00087,9884,0
151,clueweb09-en0003-98-08825,9883,0
151,clueweb09-en0000-41-16092,9882,0
151,clueweb09-en0011-67-00059,9881,0
151,clueweb09-en0008-85-25322,9880,0
151,clueweb09-enwp01-24-06982,9879,0
151,clueweb09-enwp01-30-06042,9878,0
151,clueweb09-enwp01-41-06148,9877,0
151,clueweb09-en0011-67-00089,9876,0
151,clueweb09-en0009-32-18003,9875,0
151,clueweb09-en0006-76-13474,9874,0
151,clueweb09-en0006-76-13475,9873,0
151,clueweb09-en0006-94-21777,9872,0
151,clueweb09-en0011-67-00056,9871,0
151,clueweb09-en0005-48-01925,9870,0
151,clueweb09-en0002-93-09240,9869,0
151,clueweb09-en0000-40-28588,9868,0
151,clueweb09-en0011-67-00062,9867,0
151,clueweb09-en0002-31-07336,9866,0
151,clueweb09-en0010-15-11935,9865,0
151,clueweb09-en0005-20-05468,9864,0
151,clueweb09-en0008-84-32085,9863,0
151,clueweb09-en0005-08-02366,9862,0
151,clueweb09-en0011-67-00068,9861,0
151,clueweb09-en0008-84-32069,9860,0
151,clueweb09-en0002-57-06219,9859,0
151,clueweb09-en0000-02-01784,9858,0
151,clueweb09-en0004-35-06004,9857,0
151,clueweb09-en0000-01-01067,9856,1
151,clueweb09-en0011-67-00090,9855,0
151,clueweb09-en0000-07-10816,9854,0
151,clueweb09-en0011-80-08664,9853,1
151,clueweb09-en0011-67-00080,9852,0
151,clueweb09-en0011-67-00084,9851,0
151,clueweb09-en0001-54-14652,9850,1
151,clueweb09-en0011-67-00067,9849,0
151,clueweb09-en0001-40-19237,9848,0
151,clueweb09-en0001-99-11760,9847,0
151,clueweb09-en0006-27-25503,9846,0
151,clueweb09-en0010-94-15998,9845,0
151,clueweb09-en0005-77-12293,9844,0
151,clueweb09-en0003-88-24169,9843,0
151,clueweb09-en0001-40-18790,9842,0
151,clueweb09-en0011-67-00081,9841,0
151,clueweb09-en0008-84-32055,9840,0
151,clueweb09-en0011-18-37133,9839,0
151,clueweb09-en0010-82-12592,9838,0
151,clueweb09-en0001-99-11758,9837,0
151,clueweb09-en0004-56-15027,9836,0
151,clueweb09-en0002-97-16406,9835,0
151,clueweb09-en0007-27-24756,9834,0
151,clueweb09-enwp00-09-05733,9833,2
151,clueweb09-en0007-62-24341,9832,0
151,clueweb09-en0008-24-06095,9831,0
151,clueweb09-en0004-50-18530,9830,0
151,clueweb09-en0001-80-30215,9829,0
151,clueweb09-en0011-64-42456,9828,0
151,clueweb09-en0009-05-12500,9827,0
151,clueweb09-en0003-10-08344,9826,0
151,clueweb09-en0005-63-35961,9825,0
151,clueweb09-en0001-70-18096,9824,0
151,clueweb09-enwp00-15-05861,9823,2
151,clueweb09-en0010-12-27636,9822,0
151,clueweb09-en0000-41-15439,9821,0
151,clueweb09-en0005-19-06842,9820,0
151,clueweb09-en0004-09-24349,9819,0
151,clueweb09-en0009-93-11725,9818,0
151,clueweb09-en0009-74-17389,9817,0
151,clueweb09-en0008-85-04568,9816,0
151,clueweb09-en0003-81-09303,9815,0
151,clueweb09-en0011-79-06754,9814,0
151,clueweb09-en0001-52-07751,9813,0
151,clueweb09-en0004-52-34964,9812,0
