topic,doc,score,rel
201,clueweb12-1310wb-65-14373,10000,0
201,clueweb12-0400tw-99-08104,9999,1
201,clueweb12-1802wb-41-20489,9998,0
201,clueweb12-0600tw-16-08421,9997,1
201,clueweb12-1802wb-41-20488,9996,0
201,clueweb12-0503wb-16-05391,9995,1
201,clueweb12-1811wb-63-04122,9994,0
201,clueweb12-0500tw-13-21296,9993,0
201,clueweb12-1812wb-36-11477,9992,0
201,clueweb12-0506wb-90-23810,9991,1
201,clueweb12-1812wb-36-11476,9990,0
201,clueweb12-0400tw-98-04041,9989,1
201,clueweb12-1811wb-49-18124,9988,0
201,clueweb12-0304wb-36-29645,9987,0
201,clueweb12-1812wb-36-11475,9986,0
201,clueweb12-0607wb-19-31940,9985,1
201,clueweb12-1812wb-36-11474,9984,0
201,clueweb12-0717wb-19-18518,9983,1
201,clueweb12-1812wb-36-11478,9982,0
201,clueweb12-0311wb-19-19573,9981,1
201,clueweb12-1811wb-54-27714,9980,0
201,clueweb12-0800wb-04-25565,9979,0
201,clueweb12-1811wb-67-05340,9978,0
201,clueweb12-0311wb-58-22523,9977,1
201,clueweb12-1201tw-27-23284,9976,0
201,clueweb12-0500tw-31-16981,9975,1
201,clueweb12-0100tw-52-04001,9974,0
201,clueweb12-0500tw-09-01438,9973,0
201,clueweb12-0909wb-35-26180,9972,0
201,clueweb12-1700tw-11-11014,9971,0
201,clueweb12-0700tw-53-23404,9970,0
201,clueweb12-1800tw-58-19641,9969,0
201,clueweb12-0700tw-06-03345,9968,0
201,clueweb12-1800tw-58-19644,9967,0
201,clueweb12-1800tw-58-19640,9966,0
201,clueweb12-0904wb-85-19637,9965,1
201,clueweb12-0500tw-05-14935,9964,0
201,clueweb12-0900tw-63-01604,9963,1
201,clueweb12-1210wb-93-32500,9962,0
201,clueweb12-0108wb-33-05377,9961,0
201,clueweb12-1610wb-41-08797,9960,0
201,clueweb12-0600tw-21-12056,9959,0
201,clueweb12-1913wb-78-31592,9958,0
201,clueweb12-0400tw-96-10306,9957,0
201,clueweb12-0300tw-75-21204,9956,0
201,clueweb12-1200wb-89-15412,9955,0
201,clueweb12-1215wb-31-04593,9954,0
201,clueweb12-0700tw-17-13668,9953,0
201,clueweb12-0711wb-62-24988,9952,0
201,clueweb12-0909wb-23-16147,9951,0
201,clueweb12-0401tw-08-02152,9950,1
201,clueweb12-0600tw-15-11839,9949,0
201,clueweb12-1300tw-70-22308,9948,0
201,clueweb12-0401tw-07-19912,9947,0
201,clueweb12-1716wb-66-00027,9946,0
201,clueweb12-0904wb-71-24467,9945,0
201,clueweb12-1300tw-81-10983,9944,0
201,clueweb12-0700tw-15-12061,9943,0
201,clueweb12-1311wb-12-14289,9942,0
201,clueweb12-0700tw-57-06408,9941,0
201,clueweb12-1812wb-65-24519,9940,1
201,clueweb12-0904wb-71-24472,9939,1
201,clueweb12-1313wb-15-01059,9938,0
201,clueweb12-0908wb-86-17620,9937,0
201,clueweb12-0800tw-86-01276,9936,0
201,clueweb12-0700tw-74-19724,9935,1
201,clueweb12-1400tw-22-14886,9934,0
201,clueweb12-0904wb-80-25046,9933,0
201,clueweb12-1804wb-83-27006,9932,1
201,clueweb12-1804wb-61-18411,9931,1
201,clueweb12-0500tw-33-03683,9930,0
201,clueweb12-0600tw-25-01610,9929,0
201,clueweb12-0811wb-92-06590,9928,0
201,clueweb12-0904wb-49-07860,9927,0
