topic,doc,score,rel
201,clueweb12-0917wb-42-14097,2.70538,2
201,clueweb12-0800tw-17-25759,2.70189,1
201,clueweb12-0800tw-17-25760,2.70189,1
201,clueweb12-0800tw-17-25761,2.70189,1
201,clueweb12-0800tw-20-08085,2.70189,1
201,clueweb12-0800tw-20-08086,2.70189,1
201,clueweb12-0900tw-97-01725,2.68777,1
201,clueweb12-0904wb-71-24472,2.67602,1
201,clueweb12-0904wb-71-24465,2.67528,1
201,clueweb12-0916wb-56-28701,2.64345,2
201,clueweb12-0915wb-93-12188,2.64257,2
201,clueweb12-1600tw-40-06466,2.62445,1
201,clueweb12-1200tw-80-04767,2.60119,0
201,clueweb12-1200tw-32-07645,2.56395,1
201,clueweb12-0909wb-96-26247,2.53512,0
201,clueweb12-0904wb-85-19637,2.51503,1
201,clueweb12-0300tw-97-03315,2.51076,1
201,clueweb12-1700tw-09-10153,2.50118,1
201,clueweb12-0401tw-00-10574,2.45365,0
201,clueweb12-0500tw-11-17774,2.41984,1
201,clueweb12-0500tw-14-16637,2.41984,1
201,clueweb12-0400tw-96-01093,2.40641,0
201,clueweb12-0509wb-52-08605,2.35299,1
201,clueweb12-0900tw-29-12080,2.35048,0
201,clueweb12-0900tw-29-12081,2.35048,0
201,clueweb12-0900tw-29-12089,2.35048,0
201,clueweb12-0713wb-04-08083,2.34683,0
201,clueweb12-1500tw-35-17260,2.33565,0
201,clueweb12-0100tw-10-13722,2.3325,0
201,clueweb12-0715wb-24-12299,2.32675,0
201,clueweb12-1913wb-33-03742,2.32533,1
201,clueweb12-1700tw-19-01998,2.30653,1
201,clueweb12-0917wb-70-07272,2.29964,1
201,clueweb12-0500tw-11-08405,2.29482,0
201,clueweb12-0500tw-14-02432,2.29482,0
201,clueweb12-1400wb-12-06185,2.29228,0
201,clueweb12-1612wb-98-22255,2.28641,0
201,clueweb12-0714wb-73-14831,2.28589,0
201,clueweb12-0908wb-08-02985,2.27283,0
201,clueweb12-1700tw-24-18393,2.2531,0
201,clueweb12-1300tw-81-10983,2.25252,0
201,clueweb12-1700tw-24-18392,2.25185,0
201,clueweb12-1000wb-85-19998,2.23243,0
201,clueweb12-1005wb-42-13095,2.23243,0
201,clueweb12-0600tw-15-11839,2.23115,0
201,clueweb12-0500tw-33-15914,2.22012,0
201,clueweb12-1805wb-75-03726,2.21704,0
201,clueweb12-1700tw-60-14505,2.21463,0
201,clueweb12-0900tw-63-01604,2.21074,1
201,clueweb12-0401tw-01-08135,2.20334,0
201,clueweb12-0900tw-39-12327,2.19878,0
201,clueweb12-0900tw-39-12328,2.19878,0
201,clueweb12-0600tw-38-17192,2.19799,0
201,clueweb12-0800tw-13-20648,2.18942,1
201,clueweb12-1805wb-88-10173,2.18869,1
201,clueweb12-1013wb-87-11655,2.18785,0
201,clueweb12-1806wb-14-01952,2.18766,1
201,clueweb12-1806wb-14-01953,2.18766,1
201,clueweb12-1805wb-97-00510,2.1874,1
201,clueweb12-1806wb-07-14285,2.1874,1
201,clueweb12-1400tw-14-21089,2.18649,2
201,clueweb12-1804wb-83-26991,2.18306,1
201,clueweb12-1102wb-46-27637,2.18175,0
201,clueweb12-1804wb-68-31616,2.1804,1
201,clueweb12-0700tw-61-14704,2.17245,2
201,clueweb12-0300tw-04-15687,2.16753,0
201,clueweb12-0714wb-57-02191,2.16647,0
201,clueweb12-0500tw-25-15526,2.16447,1
201,clueweb12-0713wb-62-15328,2.16272,0
201,clueweb12-0500tw-09-16300,2.16113,0
201,clueweb12-0916wb-37-04526,2.16088,1
201,clueweb12-0800tw-21-14968,2.15382,0
201,clueweb12-1600tw-25-03206,2.15271,0
201,clueweb12-0800tw-24-03110,2.1512,0
201,clueweb12-0700tw-69-23823,2.14638,0
201,clueweb12-0700tw-72-10766,2.14638,1
201,clueweb12-0800tw-15-15211,2.13648,0
201,clueweb12-1900tw-66-10320,2.13434,0
201,clueweb12-0909wb-98-12027,2.13364,0
201,clueweb12-0714wb-09-05548,2.13361,0
201,clueweb12-1804wb-83-27006,2.13295,1
201,clueweb12-1804wb-61-18411,2.13214,1
201,clueweb12-0916wb-37-04528,2.13209,0
201,clueweb12-0306wb-68-22318,2.13169,0
201,clueweb12-1700tw-04-02423,2.13124,0
201,clueweb12-1700tw-04-02426,2.13124,0
201,clueweb12-0700tw-74-19724,2.10501,1
201,clueweb12-0906wb-96-33934,2.09957,0
201,clueweb12-0600tw-10-05164,2.09564,0
201,clueweb12-0800tw-20-11696,2.08754,1
201,clueweb12-1005wb-42-13094,2.07381,0
201,clueweb12-1700tw-04-02424,2.06272,1
201,clueweb12-1700tw-04-02425,2.06272,0
201,clueweb12-1700tw-04-02422,2.06049,1
201,clueweb12-1700tw-12-03430,2.05937,0
201,clueweb12-0500tw-14-02429,2.05791,0
201,clueweb12-0600tw-00-01454,2.05209,0
201,clueweb12-0500tw-18-19938,2.04812,0
201,clueweb12-0500tw-18-19939,2.04812,0
201,clueweb12-0500tw-20-14318,2.04812,0
201,clueweb12-0500tw-14-02430,2.04785,0
201,clueweb12-0713wb-04-08081,2.04565,0
201,clueweb12-0401tw-13-11198,2.04269,0
201,clueweb12-1700tw-12-12180,2.03658,1
201,clueweb12-0908wb-57-02130,2.03142,0
201,clueweb12-1000wb-85-20000,2.02033,0
201,clueweb12-1005wb-42-13111,2.02033,0
201,clueweb12-1012wb-15-19758,2.02022,0
201,clueweb12-1500tw-27-08186,2.01565,0
201,clueweb12-0401tw-16-02546,2.01396,1
201,clueweb12-0401tw-16-02547,2.0129,1
201,clueweb12-0401tw-16-02548,2.0129,1
201,clueweb12-0401tw-17-04167,2.0129,1
201,clueweb12-0600tw-21-12056,2.0111,0
201,clueweb12-1700tw-01-10630,2.00547,1
201,clueweb12-0715wb-41-22913,2.00437,0
201,clueweb12-0800tw-13-17594,1.99818,1
201,clueweb12-1700tw-09-13674,1.99689,0
201,clueweb12-0401tw-17-03472,1.99378,0
201,clueweb12-0600tw-25-01610,1.99224,0
201,clueweb12-0500tw-04-06632,1.98514,0
201,clueweb12-0400tw-96-08580,1.98044,1
201,clueweb12-0811wb-85-14210,1.98011,0
201,clueweb12-0401tw-03-17792,1.97473,0
201,clueweb12-0300tw-74-01289,1.97347,0
201,clueweb12-1200wb-89-15412,1.97226,0
201,clueweb12-0500tw-15-21740,1.97178,0
201,clueweb12-0915wb-93-18992,1.96661,0
201,clueweb12-0915wb-93-18993,1.96661,0
201,clueweb12-0910wb-47-12104,1.96283,0
201,clueweb12-0900tw-62-05587,1.96225,0
201,clueweb12-0908wb-57-02120,1.96121,0
201,clueweb12-1700tw-09-00622,1.95917,0
201,clueweb12-1700tw-09-00623,1.95917,0
201,clueweb12-1700tw-09-00624,1.95917,0
201,clueweb12-1700tw-09-00629,1.95917,0
201,clueweb12-1700tw-10-14314,1.95917,0
201,clueweb12-1700tw-10-14315,1.95917,0
201,clueweb12-1700tw-12-13261,1.95917,0
201,clueweb12-0500tw-05-14935,1.95813,0
201,clueweb12-0401tw-06-22532,1.95809,0
201,clueweb12-0500tw-17-18275,1.95631,0
201,clueweb12-0500tw-17-18276,1.95631,1
201,clueweb12-0500tw-17-18277,1.95631,0
201,clueweb12-0500tw-19-01748,1.95582,0
201,clueweb12-1700tw-18-11287,1.95407,1
201,clueweb12-1700tw-63-19442,1.95374,0
201,clueweb12-0611wb-19-02869,1.95352,0
201,clueweb12-0908wb-21-02241,1.95256,0
201,clueweb12-0707wb-38-02343,1.94941,0
201,clueweb12-0610wb-99-18925,1.94332,0
201,clueweb12-1900tw-61-06687,1.94212,1
201,clueweb12-0600tw-24-18843,1.93703,0
201,clueweb12-0600wb-81-15602,1.92946,0
201,clueweb12-1800tw-61-02724,1.9257,0
201,clueweb12-0800tw-80-04189,1.92526,0
201,clueweb12-0800tw-82-02138,1.92526,0
201,clueweb12-0610wb-39-13155,1.92367,0
201,clueweb12-1500tw-65-09401,1.92013,0
201,clueweb12-1200tw-80-10420,1.91965,0
201,clueweb12-1200tw-80-10421,1.91715,1
201,clueweb12-0700tw-03-15032,1.91613,0
201,clueweb12-0700tw-03-15033,1.91613,0
201,clueweb12-0400tw-98-00740,1.9158,0
201,clueweb12-0401tw-01-04686,1.9157,0
201,clueweb12-0909wb-46-16339,1.91523,0
201,clueweb12-0400tw-99-09411,1.91518,0
201,clueweb12-0100tw-77-04608,1.91508,0
201,clueweb12-0100tw-77-04609,1.91508,0
201,clueweb12-1812wb-21-20513,1.91277,0
201,clueweb12-0400tw-95-01239,1.91173,0
201,clueweb12-0400tw-96-22358,1.91173,1
201,clueweb12-0909wb-46-16343,1.9106,0
201,clueweb12-0909wb-35-26176,1.90947,0
201,clueweb12-0400tw-96-22359,1.90946,1
201,clueweb12-0400tw-95-01237,1.90761,0
201,clueweb12-0400tw-98-00739,1.9059,0
201,clueweb12-0905wb-09-07294,1.90276,0
201,clueweb12-1005wb-42-13096,1.90263,0
201,clueweb12-0400tw-98-00741,1.90123,0
201,clueweb12-0400tw-98-00742,1.90123,0
201,clueweb12-0400tw-98-00743,1.90123,0
201,clueweb12-0713wb-53-13641,1.90005,0
201,clueweb12-0401tw-11-13679,1.89476,1
201,clueweb12-0807wb-91-00497,1.88948,1
201,clueweb12-0908wb-47-11327,1.88838,0
201,clueweb12-0906wb-67-25260,1.88766,0
201,clueweb12-1800tw-26-15274,1.88721,0
201,clueweb12-1700tw-05-04365,1.88624,0
201,clueweb12-0906wb-02-12575,1.8813,0
201,clueweb12-0110wb-73-25297,1.88128,0
201,clueweb12-0700tw-31-11001,1.88099,0
201,clueweb12-1000tw-48-24398,1.87506,0
201,clueweb12-0500tw-13-04157,1.87424,0
201,clueweb12-0906wb-09-33750,1.87159,0
201,clueweb12-1700tw-13-15352,1.87016,0
201,clueweb12-1900tw-14-13434,1.865,0
201,clueweb12-1700tw-03-09403,1.86323,1
201,clueweb12-0700tw-06-03345,1.86244,0
201,clueweb12-1600tw-07-19172,1.86206,0
