topic,doc,score,rel
201,clueweb12-0900wb-35-34759,-1,1
201,clueweb12-1310wb-04-16486,-2,1
201,clueweb12-0714wb-00-13547,-3,1
201,clueweb12-0810wb-64-06846,-4,1
201,clueweb12-1103wb-53-15541,-5,1
201,clueweb12-1103wb-89-23937,-6,1
201,clueweb12-0900tw-16-01646,-7,0
201,clueweb12-0800tw-17-25760,-8,1
201,clueweb12-0807wb-93-08686,-9,0
201,clueweb12-1700tw-03-09403,-10,1
201,clueweb12-1111wb-41-15778,-11,1
201,clueweb12-0604wb-40-13236,-12,1
201,clueweb12-1205wb-78-13462,-13,0
201,clueweb12-1205wb-35-08540,-14,1
201,clueweb12-1200tw-74-09560,-15,1
201,clueweb12-0605wb-65-13518,-16,1
201,clueweb12-0400tw-98-19394,-17,1
201,clueweb12-0600tw-27-03059,-18,1
201,clueweb12-0400tw-96-22358,-19,1
201,clueweb12-0915wb-07-09887,-20,1
201,clueweb12-1604wb-20-11054,-21,0
201,clueweb12-0713wb-53-13641,-22,0
201,clueweb12-0713wb-73-15316,-23,0
201,clueweb12-0713wb-62-15328,-24,0
201,clueweb12-0917wb-70-07272,-25,1
201,clueweb12-0301tw-21-03835,-26,1
201,clueweb12-1700tw-22-12689,-27,0
201,clueweb12-1009wb-06-16954,-28,0
201,clueweb12-1200tw-80-10421,-29,1
201,clueweb12-0401tw-16-02547,-30,1
201,clueweb12-0401tw-04-20151,-31,0
201,clueweb12-1200tw-74-13246,-32,0
201,clueweb12-0401tw-11-13679,-33,1
201,clueweb12-0816wb-83-13972,-34,1
201,clueweb12-0909wb-96-26247,-35,0
201,clueweb12-0508wb-36-14116,-36,0
201,clueweb12-1812wb-36-11474,-37,0
201,clueweb12-1007wb-48-27054,-38,0
201,clueweb12-0906wb-96-33932,-39,1
201,clueweb12-0916wb-00-04079,-40,0
201,clueweb12-1806wb-39-29403,-41,1
201,clueweb12-1006wb-53-19150,-42,0
201,clueweb12-0908wb-98-10600,-43,1
201,clueweb12-0910wb-65-12168,-44,0
201,clueweb12-1305wb-59-01481,-45,0
201,clueweb12-1804wb-47-11412,-46,1
201,clueweb12-1602wb-44-05440,-47,1
201,clueweb12-0700tw-84-06248,-48,0
201,clueweb12-0700tw-54-14874,-49,1
201,clueweb12-0800tw-37-07485,-50,1
201,clueweb12-1716wb-66-00027,-51,0
201,clueweb12-0902wb-72-11855,-52,0
201,clueweb12-0906wb-67-25261,-53,0
201,clueweb12-1500tw-89-03150,-54,1
201,clueweb12-0200tw-42-04809,-55,0
201,clueweb12-0500tw-17-18276,-56,1
201,clueweb12-0810wb-71-07709,-57,0
201,clueweb12-0500tw-11-00340,-58,0
201,clueweb12-1313wb-16-00839,-59,0
201,clueweb12-0400tw-99-20419,-60,0
201,clueweb12-1007wb-79-19956,-61,0
201,clueweb12-1201tw-23-04915,-62,0
201,clueweb12-0610wb-50-15686,-63,0
201,clueweb12-0909wb-35-26187,-64,0
201,clueweb12-0812wb-17-03044,-65,0
201,clueweb12-1310wb-64-12736,-66,0
201,clueweb12-1600tw-02-18513,-67,0
201,clueweb12-1200tw-72-16914,-68,0
201,clueweb12-1200tw-30-16669,-69,0
201,clueweb12-1400tw-77-02512,-70,0
201,clueweb12-1007wb-48-27068,-71,0
201,clueweb12-0909wb-70-18750,-72,0
201,clueweb12-1700tw-09-00623,-73,0
201,clueweb12-1800tw-08-08836,-74,0
201,clueweb12-1100tw-71-09590,-75,0
201,clueweb12-1201tw-00-01712,-76,0
201,clueweb12-1804wb-89-01221,-77,0
201,clueweb12-0002wb-81-10226,-78,0
201,clueweb12-0713wb-63-21836,-79,0
201,clueweb12-1211wb-39-25876,-80,0
201,clueweb12-1201tw-27-11023,-81,0
201,clueweb12-0300tw-61-16714,-82,0
201,clueweb12-1209wb-67-19678,-83,0
201,clueweb12-0915wb-42-02088,-84,0
201,clueweb12-1110wb-47-08595,-85,0
201,clueweb12-0906wb-86-33232,-86,0
201,clueweb12-0700tw-12-17588,-87,0
201,clueweb12-0500tw-10-07393,-88,0
201,clueweb12-0910wb-29-12247,-89,0
201,clueweb12-0700tw-19-22232,-90,0
201,clueweb12-0600tw-15-05767,-91,0
201,clueweb12-0815wb-53-09186,-92,0
201,clueweb12-1712wb-94-32026,-93,0
201,clueweb12-1700tw-08-03410,-94,0
201,clueweb12-0909wb-73-21528,-95,0
201,clueweb12-0700tw-43-04940,-96,0
201,clueweb12-0500tw-04-15306,-97,0
201,clueweb12-1604wb-50-01444,-98,0
201,clueweb12-0500tw-11-08405,-99,0
201,clueweb12-1900tw-58-09712,-100,0
201,clueweb12-0908wb-88-00684,-101,0
201,clueweb12-0500tw-34-18277,-102,0
201,clueweb12-0905wb-60-26929,-103,0
201,clueweb12-0910wb-47-12101,-104,0
201,clueweb12-0401tw-08-13089,-105,0
201,clueweb12-1500tw-97-06940,-106,0
201,clueweb12-1804wb-83-26995,-107,0
201,clueweb12-1913wb-07-32283,-108,0
201,clueweb12-0901wb-48-05421,-109,0
201,clueweb12-1600tw-40-06466,-110,1
201,clueweb12-1805wb-46-08205,-111,0
201,clueweb12-1804wb-58-11660,-112,0
201,clueweb12-1805wb-10-00160,-113,0
201,clueweb12-1805wb-31-17299,-114,0
201,clueweb12-0500tw-00-28639,-115,0
201,clueweb12-0910wb-05-24477,-116,0
201,clueweb12-1805wb-42-21503,-117,0
201,clueweb12-1805wb-53-20401,-118,0
201,clueweb12-1806wb-03-22152,-119,0
201,clueweb12-0900tw-02-21029,-120,0
201,clueweb12-0500tw-22-00157,-121,0
201,clueweb12-1910wb-84-16059,-122,0
201,clueweb12-1203wb-51-26700,-123,0
201,clueweb12-0902wb-29-13949,-124,0
201,clueweb12-1805wb-13-07500,-125,0
201,clueweb12-1203wb-45-10051,-126,0
201,clueweb12-0401tw-03-18974,-127,0
201,clueweb12-0907wb-49-33941,-128,0
201,clueweb12-1812wb-83-07588,-129,0
201,clueweb12-1805wb-04-09136,-130,0
201,clueweb12-1805wb-34-31207,-131,0
201,clueweb12-1805wb-84-16989,-132,0
201,clueweb12-0908wb-21-02242,-133,0
201,clueweb12-1805wb-00-30327,-134,0
201,clueweb12-0914wb-85-31427,-135,0
201,clueweb12-0700tw-19-03900,-136,0
201,clueweb12-1505wb-02-15177,-137,0
201,clueweb12-1806wb-14-01945,-138,0
201,clueweb12-1805wb-97-00508,-139,0
201,clueweb12-1212wb-04-11801,-140,0
201,clueweb12-0909wb-62-29952,-141,0
201,clueweb12-0306wb-20-18408,-142,0
201,clueweb12-0800wb-24-05453,-143,0
201,clueweb12-1805wb-34-31193,-144,0
201,clueweb12-0700tw-53-18127,-145,0
201,clueweb12-1805wb-13-07486,-146,0
201,clueweb12-0909wb-35-26173,-147,0
201,clueweb12-0713wb-63-23056,-148,0
201,clueweb12-0906wb-31-10544,-149,0
201,clueweb12-0700tw-07-20388,-150,0
201,clueweb12-0909wb-00-00642,-151,0
201,clueweb12-0200tw-44-09077,-152,0
201,clueweb12-0401tw-08-19045,-153,0
201,clueweb12-1107wb-16-09184,-154,0
201,clueweb12-1500tw-97-12058,-155,0
201,clueweb12-1700tw-05-04342,-156,0
201,clueweb12-1107wb-14-08389,-157,0
201,clueweb12-0800tw-48-16550,-158,0
201,clueweb12-0604wb-64-00523,-159,0
201,clueweb12-0207wb-85-32467,-160,0
201,clueweb12-1100tw-35-20624,-161,0
201,clueweb12-1910wb-10-17170,-162,0
201,clueweb12-1804wb-55-03021,-163,0
201,clueweb12-0005wb-07-00867,-164,0
201,clueweb12-1804wb-61-18408,-165,0
201,clueweb12-0401tw-08-14805,-166,0
201,clueweb12-1900tw-02-09134,-167,0
201,clueweb12-1806wb-25-11525,-168,0
201,clueweb12-0000wb-95-13496,-169,0
201,clueweb12-0108wb-93-03539,-170,0
201,clueweb12-1214wb-38-15676,-171,0
201,clueweb12-1805wb-76-12237,-172,0
201,clueweb12-1216wb-34-08141,-173,0
201,clueweb12-0908wb-57-02121,-174,0
201,clueweb12-1213wb-81-01531,-175,0
201,clueweb12-1309wb-95-29153,-176,0
201,clueweb12-1216wb-30-24559,-177,0
201,clueweb12-0700tw-18-11092,-178,0
201,clueweb12-1714wb-87-20350,-179,0
201,clueweb12-0500tw-02-03421,-180,0
201,clueweb12-0500tw-11-18036,-181,0
201,clueweb12-1805wb-55-07308,-182,0
201,clueweb12-0500tw-14-14391,-183,0
201,clueweb12-1901wb-99-08424,-184,0
201,clueweb12-1804wb-91-02275,-185,0
201,clueweb12-0900wb-59-18923,-186,0
201,clueweb12-1715wb-31-15882,-187,0
201,clueweb12-0700tw-32-11535,-188,0
201,clueweb12-0002wb-05-17584,-189,0
201,clueweb12-1400tw-62-01552,-190,0
201,clueweb12-0903wb-62-32201,-191,0
201,clueweb12-0905wb-84-06982,-192,0
201,clueweb12-0900tw-55-12094,-193,0
201,clueweb12-1506wb-15-30252,-194,0
201,clueweb12-0909wb-23-16151,-195,0
201,clueweb12-0401tw-07-16527,-196,0
201,clueweb12-1806wb-07-14283,-197,0
201,clueweb12-0900tw-42-09095,-198,0
201,clueweb12-0401tw-09-18138,-199,0
201,clueweb12-0907wb-56-14116,-200,0
201,clueweb12-1213wb-67-06345,-201,0
201,clueweb12-0909wb-46-16342,-202,0
201,clueweb12-0817wb-09-06757,-203,0
201,clueweb12-1118wb-63-04499,-204,0
201,clueweb12-1806wb-32-07214,-205,0
201,clueweb12-1806wb-17-27433,-206,0
201,clueweb12-0713wb-22-30362,-207,0
201,clueweb12-1307wb-78-20724,-208,0
201,clueweb12-1109wb-64-14099,-209,0
201,clueweb12-0607wb-48-09245,-210,0
201,clueweb12-1214wb-90-07140,-211,0
