topic,doc,score,rel
201,clueweb12-0508wb-96-01084,-3.43073,0
201,clueweb12-1709wb-51-03906,-4.36608,0
201,clueweb12-1118wb-73-16211,-4.37782,0
201,clueweb12-0106wb-18-19516,-4.38673,1
201,clueweb12-1708wb-99-01915,-4.39334,0
201,clueweb12-1112wb-75-23347,-4.43973,0
201,clueweb12-1708wb-38-07075,-4.50152,0
201,clueweb12-1200wb-97-12884,-4.52854,0
201,clueweb12-1006wb-63-21998,-4.53336,0
201,clueweb12-1216wb-93-13005,-4.54139,0
201,clueweb12-1708wb-99-01957,-4.54529,0
201,clueweb12-1709wb-51-03892,-4.55114,0
201,clueweb12-1116wb-83-04600,-4.66467,0
201,clueweb12-1118wb-73-13359,-4.66494,0
201,clueweb12-0108wb-22-26598,-4.67112,0
201,clueweb12-1200wb-88-01667,-4.67869,0
201,clueweb12-1118wb-81-10505,-4.6861,0
201,clueweb12-0904wb-53-24192,-4.68892,0
201,clueweb12-1118wb-60-22945,-4.69391,0
201,clueweb12-1216wb-96-23057,-4.70728,0
201,clueweb12-0403wb-95-24313,-4.71326,0
201,clueweb12-1200wb-80-21586,-4.72122,0
201,clueweb12-1115wb-74-08458,-4.72633,0
201,clueweb12-1708wb-99-01929,-4.7326,0
201,clueweb12-1116wb-22-12126,-4.74853,0
201,clueweb12-1200wb-77-04624,-4.78588,0
201,clueweb12-1111wb-49-35081,-4.78724,0
201,clueweb12-0301wb-47-16793,-4.78952,0
201,clueweb12-1115wb-24-02108,-4.79268,0
201,clueweb12-1710wb-15-22874,-4.82179,0
201,clueweb12-0509wb-59-30130,-4.83193,0
201,clueweb12-1100tw-94-03887,-4.83563,0
201,clueweb12-1400tw-50-03994,-4.83649,0
201,clueweb12-0901tw-09-01341,-4.84223,0
201,clueweb12-0900tw-43-06420,-4.84233,0
201,clueweb12-1200tw-42-18633,-4.84377,0
201,clueweb12-1100tw-58-12163,-4.84448,0
201,clueweb12-1101tw-07-10711,-4.84649,0
201,clueweb12-1111wb-06-20659,-4.89071,0
201,clueweb12-1008wb-05-15988,-4.89296,0
201,clueweb12-1005wb-92-18787,-4.89298,0
201,clueweb12-0104wb-11-11139,-4.89539,0
201,clueweb12-0919wb-66-20060,-4.91962,0
201,clueweb12-0500tw-23-21871,-4.92797,0
201,clueweb12-1509wb-02-04118,-4.92961,0
201,clueweb12-1809wb-73-17982,-4.93542,0
201,clueweb12-1509wb-37-24198,-4.93707,0
201,clueweb12-1509wb-45-10540,-4.93707,0
201,clueweb12-1509wb-49-13942,-4.93707,0
201,clueweb12-0700tw-20-18895,-4.93821,0
201,clueweb12-0106wb-36-20382,-4.9489,0
201,clueweb12-0108wb-08-17895,-4.95081,0
201,clueweb12-1913wb-24-02404,-4.97691,0
201,clueweb12-1812wb-33-06225,-5.00723,0
201,clueweb12-0100tw-12-21286,-5.01623,0
201,clueweb12-0303wb-82-23082,-5.02019,0
201,clueweb12-1512wb-49-07474,-5.02212,0
201,clueweb12-0207wb-49-15906,-5.02859,0
201,clueweb12-1416wb-62-24411,-5.04278,0
201,clueweb12-1408wb-44-24850,-5.04581,0
201,clueweb12-1602wb-37-18848,-5.0519,0
201,clueweb12-1408wb-89-14195,-5.05706,0
201,clueweb12-1710wb-61-11049,-5.05982,0
201,clueweb12-1408wb-54-17873,-5.06565,0
201,clueweb12-0109wb-26-05444,-5.06628,0
201,clueweb12-0108wb-62-29173,-5.06861,0
201,clueweb12-1507wb-55-02737,-5.07115,0
201,clueweb12-1508wb-80-10449,-5.07143,0
201,clueweb12-1509wb-05-26868,-5.07143,0
201,clueweb12-1509wb-25-27123,-5.07143,0
201,clueweb12-1408wb-54-17887,-5.07305,0
201,clueweb12-0303wb-91-00125,-5.07327,0
201,clueweb12-1408wb-60-01742,-5.08089,0
201,clueweb12-0507wb-56-19352,-5.08422,0
201,clueweb12-1408wb-78-14208,-5.08425,0
201,clueweb12-1408wb-44-24836,-5.08452,0
201,clueweb12-1408wb-78-14222,-5.08712,0
201,clueweb12-1408wb-60-01756,-5.09026,0
201,clueweb12-0108wb-57-05127,-5.09611,0
201,clueweb12-0411wb-73-02038,-5.10218,0
201,clueweb12-1710wb-15-22888,-5.11671,0
