topic,doc,score,rel
201,clueweb12-0500tw-09-01438,8,0
201,clueweb12-0600tw-21-12056,8,0
201,clueweb12-0700tw-61-14704,8,2
201,clueweb12-0700tw-74-19724,8,1
201,clueweb12-0700tw-77-17133,8,1
201,clueweb12-0700tw-79-17919,8,1
201,clueweb12-0700tw-79-17968,8,1
201,clueweb12-0700tw-79-17969,8,1
201,clueweb12-0900tw-34-09743,8,1
201,clueweb12-0909wb-96-26247,8,0
201,clueweb12-0915wb-93-18991,8,0
201,clueweb12-0915wb-93-18992,8,0
201,clueweb12-0915wb-93-18993,8,0
201,clueweb12-1003wb-22-01697,8,1
201,clueweb12-1006wb-76-06368,8,1
201,clueweb12-1300tw-81-10983,8,0
201,clueweb12-1600tw-25-03206,8,0
201,clueweb12-1700tw-01-10630,8,1
201,clueweb12-1700tw-12-12180,8,1
201,clueweb12-1805wb-10-00164,8,1
201,clueweb12-0401tw-02-16945,7,0
201,clueweb12-0500tw-03-08257,7,0
201,clueweb12-0600tw-17-17514,7,0
201,clueweb12-0900tw-63-01604,7,1
201,clueweb12-0900tw-63-14455,7,0
201,clueweb12-1000tw-51-15843,7,1
201,clueweb12-1613wb-37-28549,7,1
201,clueweb12-1712wb-91-26912,7,1
201,clueweb12-0300tw-75-21205,6,0
201,clueweb12-0500tw-25-15526,6,1
201,clueweb12-0600tw-15-11839,6,0
201,clueweb12-0700tw-06-03345,6,0
201,clueweb12-0700tw-69-23823,6,0
201,clueweb12-0700tw-72-10766,6,1
201,clueweb12-0915wb-93-12188,6,2
201,clueweb12-0916wb-37-04526,6,1
201,clueweb12-0916wb-56-28701,6,2
201,clueweb12-0917wb-42-14097,6,2
201,clueweb12-1003wb-81-21033,6,0
201,clueweb12-1006wb-62-00002,6,0
201,clueweb12-1300tw-86-03721,6,0
201,clueweb12-1300tw-86-03722,6,0
201,clueweb12-1600tw-07-19172,6,0
201,clueweb12-1613wb-41-04806,6,2
201,clueweb12-1700tw-03-09403,6,1
201,clueweb12-1700tw-04-02422,6,1
201,clueweb12-1700tw-04-02423,6,0
201,clueweb12-1700tw-04-02424,6,1
201,clueweb12-1700tw-04-02425,6,0
201,clueweb12-1700tw-04-02426,6,0
201,clueweb12-1700tw-11-11014,6,0
201,clueweb12-1700tw-12-03430,6,0
201,clueweb12-1700tw-18-11287,6,1
201,clueweb12-1700tw-24-18392,6,0
201,clueweb12-1700tw-24-18393,6,0
201,clueweb12-1700tw-60-14505,6,0
201,clueweb12-1804wb-47-11414,6,1
201,clueweb12-1804wb-61-18411,6,1
201,clueweb12-1804wb-83-27006,6,1
201,clueweb12-1805wb-00-30333,6,1
201,clueweb12-1805wb-10-00159,6,1
201,clueweb12-0400tw-96-10306,5,0
201,clueweb12-0500tw-09-16891,5,1
201,clueweb12-0500tw-09-16892,5,1
201,clueweb12-0500tw-11-17774,5,1
201,clueweb12-0500tw-12-01032,5,1
201,clueweb12-0500tw-12-01033,5,1
201,clueweb12-0500tw-14-16637,5,1
201,clueweb12-0600wb-81-15602,5,0
201,clueweb12-0700tw-10-02591,5,0
201,clueweb12-0700tw-15-02493,5,0
201,clueweb12-0800tw-13-20648,5,1
201,clueweb12-0816wb-83-13972,5,1
201,clueweb12-0900tw-36-03835,5,0
201,clueweb12-0900tw-97-01725,5,1
201,clueweb12-0904wb-71-24465,5,1
201,clueweb12-0904wb-71-24472,5,1
201,clueweb12-0904wb-85-19637,5,1
201,clueweb12-1006wb-74-15150,5,0
201,clueweb12-1613wb-41-04807,5,0
201,clueweb12-1804wb-68-31616,5,1
201,clueweb12-1804wb-83-26991,5,1
201,clueweb12-1805wb-88-10173,5,1
201,clueweb12-1805wb-97-00510,5,1
201,clueweb12-1806wb-07-14285,5,1
201,clueweb12-1806wb-14-01952,5,1
201,clueweb12-1806wb-14-01953,5,1
201,clueweb12-1806wb-17-27435,5,0
201,clueweb12-0400tw-94-13567,4,0
201,clueweb12-0400tw-96-08580,4,1
201,clueweb12-0401tw-00-10574,4,0
201,clueweb12-0401tw-01-08135,4,0
201,clueweb12-0401tw-08-02152,4,1
201,clueweb12-0401tw-11-13679,4,1
201,clueweb12-0401tw-13-12471,4,0
201,clueweb12-0401tw-16-02546,4,1
201,clueweb12-0401tw-16-02547,4,1
201,clueweb12-0401tw-16-02548,4,1
201,clueweb12-0401tw-17-04167,4,1
201,clueweb12-0500tw-02-03020,4,0
201,clueweb12-0500tw-04-06596,4,0
201,clueweb12-0500tw-04-06597,4,0
201,clueweb12-0500tw-04-06598,4,0
201,clueweb12-0500tw-30-09991,4,0
201,clueweb12-0500tw-33-15914,4,0
201,clueweb12-0600tw-38-03421,4,0
201,clueweb12-0700tw-17-13668,4,0
201,clueweb12-0700tw-56-18201,4,0
201,clueweb12-0707wb-38-02343,4,0
201,clueweb12-0713wb-53-13641,4,0
201,clueweb12-0800tw-10-03866,4,0
201,clueweb12-0800tw-13-17594,4,1
201,clueweb12-0800wb-04-25565,4,0
201,clueweb12-0810wb-31-23222,4,0
201,clueweb12-0815wb-29-02041,4,0
201,clueweb12-0900tw-32-16590,4,0
201,clueweb12-0904wb-80-25046,4,0
201,clueweb12-0905wb-09-07295,4,0
201,clueweb12-0906wb-09-33750,4,0
201,clueweb12-0906wb-96-33935,4,0
201,clueweb12-0908wb-55-02856,4,0
201,clueweb12-0908wb-55-02858,4,0
201,clueweb12-0908wb-85-13753,4,0
201,clueweb12-0909wb-00-00636,4,0
201,clueweb12-0909wb-23-16147,4,0
201,clueweb12-0910wb-65-20666,4,0
201,clueweb12-0911wb-06-13975,4,0
201,clueweb12-0911wb-16-09228,4,0
201,clueweb12-1000wb-85-19998,4,0
201,clueweb12-1005wb-42-13095,4,0
201,clueweb12-1005wb-94-22903,4,0
201,clueweb12-1006wb-61-32731,4,0
201,clueweb12-1006wb-74-15149,4,0
201,clueweb12-1007wb-48-27054,4,0
201,clueweb12-1100tw-19-17408,4,0
201,clueweb12-1100tw-40-07793,4,0
201,clueweb12-1200tw-08-13619,4,0
201,clueweb12-1200tw-08-14978,4,0
201,clueweb12-1200tw-10-09979,4,1
201,clueweb12-1200tw-32-07645,4,1
201,clueweb12-1200tw-42-08243,4,0
201,clueweb12-1200tw-80-10420,4,0
201,clueweb12-1200tw-80-10421,4,1
201,clueweb12-1210wb-93-32500,4,0
201,clueweb12-1300tw-26-01256,4,0
201,clueweb12-1305wb-52-24223,4,1
201,clueweb12-1500tw-87-05762,4,0
201,clueweb12-1500tw-89-06869,4,0
201,clueweb12-1500tw-89-06870,4,0
201,clueweb12-1613wb-51-20021,4,0
201,clueweb12-1700tw-19-01998,4,1
201,clueweb12-1702wb-62-20241,4,0
201,clueweb12-1703wb-27-21120,4,0
201,clueweb12-1705wb-60-11099,4,0
201,clueweb12-1800wb-26-00411,4,0
201,clueweb12-1804wb-91-02272,4,0
201,clueweb12-1805wb-04-09141,4,0
201,clueweb12-1805wb-04-09143,4,1
201,clueweb12-1805wb-42-21505,4,1
201,clueweb12-1910wb-10-17170,4,0
201,clueweb12-1911wb-40-08473,4,0
201,clueweb12-1913wb-33-03742,4,1
201,clueweb12-0000tw-05-12114,3,1
201,clueweb12-0108wb-41-13562,3,0
201,clueweb12-0108wb-41-13563,3,0
201,clueweb12-0108wb-86-18203,3,2
201,clueweb12-0300tw-04-15687,3,0
201,clueweb12-0300tw-57-15513,3,1
201,clueweb12-0300tw-75-21204,3,0
201,clueweb12-0300tw-97-03315,3,1
201,clueweb12-0301tw-27-15380,3,0
201,clueweb12-0400tw-96-01093,3,0
201,clueweb12-0400tw-96-22359,3,1
201,clueweb12-0400tw-96-22360,3,0
201,clueweb12-0400tw-96-22361,3,0
201,clueweb12-0400tw-96-22362,3,0
201,clueweb12-0400tw-96-22363,3,0
201,clueweb12-0400tw-96-22364,3,0
201,clueweb12-0400tw-98-00739,3,0
201,clueweb12-0400tw-98-19394,3,1
201,clueweb12-0400tw-98-19395,3,1
201,clueweb12-0401tw-01-08821,3,0
201,clueweb12-0401tw-03-17792,3,0
201,clueweb12-0401tw-06-22532,3,0
201,clueweb12-0401tw-13-11198,3,0
