topic,doc,score,rel
201,clueweb12-0810wb-78-21417,10000,2
201,clueweb12-0905wb-50-14578,9999,0
201,clueweb12-1812wb-65-24519,9998,1
201,clueweb12-0915wb-93-18991,9997,0
201,clueweb12-1407wb-23-30671,9996,0
201,clueweb12-1604wb-20-11054,9995,0
201,clueweb12-1110wb-45-29731,9994,1
201,clueweb12-0900tw-63-01604,9993,1
201,clueweb12-1011wb-98-09124,9992,0
201,clueweb12-1007wb-48-27054,9991,0
201,clueweb12-1700tw-22-12689,9990,0
201,clueweb12-0603wb-59-05160,9989,1
201,clueweb12-1700tw-01-10630,9988,1
201,clueweb12-1020wb-30-13014,9987,1
201,clueweb12-0500tw-25-18632,9986,1
201,clueweb12-1103wb-47-05876,9985,0
201,clueweb12-1209wb-13-15239,9984,1
201,clueweb12-1108wb-74-23894,9983,1
201,clueweb12-1700tw-11-11014,9982,0
201,clueweb12-1102wb-91-12621,9981,1
201,clueweb12-1801wb-97-09765,9980,0
201,clueweb12-1206wb-96-00963,9979,0
201,clueweb12-1400tw-64-09997,9978,0
201,clueweb12-0500tw-14-16637,9977,1
201,clueweb12-1500tw-95-11460,9976,0
201,clueweb12-0716wb-29-07852,9975,0
201,clueweb12-0716wb-29-07845,9974,0
201,clueweb12-0401tw-06-09218,9973,0
201,clueweb12-1006wb-74-15150,9972,0
201,clueweb12-1100tw-72-06488,9971,1
201,clueweb12-0711wb-62-24988,9970,0
201,clueweb12-0809wb-37-01955,9969,0
201,clueweb12-0509wb-52-08605,9968,1
201,clueweb12-0500tw-09-13741,9967,0
201,clueweb12-1205wb-71-01017,9966,1
201,clueweb12-1213wb-24-15439,9965,1
201,clueweb12-1501tw-06-05942,9964,1
201,clueweb12-0600tw-17-17514,9963,0
201,clueweb12-1804wb-83-26991,9962,1
201,clueweb12-0915wb-34-01721,9961,0
201,clueweb12-0400tw-94-00077,9960,0
201,clueweb12-1209wb-55-00415,9959,0
201,clueweb12-1804wb-61-18411,9958,1
201,clueweb12-0810wb-76-05764,9957,0
201,clueweb12-0301tw-15-04020,9956,1
201,clueweb12-0900wb-35-34761,9955,0
201,clueweb12-1309wb-69-26514,9954,0
201,clueweb12-1004wb-00-27297,9953,0
201,clueweb12-0915wb-38-28283,9952,1
201,clueweb12-1804wb-83-27006,9951,1
201,clueweb12-0209wb-62-29856,9950,0
201,clueweb12-0500tw-25-15526,9949,1
201,clueweb12-1616wb-75-14860,9948,1
201,clueweb12-1006wb-61-32741,9947,0
201,clueweb12-1700tw-19-01998,9946,1
201,clueweb12-0209wb-62-29857,9945,1
201,clueweb12-0400tw-08-22698,9944,1
201,clueweb12-0909wb-96-26247,9943,0
201,clueweb12-1200tw-08-14978,9942,0
201,clueweb12-1006wb-74-15149,9941,0
201,clueweb12-0005wb-86-10798,9940,1
201,clueweb12-0400tw-99-10402,9939,0
201,clueweb12-0500tw-11-00340,9938,0
201,clueweb12-0500tw-09-01438,9937,0
201,clueweb12-1910wb-83-06586,9936,0
201,clueweb12-0401tw-13-12471,9935,0
201,clueweb12-1100tw-40-07793,9934,0
201,clueweb12-0500tw-11-17774,9933,1
201,clueweb12-0401tw-05-03556,9932,0
201,clueweb12-0401tw-08-01300,9931,0
201,clueweb12-0809wb-23-05798,9930,0
201,clueweb12-1006wb-76-06368,9929,1
201,clueweb12-0916wb-00-04079,9928,0
201,clueweb12-1804wb-47-11411,9927,0
201,clueweb12-0712wb-66-26107,9926,1
201,clueweb12-1811wb-20-21538,9925,1
201,clueweb12-1205wb-61-24105,9924,1
201,clueweb12-1614wb-06-31862,9923,1
201,clueweb12-1805wb-71-08872,9922,0
201,clueweb12-0904wb-87-19861,9921,0
201,clueweb12-1006wb-74-15153,9920,0
201,clueweb12-0300tw-49-08295,9919,1
201,clueweb12-1600tw-25-03206,9918,0
201,clueweb12-0500tw-01-14499,9917,0
201,clueweb12-1209wb-19-00887,9916,0
201,clueweb12-0911wb-78-25265,9915,0
201,clueweb12-1804wb-68-31617,9914,0
201,clueweb12-0401tw-11-14737,9913,0
201,clueweb12-1314wb-28-32707,9912,0
201,clueweb12-1803wb-91-15067,9911,0
201,clueweb12-0500tw-08-11575,9910,0
201,clueweb12-1111wb-41-15778,9909,1
201,clueweb12-1700tw-60-14505,9908,0
201,clueweb12-0500tw-01-14500,9907,0
201,clueweb12-0002wb-71-09796,9906,0
201,clueweb12-0700tw-06-03345,9905,0
201,clueweb12-1700tw-29-12139,9904,0
201,clueweb12-0911wb-85-04109,9903,0
201,clueweb12-0800tw-20-17356,9902,0
201,clueweb12-1500wb-22-20068,9901,0
201,clueweb12-1501tw-01-18177,9900,0
201,clueweb12-0700tw-38-05298,9899,1
201,clueweb12-1700tw-12-12180,9898,1
201,clueweb12-1805wb-88-10172,9897,1
201,clueweb12-1004wb-86-06246,9896,0
201,clueweb12-1200tw-10-09979,9895,1
201,clueweb12-0901tw-05-09301,9894,0
201,clueweb12-0915wb-93-18990,9893,0
201,clueweb12-1700tw-24-18392,9892,0
201,clueweb12-0400tw-96-10306,9891,0
201,clueweb12-1500tw-33-12431,9890,0
201,clueweb12-0700tw-17-13668,9889,0
201,clueweb12-1003wb-22-01697,9888,1
