topic,doc,score,rel
201,clueweb12-0000tw-05-12114,34.269,1
201,clueweb12-1111wb-41-15778,33.246,1
201,clueweb12-1213wb-24-15439,33.012,1
201,clueweb12-1804wb-61-18411,32.923,1
201,clueweb12-0301tw-15-04020,32.909,1
201,clueweb12-1804wb-83-27006,32.852,1
201,clueweb12-0700tw-74-19724,32.786,1
201,clueweb12-1812wb-65-24519,32.651,1
201,clueweb12-1604wb-20-11054,32.377,0
201,clueweb12-0500tw-40-09126,32.032,1
201,clueweb12-1110wb-45-29731,31.966,1
201,clueweb12-1611wb-99-03925,31.82,1
201,clueweb12-0401tw-08-02152,31.782,1
201,clueweb12-0915wb-93-12188,31.782,2
201,clueweb12-1501tw-06-05942,31.776,1
201,clueweb12-0818wb-58-25447,31.651,0
201,clueweb12-0300tw-67-08150,31.623,0
201,clueweb12-0714wb-00-13547,31.578,1
201,clueweb12-1315wb-06-03438,31.51,1
201,clueweb12-1800tw-45-19214,31.506,1
201,clueweb12-0401tw-00-10574,31.457,0
201,clueweb12-0100tw-14-21268,31.406,1
201,clueweb12-1908wb-52-19230,31.375,0
201,clueweb12-0700tw-09-04133,31.206,0
201,clueweb12-1814wb-34-00948,31.003,0
201,clueweb12-1500tw-89-03170,30.979,0
201,clueweb12-1215wb-70-09346,30.976,0
201,clueweb12-0807wb-91-00497,30.942,1
201,clueweb12-0700tw-56-18201,30.877,0
201,clueweb12-0700tw-38-05298,30.829,1
201,clueweb12-0700tw-72-10766,30.814,1
201,clueweb12-0808wb-98-13485,30.811,1
201,clueweb12-1909wb-09-11934,30.793,0
201,clueweb12-1000wb-47-19725,30.714,0
201,clueweb12-1900tw-61-06687,30.579,1
201,clueweb12-1804wb-68-31617,30.507,0
201,clueweb12-1909wb-59-08089,30.456,0
201,clueweb12-0401tw-00-05277,30.43,1
201,clueweb12-0401tw-00-13253,30.412,0
201,clueweb12-1305wb-52-05126,30.402,0
201,clueweb12-0209wb-62-29858,30.368,0
201,clueweb12-0503wb-89-16854,30.322,0
201,clueweb12-1200tw-07-03500,30.32,0
201,clueweb12-0905wb-23-20310,30.303,0
201,clueweb12-1908wb-15-21871,30.246,0
201,clueweb12-1900wb-22-20932,30.236,0
201,clueweb12-0508wb-86-32606,30.219,0
201,clueweb12-0900tw-42-09094,30.208,0
201,clueweb12-1004wb-86-06246,30.194,0
201,clueweb12-0003wb-07-20981,30.163,0
201,clueweb12-1702wb-18-09039,30.156,0
201,clueweb12-0400tw-95-01236,30.141,0
201,clueweb12-0400tw-95-01237,30.139,0
201,clueweb12-0810wb-78-21417,30.064,2
201,clueweb12-1310wb-04-16486,30.007,1
201,clueweb12-0809wb-23-05798,29.992,0
201,clueweb12-0500tw-11-00340,29.979,0
201,clueweb12-0400tw-94-16895,29.967,0
201,clueweb12-1804wb-47-11411,29.861,0
201,clueweb12-0600tw-09-03553,29.853,0
201,clueweb12-1910wb-83-06586,29.807,0
201,clueweb12-0209wb-62-29856,29.722,0
201,clueweb12-0400tw-96-22365,29.709,0
201,clueweb12-1610wb-10-12007,29.678,0
201,clueweb12-0817wb-49-23522,29.668,0
201,clueweb12-1200tw-63-09472,29.622,0
201,clueweb12-0909wb-43-06243,29.611,0
201,clueweb12-1107wb-73-02965,29.571,0
201,clueweb12-1107wb-20-09605,29.568,0
201,clueweb12-1400tw-76-14366,29.535,0
201,clueweb12-1607wb-85-23004,29.528,0
201,clueweb12-1808wb-50-27750,29.514,0
201,clueweb12-1804wb-83-26991,29.513,1
201,clueweb12-0908wb-12-14514,29.509,0
201,clueweb12-0800tw-25-04114,29.506,0
201,clueweb12-1712wb-56-17035,29.48,0
201,clueweb12-0907wb-75-03584,29.443,0
201,clueweb12-0401tw-01-08821,29.405,0
201,clueweb12-0705wb-48-27867,29.348,0
201,clueweb12-0811wb-92-06590,29.337,0
201,clueweb12-0901wb-48-05423,29.263,0
201,clueweb12-0908wb-98-10600,29.18,1
201,clueweb12-0903wb-20-30375,29.166,0
201,clueweb12-0800wb-04-25565,29.161,0
201,clueweb12-1203wb-41-08826,29.161,0
201,clueweb12-1310wb-69-24280,29.141,0
201,clueweb12-0800tw-04-02538,29.14,0
201,clueweb12-1100tw-15-00003,29.129,0
201,clueweb12-0607wb-19-31940,29.11,1
201,clueweb12-0000tw-37-02283,29.097,0
201,clueweb12-1400tw-14-21089,29.091,2
201,clueweb12-1400tw-76-14365,29.09,0
201,clueweb12-0800tw-50-12287,29.054,0
201,clueweb12-1301wb-60-22829,29.044,0
201,clueweb12-0909wb-70-18750,29.025,0
201,clueweb12-1503wb-90-18178,29.006,0
201,clueweb12-1909wb-97-23027,28.99,0
201,clueweb12-0007wb-74-13370,28.973,0
201,clueweb12-1007wb-78-15347,28.932,0
201,clueweb12-1803wb-95-06207,28.931,0
201,clueweb12-1200tw-71-11419,28.922,0
201,clueweb12-0400tw-98-06777,28.912,0
201,clueweb12-0500tw-17-18275,28.9,0
201,clueweb12-0500tw-27-00153,28.89,0
201,clueweb12-1005wb-50-25719,28.888,0
201,clueweb12-0708wb-21-10443,28.858,0
201,clueweb12-1514wb-67-17707,28.853,0
201,clueweb12-1801wb-97-09765,28.833,0
201,clueweb12-1214wb-68-05992,28.829,0
201,clueweb12-1616wb-00-15179,28.829,0
201,clueweb12-0916wb-56-28701,28.781,2
201,clueweb12-1003wb-22-01697,28.756,1
201,clueweb12-1414wb-09-07143,28.756,0
201,clueweb12-1600tw-02-18513,28.739,0
201,clueweb12-0807wb-93-08686,28.726,0
201,clueweb12-0510wb-89-03620,28.717,0
201,clueweb12-1111wb-46-14128,28.715,0
201,clueweb12-1700tw-04-02422,28.698,1
201,clueweb12-1213wb-06-09690,28.695,0
201,clueweb12-0401tw-02-21958,28.693,0
201,clueweb12-1812wb-36-11475,28.691,0
201,clueweb12-1911wb-43-14662,28.675,0
201,clueweb12-1000tw-54-22587,28.653,0
201,clueweb12-0103wb-53-09908,28.603,0
201,clueweb12-1300tw-38-10794,28.596,0
201,clueweb12-0304wb-27-16169,28.563,0
201,clueweb12-1613wb-65-13033,28.537,0
201,clueweb12-0811wb-52-16975,28.511,0
201,clueweb12-1100tw-15-08924,28.496,0
201,clueweb12-1205wb-67-16232,28.492,0
201,clueweb12-1205wb-78-13459,28.492,0
201,clueweb12-1205wb-78-13461,28.492,0
201,clueweb12-1500tw-61-09909,28.482,0
201,clueweb12-0700tw-10-02591,28.47,0
201,clueweb12-1501tw-02-16990,28.447,0
201,clueweb12-0815wb-53-09185,28.443,0
201,clueweb12-0903wb-62-32199,28.442,0
201,clueweb12-0809wb-32-04774,28.432,0
201,clueweb12-0816wb-58-26603,28.423,0
201,clueweb12-0711wb-62-24988,28.42,0
201,clueweb12-0700tw-10-07937,28.416,0
201,clueweb12-0700tw-57-06408,28.408,0
201,clueweb12-0400tw-96-10306,28.398,0
201,clueweb12-1101wb-50-21545,28.397,0
201,clueweb12-1600tw-26-19124,28.397,0
201,clueweb12-0703wb-69-25451,28.394,0
201,clueweb12-1802wb-03-26882,28.383,0
201,clueweb12-0700tw-03-15032,28.355,0
201,clueweb12-0611wb-98-04135,28.352,0
201,clueweb12-1000wb-85-20003,28.348,0
201,clueweb12-0911wb-78-25265,28.341,0
201,clueweb12-0710wb-83-00157,28.335,0
201,clueweb12-1005wb-63-08519,28.33,0
201,clueweb12-1110wb-89-14772,28.33,0
201,clueweb12-0712wb-13-29041,28.323,1
201,clueweb12-1006wb-61-32742,28.318,0
201,clueweb12-1006wb-61-32731,28.313,0
201,clueweb12-1806wb-60-12273,28.31,0
201,clueweb12-0908wb-85-13751,28.307,0
201,clueweb12-0818wb-53-02305,28.298,0
201,clueweb12-0401tw-02-17187,28.297,0
201,clueweb12-1910wb-75-10483,28.292,0
201,clueweb12-0401tw-09-18136,28.278,0
201,clueweb12-1310wb-31-15088,28.277,0
201,clueweb12-0800tw-21-14968,28.276,0
201,clueweb12-0500tw-25-13406,28.275,0
201,clueweb12-1205wb-35-08540,28.27,1
201,clueweb12-1205wb-67-16231,28.27,0
201,clueweb12-1205wb-78-13460,28.27,0
201,clueweb12-1205wb-78-13462,28.27,0
201,clueweb12-0500tw-10-16143,28.263,0
201,clueweb12-1009wb-06-16954,28.25,0
201,clueweb12-1404wb-17-02654,28.238,0
201,clueweb12-0400tw-94-00938,28.23,0
201,clueweb12-1500tw-89-03150,28.22,1
201,clueweb12-0500tw-36-06776,28.214,0
201,clueweb12-0908wb-55-02854,28.211,0
201,clueweb12-1911wb-40-08473,28.191,0
201,clueweb12-1200tw-72-16914,28.19,0
201,clueweb12-0505wb-74-00262,28.181,0
201,clueweb12-1712wb-52-25704,28.175,0
201,clueweb12-0909wb-61-18809,28.173,0
201,clueweb12-1610wb-41-08797,28.173,0
201,clueweb12-0800tw-75-11298,28.155,0
201,clueweb12-0804wb-19-21772,28.155,0
201,clueweb12-1000tw-62-03670,28.151,0
201,clueweb12-1700tw-36-09856,28.143,0
201,clueweb12-1910wb-89-21485,28.14,0
201,clueweb12-0505wb-98-17632,28.133,0
201,clueweb12-0106wb-99-08828,28.126,0
201,clueweb12-1502wb-04-02300,28.125,0
201,clueweb12-0500tw-11-08405,28.122,0
201,clueweb12-0816wb-00-21161,28.12,0
201,clueweb12-0914wb-08-06167,28.118,0
201,clueweb12-0811wb-65-07424,28.106,0
201,clueweb12-1504wb-70-20306,28.072,0
201,clueweb12-0811wb-85-14210,28.063,0
201,clueweb12-0800tw-22-14399,28.043,0
201,clueweb12-1008wb-60-16140,28.022,0
201,clueweb12-0900wb-35-34759,28.004,1
201,clueweb12-1100tw-00-21080,27.992,0
201,clueweb12-0307wb-65-08802,27.966,0
201,clueweb12-1712wb-91-26912,27.966,1
201,clueweb12-1000tw-51-15843,27.959,1
201,clueweb12-0401tw-01-07364,27.951,0
201,clueweb12-0500tw-19-17388,27.948,0
201,clueweb12-1200tw-74-09560,27.942,1
201,clueweb12-0810wb-64-06846,27.933,1
201,clueweb12-1911wb-40-08474,27.933,0
201,clueweb12-1309wb-69-26514,27.929,0
201,clueweb12-0715wb-41-22913,27.926,0
201,clueweb12-1500tw-08-14578,27.909,0
201,clueweb12-0600tw-15-05765,27.9,0
201,clueweb12-0500tw-02-03020,27.894,0
201,clueweb12-1102wb-46-04097,27.891,0
201,clueweb12-0600tw-04-13853,27.884,0
201,clueweb12-1112wb-55-15295,27.88,0
201,clueweb12-0700tw-09-20116,27.876,0
201,clueweb12-1515wb-88-02915,27.853,0
201,clueweb12-0400tw-98-03265,27.85,0
201,clueweb12-1202wb-80-19844,27.821,0
201,clueweb12-1902wb-83-05926,27.799,0
201,clueweb12-1408wb-44-13067,27.796,0
201,clueweb12-0600tw-27-04550,27.777,0
201,clueweb12-0802wb-64-20502,27.775,0
201,clueweb12-1200tw-53-03964,27.755,0
201,clueweb12-1300tw-86-03721,27.753,0
201,clueweb12-0002wb-67-12537,27.75,0
201,clueweb12-0002wb-71-09795,27.75,0
201,clueweb12-0100tw-64-14713,27.748,0
201,clueweb12-0305wb-07-19864,27.748,0
201,clueweb12-0909wb-35-26171,27.744,0
201,clueweb12-1107wb-26-05490,27.744,0
201,clueweb12-0401tw-06-21458,27.741,0
201,clueweb12-0600tw-30-20002,27.741,0
201,clueweb12-1200tw-73-01979,27.741,0
201,clueweb12-0307wb-47-02870,27.734,0
201,clueweb12-0307wb-65-08803,27.734,0
201,clueweb12-0307wb-65-08806,27.734,0
201,clueweb12-1006wb-61-32741,27.729,0
201,clueweb12-1003wb-72-29224,27.714,0
201,clueweb12-0800tw-42-07336,27.706,0
201,clueweb12-0401tw-11-13679,27.704,1
201,clueweb12-0800tw-20-12570,27.682,0
201,clueweb12-0604wb-40-13236,27.674,1
201,clueweb12-0300tw-73-04744,27.664,0
201,clueweb12-1800wb-26-00411,27.659,0
201,clueweb12-1315wb-99-25568,27.654,0
201,clueweb12-0800tw-30-05058,27.617,0
201,clueweb12-0300tw-77-04808,27.599,0
201,clueweb12-1006wb-74-15148,27.596,0
201,clueweb12-0800tw-26-00274,27.591,0
201,clueweb12-0700tw-32-11535,27.59,0
201,clueweb12-1800tw-26-15274,27.586,0
201,clueweb12-0100tw-75-09289,27.581,0
201,clueweb12-1311wb-12-14289,27.58,0
201,clueweb12-0401tw-03-06666,27.571,0
201,clueweb12-1400tw-67-07223,27.54,0
201,clueweb12-0700tw-10-03958,27.538,0
201,clueweb12-0506wb-95-15706,27.536,0
201,clueweb12-1700tw-45-12363,27.534,0
201,clueweb12-0907wb-18-10199,27.532,0
201,clueweb12-1013wb-87-11655,27.51,0
201,clueweb12-1603wb-16-07405,27.507,0
201,clueweb12-0902wb-72-11855,27.499,0
201,clueweb12-0914wb-91-06708,27.483,0
201,clueweb12-0915wb-81-17542,27.483,0
201,clueweb12-1003wb-43-15903,27.48,0
201,clueweb12-1911wb-51-03097,27.465,0
201,clueweb12-1006wb-53-19150,27.462,0
201,clueweb12-1017wb-92-05905,27.462,0
201,clueweb12-1408wb-44-13064,27.455,0
201,clueweb12-0711wb-01-00590,27.452,0
201,clueweb12-1200wb-95-25658,27.452,0
201,clueweb12-1005wb-42-13094,27.445,0
201,clueweb12-1005wb-42-13096,27.445,0
201,clueweb12-0908wb-88-00686,27.434,0
201,clueweb12-0800tw-00-16795,27.433,0
