topic,doc,score,rel
201,clueweb12-1613wb-41-04806,9999,2
201,clueweb12-0800tw-13-20648,9998,1
201,clueweb12-0713wb-35-13648,9997,1
201,clueweb12-0717wb-31-34221,9996,1
201,clueweb12-0716wb-86-24660,9995,1
201,clueweb12-0700tw-61-14704,9994,2
201,clueweb12-0401tw-02-13744,9993,0
201,clueweb12-0800wb-34-17958,9992,1
201,clueweb12-0800wb-08-03214,9991,1
201,clueweb12-1500tw-89-06870,9990,0
201,clueweb12-1500tw-89-06869,9989,0
201,clueweb12-1804wb-68-31616,9988,1
201,clueweb12-1806wb-07-14286,9987,1
201,clueweb12-1500tw-87-05762,9986,0
201,clueweb12-1006wb-76-06368,9985,1
201,clueweb12-1804wb-83-26991,9984,1
201,clueweb12-0700tw-06-03345,9983,0
201,clueweb12-1805wb-88-10173,9982,1
201,clueweb12-1806wb-14-01950,9981,1
201,clueweb12-1806wb-14-01953,9980,1
201,clueweb12-1806wb-07-14285,9979,1
201,clueweb12-1805wb-97-00510,9978,1
201,clueweb12-1806wb-14-01952,9977,1
201,clueweb12-1806wb-14-01951,9976,1
201,clueweb12-1804wb-91-02269,9975,1
201,clueweb12-1805wb-42-21505,9974,1
201,clueweb12-0600tw-15-11839,9973,0
201,clueweb12-0909wb-96-26247,9972,0
201,clueweb12-0500tw-09-01438,9971,0
201,clueweb12-1003wb-22-01697,9970,1
201,clueweb12-1805wb-04-09143,9969,1
201,clueweb12-1805wb-04-09141,9968,0
201,clueweb12-1700tw-04-02422,9967,1
201,clueweb12-1804wb-91-02272,9966,0
201,clueweb12-1400tw-75-09343,9965,0
201,clueweb12-0916wb-37-04526,9964,1
201,clueweb12-0600tw-21-12056,9963,0
201,clueweb12-1700tw-12-03430,9962,0
201,clueweb12-1700tw-04-02424,9961,1
201,clueweb12-1700tw-04-02423,9960,0
201,clueweb12-1700tw-04-02426,9959,0
201,clueweb12-1700tw-04-02425,9958,0
201,clueweb12-0700tw-36-05471,9957,0
201,clueweb12-0400tw-34-18992,9956,0
201,clueweb12-1700tw-19-01998,9955,1
201,clueweb12-0900wb-61-27591,9954,0
201,clueweb12-1806wb-17-27435,9953,0
201,clueweb12-0900tw-94-08781,9952,0
201,clueweb12-0712wb-66-26111,9951,0
201,clueweb12-0700tw-74-19724,9950,1
201,clueweb12-0711wb-86-22355,9949,0
201,clueweb12-0717wb-31-34222,9948,0
201,clueweb12-0700tw-62-02100,9947,0
201,clueweb12-0818wb-67-18929,9946,0
201,clueweb12-0818wb-58-03045,9945,0
201,clueweb12-0901wb-76-19818,9944,0
201,clueweb12-0900wb-98-24673,9943,0
201,clueweb12-0717wb-31-34224,9942,0
201,clueweb12-1700tw-09-06795,9941,0
201,clueweb12-1700tw-09-06796,9940,0
201,clueweb12-1004wb-86-06246,9939,0
201,clueweb12-1600tw-43-10277,9938,1
201,clueweb12-1804wb-47-11411,9937,0
201,clueweb12-1805wb-71-08872,9936,0
201,clueweb12-1806wb-14-01948,9935,0
201,clueweb12-1806wb-17-27436,9934,0
201,clueweb12-1806wb-14-01947,9933,0
201,clueweb12-0700tw-72-10766,9932,1
201,clueweb12-0903wb-83-14272,9931,0
201,clueweb12-0700tw-69-23823,9930,0
201,clueweb12-1614wb-06-31862,9929,1
201,clueweb12-0717wb-19-00919,9928,0
201,clueweb12-0900tw-34-09743,9927,1
201,clueweb12-1209wb-13-15239,9926,1
201,clueweb12-1700tw-26-08380,9925,0
201,clueweb12-0400tw-34-18994,9924,0
201,clueweb12-0700tw-43-07348,9923,1
201,clueweb12-1614wb-70-00540,9922,0
201,clueweb12-1712wb-91-13618,9921,0
201,clueweb12-0716wb-29-07845,9920,0
201,clueweb12-1200tw-97-03041,9919,0
201,clueweb12-0901tw-05-09301,9918,0
201,clueweb12-0901tw-08-02360,9917,0
201,clueweb12-1305wb-52-24223,9916,1
201,clueweb12-1108wb-74-23894,9915,1
201,clueweb12-1002wb-72-01553,9914,0
201,clueweb12-1003wb-73-00199,9913,1
201,clueweb12-0400tw-34-18993,9912,0
201,clueweb12-1400tw-43-02425,9911,0
201,clueweb12-1800wb-33-07099,9910,0
201,clueweb12-0800wb-08-03208,9909,0
201,clueweb12-1613wb-37-28549,9908,1
201,clueweb12-0917wb-95-01701,9907,0
201,clueweb12-1311wb-95-01609,9906,0
201,clueweb12-0500tw-12-01033,9905,1
201,clueweb12-0500tw-12-01032,9904,1
201,clueweb12-0911wb-85-04109,9903,0
201,clueweb12-0500tw-09-16892,9902,1
201,clueweb12-1700tw-18-11287,9901,1
201,clueweb12-0500tw-09-16891,9900,1
201,clueweb12-0401tw-11-14737,9899,0
201,clueweb12-0716wb-86-24650,9898,0
201,clueweb12-1110wb-50-22106,9897,0
201,clueweb12-1900tw-10-08470,9896,0
201,clueweb12-0700tw-32-01813,9895,0
201,clueweb12-0712wb-13-29041,9894,1
201,clueweb12-0700tw-79-17969,9893,1
201,clueweb12-0700tw-77-17133,9892,1
201,clueweb12-0700tw-79-17968,9891,1
201,clueweb12-0700tw-79-17919,9890,1
201,clueweb12-0500tw-09-13741,9889,0
201,clueweb12-0900wb-35-34763,9888,0
201,clueweb12-1003wb-81-21033,9887,0
201,clueweb12-1006wb-62-00002,9886,0
201,clueweb12-0800wb-08-03220,9885,0
201,clueweb12-1712wb-91-26912,9884,1
201,clueweb12-0900tw-97-01725,9883,1
201,clueweb12-0915wb-93-18993,9882,0
201,clueweb12-0915wb-93-18992,9881,0
201,clueweb12-0506wb-90-23810,9880,1
201,clueweb12-0700tw-34-04868,9879,0
201,clueweb12-1101tw-01-19930,9878,0
201,clueweb12-0300tw-57-15513,9877,1
201,clueweb12-0904wb-71-24472,9876,1
201,clueweb12-0401tw-04-17497,9875,0
201,clueweb12-0904wb-71-24465,9874,1
201,clueweb12-1700tw-61-18730,9873,0
201,clueweb12-1700tw-10-11258,9872,0
201,clueweb12-1700tw-10-11259,9871,0
201,clueweb12-0003wb-30-34010,9870,0
201,clueweb12-0100tw-31-09278,9869,0
201,clueweb12-1108wb-64-22709,9868,0
201,clueweb12-1613wb-51-20021,9867,0
201,clueweb12-1004wb-86-06245,9866,0
201,clueweb12-0500tw-25-18632,9865,1
201,clueweb12-1600tw-05-09082,9864,0
201,clueweb12-1205wb-71-01017,9863,1
201,clueweb12-0916wb-64-06413,9862,0
201,clueweb12-0904wb-85-19637,9861,1
201,clueweb12-0400tw-95-07994,9860,0
201,clueweb12-1000tw-22-03753,9859,0
201,clueweb12-1008wb-08-28090,9858,0
201,clueweb12-0901wb-03-30704,9857,0
201,clueweb12-1102wb-91-12621,9856,1
201,clueweb12-0711wb-28-10457,9855,0
201,clueweb12-1500tw-27-08186,9854,0
201,clueweb12-0100tw-10-22947,9853,0
201,clueweb12-0800wb-08-03217,9852,0
201,clueweb12-0100tw-30-01505,9851,0
201,clueweb12-1310wb-69-24280,9850,0
201,clueweb12-1105wb-25-18477,9849,0
201,clueweb12-0100tw-31-09279,9848,0
201,clueweb12-1101tw-12-13837,9847,0
201,clueweb12-1314wb-64-13207,9846,0
201,clueweb12-0400tw-94-16895,9845,0
201,clueweb12-0800tw-03-03327,9844,0
201,clueweb12-0400tw-96-16373,9843,0
201,clueweb12-0400tw-94-16896,9842,0
201,clueweb12-0401tw-04-20151,9841,0
201,clueweb12-0209wb-62-29857,9840,1
201,clueweb12-0400tw-96-16371,9839,0
201,clueweb12-0401tw-05-05924,9838,0
201,clueweb12-1705wb-23-29899,9837,0
201,clueweb12-0400tw-98-16383,9836,0
201,clueweb12-0400tw-96-16372,9835,0
201,clueweb12-1804wb-55-03024,9834,0
201,clueweb12-1804wb-47-11412,9833,1
201,clueweb12-0401tw-13-12471,9832,0
201,clueweb12-1100tw-21-09541,9831,0
201,clueweb12-0909wb-00-00636,9830,0
201,clueweb12-0401tw-00-11091,9829,1
201,clueweb12-0400tw-94-01823,9828,0
201,clueweb12-0915wb-93-18991,9827,0
201,clueweb12-1500wb-90-14401,9826,0
201,clueweb12-1705wb-52-15495,9825,0
201,clueweb12-0900tw-60-12948,9824,0
201,clueweb12-1602wb-55-25975,9823,1
201,clueweb12-1900tw-06-00492,9822,0
201,clueweb12-0401tw-16-02546,9821,1
201,clueweb12-0714wb-69-15706,9820,0
201,clueweb12-1900tw-18-06025,9819,0
201,clueweb12-0401tw-16-02548,9818,1
201,clueweb12-1600tw-46-21860,9817,0
201,clueweb12-0401tw-16-02547,9816,1
201,clueweb12-0401tw-17-04167,9815,1
201,clueweb12-0711wb-28-10459,9814,0
201,clueweb12-0800wb-08-03225,9813,0
201,clueweb12-1309wb-69-26514,9812,0
201,clueweb12-1000wb-47-19725,9811,0
201,clueweb12-1315wb-02-05673,9810,0
201,clueweb12-0604wb-15-07995,9809,0
201,clueweb12-0603wb-59-05160,9808,1
201,clueweb12-0401tw-14-19277,9807,0
201,clueweb12-0401tw-14-19276,9806,0
201,clueweb12-0800tw-89-00824,9805,0
201,clueweb12-0401tw-14-19279,9804,0
201,clueweb12-0401tw-14-19278,9803,0
201,clueweb12-0906wb-67-25268,9802,0
201,clueweb12-1500wb-22-20068,9801,0
201,clueweb12-1700tw-68-07859,9800,1
201,clueweb12-1003wb-81-25713,9799,0
201,clueweb12-0600tw-09-03553,9798,0
201,clueweb12-1007wb-48-27054,9797,0
201,clueweb12-1006wb-61-32731,9796,0
201,clueweb12-0915wb-07-09887,9795,1
201,clueweb12-1500tw-87-15656,9794,0
201,clueweb12-1500tw-87-15657,9793,0
201,clueweb12-0401tw-04-17105,9792,0
201,clueweb12-0919wb-65-14062,9791,0
201,clueweb12-0918wb-28-12620,9790,0
201,clueweb12-0917wb-62-26457,9789,0
201,clueweb12-1001wb-00-09025,9788,0
201,clueweb12-1000wb-47-19727,9787,0
201,clueweb12-0907wb-95-27054,9786,1
201,clueweb12-1108wb-64-22701,9785,0
201,clueweb12-1800wb-58-17904,9784,0
201,clueweb12-0700tw-19-17822,9783,0
201,clueweb12-0800wb-08-03212,9782,0
201,clueweb12-0700tw-19-17823,9781,0
201,clueweb12-0700tw-19-17824,9780,0
201,clueweb12-1800wb-22-24229,9779,0
201,clueweb12-0900tw-32-16590,9778,0
201,clueweb12-1700tw-05-04365,9777,0
201,clueweb12-0909wb-23-16147,9776,0
201,clueweb12-1800wb-26-00411,9775,0
201,clueweb12-1206wb-96-00963,9774,0
201,clueweb12-1013wb-54-08399,9773,0
201,clueweb12-1505wb-10-16652,9772,0
201,clueweb12-0800tw-89-00823,9771,0
201,clueweb12-1020wb-30-13013,9770,0
201,clueweb12-1020wb-49-10772,9769,0
201,clueweb12-0400tw-96-10306,9768,0
201,clueweb12-0600tw-21-07819,9767,0
201,clueweb12-1900tw-36-02558,9766,0
201,clueweb12-1003wb-43-21106,9765,0
201,clueweb12-1003wb-43-21105,9764,0
201,clueweb12-0401tw-08-01300,9763,0
201,clueweb12-0916wb-36-10656,9762,0
201,clueweb12-1003wb-94-01406,9761,0
201,clueweb12-1200tw-80-04767,9760,0
201,clueweb12-1900wb-48-21594,9759,0
201,clueweb12-0800tw-34-12700,9758,0
201,clueweb12-0800tw-20-11696,9757,1
201,clueweb12-1200tw-71-02411,9756,0
201,clueweb12-0500tw-05-25109,9755,0
201,clueweb12-0800tw-05-18710,9754,1
201,clueweb12-1610wb-56-05498,9753,0
201,clueweb12-0908wb-09-14786,9752,1
