topic,doc,score,rel
201,clueweb12-0916wb-56-28701,-7.8098135,2
201,clueweb12-0915wb-93-12188,-7.8109217,2
201,clueweb12-0917wb-42-14097,-7.81203,2
201,clueweb12-1613wb-41-04806,-8.007625,2
201,clueweb12-0916wb-37-04526,-8.161304,1
201,clueweb12-0700tw-77-17133,-8.481902,1
201,clueweb12-0700tw-79-17968,-8.4828,1
201,clueweb12-0700tw-79-17969,-8.4828,1
201,clueweb12-0700tw-79-17919,-8.485488,1
201,clueweb12-1602wb-55-25975,-8.716795,1
201,clueweb12-1100tw-40-07793,-8.925308,0
201,clueweb12-0400tw-96-22359,-9.085264,1
201,clueweb12-0509wb-52-08605,-9.110945,1
201,clueweb12-0108wb-86-18203,-9.11692,2
201,clueweb12-1200tw-93-12198,-9.152187,1
201,clueweb12-1200tw-93-12199,-9.152187,1
201,clueweb12-1200tw-74-09560,-9.158242,1
201,clueweb12-1913wb-33-03742,-9.17555,1
201,clueweb12-1800tw-45-19214,-9.188553,1
201,clueweb12-0400tw-96-22361,-9.208882,0
201,clueweb12-0400tw-96-22362,-9.208882,0
201,clueweb12-0400tw-96-22363,-9.208882,0
201,clueweb12-0400tw-96-22364,-9.208882,0
201,clueweb12-0400tw-98-19394,-9.208882,1
201,clueweb12-0400tw-98-19395,-9.208882,1
201,clueweb12-0400tw-96-22360,-9.209715,0
201,clueweb12-0400tw-95-01239,-9.376697,0
201,clueweb12-0400tw-96-22358,-9.376697,1
201,clueweb12-0810wb-31-23222,-9.386,0
201,clueweb12-0400tw-95-01237,-9.502768,0
201,clueweb12-1900tw-61-06687,-9.585826,1
201,clueweb12-0800wb-28-00240,-9.588724,0
201,clueweb12-0800tw-22-14399,-9.611351,0
201,clueweb12-0800tw-22-14401,-9.613711,0
201,clueweb12-0800tw-22-14402,-9.613711,0
201,clueweb12-0000tw-18-18433,-9.6157875,0
201,clueweb12-1006wb-74-15153,-9.644581,0
201,clueweb12-0500wb-18-18187,-9.665524,0
201,clueweb12-1613wb-41-04807,-9.745787,0
201,clueweb12-1500tw-96-17987,-9.763886,0
201,clueweb12-1305wb-59-01495,-9.782185,0
201,clueweb12-1305wb-59-01481,-9.786102,0
201,clueweb12-0500tw-24-17339,-9.848728,0
201,clueweb12-1600tw-05-15034,-9.850037,0
201,clueweb12-1600tw-39-02348,-9.851263,0
201,clueweb12-1600tw-22-10131,-9.8524885,0
201,clueweb12-1506wb-03-23214,-9.852879,0
201,clueweb12-1500tw-89-03170,-9.8549385,0
201,clueweb12-0600tw-00-01454,-9.882191,0
201,clueweb12-1500tw-89-03150,-9.891325,1
201,clueweb12-1700tw-46-13064,-9.942344,0
201,clueweb12-1005wb-42-13094,-10.009632,0
201,clueweb12-1200tw-02-14734,-10.040273,0
201,clueweb12-1007wb-42-30064,-10.041317,0
201,clueweb12-1007wb-79-19947,-10.041317,0
201,clueweb12-0920wb-00-05702,-10.095825,0
201,clueweb12-1000wb-85-20003,-10.095825,0
201,clueweb12-1005wb-42-13097,-10.095825,0
201,clueweb12-1202wb-96-11503,-10.11217,0
201,clueweb12-1600tw-40-07412,-10.120876,0
201,clueweb12-0600wb-39-32146,-10.125267,0
201,clueweb12-1613wb-41-04808,-10.129372,0
201,clueweb12-0700tw-41-03007,-10.150398,0
201,clueweb12-0400tw-99-11842,-10.158056,0
201,clueweb12-0918wb-07-05658,-10.213503,0
201,clueweb12-0506wb-95-29597,-10.239576,0
201,clueweb12-0400tw-96-22365,-10.260116,0
201,clueweb12-0811wb-92-06590,-10.266514,0
201,clueweb12-1003wb-80-20536,-10.28912,0
201,clueweb12-0600tw-25-09397,-10.306065,0
201,clueweb12-1003wb-81-21031,-10.332745,0
201,clueweb12-1900wb-22-20932,-10.335839,0
201,clueweb12-1215wb-31-04593,-10.346813,0
201,clueweb12-0401tw-08-19983,-10.35893,0
201,clueweb12-0500tw-17-04967,-10.494057,0
