topic,doc,score,rel
251,clueweb12-0300wb-12-05329,-4.79963128,2
251,clueweb12-0112wb-19-18184,-4.96327741,1
251,clueweb12-0502wb-67-05728,-5.01563991,1
251,clueweb12-0915wb-99-28778,-5.10226138,1
251,clueweb12-0206wb-59-32292,-5.12131027,2
251,clueweb12-0815wb-04-10004,-5.13322817,0
251,clueweb12-0207wb-62-25632,-5.19963672,2
251,clueweb12-1010wb-62-03635,-5.20847582,1
251,clueweb12-0816wb-21-20063,-5.22970774,1
251,clueweb12-0208wb-03-15044,-5.26700885,0
251,clueweb12-1806wb-69-16614,-5.29535006,0
251,clueweb12-0703wb-79-27204,-5.32744581,1
251,clueweb12-0817wb-07-26414,-5.32894355,1
251,clueweb12-0009wb-90-28282,-5.33364741,1
251,clueweb12-0009wb-84-05364,-5.33632116,1
251,clueweb12-1909wb-89-25389,-5.382303,0
251,clueweb12-0001wb-61-23921,-5.39824183,1
251,clueweb12-0208wb-52-10624,-5.40610755,2
251,clueweb12-0916wb-32-23757,-5.41687857,1
251,clueweb12-0109wb-83-30574,-5.43703677,1
251,clueweb12-0011wb-75-19466,-5.43807912,1
251,clueweb12-0409wb-81-30422,-5.44300493,1
251,clueweb12-0308wb-28-03934,-5.45662232,1
251,clueweb12-0100wb-13-13091,-5.45795633,1
251,clueweb12-0005wb-98-17917,-5.46238801,1
251,clueweb12-0402wb-83-04992,-5.47997165,0
251,clueweb12-0406wb-20-03427,-5.48897371,0
251,clueweb12-0103wb-79-19974,-5.4944601,0
251,clueweb12-0816wb-26-00115,-5.49674557,0
251,clueweb12-0402wb-75-37764,-5.50371419,0
251,clueweb12-0307wb-15-29773,-5.50460426,1
251,clueweb12-0200tw-36-12984,-5.50730982,2
251,clueweb12-0208wb-60-20497,-5.51246112,1
251,clueweb12-0816wb-21-20062,-5.51750325,0
251,clueweb12-0609wb-95-11199,-5.5251565,0
251,clueweb12-0607wb-67-34592,-5.52526011,0
251,clueweb12-0104wb-06-11719,-5.53471569,0
251,clueweb12-0913wb-75-00556,-5.53526176,0
251,clueweb12-0005wb-27-34013,-5.53662402,0
251,clueweb12-0101wb-93-00767,-5.53940117,1
251,clueweb12-1400wb-32-03675,-5.54004749,1
251,clueweb12-0403wb-35-05895,-5.54588597,0
251,clueweb12-0402wb-62-34222,-5.5489495,0
251,clueweb12-0610wb-12-10452,-5.55237563,0
251,clueweb12-1402wb-09-02009,-5.55479029,0
251,clueweb12-1515wb-49-02134,-5.56072526,0
251,clueweb12-0208wb-84-11884,-5.56516358,0
251,clueweb12-0106wb-07-30030,-5.56992245,0
251,clueweb12-0402wb-83-04996,-5.57066753,0
251,clueweb12-0504wb-72-27789,-5.57150963,0
251,clueweb12-0807wb-96-19628,-5.57242522,1
251,clueweb12-0808wb-06-00161,-5.57245296,1
251,clueweb12-1201wb-45-19084,-5.57871706,0
251,clueweb12-1201wb-45-19083,-5.5787297,0
251,clueweb12-0409wb-55-20757,-5.59465557,0
251,clueweb12-0816wb-26-00112,-5.59482953,0
251,clueweb12-1100tw-47-08751,-5.59931538,1
251,clueweb12-0200tw-47-17077,-5.60072075,0
251,clueweb12-0710wb-05-02052,-5.60315257,0
251,clueweb12-0403wb-50-25770,-5.61200248,0
251,clueweb12-0809wb-73-24786,-5.61576559,0
251,clueweb12-1907wb-44-16856,-5.6180483,0
251,clueweb12-1200wb-96-10641,-5.62015865,0
251,clueweb12-0402wb-55-24048,-5.62292594,0
251,clueweb12-1602wb-86-19739,-5.62340362,0
251,clueweb12-0210wb-29-15238,-5.6270914,0
251,clueweb12-0303wb-00-22262,-5.63036686,0
251,clueweb12-1709wb-19-37066,-5.63288587,1
251,clueweb12-0508wb-40-24521,-5.63581318,0
251,clueweb12-0009wb-84-05359,-5.63852891,0
251,clueweb12-0208wb-25-08664,-5.63909156,1
251,clueweb12-0703wb-81-19022,-5.63927801,0
251,clueweb12-0901wb-71-27462,-5.6393467,0
251,clueweb12-0310wb-76-07602,-5.63955251,0
251,clueweb12-0011wb-48-14024,-5.64038242,0
251,clueweb12-0008wb-78-16982,-5.6404511,0
251,clueweb12-0008wb-68-25416,-5.64148682,0
251,clueweb12-0211wb-73-14210,-5.64148682,0
251,clueweb12-0013wb-19-06381,-5.64169058,1
251,clueweb12-0500wb-13-22097,-5.642853,0
251,clueweb12-0000wb-74-21553,-5.64394185,0
251,clueweb12-0009wb-90-28286,-5.64403938,0
251,clueweb12-1609wb-24-18072,-5.64453452,0
251,clueweb12-0105wb-16-14800,-5.64516066,0
251,clueweb12-1716wb-91-07364,-5.64638641,0
251,clueweb12-1716wb-93-14086,-5.64642839,0
251,clueweb12-0008wb-85-26203,-5.64802572,0
251,clueweb12-1404wb-83-06002,-5.65236798,0
251,clueweb12-0311wb-22-01592,-5.65253742,1
251,clueweb12-1310wb-96-17369,-5.65635647,0
251,clueweb12-1000tw-36-02914,-5.66416264,0
251,clueweb12-1714wb-53-10875,-5.66457795,0
251,clueweb12-0712wb-95-02218,-5.66886384,0
251,clueweb12-1310wb-88-16275,-5.6711934,0
251,clueweb12-0607wb-35-23218,-5.67304229,0
251,clueweb12-1409wb-93-07097,-5.67672158,0
251,clueweb12-0403wb-35-05894,-5.67743415,1
251,clueweb12-0908wb-09-24494,-5.67833247,0
251,clueweb12-0915wb-75-00382,-5.68001764,0
251,clueweb12-1202wb-92-13995,-5.68474474,0
251,clueweb12-0002wb-19-01283,-5.68956846,0
251,clueweb12-1801wb-79-19145,-5.69469356,0
251,clueweb12-0302wb-50-22339,-5.69558783,1
251,clueweb12-0002wb-19-01277,-5.69705903,2
251,clueweb12-0102wb-74-15037,-5.70152685,0
251,clueweb12-1310wb-77-14925,-5.70179518,0
251,clueweb12-0210wb-36-01718,-5.70624498,0
