topic,doc,score,rel
251,clueweb12-0405wb-80-35203,-5.30411,0
251,clueweb12-0206wb-59-32292,-5.38043,2
251,clueweb12-1612wb-98-14728,-5.38482,1
251,clueweb12-1908wb-41-32483,-5.42558,0
251,clueweb12-0909wb-35-31320,-5.6123,1
251,clueweb12-0009wb-34-16768,-5.66144,1
251,clueweb12-0505wb-68-14736,-5.66185,1
251,clueweb12-0913wb-41-11258,-5.72281,0
251,clueweb12-0813wb-59-12212,-5.72365,1
251,clueweb12-0207wb-62-25632,-5.73142,2
251,clueweb12-0109wb-06-13819,-5.7331,1
251,clueweb12-0012wb-33-31849,-5.74406,1
251,clueweb12-0100wb-80-33187,-5.74406,1
251,clueweb12-0400wb-52-10850,-5.74406,1
251,clueweb12-0205wb-08-01285,-5.74702,0
251,clueweb12-0000wb-01-01996,-5.75287,1
251,clueweb12-0903wb-20-33940,-5.77072,0
251,clueweb12-1910wb-43-12565,-5.77103,1
251,clueweb12-0109wb-20-20925,-5.78446,0
251,clueweb12-0110wb-54-25957,-5.78891,2
251,clueweb12-0101wb-29-20624,-5.82411,1
251,clueweb12-0404wb-70-01801,-5.83417,1
251,clueweb12-0106wb-67-30332,-5.83864,1
251,clueweb12-1911wb-72-01937,-5.8399,2
251,clueweb12-0602wb-37-17314,-5.85179,1
251,clueweb12-1412wb-40-17283,-5.85289,1
251,clueweb12-1000wb-04-21414,-5.85433,1
251,clueweb12-0005wb-40-31709,-5.85667,2
251,clueweb12-0012wb-36-23232,-5.86551,1
251,clueweb12-0305wb-89-00946,-5.86566,1
251,clueweb12-1711wb-15-06481,-5.87473,0
251,clueweb12-1314wb-11-09087,-5.8831,0
251,clueweb12-1400tw-34-10410,-5.90036,0
251,clueweb12-0811wb-88-05165,-5.91947,0
251,clueweb12-1201wb-37-08348,-5.939,2
251,clueweb12-1201wb-37-08347,-5.93921,2
251,clueweb12-0208wb-60-20497,-5.94299,1
251,clueweb12-1405wb-73-13718,-5.94595,1
251,clueweb12-1200wb-96-10642,-5.94797,2
251,clueweb12-0009wb-84-05364,-5.95783,1
251,clueweb12-0108wb-10-15448,-5.9587,1
251,clueweb12-0112wb-19-18184,-5.96013,1
251,clueweb12-1500tw-16-12779,-5.96118,0
251,clueweb12-0208wb-52-10624,-5.96158,2
251,clueweb12-0409wb-75-31776,-5.96249,1
251,clueweb12-1201wb-26-13367,-5.9686,2
251,clueweb12-1201wb-26-13366,-5.96869,2
251,clueweb12-0104wb-74-20220,-5.96912,1
251,clueweb12-0300wb-12-05329,-5.96974,2
251,clueweb12-1804wb-20-18328,-5.9721,1
251,clueweb12-1500tw-81-14434,-5.97503,0
251,clueweb12-1906wb-13-09887,-5.979,0
251,clueweb12-1412wb-23-11167,-5.98306,1
251,clueweb12-0103wb-15-11571,-5.98616,1
251,clueweb12-1910wb-42-00582,-5.98933,1
251,clueweb12-0815wb-04-10004,-5.9989,0
251,clueweb12-0304wb-17-25958,-6.00664,1
251,clueweb12-0111wb-28-13184,-6.01031,0
251,clueweb12-1411wb-86-24278,-6.02131,1
251,clueweb12-0100wb-13-13091,-6.02372,1
251,clueweb12-1910wb-40-20285,-6.02497,0
251,clueweb12-1800tw-44-01068,-6.02507,0
251,clueweb12-1911wb-72-02488,-6.02711,1
251,clueweb12-0812wb-12-30064,-6.03049,1
251,clueweb12-0108wb-90-14061,-6.03152,1
251,clueweb12-0603wb-21-00383,-6.03224,0
251,clueweb12-0507wb-59-25913,-6.04099,0
