topic,doc,score,rel
251,clueweb12-0909wb-35-31320,-4.63766,1
251,clueweb12-0206wb-59-32292,-4.81467,2
251,clueweb12-0002wb-32-28229,-4.83503,2
251,clueweb12-0005wb-40-24623,-4.88004,1
251,clueweb12-0013wb-19-06381,-4.92391,1
251,clueweb12-0006wb-33-07815,-4.95026,1
251,clueweb12-0002wb-19-01278,-5.04006,2
251,clueweb12-0009wb-84-05364,-5.11752,1
251,clueweb12-0208wb-60-20497,-5.15279,1
251,clueweb12-0005wb-40-31709,-5.19577,2
251,clueweb12-0807wb-96-19628,-5.26795,1
251,clueweb12-0808wb-06-00161,-5.26877,1
251,clueweb12-0913wb-41-11258,-5.38505,0
251,clueweb12-0400wb-81-10184,-5.44665,1
251,clueweb12-0002wb-34-11095,-5.45954,1
251,clueweb12-0401wb-21-19311,-5.48075,1
251,clueweb12-1115wb-30-14173,-5.48213,0
251,clueweb12-0903wb-22-21102,-5.48922,1
251,clueweb12-0009wb-34-16768,-5.49253,1
251,clueweb12-0003wb-36-32607,-5.5142,2
251,clueweb12-0401wb-21-19310,-5.52528,2
251,clueweb12-0312wb-23-10073,-5.53822,2
251,clueweb12-0400wb-20-20803,-5.54921,1
251,clueweb12-0311wb-22-01592,-5.55266,1
251,clueweb12-0001wb-61-23921,-5.56268,1
251,clueweb12-0400wb-66-19727,-5.57062,0
251,clueweb12-0005wb-19-29156,-5.5716,1
251,clueweb12-0401wb-71-12147,-5.57322,1
251,clueweb12-0311wb-22-01591,-5.57335,0
251,clueweb12-0001wb-99-01299,-5.57491,1
251,clueweb12-0207wb-62-25632,-5.57585,2
251,clueweb12-0000wb-90-32205,-5.57953,2
251,clueweb12-0401wb-71-12146,-5.57991,0
251,clueweb12-0400wb-20-20802,-5.58042,0
251,clueweb12-0400wb-81-10183,-5.58814,0
251,clueweb12-0310wb-35-20046,-5.60247,0
251,clueweb12-0401wb-99-08592,-5.61939,0
251,clueweb12-1709wb-19-37066,-5.62285,1
251,clueweb12-0300wb-04-06548,-5.62494,1
251,clueweb12-0109wb-06-13819,-5.62924,1
251,clueweb12-1804wb-20-18328,-5.63079,1
251,clueweb12-0400wb-96-10515,-5.63472,0
251,clueweb12-0002wb-19-01291,-5.63797,1
251,clueweb12-0812wb-12-30062,-5.64181,0
251,clueweb12-0608wb-08-26935,-5.65026,1
251,clueweb12-1807wb-57-07572,-5.65179,0
251,clueweb12-0312wb-01-26623,-5.71088,0
251,clueweb12-0002wb-34-11084,-5.71143,1
251,clueweb12-0002wb-32-28237,-5.71232,0
251,clueweb12-0401wb-71-12159,-5.71662,1
251,clueweb12-0109wb-20-20925,-5.72745,0
251,clueweb12-0100wb-13-13091,-5.73394,1
251,clueweb12-1201wb-37-08348,-5.74612,2
251,clueweb12-1201wb-37-08347,-5.74644,2
251,clueweb12-1200wb-96-10642,-5.75852,2
251,clueweb12-0002wb-58-31899,-5.76007,1
251,clueweb12-0713wb-47-12881,-5.76295,1
251,clueweb12-0002wb-19-01284,-5.76821,0
251,clueweb12-0108wb-10-15448,-5.76919,1
251,clueweb12-1201wb-26-13366,-5.7697,2
251,clueweb12-1201wb-26-13367,-5.77002,2
251,clueweb12-0208wb-52-10624,-5.77206,2
251,clueweb12-0902wb-91-27720,-5.78249,0
251,clueweb12-0009wb-69-11954,-5.79178,0
251,clueweb12-0000wb-01-01965,-5.81053,2
251,clueweb12-0005wb-40-24616,-5.83725,2
251,clueweb12-0106wb-67-30332,-5.83909,1
251,clueweb12-1400wb-32-03675,-5.84294,1
251,clueweb12-0310wb-24-04812,-5.86139,0
251,clueweb12-0404wb-70-01801,-5.87535,1
251,clueweb12-0208wb-25-08664,-5.88166,1
251,clueweb12-0815wb-04-10004,-5.88171,0
251,clueweb12-0110wb-54-25957,-5.88686,2
251,clueweb12-0108wb-90-14061,-5.89083,1
251,clueweb12-0002wb-19-01280,-5.89264,0
251,clueweb12-0105wb-68-21953,-5.90152,0
251,clueweb12-0109wb-83-30574,-5.90476,1
251,clueweb12-0005wb-87-29993,-5.90615,1
251,clueweb12-0304wb-80-32337,-5.91364,0
251,clueweb12-0310wb-50-11456,-5.91853,1
251,clueweb12-1716wb-96-27852,-5.91915,1
251,clueweb12-0000wb-27-20097,-5.93327,1
251,clueweb12-1100tw-47-08751,-5.95691,1
251,clueweb12-0409wb-75-31776,-5.96313,1
251,clueweb12-0308wb-28-03934,-5.96831,1
251,clueweb12-0002wb-34-11076,-5.97932,1
251,clueweb12-0202wb-02-31960,-5.98683,1
251,clueweb12-0002wb-34-11090,-5.99326,0
251,clueweb12-0001wb-99-01300,-5.99517,2
251,clueweb12-0103wb-15-11571,-6.01902,1
251,clueweb12-0304wb-17-25958,-6.03414,1
251,clueweb12-0009wb-90-28283,-6.03509,0
251,clueweb12-1111wb-07-01455,-6.03951,0
251,clueweb12-0401wb-33-00517,-6.04297,0
251,clueweb12-0908wb-65-12172,-6.04346,0
251,clueweb12-0308wb-82-19161,-6.04411,0
251,clueweb12-0006wb-17-31870,-6.04554,0
251,clueweb12-0002wb-32-28230,-6.04764,0
251,clueweb12-0002wb-34-11078,-6.06809,0
251,clueweb12-0913wb-75-00559,-6.07769,0
251,clueweb12-1601wb-21-01386,-6.08057,0
251,clueweb12-0411wb-39-34709,-6.08157,1
251,clueweb12-0200wb-35-25230,-6.10243,0
251,clueweb12-0311wb-57-05415,-6.10287,0
251,clueweb12-1404wb-83-06002,-6.10388,0
251,clueweb12-1711wb-14-09039,-6.10457,0
251,clueweb12-1900tw-42-06580,-6.10607,0
251,clueweb12-0813wb-59-12212,-6.11415,1
251,clueweb12-1609wb-24-18072,-6.11616,0
251,clueweb12-0207wb-40-12012,-6.11781,1
251,clueweb12-1315wb-34-30912,-6.11781,1
251,clueweb12-0607wb-35-23218,-6.12503,0
251,clueweb12-0012wb-36-23232,-6.13081,1
251,clueweb12-0305wb-89-00946,-6.131,1
251,clueweb12-0310wb-24-04783,-6.13208,0
251,clueweb12-0206wb-69-18049,-6.1356,0
251,clueweb12-1017wb-32-24224,-6.13803,0
251,clueweb12-0008wb-68-25416,-6.1389,0
251,clueweb12-0008wb-78-16982,-6.1389,0
251,clueweb12-0011wb-48-14024,-6.1389,0
251,clueweb12-0211wb-73-14210,-6.1389,0
251,clueweb12-0703wb-81-19022,-6.1389,0
251,clueweb12-0901wb-71-27462,-6.1389,0
251,clueweb12-0305wb-83-02582,-6.1415,0
251,clueweb12-0106wb-42-30149,-6.14425,0
251,clueweb12-0107wb-85-12714,-6.14538,0
251,clueweb12-0006wb-01-08060,-6.15247,0
251,clueweb12-1801wb-79-19145,-6.15594,0
251,clueweb12-0914wb-02-27998,-6.1616,0
251,clueweb12-0607wb-67-34592,-6.1699,0
251,clueweb12-0609wb-95-11199,-6.17031,0
251,clueweb12-0703wb-79-27204,-6.17215,1
251,clueweb12-0009wb-54-29984,-6.17708,0
251,clueweb12-0009wb-54-29986,-6.17708,0
251,clueweb12-0108wb-47-01713,-6.18722,0
251,clueweb12-0303wb-53-01900,-6.19149,0
251,clueweb12-0006wb-17-31866,-6.19584,0
251,clueweb12-0500wb-43-26559,-6.19652,0
251,clueweb12-0404wb-82-28399,-6.19664,0
251,clueweb12-0000wb-90-35683,-6.1974,0
251,clueweb12-0112wb-19-18184,-6.19794,1
251,clueweb12-0907wb-44-12210,-6.19832,1
251,clueweb12-0610wb-18-06679,-6.21824,0
251,clueweb12-0407wb-62-05403,-6.2215,0
251,clueweb12-0010wb-83-10897,-6.22178,0
251,clueweb12-0409wb-81-30422,-6.22347,1
251,clueweb12-1115wb-68-00711,-6.22786,1
251,clueweb12-1000tw-36-02914,-6.22967,0
251,clueweb12-0208wb-60-20502,-6.23255,0
251,clueweb12-0407wb-62-05402,-6.23447,0
251,clueweb12-0812wb-17-23825,-6.24548,0
251,clueweb12-1101tw-18-01651,-6.24657,0
251,clueweb12-0200tw-36-12984,-6.24982,2
251,clueweb12-0302wb-50-22339,-6.25063,1
251,clueweb12-0009wb-90-28286,-6.25287,0
251,clueweb12-0915wb-99-28778,-6.25841,1
251,clueweb12-1709wb-26-01485,-6.26051,0
251,clueweb12-0009wb-90-28282,-6.2649,1
251,clueweb12-0400wb-20-20826,-6.26874,0
251,clueweb12-0301wb-31-23069,-6.27343,0
251,clueweb12-0003wb-78-11213,-6.28223,0
251,clueweb12-0009wb-69-11957,-6.2837,1
251,clueweb12-0716wb-95-23570,-6.2839,0
251,clueweb12-0710wb-68-06353,-6.28888,0
251,clueweb12-0010wb-76-27900,-6.28992,0
251,clueweb12-0000wb-90-35685,-6.29671,0
251,clueweb12-1911wb-40-14512,-6.29927,0
251,clueweb12-0410wb-27-19988,-6.29966,0
251,clueweb12-1516wb-68-11802,-6.30042,0
251,clueweb12-0211wb-77-24073,-6.30655,0
251,clueweb12-0000wb-87-06123,-6.31272,0
251,clueweb12-0000wb-27-20095,-6.31745,1
251,clueweb12-0703wb-72-29365,-6.32334,0
251,clueweb12-0100wb-52-29067,-6.32391,0
251,clueweb12-0302wb-86-30777,-6.32456,0
251,clueweb12-0406wb-03-13094,-6.32918,1
251,clueweb12-0000wb-46-08395,-6.33005,0
251,clueweb12-1409wb-93-07097,-6.3446,0
251,clueweb12-0100wb-27-31396,-6.3468,0
251,clueweb12-0104wb-57-25920,-6.34839,0
251,clueweb12-0010wb-02-19346,-6.35427,0
251,clueweb12-0009wb-84-05358,-6.35808,0
251,clueweb12-0306wb-42-18879,-6.36843,0
251,clueweb12-0200tw-34-21462,-6.36994,2
251,clueweb12-0101wb-26-24098,-6.37126,0
251,clueweb12-1909wb-89-25389,-6.37902,0
251,clueweb12-0103wb-87-18858,-6.37906,0
251,clueweb12-0004wb-23-14375,-6.37974,0
251,clueweb12-0005wb-98-17917,-6.38409,1
251,clueweb12-0901wb-75-28632,-6.39293,0
251,clueweb12-1303wb-19-31006,-6.39402,0
251,clueweb12-1712wb-52-01694,-6.39536,0
