topic,doc,score,rel
251,clueweb12-0112wb-19-18184,2.28974,1
251,clueweb12-0909wb-74-24369,2.23464,0
251,clueweb12-0308wb-28-03934,2.22003,1
251,clueweb12-0909wb-74-24364,2.22003,0
251,clueweb12-0009wb-84-05364,2.21962,1
251,clueweb12-0409wb-75-31776,2.21457,1
251,clueweb12-0005wb-40-31709,2.21171,2
251,clueweb12-0914wb-02-27998,2.20683,0
251,clueweb12-0306wb-57-33461,2.2067,1
251,clueweb12-1010wb-62-03635,2.2067,1
251,clueweb12-1201wb-37-08348,2.2067,2
251,clueweb12-1201wb-37-08347,2.20666,2
251,clueweb12-1200wb-96-10642,2.19933,2
251,clueweb12-0000wb-01-01965,2.19897,2
251,clueweb12-1201wb-26-13367,2.1921,2
251,clueweb12-1201wb-26-13366,2.19142,2
251,clueweb12-1303wb-19-31006,2.18817,0
251,clueweb12-0409wb-81-30422,2.18332,1
251,clueweb12-0013wb-19-06381,2.18139,1
251,clueweb12-0001wb-61-23921,2.17849,1
251,clueweb12-0300wb-12-05329,2.17741,2
251,clueweb12-1900tw-42-06580,2.17401,0
251,clueweb12-0009wb-34-16768,2.17331,1
251,clueweb12-0005wb-87-29993,2.17056,1
251,clueweb12-0110wb-54-25957,2.16712,2
251,clueweb12-0208wb-52-10624,2.15611,2
251,clueweb12-0403wb-35-05894,2.15412,1
251,clueweb12-0713wb-47-12881,2.15155,1
251,clueweb12-0704wb-39-30115,2.15149,0
251,clueweb12-0101wb-93-00767,2.15022,1
251,clueweb12-0915wb-99-28778,2.15022,1
251,clueweb12-0607wb-35-23218,2.14901,0
251,clueweb12-0307wb-15-29773,2.14627,1
251,clueweb12-0813wb-59-12212,2.14627,1
251,clueweb12-0000wb-90-35685,2.13822,0
251,clueweb12-0403wb-50-25770,2.13695,0
251,clueweb12-0106wb-67-30331,2.13662,1
251,clueweb12-0013wb-76-23616,2.13605,0
251,clueweb12-0916wb-37-05655,2.13518,1
251,clueweb12-0815wb-04-10004,2.13494,0
251,clueweb12-0108wb-90-14061,2.1343,1
251,clueweb12-0000wb-90-35683,2.13306,0
251,clueweb12-0913wb-75-00556,2.12624,0
251,clueweb12-0402wb-83-04992,2.12614,0
251,clueweb12-0009wb-54-29986,2.12015,0
251,clueweb12-0009wb-54-29984,2.11883,0
251,clueweb12-1200wb-33-00698,2.11721,0
251,clueweb12-1400wb-32-03675,2.11721,1
251,clueweb12-0502wb-67-05728,2.11661,1
251,clueweb12-1705wb-26-05517,2.11403,0
251,clueweb12-1909wb-89-25389,2.11257,0
251,clueweb12-0302wb-50-22339,2.11254,1
251,clueweb12-1405wb-69-28551,2.11182,0
251,clueweb12-0208wb-03-15044,2.10934,0
251,clueweb12-0101wb-26-24096,2.10783,0
