topic,doc,score,rel
251,clueweb12-0206wb-59-32292,4584,2
251,clueweb12-0013wb-19-06381,4583,1
251,clueweb12-0207wb-62-25632,4582,2
251,clueweb12-0002wb-34-11095,4581,1
251,clueweb12-0703wb-79-27204,4580,1
251,clueweb12-1709wb-19-37066,4579,1
251,clueweb12-0002wb-32-28229,4578,2
251,clueweb12-0208wb-52-10624,4577,2
251,clueweb12-0002wb-19-01278,4576,2
251,clueweb12-0000wb-01-01965,4575,2
251,clueweb12-0208wb-60-20497,4574,1
251,clueweb12-0009wb-84-05364,4573,1
251,clueweb12-0100wb-13-13091,4572,1
251,clueweb12-1400wb-32-03675,4571,1
251,clueweb12-0208wb-25-08664,4570,1
251,clueweb12-1100tw-47-08751,4569,1
251,clueweb12-0300wb-04-06548,4568,1
251,clueweb12-0009wb-69-11957,4567,1
251,clueweb12-0807wb-96-19628,4566,1
251,clueweb12-0808wb-06-00161,4565,1
251,clueweb12-0112wb-19-18184,4564,1
251,clueweb12-0308wb-28-03934,4563,1
251,clueweb12-1115wb-68-00711,4562,1
251,clueweb12-0005wb-87-29993,4561,1
251,clueweb12-0913wb-75-00556,4560,0
251,clueweb12-0311wb-22-01592,4559,1
251,clueweb12-0002wb-19-01291,4558,1
251,clueweb12-0002wb-34-11084,4557,1
251,clueweb12-0002wb-34-11076,4556,1
251,clueweb12-0607wb-35-23218,4555,0
251,clueweb12-1803wb-39-14494,4554,0
251,clueweb12-0500wb-43-26559,4553,0
251,clueweb12-0915wb-99-28778,4552,1
251,clueweb12-0002wb-58-31899,4551,1
251,clueweb12-0002wb-19-01284,4550,0
251,clueweb12-0200tw-36-12984,4549,2
251,clueweb12-0002wb-34-11078,4548,0
251,clueweb12-0817wb-07-26414,4547,1
251,clueweb12-0815wb-04-10004,4546,0
251,clueweb12-1812wb-69-05591,4545,0
251,clueweb12-0409wb-81-30422,4544,1
251,clueweb12-0002wb-32-28230,4543,0
251,clueweb12-0200tw-34-21462,4542,2
251,clueweb12-0009wb-90-28283,4541,0
251,clueweb12-1716wb-96-27852,4540,1
251,clueweb12-0002wb-19-01280,4539,0
251,clueweb12-0310wb-50-11456,4538,1
251,clueweb12-1909wb-89-25389,4537,0
251,clueweb12-0101wb-26-24098,4536,0
251,clueweb12-0009wb-84-05359,4535,0
251,clueweb12-0002wb-43-36060,4534,0
251,clueweb12-0816wb-21-20062,4533,0
251,clueweb12-0001wb-61-23921,4532,1
251,clueweb12-0207wb-40-12012,4531,1
251,clueweb12-0300tw-88-06119,4530,0
251,clueweb12-0000wb-90-32205,4529,2
251,clueweb12-1404wb-83-06002,4528,0
251,clueweb12-0401wb-71-12147,4527,1
251,clueweb12-0300wb-12-05329,4526,2
251,clueweb12-1609wb-24-18072,4525,0
251,clueweb12-1315wb-34-30912,4524,1
