topic,doc,score,rel
251,clueweb12-1513wb-89-14855,-7.02194,1
251,clueweb12-0602wb-09-02477,-7.12331,0
251,clueweb12-0602wb-09-02478,-7.13687,0
251,clueweb12-0000tw-34-04382,-7.92761,1
251,clueweb12-0407wb-64-35200,-7.9635,0
251,clueweb12-0009wb-84-05357,-13.8999,0
251,clueweb12-1911wb-72-02488,-14.0487,1
251,clueweb12-0000wb-01-01965,-14.2579,2
251,clueweb12-0105wb-14-23279,-14.3715,0
251,clueweb12-0104wb-12-32057,-14.3742,0
251,clueweb12-0003wb-64-02226,-14.5029,0
251,clueweb12-0000wb-90-32205,-14.5252,2
251,clueweb12-0208wb-25-08664,-14.5719,1
251,clueweb12-0002wb-97-13206,-14.6036,2
251,clueweb12-0712wb-43-10303,-14.618,2
251,clueweb12-0704wb-57-02268,-14.6277,1
251,clueweb12-0009wb-69-11957,-14.6288,1
251,clueweb12-1200tw-14-22879,-14.6663,0
251,clueweb12-1700wb-91-30387,-14.6709,1
251,clueweb12-0005wb-40-31709,-14.6861,2
251,clueweb12-1200wb-76-01656,-14.6936,1
251,clueweb12-0000wb-48-08902,-14.6987,1
251,clueweb12-1510wb-24-25161,-14.7156,0
251,clueweb12-1713wb-01-07969,-14.7164,0
251,clueweb12-0808wb-25-17860,-14.719,0
251,clueweb12-0002wb-19-01297,-14.7195,0
251,clueweb12-0109wb-06-13820,-14.7209,0
251,clueweb12-0701wb-65-23025,-14.7209,1
251,clueweb12-0006wb-17-31876,-14.7481,1
251,clueweb12-1910wb-96-19272,-14.7558,0
251,clueweb12-0701wb-58-12445,-14.7601,0
251,clueweb12-1100tw-90-11903,-14.7727,1
251,clueweb12-0002wb-19-01277,-14.7732,2
251,clueweb12-1003wb-49-10040,-14.7763,0
251,clueweb12-0009wb-84-05364,-14.7788,1
251,clueweb12-0006wb-46-08115,-14.7833,0
251,clueweb12-0007wb-42-14374,-14.7833,0
251,clueweb12-0000wb-58-28745,-14.7837,2
251,clueweb12-0003wb-78-11217,-14.7841,0
251,clueweb12-0002wb-97-17503,-14.7853,0
251,clueweb12-0705wb-38-05838,-14.7876,0
251,clueweb12-0311wb-57-05415,-14.7903,0
251,clueweb12-0003wb-78-11219,-14.7923,0
251,clueweb12-0006wb-56-01050,-14.7924,0
251,clueweb12-0006wb-01-08059,-14.793,0
251,clueweb12-0511wb-87-20927,-14.7973,0
251,clueweb12-0005wb-65-22128,-14.7977,0
251,clueweb12-0403wb-75-05551,-14.7997,0
251,clueweb12-0108wb-84-08932,-14.8074,0
251,clueweb12-1204wb-26-00457,-14.8114,0
251,clueweb12-1218wb-26-04136,-14.8114,0
251,clueweb12-1103wb-82-03448,-14.8135,0
251,clueweb12-0311wb-57-05400,-14.8275,1
251,clueweb12-0005wb-65-22129,-14.8287,0
251,clueweb12-0311wb-68-12795,-14.8287,0
251,clueweb12-0001wb-99-01285,-14.8293,2
251,clueweb12-0801wb-39-08606,-14.8299,0
