topic,doc,score,rel
251,clueweb12-0602wb-09-02477,-7.24175,0
251,clueweb12-0602wb-09-02478,-7.32038,0
251,clueweb12-1513wb-89-14855,-7.36689,1
251,clueweb12-0407wb-64-35200,-8.11001,0
251,clueweb12-0000tw-34-04382,-8.73593,1
251,clueweb12-0009wb-84-05357,-15.7416,0
251,clueweb12-1911wb-72-02488,-16.7684,1
251,clueweb12-0003wb-64-02226,-16.9423,0
251,clueweb12-0000wb-90-32205,-16.9613,2
251,clueweb12-0000wb-01-01965,-16.9648,2
251,clueweb12-0104wb-12-32057,-17.0305,0
251,clueweb12-0701wb-58-12445,-17.062,0
251,clueweb12-0808wb-25-17860,-17.0827,0
251,clueweb12-0105wb-14-23279,-17.0986,0
251,clueweb12-1200tw-14-22879,-17.1318,0
251,clueweb12-1510wb-24-25161,-17.1516,0
251,clueweb12-0701wb-65-23025,-17.1775,1
251,clueweb12-0002wb-19-01277,-17.22,2
251,clueweb12-0001wb-99-01285,-17.2255,2
251,clueweb12-0000wb-58-28745,-17.2389,2
251,clueweb12-0205wb-94-05824,-17.2393,0
251,clueweb12-0006wb-17-31876,-17.2417,1
251,clueweb12-0109wb-74-24051,-17.2434,0
251,clueweb12-1707wb-53-08960,-17.2436,0
251,clueweb12-0112wb-44-22651,-17.2556,1
251,clueweb12-0002wb-97-13206,-17.256,2
251,clueweb12-0003wb-11-30261,-17.2602,0
251,clueweb12-0003wb-78-11217,-17.2603,0
251,clueweb12-0814wb-84-05492,-17.2624,0
251,clueweb12-0208wb-25-08664,-17.264,1
251,clueweb12-0006wb-56-01050,-17.2651,0
251,clueweb12-0006wb-01-08059,-17.2652,0
251,clueweb12-0903wb-11-08773,-17.2683,0
251,clueweb12-0002wb-43-36060,-17.2685,0
251,clueweb12-0002wb-19-01291,-17.2702,1
251,clueweb12-0704wb-57-02268,-17.2708,1
251,clueweb12-1200wb-76-01656,-17.2729,1
251,clueweb12-0002wb-34-11090,-17.2779,0
251,clueweb12-0701wb-34-17585,-17.2817,0
251,clueweb12-0003wb-78-11219,-17.2892,0
251,clueweb12-0000wb-48-08902,-17.2918,1
251,clueweb12-0311wb-57-05400,-17.2923,1
251,clueweb12-0005wb-65-22129,-17.2925,0
251,clueweb12-0206wb-73-08448,-17.2932,0
251,clueweb12-0311wb-57-05415,-17.2964,0
251,clueweb12-1910wb-96-19272,-17.3033,0
251,clueweb12-0312wb-01-26612,-17.3057,0
251,clueweb12-0511wb-87-20927,-17.307,0
251,clueweb12-0002wb-43-36056,-17.3092,0
251,clueweb12-1901wb-48-19335,-17.3097,0
251,clueweb12-0009wb-69-11957,-17.3098,1
251,clueweb12-0002wb-43-36057,-17.3138,0
251,clueweb12-0403wb-75-05551,-17.3142,0
251,clueweb12-0002wb-32-28235,-17.3206,0
251,clueweb12-0006wb-33-07813,-17.3279,0
251,clueweb12-0002wb-34-11088,-17.3358,0
251,clueweb12-0002wb-19-01297,-17.3371,0
251,clueweb12-0310wb-58-26411,-17.3425,0
251,clueweb12-0005wb-61-22247,-17.3442,0
251,clueweb12-0005wb-40-24622,-17.3463,0
251,clueweb12-0003wb-78-11216,-17.3464,0
251,clueweb12-1713wb-01-07969,-17.3501,0
251,clueweb12-0005wb-40-24619,-17.3507,0
251,clueweb12-0005wb-40-31709,-17.3509,2
251,clueweb12-0000wb-58-28748,-17.3552,0
251,clueweb12-0006wb-33-07811,-17.3555,0
251,clueweb12-0311wb-68-12795,-17.3563,0
251,clueweb12-0003wb-78-11221,-17.357,0
251,clueweb12-0006wb-56-01053,-17.357,0
251,clueweb12-0003wb-78-11214,-17.3596,0
251,clueweb12-0006wb-79-25345,-17.3604,0
251,clueweb12-0107wb-75-04367,-17.3614,0
251,clueweb12-0801wb-16-12589,-17.3632,0
251,clueweb12-0304wb-64-22424,-17.3638,0
251,clueweb12-0801wb-53-13489,-17.3643,0
251,clueweb12-0705wb-38-05838,-17.3655,0
251,clueweb12-0006wb-56-01054,-17.3658,0
251,clueweb12-1311wb-78-02668,-17.3659,1
251,clueweb12-0005wb-40-24615,-17.366,0
251,clueweb12-0311wb-57-05408,-17.3698,0
251,clueweb12-0006wb-66-11989,-17.3702,0
251,clueweb12-0005wb-51-29087,-17.3712,0
251,clueweb12-0006wb-17-31864,-17.376,0
251,clueweb12-0002wb-34-11077,-17.3761,0
251,clueweb12-0006wb-33-07815,-17.3761,1
251,clueweb12-1700wb-91-30387,-17.377,1
251,clueweb12-0006wb-56-01052,-17.3772,0
251,clueweb12-0002wb-32-28231,-17.3785,0
251,clueweb12-0005wb-65-22128,-17.3797,0
251,clueweb12-0913wb-57-15126,-17.3833,0
251,clueweb12-1509wb-83-16887,-17.3852,0
251,clueweb12-0002wb-19-01294,-17.3871,0
251,clueweb12-0011wb-02-20406,-17.3907,0
251,clueweb12-0011wb-31-27944,-17.3907,0
251,clueweb12-0011wb-31-27945,-17.3907,0
251,clueweb12-0011wb-58-35006,-17.3907,0
251,clueweb12-0810wb-41-25020,-17.3907,0
251,clueweb12-1103wb-82-03448,-17.391,0
251,clueweb12-0000wb-17-37013,-17.3911,0
251,clueweb12-0006wb-17-31865,-17.3913,0
251,clueweb12-0010wb-17-02873,-17.3914,0
251,clueweb12-0706wb-72-04680,-17.3948,1
251,clueweb12-0701wb-03-05715,-17.3987,0
251,clueweb12-0101wb-03-24053,-17.3992,0
251,clueweb12-0006wb-79-25350,-17.4007,0
251,clueweb12-0802wb-83-19437,-17.4038,0
251,clueweb12-0200wb-08-13614,-17.4042,0
251,clueweb12-0002wb-32-28238,-17.405,0
251,clueweb12-0701wb-03-05706,-17.4087,0
251,clueweb12-1410wb-51-22123,-17.4131,0
251,clueweb12-1508wb-15-03377,-17.4161,0
251,clueweb12-1509wb-41-17061,-17.4173,0
251,clueweb12-0800wb-73-14386,-17.419,0
251,clueweb12-0003wb-90-33091,-17.4195,0
251,clueweb12-0002wb-97-17503,-17.4207,0
251,clueweb12-0002wb-32-28229,-17.4241,2
251,clueweb12-0204wb-50-19122,-17.4259,0
251,clueweb12-0405wb-51-23274,-17.4262,0
251,clueweb12-0005wb-40-24614,-17.4277,0
251,clueweb12-0208wb-38-04432,-17.4318,0
251,clueweb12-0005wb-82-35760,-17.4334,0
251,clueweb12-0006wb-17-31862,-17.4337,0
251,clueweb12-0303wb-24-02909,-17.4343,0
251,clueweb12-0104wb-30-19401,-17.4358,0
251,clueweb12-0400wb-96-10515,-17.4359,0
251,clueweb12-0200tw-94-22346,-17.4365,0
251,clueweb12-0006wb-33-07812,-17.4392,0
251,clueweb12-1701wb-02-16705,-17.4408,0
251,clueweb12-1509wb-50-27965,-17.4427,0
251,clueweb12-0003wb-64-02225,-17.4431,0
251,clueweb12-0312wb-01-26611,-17.4439,0
251,clueweb12-0501wb-24-29625,-17.4447,0
251,clueweb12-0608wb-08-26935,-17.4452,1
251,clueweb12-0400wb-66-19727,-17.4456,0
251,clueweb12-0810wb-34-16143,-17.4476,0
251,clueweb12-1508wb-81-01102,-17.4477,0
251,clueweb12-1810wb-41-02131,-17.4493,0
251,clueweb12-0900tw-64-02284,-17.4538,0
251,clueweb12-0002wb-58-31921,-17.4541,0
251,clueweb12-0000wb-58-28746,-17.4546,0
251,clueweb12-0002wb-34-11093,-17.4564,0
251,clueweb12-0108wb-84-08932,-17.4571,0
251,clueweb12-1509wb-86-16966,-17.4574,0
251,clueweb12-0302wb-86-18979,-17.4597,0
251,clueweb12-0110wb-57-24715,-17.4613,0
251,clueweb12-0813wb-13-08667,-17.4615,0
251,clueweb12-0006wb-17-31867,-17.4616,0
251,clueweb12-0706wb-72-04728,-17.4623,0
251,clueweb12-0002wb-19-01285,-17.466,0
251,clueweb12-0013wb-62-19920,-17.4668,0
251,clueweb12-0712wb-43-10303,-17.468,2
251,clueweb12-1511wb-76-03879,-17.4686,0
251,clueweb12-0002wb-19-01296,-17.4712,0
251,clueweb12-0002wb-19-01293,-17.472,0
251,clueweb12-0005wb-82-35761,-17.4743,0
251,clueweb12-0006wb-17-31877,-17.4754,0
251,clueweb12-0003wb-64-02228,-17.4763,0
251,clueweb12-0310wb-68-20322,-17.4767,0
251,clueweb12-0000wb-58-28744,-17.4769,0
251,clueweb12-0709wb-45-09407,-17.4771,0
251,clueweb12-1509wb-26-16326,-17.4804,0
251,clueweb12-0801wb-90-21183,-17.4833,0
251,clueweb12-0400tw-23-03984,-17.4836,0
251,clueweb12-0001wb-69-02504,-17.4856,0
251,clueweb12-1208wb-48-07827,-17.4859,0
251,clueweb12-0000wb-58-28747,-17.4866,0
251,clueweb12-1909wb-95-24705,-17.488,1
251,clueweb12-0002wb-19-01288,-17.4882,0
251,clueweb12-0006wb-79-25349,-17.4888,0
251,clueweb12-0301wb-16-18939,-17.4901,0
251,clueweb12-0000wb-58-28749,-17.4917,0
251,clueweb12-1112wb-12-17608,-17.4917,0
251,clueweb12-1003wb-69-03060,-17.4927,0
251,clueweb12-1202wb-54-05018,-17.4973,0
251,clueweb12-1502wb-87-21221,-17.4991,0
251,clueweb12-0003wb-78-11215,-17.5067,0
251,clueweb12-0302wb-55-26691,-17.5074,0
251,clueweb12-0312wb-01-26610,-17.5076,0
251,clueweb12-0709wb-21-07596,-17.5085,1
251,clueweb12-0800tw-53-14948,-17.5087,0
251,clueweb12-0918wb-03-03941,-17.5099,0
251,clueweb12-0006wb-33-07822,-17.5113,0
251,clueweb12-0310wb-58-26406,-17.5117,0
251,clueweb12-1715wb-77-11066,-17.5159,0
251,clueweb12-0009wb-63-01886,-17.5184,0
251,clueweb12-0813wb-50-05928,-17.5198,0
251,clueweb12-0202wb-85-24366,-17.5208,0
251,clueweb12-0003wb-64-02229,-17.5219,0
251,clueweb12-0005wb-51-29086,-17.5264,0
251,clueweb12-0006wb-79-25348,-17.5269,0
251,clueweb12-0100wb-20-32293,-17.5289,0
251,clueweb12-0001wb-32-35418,-17.5308,0
251,clueweb12-1505wb-75-06624,-17.5308,0
251,clueweb12-0801wb-39-08606,-17.5317,0
251,clueweb12-0006wb-33-07821,-17.5323,0
251,clueweb12-0003wb-49-14713,-17.5324,0
251,clueweb12-1209wb-75-23763,-17.5328,0
251,clueweb12-0310wb-58-26408,-17.5352,0
251,clueweb12-0302wb-97-09564,-17.5356,0
251,clueweb12-0006wb-66-11991,-17.5358,0
251,clueweb12-0311wb-57-05399,-17.5359,0
251,clueweb12-0405wb-27-22856,-17.5389,0
251,clueweb12-0602wb-34-19697,-17.5389,0
251,clueweb12-0607wb-04-07393,-17.5389,0
251,clueweb12-0607wb-64-01838,-17.5389,0
251,clueweb12-0609wb-00-34740,-17.5389,0
251,clueweb12-1404wb-38-31163,-17.5389,0
251,clueweb12-1406wb-52-05432,-17.5389,0
251,clueweb12-1501wb-33-01162,-17.5395,0
251,clueweb12-1600wb-25-00037,-17.5399,0
251,clueweb12-0909wb-68-09520,-17.5421,0
251,clueweb12-0310wb-58-26402,-17.5424,0
251,clueweb12-0005wb-40-24621,-17.5427,0
251,clueweb12-0005wb-40-24616,-17.5431,2
251,clueweb12-0006wb-17-31875,-17.5443,0
251,clueweb12-0006wb-56-01051,-17.5444,0
251,clueweb12-0005wb-04-20807,-17.5452,0
251,clueweb12-0201wb-95-04826,-17.5466,0
251,clueweb12-0000wb-27-13526,-17.5478,0
251,clueweb12-0003wb-78-11212,-17.548,0
251,clueweb12-0808wb-26-06386,-17.5488,0
251,clueweb12-0813wb-66-04290,-17.5488,0
251,clueweb12-0006wb-79-25344,-17.5492,0
251,clueweb12-1501wb-50-09180,-17.5516,0
251,clueweb12-0002wb-19-01278,-17.5518,2
251,clueweb12-0300wb-33-25807,-17.5519,0
251,clueweb12-1510wb-85-08197,-17.5533,0
251,clueweb12-1909wb-53-10084,-17.5533,0
251,clueweb12-1914wb-11-16724,-17.5544,0
251,clueweb12-0003wb-64-02224,-17.5547,0
251,clueweb12-1204wb-49-09448,-17.5548,0
251,clueweb12-1610wb-57-26536,-17.5579,0
251,clueweb12-0006wb-66-11983,-17.5594,0
251,clueweb12-0002wb-19-01289,-17.5599,0
251,clueweb12-1707wb-50-01670,-17.5599,0
251,clueweb12-1305wb-51-26620,-17.5616,0
251,clueweb12-0707wb-35-04174,-17.5621,0
251,clueweb12-0006wb-17-31871,-17.5634,0
251,clueweb12-1514wb-25-11880,-17.5635,0
251,clueweb12-0006wb-17-31873,-17.564,0
251,clueweb12-0209wb-64-15018,-17.5643,0
251,clueweb12-1614wb-97-13969,-17.5654,0
251,clueweb12-0809wb-66-05957,-17.5656,0
251,clueweb12-0005wb-78-08076,-17.5663,0
251,clueweb12-1912wb-36-14646,-17.5664,0
251,clueweb12-0002wb-19-01292,-17.5683,0
251,clueweb12-0002wb-34-11094,-17.569,0
251,clueweb12-0001wb-04-28369,-17.5695,0
251,clueweb12-0310wb-58-26405,-17.5695,0
251,clueweb12-0004wb-71-29561,-17.5696,0
251,clueweb12-0305wb-83-02582,-17.57,0
251,clueweb12-0400wb-50-06926,-17.571,0
251,clueweb12-0106wb-42-30149,-17.5715,0
251,clueweb12-1900wb-17-07911,-17.5722,0
251,clueweb12-0900tw-57-14473,-17.5733,0
251,clueweb12-1100wb-20-13780,-17.5734,0
251,clueweb12-0302wb-95-13888,-17.5743,0
251,clueweb12-0005wb-40-24620,-17.5745,0
251,clueweb12-1705wb-16-09143,-17.5753,0
251,clueweb12-1505wb-62-14441,-17.5762,0
251,clueweb12-1500wb-85-19298,-17.5766,0
251,clueweb12-1503wb-68-15071,-17.5768,0
251,clueweb12-0703wb-49-16343,-17.5788,0
251,clueweb12-1610wb-34-27048,-17.5796,0
251,clueweb12-0302wb-17-00543,-17.58,0
251,clueweb12-0006wb-79-25347,-17.5806,0
251,clueweb12-0919wb-58-02325,-17.5809,0
251,clueweb12-1508wb-40-19536,-17.5811,0
251,clueweb12-0606wb-84-32739,-17.5814,0
251,clueweb12-1505wb-74-13978,-17.5823,0
251,clueweb12-1100wb-39-14805,-17.5825,0
251,clueweb12-0307wb-16-15572,-17.5826,0
251,clueweb12-0402wb-55-11074,-17.5827,0
251,clueweb12-0812wb-14-18227,-17.5829,0
251,clueweb12-0703wb-65-10139,-17.5831,0
251,clueweb12-0005wb-40-24617,-17.5832,0
251,clueweb12-1203wb-50-08289,-17.5833,0
251,clueweb12-1007wb-16-21449,-17.584,0
251,clueweb12-1300wb-53-24553,-17.5844,0
251,clueweb12-0006wb-17-31874,-17.5846,0
251,clueweb12-1808wb-49-24994,-17.5857,0
251,clueweb12-1901wb-83-10335,-17.5865,0
251,clueweb12-1515wb-28-14286,-17.5877,0
251,clueweb12-0306wb-39-35321,-17.5879,0
251,clueweb12-1215wb-89-04895,-17.5889,0
251,clueweb12-1316wb-49-18595,-17.589,0
251,clueweb12-1717wb-12-11114,-17.5896,0
251,clueweb12-0209wb-78-31535,-17.5902,0
251,clueweb12-0310wb-76-07602,-17.5916,0
251,clueweb12-1006wb-63-09389,-17.5925,0
251,clueweb12-1205wb-80-20239,-17.5929,0
251,clueweb12-1218wb-39-03447,-17.5931,0
251,clueweb12-1013wb-37-14846,-17.595,0
251,clueweb12-1515wb-68-06878,-17.5972,0
251,clueweb12-0818wb-78-16829,-17.5973,0
251,clueweb12-1615wb-03-01918,-17.5978,0
251,clueweb12-1911wb-72-02013,-17.5978,0
251,clueweb12-0106wb-30-28953,-17.5979,0
