topic,doc,score,rel
251,clueweb12-0001wb-99-01299,10000,1
251,clueweb12-1716wb-96-27852,9999,1
251,clueweb12-1804wb-20-18328,9998,1
251,clueweb12-0310wb-50-11456,9997,1
251,clueweb12-0308wb-28-03934,9996,1
251,clueweb12-0110wb-54-25957,9995,2
251,clueweb12-0402wb-83-04996,9994,0
251,clueweb12-1405wb-73-13718,9993,1
251,clueweb12-1300tw-50-11535,9992,1
251,clueweb12-1100tw-90-11904,9991,1
251,clueweb12-1100tw-90-11903,9990,1
251,clueweb12-0600wb-02-04095,9989,1
251,clueweb12-0002wb-32-28229,9988,2
251,clueweb12-0009wb-84-05364,9987,1
251,clueweb12-0706wb-72-04680,9986,1
251,clueweb12-0406wb-03-13094,9985,1
251,clueweb12-0709wb-21-07596,9984,1
251,clueweb12-0000wb-01-01965,9983,2
251,clueweb12-1709wb-35-20026,9982,0
251,clueweb12-0012wb-36-23232,9981,1
251,clueweb12-0710wb-27-09492,9980,1
251,clueweb12-0305wb-89-00946,9979,1
251,clueweb12-0604wb-92-22824,9978,1
251,clueweb12-0002wb-19-01278,9977,2
251,clueweb12-0600wb-02-04092,9976,2
251,clueweb12-0002wb-97-13206,9975,2
251,clueweb12-0005wb-40-24623,9974,1
251,clueweb12-0006wb-33-07815,9973,1
251,clueweb12-0706wb-72-04719,9972,1
251,clueweb12-0106wb-67-30332,9971,1
251,clueweb12-0705wb-38-05838,9970,0
251,clueweb12-1414wb-08-17160,9969,1
251,clueweb12-0706wb-72-04718,9968,0
251,clueweb12-0914wb-02-27998,9967,0
251,clueweb12-0400wb-81-10195,9966,0
251,clueweb12-0807wb-96-19628,9965,1
251,clueweb12-0808wb-06-00161,9964,1
251,clueweb12-0001wb-99-01300,9963,2
251,clueweb12-0204wb-91-12405,9962,0
251,clueweb12-0706wb-72-04717,9961,0
251,clueweb12-0103wb-15-11571,9960,1
251,clueweb12-1703wb-68-11510,9959,0
251,clueweb12-0706wb-19-10941,9958,0
251,clueweb12-0300wb-12-05329,9957,2
251,clueweb12-0013wb-19-06381,9956,1
251,clueweb12-1101tw-18-01651,9955,0
251,clueweb12-0005wb-40-31709,9954,2
251,clueweb12-0101wb-29-20624,9953,1
251,clueweb12-1115wb-68-00711,9952,1
251,clueweb12-0101wb-93-00767,9951,1
251,clueweb12-0706wb-72-04713,9950,0
251,clueweb12-1914wb-02-13062,9949,0
251,clueweb12-0400wb-20-20826,9948,0
251,clueweb12-1910wb-42-00582,9947,1
251,clueweb12-0310wb-58-26418,9946,0
251,clueweb12-0003wb-22-11553,9945,0
251,clueweb12-0609wb-12-22829,9944,0
251,clueweb12-1400wb-93-19428,9943,0
251,clueweb12-1910wb-01-02874,9942,1
251,clueweb12-0609wb-34-17116,9941,0
251,clueweb12-0600wb-16-00563,9940,0
251,clueweb12-0507wb-59-25913,9939,0
251,clueweb12-0210wb-36-01717,9938,0
251,clueweb12-0605wb-87-00910,9937,0
251,clueweb12-1111wb-07-01455,9936,0
251,clueweb12-0611wb-26-17007,9935,0
251,clueweb12-0909wb-35-31320,9934,1
251,clueweb12-0815wb-04-10004,9933,0
251,clueweb12-0700wb-08-16570,9932,0
251,clueweb12-0006wb-46-08115,9931,0
251,clueweb12-0208wb-52-10624,9930,2
251,clueweb12-0003wb-49-14717,9929,0
251,clueweb12-0210wb-29-15238,9928,0
251,clueweb12-0311wb-22-01592,9927,1
251,clueweb12-0003wb-36-32607,9926,2
251,clueweb12-0302wb-67-19179,9925,0
251,clueweb12-0919wb-83-11611,9924,0
251,clueweb12-0300wb-82-24885,9923,0
251,clueweb12-0400wb-81-10184,9922,1
251,clueweb12-0608wb-47-28526,9921,0
251,clueweb12-1100tw-47-08751,9920,1
251,clueweb12-0007wb-42-14374,9919,0
251,clueweb12-0300wb-23-27086,9918,0
251,clueweb12-0005wb-19-29156,9917,1
251,clueweb12-0000wb-90-32205,9916,2
251,clueweb12-0811wb-88-05163,9915,0
251,clueweb12-0401wb-71-12147,9914,1
251,clueweb12-0400wb-20-20803,9913,1
251,clueweb12-0305wb-40-17446,9912,0
251,clueweb12-0919wb-95-08136,9911,0
251,clueweb12-0304wb-32-15329,9910,0
251,clueweb12-0401wb-21-19310,9909,2
251,clueweb12-0009wb-90-28282,9908,1
251,clueweb12-0302wb-47-23476,9907,0
251,clueweb12-0401wb-21-19311,9906,1
251,clueweb12-1709wb-35-20020,9905,0
251,clueweb12-1600tw-16-22691,9904,0
251,clueweb12-0201wb-00-19917,9903,0
251,clueweb12-0211wb-84-22988,9902,0
251,clueweb12-0401wb-99-08592,9901,0
251,clueweb12-0400wb-81-10183,9900,0
251,clueweb12-0400wb-20-20802,9899,0
251,clueweb12-0002wb-43-36051,9898,0
251,clueweb12-0609wb-83-29025,9897,0
251,clueweb12-0304wb-27-09978,9896,0
251,clueweb12-0311wb-22-01591,9895,0
251,clueweb12-0312wb-23-10073,9894,2
251,clueweb12-0301wb-22-21733,9893,0
251,clueweb12-0203wb-12-13102,9892,0
251,clueweb12-0310wb-35-20046,9891,0
251,clueweb12-1911wb-40-14512,9890,0
251,clueweb12-0002wb-58-31899,9889,1
251,clueweb12-0109wb-84-18470,9888,0
251,clueweb12-0401wb-71-12146,9887,0
251,clueweb12-0108wb-10-15448,9886,1
251,clueweb12-0400wb-96-10515,9885,0
251,clueweb12-1714wb-07-06869,9884,0
251,clueweb12-0210wb-36-01716,9883,0
251,clueweb12-0012wb-33-31849,9882,1
251,clueweb12-0208wb-25-08664,9881,1
251,clueweb12-0205wb-09-31438,9880,0
251,clueweb12-0100wb-80-33187,9879,1
251,clueweb12-0301wb-16-18939,9878,0
251,clueweb12-0400wb-66-19727,9877,0
251,clueweb12-0609wb-23-22681,9876,0
251,clueweb12-1910wb-82-31154,9875,0
251,clueweb12-0304wb-00-07333,9874,0
251,clueweb12-0002wb-34-11093,9873,0
251,clueweb12-0300wb-19-13046,9872,0
251,clueweb12-0817wb-07-26414,9871,1
251,clueweb12-1908wb-41-32483,9870,0
251,clueweb12-0612wb-76-17886,9869,0
251,clueweb12-0007wb-42-14375,9868,0
251,clueweb12-1507wb-65-25279,9867,0
251,clueweb12-0303wb-53-01900,9866,0
251,clueweb12-0303wb-32-02867,9865,0
