topic,doc,score,rel
251,clueweb12-0308wb-28-03934,10000,1
251,clueweb12-0207wb-62-25632,9999,2
251,clueweb12-0005wb-40-31709,9998,2
251,clueweb12-0402wb-83-04992,9997,0
251,clueweb12-0110wb-54-25957,9996,2
251,clueweb12-0100wb-13-13091,9995,1
251,clueweb12-0206wb-59-32292,9994,2
251,clueweb12-0009wb-84-05364,9993,1
251,clueweb12-0000wb-01-01965,9992,2
251,clueweb12-1910wb-42-00582,9991,1
251,clueweb12-1201wb-37-08347,9990,2
251,clueweb12-1201wb-37-08348,9989,2
251,clueweb12-0013wb-19-06381,9988,1
251,clueweb12-0505wb-68-14736,9987,1
251,clueweb12-1200wb-96-10642,9986,2
251,clueweb12-0208wb-52-10624,9985,2
251,clueweb12-1909wb-95-24705,9984,1
251,clueweb12-1201wb-26-13367,9983,2
251,clueweb12-0009wb-34-16768,9982,1
251,clueweb12-0207wb-40-12012,9981,1
251,clueweb12-0002wb-19-01278,9980,2
251,clueweb12-0002wb-58-31899,9979,1
251,clueweb12-1201wb-26-13366,9978,2
251,clueweb12-1315wb-34-30912,9977,1
251,clueweb12-0208wb-25-08664,9976,1
251,clueweb12-1709wb-19-37066,9975,1
251,clueweb12-1412wb-23-11167,9974,1
251,clueweb12-0310wb-50-11456,9973,1
251,clueweb12-1911wb-72-01937,9972,2
251,clueweb12-1000wb-04-21414,9971,1
251,clueweb12-0713wb-47-12881,9970,1
251,clueweb12-0007wb-42-14376,9969,0
251,clueweb12-1412wb-40-17283,9968,1
251,clueweb12-0815wb-04-10004,9967,0
251,clueweb12-1612wb-98-14728,9966,1
251,clueweb12-0300wb-04-06548,9965,1
251,clueweb12-0002wb-32-28230,9964,0
251,clueweb12-0002wb-32-28229,9963,2
251,clueweb12-1716wb-96-27852,9962,1
251,clueweb12-1900tw-42-06580,9961,0
251,clueweb12-1910wb-43-12567,9960,0
251,clueweb12-1804wb-20-18328,9959,1
251,clueweb12-0002wb-32-28237,9958,0
251,clueweb12-0208wb-60-20497,9957,1
251,clueweb12-0002wb-34-11076,9956,1
251,clueweb12-0808wb-06-00161,9955,1
251,clueweb12-1910wb-01-02873,9954,0
251,clueweb12-1910wb-43-12562,9953,1
251,clueweb12-0405wb-80-35203,9952,0
251,clueweb12-0402wb-83-04996,9951,0
251,clueweb12-1801wb-25-07855,9950,0
251,clueweb12-1908wb-41-32483,9949,0
251,clueweb12-0002wb-34-11078,9948,0
251,clueweb12-1910wb-33-19440,9947,0
251,clueweb12-0002wb-19-01280,9946,0
251,clueweb12-0300wb-12-05329,9945,2
251,clueweb12-0002wb-97-13206,9944,2
251,clueweb12-0000wb-90-32205,9943,2
251,clueweb12-1100tw-47-08751,9942,1
251,clueweb12-0901wb-71-27462,9941,0
251,clueweb12-0011wb-48-14024,9940,0
251,clueweb12-0002wb-19-01284,9939,0
251,clueweb12-0211wb-73-14210,9938,0
251,clueweb12-1411wb-86-24278,9937,1
251,clueweb12-1910wb-01-02874,9936,1
251,clueweb12-1400wb-32-03675,9935,1
251,clueweb12-0008wb-68-25416,9934,0
251,clueweb12-0006wb-17-31866,9933,0
251,clueweb12-0600wb-02-04092,9932,2
251,clueweb12-0816wb-21-20063,9931,1
251,clueweb12-1909wb-93-02220,9930,0
251,clueweb12-0703wb-81-19022,9929,0
251,clueweb12-0005wb-19-29156,9928,1
251,clueweb12-1910wb-39-05348,9927,0
251,clueweb12-0603wb-84-08119,9926,0
251,clueweb12-0807wb-96-19628,9925,1
251,clueweb12-0000wb-01-01996,9924,1
251,clueweb12-1910wb-20-25137,9923,0
251,clueweb12-0813wb-59-12212,9922,1
251,clueweb12-0002wb-34-11095,9921,1
251,clueweb12-1017wb-32-24224,9920,0
251,clueweb12-0005wb-40-24623,9919,1
251,clueweb12-0400wb-81-10184,9918,1
251,clueweb12-1911wb-25-07300,9917,0
251,clueweb12-0400wb-20-20826,9916,0
251,clueweb12-0915wb-75-00382,9915,0
251,clueweb12-0006wb-01-08060,9914,0
251,clueweb12-0002wb-19-01291,9913,1
251,clueweb12-0311wb-22-01592,9912,1
251,clueweb12-0604wb-92-22824,9911,1
251,clueweb12-0009wb-90-28282,9910,1
251,clueweb12-1910wb-40-20285,9909,0
251,clueweb12-0401wb-71-12147,9908,1
251,clueweb12-1801wb-79-19145,9907,0
251,clueweb12-0003wb-36-32607,9906,2
251,clueweb12-1714wb-55-07815,9905,0
251,clueweb12-1910wb-87-33316,9904,0
251,clueweb12-0001wb-61-23921,9903,1
251,clueweb12-1911wb-00-30588,9902,0
251,clueweb12-1412wb-23-11168,9901,1
251,clueweb12-0401wb-99-08592,9900,0
251,clueweb12-1910wb-64-33720,9899,0
251,clueweb12-0001wb-99-01299,9898,1
251,clueweb12-0001wb-49-07903,9897,0
251,clueweb12-0002wb-34-11084,9896,1
251,clueweb12-0302wb-50-22339,9895,1
251,clueweb12-0304wb-80-32337,9894,0
251,clueweb12-1701wb-90-31942,9893,0
251,clueweb12-0005wb-40-24616,9892,2
251,clueweb12-0401wb-71-12159,9891,1
251,clueweb12-0400wb-96-10515,9890,0
251,clueweb12-0400wb-20-20803,9889,1
251,clueweb12-0109wb-83-30574,9888,1
251,clueweb12-1909wb-97-03485,9887,0
251,clueweb12-1910wb-99-10997,9886,0
251,clueweb12-0915wb-99-28778,9885,1
251,clueweb12-0003wb-49-14717,9884,0
251,clueweb12-0401wb-21-19310,9883,2
251,clueweb12-0006wb-33-07815,9882,1
251,clueweb12-0411wb-39-34709,9881,1
251,clueweb12-0400wb-81-10195,9880,0
251,clueweb12-0817wb-07-26414,9879,1
251,clueweb12-0012wb-33-31849,9878,1
251,clueweb12-0401wb-21-19311,9877,1
251,clueweb12-0907wb-44-12210,9876,1
251,clueweb12-1911wb-28-04614,9875,0
251,clueweb12-0402wb-88-16711,9874,0
251,clueweb12-1910wb-94-29223,9873,0
251,clueweb12-1910wb-96-09298,9872,0
251,clueweb12-1910wb-96-09299,9871,0
251,clueweb12-1910wb-96-09300,9870,0
251,clueweb12-1910wb-96-09301,9869,0
251,clueweb12-1910wb-96-09302,9868,0
251,clueweb12-1910wb-29-04562,9867,0
251,clueweb12-0312wb-23-10073,9866,2
251,clueweb12-1910wb-19-13815,9865,0
251,clueweb12-1414wb-69-21960,9864,0
251,clueweb12-1910wb-99-11002,9863,0
251,clueweb12-1405wb-73-13718,9862,1
251,clueweb12-1707wb-41-25499,9861,0
251,clueweb12-1801wb-38-04144,9860,0
251,clueweb12-1910wb-61-04398,9859,0
251,clueweb12-0306wb-39-35283,9858,0
251,clueweb12-0502wb-67-05728,9857,1
251,clueweb12-0402wb-88-16712,9856,0
251,clueweb12-1909wb-89-25389,9855,0
251,clueweb12-0004wb-72-02645,9854,0
251,clueweb12-0600wb-02-04095,9853,1
251,clueweb12-0101wb-93-00767,9852,1
251,clueweb12-0409wb-75-31776,9851,1
251,clueweb12-1801wb-84-04512,9850,0
251,clueweb12-0105wb-68-21953,9849,0
251,clueweb12-0402wb-88-16713,9848,0
251,clueweb12-0110wb-57-24715,9847,0
251,clueweb12-0100wb-80-33187,9846,1
251,clueweb12-1801wb-75-03214,9845,0
251,clueweb12-1911wb-19-29826,9844,0
251,clueweb12-1910wb-36-10033,9843,0
251,clueweb12-1703wb-68-11510,9842,0
251,clueweb12-1412wb-25-24561,9841,0
251,clueweb12-0909wb-35-31320,9840,1
251,clueweb12-0006wb-46-08115,9839,0
251,clueweb12-0002wb-43-36057,9838,0
251,clueweb12-0002wb-34-11090,9837,0
251,clueweb12-0005wb-87-29993,9836,1
251,clueweb12-0002wb-19-01281,9835,0
251,clueweb12-1910wb-99-11000,9834,0
251,clueweb12-1910wb-61-04397,9833,0
251,clueweb12-0007wb-42-14374,9832,0
251,clueweb12-1801wb-82-08831,9831,0
251,clueweb12-0505wb-38-17217,9830,0
251,clueweb12-0312wb-01-26623,9829,0
251,clueweb12-0009wb-69-11957,9828,1
251,clueweb12-1409wb-93-07097,9827,0
251,clueweb12-0002wb-19-01283,9826,0
251,clueweb12-0002wb-32-28236,9825,0
251,clueweb12-0003wb-09-23057,9824,0
251,clueweb12-0001wb-99-01300,9823,2
251,clueweb12-1601wb-21-01386,9822,0
251,clueweb12-1414wb-55-24601,9821,0
251,clueweb12-0309wb-27-22047,9820,0
251,clueweb12-0812wb-12-30064,9819,1
251,clueweb12-0103wb-15-11571,9818,1
251,clueweb12-1910wb-76-01078,9817,0
251,clueweb12-0606wb-82-20531,9816,2
251,clueweb12-1400tw-34-10410,9815,0
251,clueweb12-1910wb-82-31154,9814,0
251,clueweb12-1801wb-82-08830,9813,0
251,clueweb12-0504wb-72-27789,9812,0
251,clueweb12-0002wb-19-01285,9811,0
251,clueweb12-1115wb-68-00711,9810,1
251,clueweb12-0602wb-37-17314,9809,1
251,clueweb12-0916wb-37-05655,9808,1
251,clueweb12-0309wb-27-22046,9807,0
251,clueweb12-0908wb-65-12172,9806,0
251,clueweb12-0811wb-88-05163,9805,0
251,clueweb12-0112wb-44-22651,9804,1
251,clueweb12-0310wb-35-20046,9803,0
251,clueweb12-0112wb-19-18184,9802,1
251,clueweb12-0200tw-36-12984,9801,2
251,clueweb12-0002wb-19-01297,9800,0
251,clueweb12-0716wb-95-23570,9799,0
251,clueweb12-1000tw-36-02914,9798,0
251,clueweb12-0311wb-22-01591,9797,0
251,clueweb12-0006wb-17-31876,9796,1
251,clueweb12-0007wb-42-14375,9795,0
251,clueweb12-1910wb-73-22043,9794,0
251,clueweb12-0400wb-20-20802,9793,0
251,clueweb12-0401wb-71-12146,9792,0
251,clueweb12-1801wb-84-04513,9791,0
251,clueweb12-0312wb-01-26612,9790,0
251,clueweb12-1910wb-93-16031,9789,0
251,clueweb12-0110wb-93-29641,9788,0
251,clueweb12-1801wb-84-04511,9787,0
251,clueweb12-1105wb-28-07058,9786,0
251,clueweb12-0005wb-51-29090,9785,1
251,clueweb12-0400wb-81-10183,9784,0
251,clueweb12-0409wb-81-30422,9783,1
251,clueweb12-1414wb-69-21961,9782,0
251,clueweb12-0007wb-20-06819,9781,0
251,clueweb12-0400wb-66-19727,9780,0
251,clueweb12-0002wb-32-28235,9779,0
251,clueweb12-0604wb-32-24692,9778,0
251,clueweb12-0108wb-90-14061,9777,1
251,clueweb12-1910wb-86-25012,9776,0
251,clueweb12-0002wb-43-36051,9775,0
251,clueweb12-0003wb-78-11213,9774,0
251,clueweb12-0002wb-34-11093,9773,0
251,clueweb12-0002wb-32-28231,9772,0
251,clueweb12-0601wb-39-02646,9771,0
251,clueweb12-0002wb-58-31898,9770,0
251,clueweb12-0310wb-58-26418,9769,0
251,clueweb12-1911wb-72-02488,9768,1
251,clueweb12-0002wb-34-11077,9767,0
251,clueweb12-0002wb-43-36055,9766,0
251,clueweb12-0009wb-90-28283,9765,0
251,clueweb12-0000wb-87-06123,9764,0
251,clueweb12-1414wb-69-21962,9763,0
251,clueweb12-0900tw-74-12702,9762,0
251,clueweb12-0006wb-66-11990,9761,0
251,clueweb12-0002wb-19-01289,9760,0
251,clueweb12-0703wb-79-27204,9759,1
251,clueweb12-1010wb-62-03635,9758,1
251,clueweb12-1910wb-97-27253,9757,0
251,clueweb12-1908wb-51-04217,9756,0
251,clueweb12-0607wb-35-23218,9755,0
251,clueweb12-0308wb-82-19161,9754,0
251,clueweb12-0900wb-80-24908,9753,0
251,clueweb12-0500wb-13-22097,9752,0
251,clueweb12-0000wb-74-21553,9751,0
251,clueweb12-0404wb-82-28399,9750,0
251,clueweb12-0108wb-10-15448,9749,1
251,clueweb12-0006wb-01-08058,9748,0
251,clueweb12-1910wb-43-12563,9747,0
251,clueweb12-0603wb-82-13286,9746,0
251,clueweb12-0006wb-01-08059,9745,0
251,clueweb12-0103wb-87-18858,9744,0
251,clueweb12-0606wb-57-07836,9743,0
251,clueweb12-0903wb-22-21102,9742,1
251,clueweb12-0003wb-78-11215,9741,0
251,clueweb12-0610wb-45-03351,9740,0
251,clueweb12-0002wb-34-11079,9739,0
251,clueweb12-1909wb-98-15203,9738,0
251,clueweb12-0400wb-52-10850,9737,1
251,clueweb12-1909wb-31-23723,9736,0
251,clueweb12-0009wb-84-05359,9735,0
251,clueweb12-0306wb-57-33461,9734,1
251,clueweb12-1910wb-29-04564,9733,1
251,clueweb12-0812wb-74-01551,9732,0
251,clueweb12-1104wb-61-13520,9731,0
251,clueweb12-0006wb-33-07817,9730,0
251,clueweb12-1910wb-37-25683,9729,0
251,clueweb12-1708wb-36-07373,9728,0
251,clueweb12-1412wb-17-16935,9727,0
251,clueweb12-0811wb-88-05165,9726,0
251,clueweb12-0007wb-03-08733,9725,0
251,clueweb12-1909wb-98-15204,9724,0
251,clueweb12-0002wb-19-01294,9723,0
251,clueweb12-0002wb-97-13207,9722,0
251,clueweb12-1711wb-14-09039,9721,0
251,clueweb12-1910wb-33-19439,9720,0
251,clueweb12-0201wb-66-24443,9719,0
251,clueweb12-0000wb-90-35685,9718,0
251,clueweb12-0304wb-17-25958,9717,1
251,clueweb12-0712wb-43-10303,9716,2
251,clueweb12-0100wb-52-29067,9715,0
251,clueweb12-1106wb-93-15179,9714,0
251,clueweb12-0402wb-55-11074,9713,0
251,clueweb12-0206wb-69-18049,9712,0
251,clueweb12-1500tw-81-14434,9711,0
251,clueweb12-1801wb-75-03215,9710,0
251,clueweb12-0002wb-19-01277,9709,2
251,clueweb12-0816wb-93-14366,9708,0
251,clueweb12-0008wb-78-16982,9707,0
251,clueweb12-0000wb-58-28748,9706,0
251,clueweb12-1910wb-37-25684,9705,0
251,clueweb12-1910wb-43-12565,9704,1
251,clueweb12-0310wb-24-04812,9703,0
251,clueweb12-0404wb-70-01801,9702,1
251,clueweb12-0013wb-11-09202,9701,0
251,clueweb12-1500tw-16-12779,9700,0
251,clueweb12-0816wb-21-20062,9699,0
251,clueweb12-1103wb-19-00759,9698,0
251,clueweb12-0001wb-99-01285,9697,2
251,clueweb12-0200tw-47-17077,9696,0
251,clueweb12-0013wb-76-23616,9695,0
251,clueweb12-0012wb-66-08157,9694,0
251,clueweb12-0006wb-33-07812,9693,0
251,clueweb12-0404wb-37-07736,9692,0
251,clueweb12-1512wb-02-32691,9691,0
251,clueweb12-0002wb-34-11089,9690,0
251,clueweb12-1806wb-69-16614,9689,0
251,clueweb12-1310wb-25-05263,9688,0
251,clueweb12-0603wb-21-00383,9687,0
251,clueweb12-1910wb-42-00583,9686,0
251,clueweb12-0002wb-34-11092,9685,0
251,clueweb12-1412wb-40-17284,9684,0
251,clueweb12-0601wb-68-08813,9683,0
251,clueweb12-0002wb-32-28239,9682,0
251,clueweb12-0002wb-43-36052,9681,0
251,clueweb12-0002wb-43-36056,9680,0
251,clueweb12-0311wb-57-05405,9679,1
251,clueweb12-0707wb-35-04174,9678,0
251,clueweb12-0311wb-57-05415,9677,0
251,clueweb12-0311wb-57-05400,9676,1
251,clueweb12-0012wb-33-32922,9675,0
251,clueweb12-0002wb-43-36060,9674,0
251,clueweb12-0002wb-34-11094,9673,0
251,clueweb12-0002wb-19-01282,9672,0
251,clueweb12-0109wb-30-23764,9671,0
251,clueweb12-1412wb-23-11164,9670,0
251,clueweb12-0005wb-40-24620,9669,0
251,clueweb12-0310wb-76-07602,9668,0
251,clueweb12-0002wb-34-11086,9667,0
251,clueweb12-1607wb-51-07005,9666,0
251,clueweb12-0002wb-97-17503,9665,0
251,clueweb12-0006wb-66-11988,9664,0
251,clueweb12-1910wb-86-25011,9663,0
251,clueweb12-0005wb-65-22128,9662,0
251,clueweb12-0009wb-84-05358,9661,0
251,clueweb12-1714wb-53-10875,9660,0
251,clueweb12-1412wb-17-16940,9659,0
251,clueweb12-0002wb-34-11082,9658,0
251,clueweb12-0002wb-34-11085,9657,0
251,clueweb12-0002wb-97-13218,9656,0
251,clueweb12-0002wb-32-28238,9655,0
251,clueweb12-0407wb-62-05403,9654,0
251,clueweb12-0010wb-84-12030,9653,0
251,clueweb12-0309wb-27-22048,9652,1
251,clueweb12-1910wb-92-03224,9651,0
251,clueweb12-0002wb-43-36058,9650,0
251,clueweb12-0406wb-03-13094,9649,1
251,clueweb12-0716wb-72-09993,9648,0
251,clueweb12-0002wb-34-11087,9647,0
251,clueweb12-0305wb-89-00946,9646,1
251,clueweb12-1911wb-00-30592,9645,0
251,clueweb12-0002wb-19-01296,9644,0
251,clueweb12-1411wb-86-24279,9643,0
251,clueweb12-1910wb-93-16029,9642,0
251,clueweb12-0401wb-42-12358,9641,0
251,clueweb12-0305wb-40-17446,9640,0
251,clueweb12-1910wb-99-10996,9639,0
251,clueweb12-0309wb-27-22049,9638,1
251,clueweb12-0312wb-01-26610,9637,0
251,clueweb12-0200tw-34-21462,9636,2
251,clueweb12-0604wb-30-28143,9635,0
251,clueweb12-0002wb-34-11083,9634,0
251,clueweb12-0012wb-36-23232,9633,1
251,clueweb12-0005wb-98-17917,9632,1
251,clueweb12-0208wb-60-20502,9631,0
251,clueweb12-0402wb-62-34222,9630,0
251,clueweb12-1800tw-43-17302,9629,1
251,clueweb12-1003wb-74-06023,9628,0
251,clueweb12-0003wb-49-14714,9627,0
251,clueweb12-1910wb-96-09297,9626,0
251,clueweb12-0002wb-32-28233,9625,0
251,clueweb12-1111wb-07-01455,9624,0
251,clueweb12-0300wb-74-09092,9623,1
251,clueweb12-1801wb-61-02059,9622,0
251,clueweb12-1910wb-93-16030,9621,0
251,clueweb12-1516wb-68-11802,9620,0
251,clueweb12-0200tw-34-05518,9619,0
251,clueweb12-0006wb-66-11983,9618,0
251,clueweb12-0310wb-24-04813,9617,0
251,clueweb12-0005wb-40-24614,9616,0
251,clueweb12-0000wb-90-35683,9615,0
251,clueweb12-1911wb-00-30586,9614,0
251,clueweb12-0402wb-55-24048,9613,0
251,clueweb12-0002wb-34-11080,9612,0
251,clueweb12-0002wb-34-11091,9611,0
251,clueweb12-0200wb-40-19102,9610,0
251,clueweb12-0608wb-08-26935,9609,1
251,clueweb12-1412wb-17-16939,9608,0
251,clueweb12-0109wb-66-31548,9607,0
251,clueweb12-0301wb-31-23069,9606,0
251,clueweb12-1306wb-53-02204,9605,0
251,clueweb12-0003wb-38-10588,9604,0
251,clueweb12-1910wb-20-25138,9603,0
251,clueweb12-1801wb-38-04145,9602,0
251,clueweb12-0003wb-90-33094,9601,0
251,clueweb12-1910wb-62-13580,9600,0
251,clueweb12-1910wb-39-05346,9599,0
251,clueweb12-0310wb-58-26417,9598,0
251,clueweb12-0009wb-90-28285,9597,0
251,clueweb12-0301wb-77-10531,9596,0
251,clueweb12-0011wb-75-19466,9595,1
251,clueweb12-0003wb-78-11212,9594,0
251,clueweb12-1910wb-92-03221,9593,0
251,clueweb12-1217wb-78-11539,9592,0
251,clueweb12-0208wb-03-15044,9591,0
251,clueweb12-0301tw-34-12090,9590,0
251,clueweb12-0311wb-57-05417,9589,0
251,clueweb12-1911wb-71-31153,9588,0
251,clueweb12-1400wb-38-32969,9587,0
251,clueweb12-1910wb-29-04563,9586,0
251,clueweb12-0205wb-08-01285,9585,0
251,clueweb12-0604wb-50-14586,9584,0
251,clueweb12-0002wb-34-11088,9583,0
