topic,doc,score,rel
251,clueweb12-0005wb-40-31709,10000,2
251,clueweb12-0206wb-59-32292,9999,2
251,clueweb12-1100tw-47-08751,9998,1
251,clueweb12-0000wb-01-01965,9997,2
251,clueweb12-1804wb-20-18328,9996,1
251,clueweb12-0100wb-13-13091,9995,1
251,clueweb12-0207wb-62-25632,9994,2
251,clueweb12-0009wb-84-05364,9993,1
251,clueweb12-0110wb-54-25957,9992,2
251,clueweb12-0308wb-28-03934,9991,1
251,clueweb12-1315wb-34-30912,9990,1
251,clueweb12-0207wb-40-12012,9989,1
251,clueweb12-0002wb-34-11095,9988,1
251,clueweb12-0002wb-32-28229,9987,2
251,clueweb12-0907wb-44-12210,9986,1
251,clueweb12-1716wb-96-27852,9985,1
251,clueweb12-0208wb-25-08664,9984,1
251,clueweb12-0400wb-81-10184,9983,1
251,clueweb12-0001wb-61-23921,9982,1
251,clueweb12-0001wb-99-01299,9981,1
251,clueweb12-0310wb-50-11456,9980,1
251,clueweb12-0002wb-19-01278,9979,2
251,clueweb12-0002wb-19-01291,9978,1
251,clueweb12-0003wb-36-32607,9977,2
251,clueweb12-0311wb-22-01592,9976,1
251,clueweb12-1709wb-19-37066,9975,1
251,clueweb12-0909wb-35-31320,9974,1
251,clueweb12-0005wb-19-29156,9973,1
251,clueweb12-1405wb-73-13718,9972,1
251,clueweb12-0915wb-75-00382,9971,0
251,clueweb12-0401wb-71-12147,9970,1
251,clueweb12-0000wb-90-32205,9969,2
251,clueweb12-1400wb-32-03675,9968,1
251,clueweb12-0401wb-21-19311,9967,1
251,clueweb12-1000wb-04-21414,9966,1
251,clueweb12-0013wb-19-06381,9965,1
251,clueweb12-0002wb-58-31899,9964,1
251,clueweb12-0002wb-19-01284,9963,0
251,clueweb12-0908wb-65-12172,9962,0
251,clueweb12-0400wb-20-20803,9961,1
251,clueweb12-0300wb-04-06548,9960,1
251,clueweb12-0401wb-21-19310,9959,2
251,clueweb12-0402wb-83-04992,9958,0
251,clueweb12-0401wb-99-08592,9957,0
251,clueweb12-0002wb-34-11078,9956,0
251,clueweb12-1409wb-93-07097,9955,0
251,clueweb12-1909wb-95-24705,9954,1
251,clueweb12-0002wb-34-11076,9953,1
251,clueweb12-0312wb-23-10073,9952,2
251,clueweb12-0208wb-52-10624,9951,2
251,clueweb12-0505wb-68-14736,9950,1
251,clueweb12-0006wb-33-07815,9949,1
251,clueweb12-0311wb-22-01591,9948,0
251,clueweb12-0409wb-75-31776,9947,1
251,clueweb12-0400wb-20-20802,9946,0
251,clueweb12-1910wb-42-00582,9945,1
251,clueweb12-0400wb-96-10515,9944,0
251,clueweb12-0400wb-81-10183,9943,0
251,clueweb12-0306wb-39-35283,9942,0
251,clueweb12-0404wb-70-01801,9941,1
251,clueweb12-0304wb-80-32337,9940,0
251,clueweb12-0002wb-32-28230,9939,0
251,clueweb12-0401wb-71-12146,9938,0
251,clueweb12-0005wb-40-24623,9937,1
251,clueweb12-0900wb-80-24908,9936,0
251,clueweb12-0310wb-35-20046,9935,0
251,clueweb12-0400wb-66-19727,9934,0
251,clueweb12-0400wb-20-20826,9933,0
251,clueweb12-1910wb-43-12565,9932,1
251,clueweb12-0002wb-34-11084,9931,1
251,clueweb12-1908wb-51-04217,9930,0
251,clueweb12-0000wb-87-06123,9929,0
251,clueweb12-0608wb-08-26935,9928,1
251,clueweb12-0703wb-81-19022,9927,0
251,clueweb12-0901wb-71-27462,9926,0
251,clueweb12-0109wb-30-23764,9925,0
251,clueweb12-0011wb-48-14024,9924,0
251,clueweb12-0008wb-68-25416,9923,0
251,clueweb12-0211wb-73-14210,9922,0
251,clueweb12-0112wb-19-18184,9921,1
251,clueweb12-1017wb-32-24224,9920,0
251,clueweb12-0903wb-22-21102,9919,1
251,clueweb12-1306wb-53-02204,9918,0
251,clueweb12-0407wb-62-05403,9917,0
251,clueweb12-0713wb-47-12881,9916,1
251,clueweb12-0002wb-34-11090,9915,0
251,clueweb12-1910wb-29-04565,9914,0
251,clueweb12-1910wb-43-12562,9913,1
251,clueweb12-0200tw-36-12984,9912,2
251,clueweb12-1711wb-14-09039,9911,0
251,clueweb12-1115wb-68-00711,9910,1
251,clueweb12-0407wb-62-05402,9909,0
251,clueweb12-0009wb-90-28282,9908,1
251,clueweb12-1801wb-25-07855,9907,0
251,clueweb12-0009wb-34-16768,9906,1
251,clueweb12-0807wb-96-19628,9905,1
251,clueweb12-1909wb-89-25389,9904,0
251,clueweb12-0405wb-80-35203,9903,0
251,clueweb12-0808wb-06-00161,9902,1
251,clueweb12-0002wb-19-01280,9901,0
251,clueweb12-0812wb-12-30064,9900,1
251,clueweb12-0915wb-99-28778,9899,1
251,clueweb12-1910wb-22-03148,9898,0
251,clueweb12-0401wb-71-12159,9897,1
251,clueweb12-0302wb-50-22339,9896,1
251,clueweb12-1200wb-96-10642,9895,2
251,clueweb12-1201wb-26-13367,9894,2
251,clueweb12-0404wb-37-07736,9893,0
251,clueweb12-1201wb-37-08348,9892,2
251,clueweb12-0108wb-10-15448,9891,1
