topic,doc,score,rel
251,clueweb12-0206wb-59-32292,-12.891061,2
251,clueweb12-0207wb-62-25632,-13.2056465,2
251,clueweb12-0208wb-52-10624,-13.609501,2
251,clueweb12-0300wb-04-06548,-13.68894,1
251,clueweb12-1709wb-19-37066,-13.68894,1
251,clueweb12-0400wb-81-10184,-13.865715,1
251,clueweb12-0100wb-13-13091,-13.911741,1
251,clueweb12-0311wb-22-01592,-14.116793,1
251,clueweb12-0208wb-60-20497,-14.13297,1
251,clueweb12-0401wb-71-12147,-14.201762,1
251,clueweb12-0807wb-96-19628,-14.236006,1
251,clueweb12-0808wb-06-00161,-14.236006,1
251,clueweb12-0110wb-54-25957,-14.241883,2
251,clueweb12-0813wb-59-12212,-14.302824,1
251,clueweb12-0308wb-28-03934,-14.361399,1
251,clueweb12-1400wb-32-03675,-14.42,1
251,clueweb12-0817wb-07-26414,-14.685413,1
251,clueweb12-1909wb-89-25389,-14.81238,0
251,clueweb12-0208wb-25-08664,-14.837209,1
251,clueweb12-1900tw-42-06580,-14.859563,0
251,clueweb12-0112wb-19-18184,-14.90205,1
251,clueweb12-0200tw-34-21462,-14.944117,2
251,clueweb12-0200tw-36-12984,-14.95352,2
251,clueweb12-0815wb-04-10004,-14.9592905,0
251,clueweb12-0916wb-37-05655,-14.994476,1
251,clueweb12-0607wb-35-23218,-15.04558,0
251,clueweb12-0915wb-99-28778,-15.098689,1
251,clueweb12-0703wb-79-27204,-15.18629,1
251,clueweb12-1100tw-47-08751,-15.218511,1
251,clueweb12-0310wb-50-11456,-15.241987,1
251,clueweb12-1716wb-96-27852,-15.241987,1
251,clueweb12-0411wb-39-34709,-15.31712,1
251,clueweb12-0816wb-21-20063,-15.348024,1
251,clueweb12-1812wb-69-05591,-15.381329,0
251,clueweb12-0302wb-50-22339,-15.407547,1
251,clueweb12-0107wb-85-12714,-15.425364,0
251,clueweb12-0300wb-12-05329,-15.449417,2
251,clueweb12-1609wb-24-18072,-15.46164,0
251,clueweb12-0914wb-02-27998,-15.479154,0
251,clueweb12-1404wb-83-06002,-15.502456,0
251,clueweb12-0207wb-40-12012,-15.515151,1
251,clueweb12-1315wb-34-30912,-15.515151,1
251,clueweb12-1806wb-69-16614,-15.568048,0
251,clueweb12-1115wb-68-00711,-15.592315,1
251,clueweb12-0208wb-60-20502,-15.621276,0
251,clueweb12-0404wb-82-28399,-15.623788,0
251,clueweb12-1017wb-32-24224,-15.636034,0
251,clueweb12-0211wb-73-14210,-15.639866,0
251,clueweb12-0703wb-81-19022,-15.639866,0
251,clueweb12-0901wb-71-27462,-15.639866,0
251,clueweb12-1801wb-79-19145,-15.653122,0
251,clueweb12-0816wb-21-20062,-15.656794,0
251,clueweb12-0409wb-81-30422,-15.671002,1
251,clueweb12-1000tw-36-02914,-15.684265,0
251,clueweb12-0101wb-26-24098,-15.714205,0
251,clueweb12-0306wb-57-33461,-15.730137,1
251,clueweb12-1010wb-62-03635,-15.730137,1
