tau,tau_a,tau_m,tauAP,tauAP_a,tauAP_m,tauH,tauH_a,tauH_m
0.10714285714285714,0.07604776926544009,0.0502167155553597,0.11148372320786168,0.1082828423948961,0.08479084880605307,0.12180532389788722,0.04022455262106129,-0.005659744107497021
0.09807162534435261,0.10328638497653107,0.09776905229341407,0.14612266596560092,0.13549908727429197,0.12441808908104651,0.2180419904651237,0.21529251462790897,0.21368271969621305
-0.09843796050692602,-0.11104447776112514,-0.13319431279620816,-0.07677904688080253,-0.06764242778456482,-0.08520390852961195,0.013436365413204268,-0.050225728905055785,-0.08889623475955577
-0.10561179852518435,-0.08318883108799487,-0.08221731326798305,-0.06753110873012248,-0.043498814512825855,-0.04099192017909451,-0.16801701968742724,-0.16430081282517475,-0.16817320041054884
0.03415977961432507,0.012421805183199757,-0.011632145816073232,0.014542902172882854,0.008304132221409855,-0.006241944407304114,0.04088827443075735,0.01906192175359718,-0.001225133230520689
0.1565217391304348,0.16073939078365984,0.1560314859951196,0.12443303865935335,0.1271361706536423,0.12216714598743213,0.3216810370990948,0.3622415572191407,0.37231003996331125
0.04357017028772754,0.04805318138651455,0.04075834716323218,0.053536507951007756,0.06819737293368656,0.06512343763194675,0.10897653057026153,0.06742800900364217,0.03659324970008428
0.11405835543766578,0.09140504374678948,0.07379094545886519,0.11175751786387585,0.1047977395710148,0.09267240910694212,0.04800790002581643,0.023902439470636035,0.002686751918781754
0.01858064516129032,0.006745654241978872,-0.013858545015815467,0.03481985333286938,0.03340328558278653,0.018717749669484075,-0.11277996901078416,-0.15066235654825127,-0.18594719024535702
0.018658310781939896,0.04797014791170387,0.05640654789297331,-0.007047291729661182,0.023815822489849578,0.03396064335381054,-0.012449042393984788,0.025717570256788117,0.03337794648162417
-0.11395881006864989,-0.1591629676601282,-0.12243401759530226,-0.07184805467276943,-0.06582590148042168,-0.024693139042184127,0.04324212971943378,0.011215540237031783,0.02672287825806265
-0.1812555260831123,-0.2696377443047692,-0.24540901502503595,-0.1732668925608076,-0.20420537265126412,-0.15496162281982812,-0.13306353914641939,-0.2288806571721725,-0.19883504561881546
-0.11776061776061776,-0.18241013290519764,-0.17687633437345288,-0.14436329436853335,-0.18865762872872846,-0.19531113293163394,-0.06441342811496209,-0.10482807631144286,-0.11007005764165502
-0.11239669421487604,-0.1221001221001352,-0.08895609552612212,-0.08290741372332752,-0.06939625366205197,-0.04436145664546497,-0.2044078113501873,-0.20056539124917575,-0.15247932806707276
-0.1672176308539945,-0.21159951159953028,-0.2072973677352069,-0.15954697464521436,-0.19696660342243608,-0.19420347852180098,-0.15773658921964545,-0.19689891237432627,-0.18913317991300782
-0.07866145154280747,-0.08786924576399208,-0.07200324521668315,-0.058289652049072924,-0.05539189960520703,-0.04585042195598047,0.07487618807033075,0.051949402092698146,0.05937318653890666
-0.2387490465293669,-0.27623718795197627,-0.2673587563253084,-0.20065664388857282,-0.20953982408421348,-0.19373025553137205,-0.17452420607751754,-0.24786792435613753,-0.24006015472188347
0.0029498525073746312,-0.05229283990346314,-0.05085612062356119,-0.05285197161899794,-0.11420674050850926,-0.12118986075137632,-0.028276083690745822,-0.02917970102632066,9.319424819318383e-06
-0.10335790335790336,-0.1682413656212928,-0.17254434550935333,-0.13239293857209683,-0.1979255307176161,-0.22778551729652158,-0.075788848707075,-0.2455594001642383,-0.2830209124663418
-0.039190897597977246,-0.045053003533571306,-0.0097107438016525,0.008619420746747705,0.030279862487555338,0.052716133296408334,-0.14301614831452325,-0.11818361757111963,-0.06608286655514309
-0.16792479703745905,-0.194243684042228,-0.17195215626027888,-0.12046236185631007,-0.11512304979475892,-0.09514713505005759,-0.14212630332017684,-0.12882825930154548,-0.11013260969140455
-0.24874742116121426,-0.34597277007256,-0.3223638221218408,-0.22440379177164116,-0.2486535510374937,-0.19546607152334705,-0.28846788088525416,-0.36181054233106735,-0.3404223129130068
-0.07028586414896407,-0.07923384318589832,-0.07395618797977756,-0.041964062373978976,-0.03716824664873112,-0.02910155581462314,-0.0972140443204212,-0.1440482373676627,-0.15665727397841978
-0.010575112270027524,-0.09836829836830681,-0.09607481932832226,-0.016670060795395857,-0.0457655711746666,-0.005195747598603179,-0.08269992701918433,-0.19464831750339112,-0.18728060844534344
-0.15153938424630148,-0.21285556923477592,-0.2249756767584282,-0.11979838833439883,-0.18057880885677985,-0.18832196942292148,-0.22813930744208466,-0.24960091250247582,-0.2488310898247531
0.00781515460414543,0.010115842714962209,0.035670709825593234,-0.010734458161288669,-0.01673912693512616,0.004836608440375989,0.07179758815364501,0.015235736075243683,0.050790669419565566
-0.10908300738809214,-0.14900947459088354,-0.11667334898905968,-0.11356157322090106,-0.13301967744686158,-0.11012950382658784,-0.22797780271460358,-0.22962098453669189,-0.14264979224924457
-0.1488621997471555,-0.17044757817291661,-0.15527277649924554,-0.10745244415973469,-0.09404240133784929,-0.07284081636432392,-0.18539125302328366,-0.22981240694973668,-0.20068478774775325
-0.08397683397683398,-0.1205884783866543,-0.11955955658060413,-0.09290746582418913,-0.1323756230345346,-0.13371319442525473,-0.019407528076912473,-0.10189090446683857,-0.09273621728920733
-0.1063063063063063,-0.15501257635646193,-0.1560799657638868,-0.09715595203715104,-0.10576881345500559,-0.08520086269786363,0.051726420934842275,-0.003885708255378853,-0.027970358917358436
-0.1108927108927109,-0.16820149547423568,-0.1524508446413694,-0.05916440006869359,-0.0754063487703275,-0.03853904702923154,-0.2348190050223805,-0.24154501756516544,-0.2311489629753018
-0.1396829697872917,-0.1645583853376195,-0.108170041621847,-0.07462936846640286,-0.051797328278791646,0.01569341606794128,-0.2016034759666214,-0.23366731980028155,-0.15817217738759104
-0.14986225895316804,-0.16550836550838413,-0.16806816907725047,-0.11682693943271752,-0.149202217658332,-0.16887723433260712,-0.08867445770108227,-0.11783252213457103,-0.13687349955601077
-0.05399449035812672,-0.10156028368795346,-0.09236075625957896,-0.058487550309515295,-0.09389821872462828,-0.08788664159921344,-0.07488682225839448,-0.11372242070939147,-0.10938554367153352
-0.028190158465387822,-0.14790780935333459,-0.12966751918157904,-0.07001010691777104,-0.1294841565618292,-0.08373349511915149,0.0528750430743754,-0.06139873567909449,-0.041614597240032296
-0.06070485949386741,-0.07800996504797218,-0.06980392156862601,-0.033572272860566445,-0.031017517990020324,-0.010452683848534006,-0.09348750022598741,-0.18338921424118082,-0.1837408789077456
0.025617140195621797,-0.013822862575880166,-0.00479202606862217,0.007889278359546305,-0.023718520277512,-0.01796459870018029,-0.015344263378164174,-0.10649010159680947,-0.11392865354736537
-0.06855713094245204,-0.0570320628014798,-0.04014022787028602,-0.027050789350090396,0.0021411571769797454,0.03553860496344817,-0.12249218602107717,-0.1241936404618429,-0.10026224071656036
-0.06281156530408774,-0.056389766063032934,-0.025137339770267407,0.009624485038581966,0.06554385469491723,0.11036057845678031,-0.14177609556280835,-0.203343952236653,-0.20237364394054494
-0.014950730547060823,-0.02766057196437184,-0.01198131726798805,7.819270565155704e-05,-0.02113759449739648,-0.02639373674470181,0.0025333043440704897,-0.017223088900249848,0.019586146421430084
0.008085430968726163,-0.09421129917304845,-0.0871702554870838,-0.011887446533056607,-0.05952558159060807,-0.033584331831658994,0.19729206459950857,0.10400076152746446,0.0958576982623964
-0.15730027548209366,-0.1796893667861583,-0.14503894002224535,-0.07483466200981674,-0.04613393966797631,0.0033752679473204004,-0.20990073161664255,-0.20400341443140957,-0.16510254078577113
-0.05769735116706006,-0.10516653553633427,-0.11560727442839687,-0.06337188988421197,-0.08883952932010415,-0.07307847339080252,0.05279388495155126,0.030602460087762656,0.024029423576538176
-0.04269972451790634,-0.06943396226415799,-0.05945652173912971,-0.07595807779428089,-0.09919956035673509,-0.07875197338893128,-0.17934471353677459,-0.12293776511909202,-0.10942952768911725
-0.12524790236460717,-0.1990846681922364,-0.1859560978527335,-0.11561817383437377,-0.14650687404393545,-0.1216165250963519,-0.18763932726481644,-0.2031534829057971,-0.18122841767863782
-0.031240789861479518,-0.04953861097620721,-0.04421490673998391,-0.011638285392468672,-0.009563180579209286,0.012879660918486097,-0.040250366399053966,-0.10073287656902134,-0.09887914707010871
-0.12203112203112203,-0.1881936245572775,-0.1961191961191852,-0.1457012688136424,-0.21973636423074294,-0.23841363297324134,-0.20076581733210822,-0.3338189130858983,-0.3308932577368565
-0.1346326836581709,-0.17776193870279489,-0.17006122703985366,-0.10269767521784721,-0.12578776695878197,-0.10392697396806727,-0.24409999571824928,-0.26364255593834046,-0.24623043548383539
-0.08787921948440393,-0.11687984374016559,-0.12529576252957544,-0.06993401973459724,-0.08550452255714217,-0.08038335960703938,-0.20567896555394277,-0.22589974560000387,-0.21428997860171273
-0.040179910044977514,-0.0984833164813028,-0.11355480958444135,-0.0657021127458317,-0.11265150272292715,-0.1202537800355209,0.03589578154669597,0.017324033741448547,0.006961297665148015
-0.02718932443703086,-0.04488859764089502,-0.02265137215042715,0.008262006425694305,0.027519385541842536,0.06265363191767356,0.005103056227260876,-0.0051463206336550505,0.010273815287739352
-0.12975206611570247,-0.20622568093387122,-0.1791095502435618,-0.1205078241581229,-0.15585709514404447,-0.11971330176951327,-0.20462815591221606,-0.2514167359265274,-0.22173865891408567
-0.11638709677419355,-0.10279748360327759,-0.07814009661835264,-0.07682222369429599,-0.04795634139885874,-0.02296673818680019,-0.25666401314889237,-0.2449558313109527,-0.23567657764738065
-0.045115837962335724,-0.09632841078445578,-0.06883422976974417,-0.03897921382776443,-0.03258030886345963,0.016763077025349297,0.0348695013698687,-0.038961710420806143,0.002935572932016491
-0.1096894575503132,-0.19174801989318563,-0.19238135773568657,-0.11572119662343143,-0.16419019953420902,-0.13920174424006448,-0.15291662686255023,-0.22653705663539406,-0.21778839559664395
-0.09290617848970252,-0.14531612048991654,-0.1483538055976199,-0.11130555741205919,-0.15595233640654857,-0.1509151260246122,-0.19103851750759865,-0.30151047718759133,-0.3305760795658612
-0.02313305387362211,-0.04745313915406926,-0.024285201579135232,-0.04308067546574428,-0.04808864437400824,-0.02568999802233249,-0.04375006355242703,-0.12210705904832328,-0.1297516111334332
-0.005433938829374321,-0.03425635169854579,-0.03083863790865853,0.00021250261644137824,-0.016344012168831867,-0.0020356075475538448,-0.04836044117179307,-0.1123337883583211,-0.08285939634252204
-0.11759504862953139,-0.11996300700225745,-0.11731716988613404,-0.11007119968221318,-0.10264679241831437,-0.09337421634259448,0.01058985529165653,0.01875621524270499,0.033163716000938946
-0.06286102616377846,-0.051700680272113345,-0.03284624337255726,-0.048833974812230584,-0.022884637926597694,-0.00196189303638662,-0.06553647879152276,-0.023831047870898348,-0.019752391637197643
-0.054254711593375214,-0.11870955278663885,-0.11522811877759032,-0.02286467208867125,-0.039287728594154,-0.0004220293669521155,0.00976123927551861,-0.04338878556104807,-0.0464998749360883
-0.14452773613193404,-0.252739483916602,-0.2470035833436197,-0.16738830160355114,-0.21730286171522795,-0.18720550734801808,-0.15844551225528988,-0.22053288393527104,-0.21770171291052354
-0.0768983268983269,-0.12974512974513974,-0.1475565182076577,-0.07243656928069227,-0.0996896294350198,-0.09628746032231017,-0.02162524358314961,-0.04360221297346801,-0.05136893033617226
-0.05345501955671447,-0.06844670481034758,-0.05253295021550185,-0.012412908575679832,0.004851198330382469,0.037336256347098064,-0.10304080851678414,-0.09790947746363843,-0.0715705519180346
-0.11936339522546419,-0.21852603110211263,-0.2392322097378257,-0.17211787084038527,-0.2631477170836313,-0.28090540336911024,-0.1293923711351707,-0.26230681704769343,-0.2966923057274655
-0.09972451790633609,-0.10402930402931525,-0.09208400646203398,-0.06973722315141369,-0.04764011780919661,-0.029945582959408735,-0.14595382170090543,-0.24487427041866033,-0.25872670981835566
-0.10938215102974828,-0.1349884144323197,-0.10872980251346268,-0.06685164045644403,-0.05916846735296544,-0.025772814359497045,-0.2503715429261898,-0.25598135742376066,-0.18519649969163396
-0.06837606837606838,-0.11340996168583495,-0.11487889273355811,-0.0773953577765919,-0.11784610524877948,-0.11165141219690693,-0.07876582782423044,-0.11741148888473416,-0.11536488059087922
-0.10418642460371223,-0.14476865126217073,-0.14510244176256026,-0.09374723149915472,-0.11997916051719801,-0.12622445096771995,-0.08178386857764276,-0.16011305671202478,-0.14971410448902184
-0.09892435196614353,-0.09021830124284211,-0.05758419853127216,-0.0675654110575543,-0.05181991417518842,-0.029393568302440477,-0.12868811447438744,-0.10176257918774753,-0.04608211108480009
-0.11491865697473175,-0.194222599830093,-0.2079222833044558,-0.12701819315914076,-0.17789196292219453,-0.16760865531136718,-0.10646271909442506,-0.13853511909174335,-0.1443991001953331
-0.09106984969053934,-0.1997709632268904,-0.20281750725883615,-0.10892382842105845,-0.17683008560966926,-0.17113246472233057,-0.029405123233999853,-0.14658920572607112,-0.13460580911665582
-0.08792846497764531,-0.11216056670603203,-0.10983280468791903,-0.09653861628100004,-0.10919935109816252,-0.10537828354573738,-0.1303312510309779,-0.11472010172731273,-0.11729816525785024
0.0895823629871138,0.034648267586623725,0.029153169828782254,0.06456805387045826,0.024005635499310448,0.035739247298009556,-0.018861115791169603,-0.10859282252598478,-0.10709903520257749
-0.13674388674388674,-0.19703036369704796,-0.2087912087911932,-0.12232287227242707,-0.1776421062303336,-0.19126774493926801,-0.15074061311974757,-0.19259682442332995,-0.20121695535423495
0.08218202535251388,0.0665492699391077,0.0824633276067107,0.0853634322906117,0.09764845327556698,0.132923770242616,-0.003277488018053609,-0.06116207010715147,-0.026361209106984907
-0.06625118547622273,-0.11059239164722554,-0.11284302963776117,-0.09248275553639661,-0.11436754696290553,-0.10808757062040676,-0.10844007271010421,-0.1666366532636884,-0.173700334928588
-0.10875160875160875,-0.1268311790051042,-0.09036770306764906,-0.09537363262884684,-0.0974918960654072,-0.0751524059423303,-0.16361907163718248,-0.15098480691381108,-0.0956820891958018
-0.0948862813269593,-0.1017027761213906,-0.09567706842255556,-0.06028545006396678,-0.05566998489387947,-0.0400894818619505,-0.21720355029266358,-0.18057000069585824,-0.13119278906532744
-0.03946002076843198,-0.054896725045161965,-0.01306083778845431,0.03378351597224802,0.09861867848544215,0.17900231693204,0.05969156802124164,0.03355813433204104,0.05043364500858395
-0.1524979524979525,-0.22011605415862245,-0.20993166903456356,-0.14427075874000353,-0.18010626864548607,-0.16421404425914235,-0.14047601743182522,-0.15892802136645054,-0.15163987937529907
-0.039880059970014994,-0.13487511563368476,-0.1098957268452222,-0.05900261282069392,-0.08933925463190073,-0.043195310358838473,0.007381285496614406,-0.07494226050349508,-0.056087801872427054
-0.10608318656008671,-0.1590748926901326,-0.1647144538474452,-0.10087003685767976,-0.1448291363521401,-0.1497892717730711,-0.11097532955185238,-0.15624085918897246,-0.1662771288036944
-0.1001219346971955,-0.12870779678391986,-0.11605491734379154,-0.084651239867236,-0.09255494509584858,-0.06632227347295407,-0.032961887715949316,-0.03631048029329054,0.0044901153562582775
-0.1229456384323641,-0.20396523628464108,-0.17818265154119184,-0.07834205285190475,-0.08804990202260103,-0.04506651006705893,-0.038127159225060894,-0.10086952105032314,-0.08075210702367296
0.0020183201366247476,-0.005433938829374388,0.019865716065618447,0.014590479834233984,0.0325809766718846,0.07314610105958516,-0.11728832521996792,-0.10849952544498453,-0.056103870967808465
