topic,doc,score,rel
51,clueweb09-en0093-01-01638,387.634643555,1
51,clueweb09-en0050-68-38202,273.081420898,3
51,clueweb09-en0077-98-35575,257.062408447,1
51,clueweb09-en0072-32-29430,257.062408447,1
51,clueweb09-en0060-87-20845,257.034240723,0
51,clueweb09-en0007-17-32780,229.27305603,1
51,clueweb09-en0038-56-12717,216.870864868,0
51,clueweb09-en0133-98-40361,209.666519165,0
51,clueweb09-en0061-44-14823,206.355957031,0
51,clueweb09-en0107-56-25382,205.140899658,0
51,clueweb09-en0024-25-20191,193.770874023,1
51,clueweb09-en0016-79-25759,186.011154175,2
51,clueweb09-en0034-01-25342,184.547302246,0
51,clueweb09-en0030-65-32974,176.221099854,0
51,clueweb09-en0080-95-06298,175.63230896,1
51,clueweb09-en0064-31-27644,173.870132446,1
51,clueweb09-en0059-75-02177,170.16986084,1
51,clueweb09-en0039-91-14735,168.364944458,1
51,clueweb09-en0016-15-27350,165.263320923,0
51,clueweb09-en0023-89-00788,165.263320923,0
51,clueweb09-en0017-29-07888,165.263320923,0
51,clueweb09-en0064-76-35909,165.11340332,0
51,clueweb09-en0031-27-00083,164.855010986,0
51,clueweb09-en0036-38-37382,164.855010986,0
51,clueweb09-en0076-23-40592,160.53036499,1
51,clueweb09-en0016-57-25092,159.738082886,1
51,clueweb09-en0087-59-07076,156.452133179,0
51,clueweb09-en0079-11-11014,153.699905396,0
51,clueweb09-en0039-59-13035,151.257247925,0
51,clueweb09-en0011-41-17286,148.778717041,1
51,clueweb09-en0019-91-05362,146.78137207,0
51,clueweb09-en0131-72-46448,145.472885132,1
51,clueweb09-en0079-63-37807,143.957092285,0
51,clueweb09-en0011-94-02121,142.264846802,0
51,clueweb09-en0039-11-13043,140.943725586,0
51,clueweb09-en0025-28-05003,140.103118896,0
51,clueweb09-en0026-83-38386,139.52355957,2
51,clueweb09-enwp00-95-17841,139.469284058,1
51,clueweb09-enwp02-19-00937,139.453399658,1
51,clueweb09-enwp01-56-17036,139.434356689,1
51,clueweb09-enwp00-93-16535,139.427383423,1
51,clueweb09-enwp01-55-06136,138.826690674,1
51,clueweb09-en0100-25-36132,137.855133057,0
51,clueweb09-en0066-06-31258,137.356521606,0
51,clueweb09-en0097-15-08336,136.588973999,1
51,clueweb09-en0078-83-13305,136.432189941,1
51,clueweb09-en0046-71-15793,136.207611084,0
51,clueweb09-en0030-65-32869,133.861663818,1
51,clueweb09-en0038-04-00030,133.30619812,0
51,clueweb09-en0065-20-33465,132.550933838,0
51,clueweb09-en0038-56-12863,129.980239868,0
51,clueweb09-en0006-51-16125,129.439819336,1
51,clueweb09-en0092-00-03048,128.611251831,1
51,clueweb09-en0007-42-22223,128.479446411,2
51,clueweb09-en0026-83-38391,128.471374512,0
51,clueweb09-en0022-54-33118,127.040000916,0
51,clueweb09-en0045-81-05750,125.576499939,0
51,clueweb09-en0087-64-09275,125.225875854,1
51,clueweb09-en0087-59-07073,124.88356781,0
51,clueweb09-en0092-37-30641,124.88356781,0
51,clueweb09-en0078-25-12064,124.503875732,0
51,clueweb09-en0023-47-29195,124.415260315,0
51,clueweb09-en0038-56-12700,124.199203491,0
51,clueweb09-en0008-42-06337,123.32976532,1
51,clueweb09-en0036-48-05123,123.267074585,0
51,clueweb09-en0025-28-05005,122.411148071,1
51,clueweb09-en0071-23-33248,121.495422363,1
51,clueweb09-en0010-86-27052,120.025886536,1
51,clueweb09-en0082-89-42932,115.802482605,0
51,clueweb09-en0007-81-08143,115.462554932,1
51,clueweb09-en0011-41-17207,115.304206848,2
51,clueweb09-en0062-59-17622,113.241462708,0
51,clueweb09-en0133-31-45085,112.770080566,0
51,clueweb09-en0047-29-06777,112.599380493,0
51,clueweb09-en0103-70-01600,111.762016296,0
51,clueweb09-en0133-71-23355,111.36857605,1
51,clueweb09-en0040-08-35086,110.277153015,2
51,clueweb09-en0094-60-40973,109.935150146,0
51,clueweb09-en0079-45-04581,108.519859314,0
51,clueweb09-en0108-11-45302,108.418060303,0
51,clueweb09-en0053-99-10227,107.91394043,0
51,clueweb09-en0092-51-42066,106.009414673,0
51,clueweb09-en0010-85-41384,104.729469299,0
51,clueweb09-en0026-33-04012,104.406600952,0
51,clueweb09-en0060-45-14936,102.666488647,0
51,clueweb09-en0012-18-11711,102.407981873,0
51,clueweb09-en0080-79-14164,102.281745911,0
51,clueweb09-en0038-56-12782,102.061973572,0
51,clueweb09-en0122-72-02052,102.044494629,0
51,clueweb09-en0046-17-15386,101.191619873,0
51,clueweb09-en0001-12-06933,99.8070831299,0
51,clueweb09-en0050-05-02420,99.0150756836,0
51,clueweb09-en0002-05-26045,98.7819900513,0
51,clueweb09-en0019-34-06707,98.0503616333,0
51,clueweb09-en0022-59-33995,97.7694396973,1
51,clueweb09-en0065-71-15553,97.4215621948,0
51,clueweb09-en0086-48-30464,96.8492584229,1
51,clueweb09-en0088-41-19350,96.3619155884,0
51,clueweb09-en0038-56-12864,92.2379760742,0
51,clueweb09-en0118-63-21266,91.7040710449,0
51,clueweb09-en0120-52-22426,91.6453323364,0
51,clueweb09-en0047-93-43048,90.9168624878,0
51,clueweb09-en0036-55-22970,90.7054672241,0
51,clueweb09-en0011-50-29077,90.5218811035,0
51,clueweb09-en0054-79-13017,90.4597167969,1
51,clueweb09-en0072-07-13393,90.2473449707,0
51,clueweb09-en0015-88-29735,89.1903839111,0
51,clueweb09-en0026-77-09317,88.4507980347,2
51,clueweb09-en0051-93-34336,86.4271316528,0
51,clueweb09-en0116-88-12143,86.0516891479,0
51,clueweb09-en0016-56-36543,85.9476165771,0
51,clueweb09-en0073-59-23662,85.8923721313,0
51,clueweb09-en0123-38-00961,85.0095596313,0
51,clueweb09-en0012-75-08350,84.6687545776,0
51,clueweb09-en0051-88-01744,84.4352722168,0
51,clueweb09-en0011-41-17298,84.0185089111,0
51,clueweb09-en0108-00-09996,83.9709320068,0
51,clueweb09-en0033-86-32886,83.869102478,0
51,clueweb09-en0009-22-08986,83.6961517334,0
51,clueweb09-en0035-39-20872,83.637298584,0
51,clueweb09-en0011-41-17281,83.0070419312,1
51,clueweb09-en0004-36-39733,82.9575424194,1
51,clueweb09-en0079-83-16094,82.570274353,0
51,clueweb09-en0129-98-46267,82.4745025635,0
51,clueweb09-en0050-30-29300,82.4237747192,0
51,clueweb09-en0033-93-33770,82.396774292,0
51,clueweb09-en0011-91-32012,82.1276092529,0
51,clueweb09-en0120-94-10711,81.9972991943,0
51,clueweb09-en0016-57-25102,81.5242385864,1
51,clueweb09-en0016-57-25039,81.182762146,0
51,clueweb09-en0084-43-08184,81.123878479,0
51,clueweb09-en0083-84-35886,81.123878479,0
51,clueweb09-en0129-97-43220,80.6226654053,0
51,clueweb09-en0078-98-12207,80.3719024658,0
51,clueweb09-en0030-65-32863,80.3399353027,0
51,clueweb09-en0040-08-35093,80.3167800903,0
51,clueweb09-en0120-50-11341,80.0026245117,0
51,clueweb09-en0036-40-12086,79.9095153809,2
51,clueweb09-en0020-78-18382,79.87550354,0
51,clueweb09-en0073-71-05333,79.7294769287,0
51,clueweb09-en0016-57-25143,79.6022644043,0
51,clueweb09-en0106-70-10798,79.3546600342,2
51,clueweb09-en0090-58-31563,79.3435592651,0
51,clueweb09-en0065-27-19468,78.8390045166,0
51,clueweb09-en0050-11-32988,78.6575469971,0
51,clueweb09-en0114-73-15936,78.5412597656,0
51,clueweb09-en0092-66-20466,78.0742721558,0
51,clueweb09-en0030-65-32971,78.0098419189,0
51,clueweb09-en0011-95-31382,77.5389785767,0
51,clueweb09-en0065-03-10251,77.5160980225,0
51,clueweb09-en0009-85-39698,77.4346542358,1
51,clueweb09-en0022-44-22777,77.397354126,0
51,clueweb09-en0022-44-22776,77.397354126,0
51,clueweb09-en0038-70-01958,77.2798919678,0
51,clueweb09-en0029-96-05585,77.2269058228,0
51,clueweb09-en0036-10-24462,77.1973724365,0
51,clueweb09-en0132-41-08586,77.0923614502,0
51,clueweb09-en0093-38-42614,76.9874038696,0
51,clueweb09-en0079-45-04582,76.9797286987,1
51,clueweb09-en0050-83-28796,76.9516601562,0
51,clueweb09-en0099-74-27816,76.9008712769,0
51,clueweb09-en0022-59-33997,76.6184158325,0
51,clueweb09-en0038-70-02032,76.5068054199,0
51,clueweb09-en0024-23-01350,76.4583892822,0
51,clueweb09-en0030-27-27258,76.4294662476,0
51,clueweb09-en0119-36-07488,76.3790740967,0
51,clueweb09-en0101-99-12311,76.3093490601,0
51,clueweb09-en0024-01-16344,75.9569473267,0
51,clueweb09-en0021-29-20192,75.6434707642,0
51,clueweb09-en0120-55-39514,75.5769424438,0
51,clueweb09-en0105-83-09110,75.3024749756,0
51,clueweb09-en0052-11-17367,75.2900543213,0
51,clueweb09-en0022-44-22778,75.2695236206,0
51,clueweb09-en0024-98-23712,75.1091918945,0
51,clueweb09-en0106-80-07579,74.9992446899,0
51,clueweb09-en0011-41-17271,74.2350158691,0
51,clueweb09-en0008-03-24683,73.7213973999,0
51,clueweb09-en0088-68-12049,73.7023696899,0
51,clueweb09-en0011-41-17257,73.3097381592,1
51,clueweb09-en0038-51-33782,73.242767334,0
51,clueweb09-en0131-08-02622,73.1907958984,0
51,clueweb09-en0101-27-29755,72.7507247925,0
51,clueweb09-en0049-93-03361,72.5513000488,0
51,clueweb09-en0043-89-20411,72.5464019775,0
51,clueweb09-en0024-09-07435,72.5396118164,0
51,clueweb09-en0050-30-29297,72.533164978,0
51,clueweb09-en0033-70-26839,72.4929351807,0
51,clueweb09-en0006-61-04382,72.4803085327,1
51,clueweb09-en0021-93-06727,72.4061050415,0
51,clueweb09-en0131-33-24383,72.2732086182,0
51,clueweb09-en0047-29-06797,72.1494216919,1
51,clueweb09-en0047-57-29846,72.1361083984,0
51,clueweb09-en0094-45-26393,72.0865707397,0
51,clueweb09-en0121-54-25008,72.0402297974,0
51,clueweb09-en0133-98-40356,72.0190658569,0
51,clueweb09-en0104-11-12996,71.944770813,0
51,clueweb09-en0043-25-14726,71.6132354736,0
51,clueweb09-en0043-25-14727,71.6132354736,0
51,clueweb09-en0035-25-12700,71.5525360107,0
51,clueweb09-en0014-05-23193,71.5019378662,1
51,clueweb09-en0047-29-06780,71.2750396729,0
51,clueweb09-en0025-52-30225,70.6831436157,0
51,clueweb09-en0007-95-17097,69.9485244751,1
51,clueweb09-en0119-31-36183,69.7529067993,0
51,clueweb09-en0006-87-12557,69.5792694092,0
51,clueweb09-en0006-61-04389,69.4236297607,0
51,clueweb09-en0034-44-13158,69.3918685913,0
51,clueweb09-en0001-95-29833,69.3234176636,0
51,clueweb09-en0027-66-06053,69.3051834106,0
51,clueweb09-en0125-37-26424,69.2262496948,0
51,clueweb09-en0003-93-25578,69.1551208496,0
51,clueweb09-en0038-56-12712,69.1296081543,0
51,clueweb09-en0133-98-40363,69.0276412964,0
51,clueweb09-en0033-40-29181,69.0080184937,0
51,clueweb09-en0011-01-24941,68.7745666504,1
51,clueweb09-en0021-93-06733,68.6682739258,0
51,clueweb09-en0021-93-06736,68.6682739258,0
51,clueweb09-en0067-30-27632,68.6676254272,0
51,clueweb09-en0018-14-19101,68.3965911865,0
51,clueweb09-en0071-91-08218,68.389831543,0
51,clueweb09-en0066-38-29700,68.3585357666,0
51,clueweb09-en0022-64-04415,67.8910446167,0
51,clueweb09-en0058-13-20010,67.5820007324,0
51,clueweb09-en0116-50-28423,67.3845825195,0
51,clueweb09-en0038-56-12711,67.3504486084,0
51,clueweb09-en0043-25-14809,67.3147735596,0
51,clueweb09-en0029-25-09616,67.1668014526,0
51,clueweb09-en0000-25-13013,66.9691467285,0
51,clueweb09-en0022-30-37799,66.8513565063,0
51,clueweb09-en0129-05-26031,66.262878418,0
51,clueweb09-en0041-30-31889,65.6400146484,0
51,clueweb09-en0010-58-35885,65.6076431274,0
51,clueweb09-en0054-86-42536,65.5590744019,0
51,clueweb09-en0026-83-38397,65.2318267822,0
51,clueweb09-enwp00-93-16553,65.0512084961,0
51,clueweb09-en0086-83-16723,64.7710876465,0
51,clueweb09-en0078-26-14924,64.7560424805,0
51,clueweb09-en0038-56-12716,64.1988220215,0
51,clueweb09-en0038-86-23870,63.9226341248,0
51,clueweb09-en0025-28-04997,63.7602081299,0
51,clueweb09-en0133-46-02821,63.7068443298,0
51,clueweb09-en0082-14-37459,62.899269104,0
51,clueweb09-en0080-79-14155,62.4089508057,0
51,clueweb09-en0012-54-03286,62.1130981445,0
51,clueweb09-en0066-03-00610,61.3497543335,0
51,clueweb09-en0121-86-24491,61.3069000244,0
51,clueweb09-en0006-61-04378,61.117477417,0
51,clueweb09-en0006-61-04409,61.117477417,0
51,clueweb09-en0056-06-19243,60.7006187439,0
51,clueweb09-en0091-50-00525,60.5982818604,0
51,clueweb09-en0007-15-05482,60.018737793,0
51,clueweb09-en0073-11-10215,59.9368438721,0
51,clueweb09-en0065-48-31060,59.8453788757,0
51,clueweb09-en0036-05-36232,59.8436279297,0
51,clueweb09-en0035-25-12686,59.8329963684,0
51,clueweb09-en0027-89-16552,59.6474380493,0
51,clueweb09-en0000-25-01604,59.5124740601,0
51,clueweb09-en0128-95-34452,59.412071228,0
51,clueweb09-en0127-32-39476,59.3779754639,0
51,clueweb09-en0009-75-38682,59.1169815063,0
51,clueweb09-en0108-00-09999,59.02784729,0
51,clueweb09-en0060-87-20850,58.497543335,0
51,clueweb09-en0096-84-19532,58.0184364319,0
51,clueweb09-en0040-49-22900,57.2611503601,0
51,clueweb09-en0067-38-03161,57.0876426697,0
51,clueweb09-en0022-86-09605,57.0465164185,0
51,clueweb09-en0092-27-31483,56.3990783691,0
51,clueweb09-en0054-28-26035,56.1622695923,0
51,clueweb09-en0040-08-35085,55.8696975708,0
51,clueweb09-en0049-83-14400,55.442150116,0
51,clueweb09-en0036-84-23147,55.4086380005,0
51,clueweb09-en0064-00-40520,55.2275924683,0
51,clueweb09-en0004-16-06254,54.9393043518,0
51,clueweb09-en0066-75-24423,54.9086074829,0
51,clueweb09-en0078-60-24772,54.8655891418,0
51,clueweb09-en0011-21-30463,54.57056427,0
51,clueweb09-en0037-01-13522,54.3929023743,0
51,clueweb09-en0020-99-22030,54.2426261902,0
51,clueweb09-en0065-05-02183,54.2290840149,0
51,clueweb09-en0120-54-26619,54.2042312622,0
51,clueweb09-en0008-88-23094,54.1966018677,2
51,clueweb09-en0071-65-32282,54.1905212402,0
51,clueweb09-en0080-95-08189,54.1578712463,0
51,clueweb09-en0081-86-42934,54.1166534424,0
51,clueweb09-en0071-29-10987,54.1067886353,0
51,clueweb09-en0008-37-05398,54.0569000244,0
51,clueweb09-en0121-47-37226,53.8845596313,0
51,clueweb09-en0066-64-23708,53.8473014832,0
51,clueweb09-en0051-72-09775,53.6896820068,0
51,clueweb09-en0109-20-25044,53.6669921875,0
51,clueweb09-en0077-45-20178,53.3719329834,0
51,clueweb09-en0036-84-23151,53.3514060974,0
51,clueweb09-en0011-41-17274,53.2090797424,0
51,clueweb09-en0050-72-39627,53.1920585632,0
51,clueweb09-en0045-07-00644,53.1788597107,0
51,clueweb09-en0026-73-34652,53.1549987793,0
51,clueweb09-en0022-86-09608,53.153629303,0
51,clueweb09-en0040-02-21157,53.0372543335,0
51,clueweb09-en0061-44-14824,52.9655265808,0
51,clueweb09-en0046-24-16392,52.9090385437,0
51,clueweb09-en0050-72-39626,52.8397979736,0
51,clueweb09-en0122-01-04739,52.4519042969,0
51,clueweb09-en0022-86-09611,52.4114112854,0
51,clueweb09-enwp00-27-06293,52.294052124,1
51,clueweb09-enwp00-23-05499,52.2842712402,1
51,clueweb09-enwp00-23-05500,52.2811393738,1
51,clueweb09-enwp00-31-05923,52.2721214294,1
51,clueweb09-enwp00-24-05847,52.2721214294,1
51,clueweb09-en0047-29-06794,52.1461334229,0
51,clueweb09-en0124-02-04979,52.1205062866,0
51,clueweb09-en0061-44-14817,52.104309082,0
51,clueweb09-en0011-41-17252,52.1040039062,0
51,clueweb09-en0025-64-25855,52.0925140381,0
51,clueweb09-en0010-37-28468,52.0832443237,0
51,clueweb09-en0011-41-17253,52.0329208374,0
51,clueweb09-en0011-56-07362,52.0073776245,0
51,clueweb09-en0128-39-06927,51.9673118591,0
51,clueweb09-en0027-68-13004,51.9632225037,0
51,clueweb09-en0102-22-15444,51.9364471436,0
51,clueweb09-en0081-10-34949,51.9091339111,0
51,clueweb09-en0022-86-09612,51.890335083,0
51,clueweb09-en0047-29-06793,51.8869171143,0
51,clueweb09-en0011-41-17251,51.8706665039,0
51,clueweb09-en0092-27-31488,51.8199539185,0
51,clueweb09-en0052-11-17371,51.7249526978,0
51,clueweb09-en0007-15-05460,51.7021179199,0
51,clueweb09-en0006-61-04354,51.6518707275,2
51,clueweb09-en0050-57-44277,51.6067771912,0
51,clueweb09-en0050-72-39630,51.5454597473,0
51,clueweb09-en0122-04-07481,51.4754104614,0
51,clueweb09-en0023-89-00783,51.2707557678,0
51,clueweb09-en0016-15-27348,51.2707557678,0
51,clueweb09-en0017-29-07889,51.2707557678,0
51,clueweb09-en0022-17-33767,51.2707557678,0
51,clueweb09-en0022-86-09606,51.1982116699,0
51,clueweb09-en0073-59-23661,51.1901626587,0
51,clueweb09-en0053-82-36497,51.1884422302,0
51,clueweb09-en0064-76-35910,51.1835975647,0
51,clueweb09-en0037-26-16264,51.1378211975,0
51,clueweb09-en0036-38-37379,51.1378211975,0
51,clueweb09-en0031-27-00085,51.1378211975,0
51,clueweb09-en0030-00-31288,51.1378211975,0
51,clueweb09-en0031-27-00079,51.1378211975,0
51,clueweb09-en0033-85-28786,51.0722503662,0
51,clueweb09-en0002-44-16527,51.06092453,0
51,clueweb09-en0007-21-38632,51.06092453,0
51,clueweb09-en0022-86-09614,51.0399856567,0
51,clueweb09-en0074-24-36487,50.9846458435,0
51,clueweb09-en0089-32-02784,50.9745788574,0
