topic,doc,score,rel
51,clueweb09-en0007-17-32780,12.9588687447245,1
51,clueweb09-en0007-81-08143,12.9398263442687,1
51,clueweb09-en0011-41-17281,12.8897701095268,1
51,clueweb09-en0007-89-20413,12.8829428656328,1
51,clueweb09-en0004-36-39733,12.8672714681096,1
51,clueweb09-en0008-37-05398,12.8519128381424,0
51,clueweb09-en0008-43-16164,12.8254133176898,3
51,clueweb09-en0007-89-20264,12.8108311622433,1
51,clueweb09-en0008-88-23094,12.799749971305,2
51,clueweb09-en0011-41-17278,12.7880392531362,1
51,clueweb09-en0009-85-39698,12.7752299423968,1
51,clueweb09-en0006-61-04354,12.7739184982444,2
51,clueweb09-enwp00-27-06293,12.7673555120769,1
51,clueweb09-enwp00-23-05499,12.7603010090322,1
51,clueweb09-enwp00-24-05847,12.7572756417683,1
51,clueweb09-enwp00-31-05923,12.7566744558952,1
51,clueweb09-enwp00-23-05500,12.7566347163208,1
51,clueweb09-en0007-42-22223,12.7406271773449,2
51,clueweb09-en0008-66-10852,12.7126504970298,1
51,clueweb09-en0010-85-41384,12.7050765193918,0
51,clueweb09-en0009-84-34320,12.7003747858085,1
51,clueweb09-en0011-41-17250,12.6829593401225,0
51,clueweb09-en0011-41-17207,12.6810402498873,2
51,clueweb09-en0004-16-06254,12.6785048443988,0
51,clueweb09-en0006-61-04382,12.6600449169354,1
51,clueweb09-en0002-05-26045,12.6446441500614,0
51,clueweb09-en0008-59-04222,12.6312401934824,0
51,clueweb09-en0010-03-31177,12.630385646319,0
51,clueweb09-en0011-41-17257,12.6273973260882,1
51,clueweb09-en0011-10-04505,12.6107229186079,1
51,clueweb09-en0010-49-39017,12.6021136502318,0
51,clueweb09-en0011-41-17286,12.5981588395692,1
51,clueweb09-en0011-94-02121,12.5973653699494,0
51,clueweb09-en0007-83-23270,12.5918168278586,0
51,clueweb09-en0004-77-30624,12.5905718655726,1
51,clueweb09-en0011-41-17271,12.5803695430811,0
51,clueweb09-enwp00-95-17841,12.5684252717193,1
51,clueweb09-en0003-93-25577,12.5666645170865,1
51,clueweb09-en0010-37-28468,12.564873685652,0
