topic,doc,score,rel
51,clueweb09-en0007-89-20413,8.0650364383259,1
51,clueweb09-en0007-17-32780,8.04760039180714,1
51,clueweb09-en0008-43-16164,8.03461077795641,3
51,clueweb09-en0007-81-08143,8.02910751854029,1
51,clueweb09-en0007-89-20264,8.02292341318406,1
51,clueweb09-en0011-41-17281,8.00013126564252,1
51,clueweb09-en0004-36-39733,7.99149880666493,1
51,clueweb09-en0008-37-05398,7.98546511507306,0
51,clueweb09-en0008-88-23094,7.94861966162841,2
51,clueweb09-en0006-61-04354,7.94492313347335,2
51,clueweb09-en0009-85-39698,7.94241459912703,1
51,clueweb09-enwp00-27-06293,7.93757553018441,1
51,clueweb09-enwp00-23-05500,7.93635887966153,1
51,clueweb09-enwp00-24-05847,7.9360895847206,1
51,clueweb09-enwp00-31-05923,7.9360895847206,1
51,clueweb09-enwp00-23-05499,7.93593919705201,1
51,clueweb09-en0008-59-04222,7.93330868816316,0
51,clueweb09-en0007-42-22223,7.91850018493923,2
51,clueweb09-en0011-41-17278,7.91607910449661,1
51,clueweb09-en0010-85-41384,7.91298723377526,0
51,clueweb09-en0011-41-17207,7.91020914478023,2
51,clueweb09-en0000-81-00258,7.89380953034834,0
51,clueweb09-en0006-61-04382,7.88628063856907,1
51,clueweb09-en0009-84-34320,7.88396190905441,1
51,clueweb09-en0008-66-10852,7.88063489511358,1
51,clueweb09-en0002-05-26045,7.871964018064,0
51,clueweb09-en0011-41-17286,7.86527154866041,1
51,clueweb09-en0011-41-17257,7.86493998932932,1
51,clueweb09-en0011-94-02121,7.85595839474522,0
51,clueweb09-en0004-16-06254,7.85501225225847,0
51,clueweb09-en0011-41-17250,7.85372398484515,0
51,clueweb09-enwp00-93-16535,7.83774484977152,1
51,clueweb09-enwp01-56-17036,7.83774484977152,1
51,clueweb09-enwp01-55-06136,7.83746152599973,1
51,clueweb09-en0011-41-17271,7.83628276728846,0
51,clueweb09-enwp00-95-17841,7.83552226409342,1
51,clueweb09-en0003-93-25577,7.8352926387713,1
51,clueweb09-enwp02-19-00937,7.83459268883926,1
51,clueweb09-en0010-03-31177,7.82542005138388,0
51,clueweb09-en0007-83-23270,7.8226214458988,0
51,clueweb09-en0011-10-04505,7.81949725537925,1
51,clueweb09-en0010-37-28468,7.81722565148905,0
