topic,doc,score,rel
51,clueweb09-en0087-18-13820,8.32058712138937,0
51,clueweb09-en0100-57-34214,8.31115631078969,0
51,clueweb09-en0016-19-24681,8.3100792854977,2
51,clueweb09-en0115-93-04956,8.30754218787961,0
51,clueweb09-en0050-83-28797,8.30598202168468,1
51,clueweb09-en0087-02-08108,8.30171169598957,0
51,clueweb09-en0016-99-33090,8.292598572889,1
51,clueweb09-en0049-16-41358,8.28385501222713,2
51,clueweb09-en0016-79-25759,8.27543882180314,2
51,clueweb09-en0054-79-13017,8.26450632703745,1
51,clueweb09-en0047-29-06768,8.25752766263926,1
51,clueweb09-en0038-51-33785,8.25650184573533,3
51,clueweb09-en0128-12-18639,8.25433223189713,2
51,clueweb09-en0050-44-03519,8.25035547240465,1
51,clueweb09-en0007-89-20413,8.24824198213269,1
51,clueweb09-en0012-54-03282,8.24783694217684,1
51,clueweb09-en0040-08-35086,8.24245923752659,2
51,clueweb09-en0133-71-23355,8.23892419900158,1
51,clueweb09-en0078-17-20055,8.2355717882368,1
51,clueweb09-en0076-52-27073,8.23463567499661,1
51,clueweb09-en0102-97-30261,8.23403291902493,0
51,clueweb09-en0076-52-27078,8.23324007515454,1
51,clueweb09-en0123-50-27074,8.23313222105006,2
51,clueweb09-en0059-34-09584,8.23050259647749,0
51,clueweb09-en0122-48-04059,8.22588862828239,0
51,clueweb09-en0079-76-37482,8.22344912424556,0
51,clueweb09-en0087-25-22969,8.22344912424556,0
51,clueweb09-en0107-56-25382,8.21902343827587,0
51,clueweb09-en0008-43-16164,8.21532301361146,3
51,clueweb09-en0036-40-12086,8.2152075721136,2
51,clueweb09-en0133-90-15067,8.21301480614866,2
51,clueweb09-en0127-36-17848,8.21289874089869,0
51,clueweb09-en0007-17-32780,8.21164553787599,1
51,clueweb09-en0050-68-38202,8.20930686488233,3
51,clueweb09-en0039-11-13043,8.20922644184924,0
51,clueweb09-en0007-89-20264,8.20629667604532,1
51,clueweb09-en0051-38-02769,8.20532258686224,0
51,clueweb09-en0007-81-08143,8.20337317324355,1
51,clueweb09-en0060-87-20845,8.20251709320732,0
51,clueweb09-en0082-28-33170,8.20196474544576,0
51,clueweb09-en0106-21-40292,8.20179182942343,1
51,clueweb09-en0063-30-04579,8.20122396938375,0
51,clueweb09-en0048-83-24071,8.20002753388819,0
51,clueweb09-en0054-28-26035,8.19928087980196,0
51,clueweb09-en0046-74-18902,8.19627968588441,0
51,clueweb09-en0016-87-07931,8.19123791620955,0
51,clueweb09-en0040-02-21140,8.19046080068464,0
51,clueweb09-en0077-98-35575,8.18874195656724,1
51,clueweb09-en0072-32-29430,8.18836927971787,1
51,clueweb09-en0096-53-37947,8.18764366022556,1
51,clueweb09-en0061-44-14791,8.18738118127699,1
51,clueweb09-en0079-21-09587,8.18508941382121,0
51,clueweb09-en0078-83-13305,8.18035548230874,1
51,clueweb09-en0040-08-35093,8.18014351428057,0
51,clueweb09-en0092-00-03048,8.17913256442009,1
51,clueweb09-en0116-88-12143,8.17795137120748,0
51,clueweb09-en0011-41-17281,8.17790796050038,1
51,clueweb09-en0120-94-10705,8.1763865243027,2
51,clueweb09-en0097-15-08336,8.17309893138812,1
51,clueweb09-en0094-60-40973,8.17250447690354,0
51,clueweb09-en0096-33-23335,8.16996771369798,0
51,clueweb09-en0087-14-15681,8.16833730850915,0
51,clueweb09-en0061-44-14827,8.16734134444203,0
51,clueweb09-en0093-06-11125,8.16507203973497,0
51,clueweb09-en0074-03-38337,8.16399126708414,0
51,clueweb09-en0080-95-06298,8.16183282753552,1
51,clueweb09-en0065-32-16966,8.16048933404185,0
51,clueweb09-en0026-83-38386,8.1597167449317,2
51,clueweb09-en0078-60-24772,8.15905138591834,0
51,clueweb09-en0044-43-10913,8.15612304037357,0
51,clueweb09-en0127-64-13172,8.15597345528534,0
51,clueweb09-en0004-36-39733,8.1551226903879,1
51,clueweb09-en0068-75-35570,8.15503372914494,0
51,clueweb09-en0000-81-00258,8.15483327145096,0
51,clueweb09-en0117-68-36215,8.15015199767803,0
51,clueweb09-en0093-01-01638,8.15005056568179,1
51,clueweb09-en0033-86-32886,8.14820752486547,0
51,clueweb09-en0008-37-05398,8.1476140343605,0
51,clueweb09-en0040-08-35085,8.14599462801755,0
51,clueweb09-en0102-66-28787,8.14571001948839,0
51,clueweb09-en0026-73-34652,8.14460855817586,0
51,clueweb09-en0040-02-21157,8.14284968409187,0
51,clueweb09-en0061-44-14824,8.1394658235038,0
51,clueweb09-en0079-11-11014,8.13360929347702,0
51,clueweb09-en0016-56-36543,8.12932478406689,0
51,clueweb09-en0102-10-01139,8.12825211768965,0
51,clueweb09-en0073-59-23662,8.12397250356754,0
51,clueweb09-en0093-25-09218,8.12338512582885,0
51,clueweb09-en0106-19-25038,8.12263885983678,0
51,clueweb09-en0082-89-42932,8.12214249311642,0
51,clueweb09-en0053-99-10227,8.12208599260826,0
51,clueweb09-en0064-31-27644,8.12142061648115,1
51,clueweb09-en0087-64-09275,8.12057026365948,1
51,clueweb09-en0108-68-00886,8.12002028285152,0
51,clueweb09-en0040-49-22900,8.11940887777693,0
51,clueweb09-en0031-74-33549,8.1191342643011,0
51,clueweb09-en0127-10-06510,8.11847340465601,0
51,clueweb09-en0044-36-18666,8.11660940431044,0
51,clueweb09-en0106-37-31549,8.1155726764614,0
51,clueweb09-en0067-87-40849,8.11557095986504,0
51,clueweb09-en0114-80-32909,8.1146684866252,0
51,clueweb09-en0067-24-07677,8.11415275661833,0
51,clueweb09-en0064-82-05884,8.11359740695812,0
51,clueweb09-en0067-38-03161,8.11329960572626,0
51,clueweb09-en0008-59-04222,8.11142464437928,0
51,clueweb09-en0008-88-23094,8.10826512556877,2
51,clueweb09-en0079-36-24865,8.10740426697285,0
51,clueweb09-en0121-10-00868,8.10577961699963,0
51,clueweb09-en0131-72-46448,8.1055553800529,1
51,clueweb09-en0113-17-29222,8.10367088066924,0
51,clueweb09-en0072-78-35914,8.10122622435872,1
51,clueweb09-en0009-85-39698,8.10117848202911,1
51,clueweb09-en0064-31-27721,8.09963282681082,0
51,clueweb09-en0015-88-12981,8.09918433667205,0
51,clueweb09-en0020-76-41560,8.09829249765881,0
51,clueweb09-en0076-23-40592,8.09590197362971,1
51,clueweb09-en0065-35-06548,8.09476968994754,0
51,clueweb09-en0038-16-29653,8.09456593926741,0
51,clueweb09-en0133-98-40361,8.09375188457234,0
51,clueweb09-en0022-45-17785,8.09337723798507,0
51,clueweb09-en0006-61-04354,8.09316838169006,2
51,clueweb09-en0024-25-20191,8.0927305848498,1
51,clueweb09-en0023-02-18143,8.09245782042755,0
51,clueweb09-en0062-38-24708,8.09109659586168,0
51,clueweb09-en0061-44-14823,8.09017148601276,0
51,clueweb09-en0087-14-08296,8.09002874041809,0
51,clueweb09-en0101-52-00035,8.0898969392511,0
51,clueweb09-en0066-06-31258,8.08962456682761,0
51,clueweb09-en0107-44-20738,8.08914910518517,0
51,clueweb09-en0052-90-01900,8.08896954627407,0
51,clueweb09-en0024-27-23331,8.08865453450641,0
51,clueweb09-en0068-41-05403,8.08756723256052,0
51,clueweb09-en0011-41-17278,8.08576152638329,1
51,clueweb09-enwp00-27-06293,8.08551450610936,1
51,clueweb09-enwp00-23-05500,8.08465439842028,1
51,clueweb09-enwp00-23-05499,8.08447059653998,1
51,clueweb09-enwp00-24-05847,8.08441865554612,1
51,clueweb09-enwp00-31-05923,8.08441865554612,1
51,clueweb09-en0066-06-31260,8.0836802105964,0
51,clueweb09-en0118-81-22992,8.0824101895622,0
51,clueweb09-en0113-17-29184,8.08153091061797,1
51,clueweb09-en0073-59-23661,8.08017270480698,0
51,clueweb09-en0037-62-16225,8.08002695631415,0
51,clueweb09-en0113-17-29177,8.078830511954,0
51,clueweb09-en0094-08-37731,8.0764494549479,0
51,clueweb09-en0050-30-29300,8.07619787138936,0
51,clueweb09-en0010-85-41384,8.07484248421906,0
51,clueweb09-en0079-83-16094,8.07412250428746,0
51,clueweb09-en0127-46-00948,8.07311007687489,0
51,clueweb09-en0061-44-14826,8.07275244788063,0
51,clueweb09-en0007-42-22223,8.07254304557704,2
51,clueweb09-en0079-94-25108,8.07198819248402,0
51,clueweb09-en0049-16-41356,8.07194746295058,0
51,clueweb09-en0110-52-01979,8.07057311954207,0
51,clueweb09-en0120-91-34703,8.0694726643619,0
51,clueweb09-en0076-28-31503,8.06946813464453,0
51,clueweb09-en0080-95-08189,8.069147685975,0
51,clueweb09-en0033-93-33770,8.06907244115422,0
51,clueweb09-en0127-10-06512,8.06866571417036,0
51,clueweb09-en0063-62-41540,8.06840486036015,0
51,clueweb09-en0063-62-41538,8.06764403522702,0
51,clueweb09-en0050-57-44277,8.06707370665245,0
51,clueweb09-en0036-48-05123,8.06672734901984,0
51,clueweb09-en0039-91-14735,8.06624712380078,1
51,clueweb09-en0081-58-20053,8.06613071862328,0
51,clueweb09-en0108-11-45302,8.06361828674048,0
51,clueweb09-en0105-83-09110,8.06044915393931,0
51,clueweb09-en0125-19-21708,8.06011915495238,0
51,clueweb09-en0030-65-32974,8.05950824710579,0
51,clueweb09-en0066-76-20821,8.05922799533601,0
